LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,mortality,kill_rate,block_initial,simday,mass_llins_fund
Southern Ijaw,Ahoada West,2029,Southern Ijaw,0.8,0.8,0.8,0.8,4,may,0.300385456,0.724294496,0.65,3416,PBO (2021)
Sule-Tankarkar,Babura,2021,Sule-Tankarkar,0.921568627,0.833333333,0.862068966,0.941176471,1,may,0.751666281,0.751442515,0.902152619,496,PBO (2021)
Sule-Tankarkar,Babura,2024,Sule-Tankarkar,0.921568627,0.833333333,0.862068966,0.941176471,2,may,0.751666281,0.751442515,0.902152619,1591,PBO (2021)
Sule-Tankarkar,Babura,2027,Sule-Tankarkar,0.921568627,0.833333333,0.862068966,0.941176471,3,may,0.751666281,0.751442515,0.902152619,2686,PBO (2021)
Sule-Tankarkar,Babura,2030,Sule-Tankarkar,0.921568627,0.833333333,0.862068966,0.941176471,4,may,0.751666281,0.751442515,0.902152619,3781,PBO (2021)
Suleja,Giwa,2022,Suleja,0.8,0.8,0.8,0.8,1,august,0.574948442,0.748915838,0.75953125,953,PBO (2021)
Suleja,Giwa,2025,Suleja,0.8,0.8,0.8,0.8,2,august,0.574948442,0.748915838,0.75953125,2048,PBO (2021)
Suleja,Giwa,2028,Suleja,0.8,0.8,0.8,0.8,3,august,0.574948442,0.748915838,0.75953125,3143,PBO (2021)
Sumaila,Takali,2022,Sumaila,0.837837838,0.8,0.8,0.8,1,september,0.700387319,0.750961939,0.873355122,980,PBO (2021)
Sumaila,Takali,2025,Sumaila,0.837837838,0.8,0.8,0.8,2,september,0.700387319,0.750961939,0.873355122,2075,PBO (2021)
Sumaila,Takali,2028,Sumaila,0.837837838,0.8,0.8,0.8,3,september,0.700387319,0.750961939,0.873355122,3170,PBO (2021)
Suru,Birnin Kebbi,2021,Suru,0.93877551,0.806451613,0.8,0.819444444,1,august,0.607478923,0.749613109,0.796543618,588,PBO (2021)
Suru,Birnin Kebbi,2024,Suru,0.93877551,0.806451613,0.8,0.819444444,2,august,0.607478923,0.749613109,0.796543618,1683,PBO (2021)
Suru,Birnin Kebbi,2027,Suru,0.93877551,0.806451613,0.8,0.819444444,3,august,0.607478923,0.749613109,0.796543618,2778,PBO (2021)
Suru,Birnin Kebbi,2030,Suru,0.93877551,0.806451613,0.8,0.819444444,4,august,0.607478923,0.749613109,0.796543618,3873,PBO (2021)
Surulere1,Oke-Ero,2020,Surulere1,0.8,0.8,0.8,0.8,1,july,0.464358896,0.744856578,0.65,186,PBO (2021)
Surulere1,Oke-Ero,2023,Surulere1,0.8,0.8,0.8,0.8,2,july,0.464358896,0.744856578,0.65,1281,PBO (2021)
Surulere1,Oke-Ero,2026,Surulere1,0.8,0.8,0.8,0.8,3,july,0.464358896,0.744856578,0.65,2376,PBO (2021)
Surulere1,Oke-Ero,2029,Surulere1,0.8,0.8,0.8,0.8,4,july,0.464358896,0.744856578,0.65,3471,PBO (2021)
