LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday,adm1,llins1
Aboh-Mbaise,Ngor-Okpala,2029,Aboh-Mbaise,0.8,0.8,0.8,0.8,0.366998982,0.736534052,0.65,4,june,3447,Imo,PBO
Abua-Odual,Ahoada West,2020,Abua/Odual,0.8,0.8,0.8,0.8,0.255950957,0.709612874,0.65,1,may,131,Rivers,PBO
Abua-Odual,Ahoada West,2023,Abua/Odual,0.8,0.8,0.8,0.8,0.255950957,0.709612874,0.65,2,may,1226,Rivers,PBO
Abua-Odual,Ahoada West,2026,Abua/Odual,0.8,0.8,0.8,0.8,0.255950957,0.709612874,0.65,3,may,2321,Rivers,PBO
Abua-Odual,Ahoada West,2029,Abua/Odual,0.8,0.8,0.8,0.8,0.255950957,0.709612874,0.65,4,may,3416,Rivers,PBO
Abuja Municipal,Keana,2020,Abuja Municipal,0.8,0.8,0.8,0.8,0.500846708,0.746583537,0.641083786,1,august,223,Federal Capital Territory,Urban areas
Abuja Municipal,Keana,2023,Abuja Municipal,0.8,0.8,0.8,0.8,0.500846708,0.746583537,0.641083786,2,august,1318,Federal Capital Territory,Urban areas
Abuja Municipal,Keana,2026,Abuja Municipal,0.8,0.8,0.8,0.8,0.500846708,0.746583537,0.641083786,3,august,2413,Federal Capital Territory,Urban areas
Abuja Municipal,Keana,2029,Abuja Municipal,0.8,0.8,0.8,0.8,0.500846708,0.746583537,0.641083786,4,august,3508,Federal Capital Territory,Urban areas
Adavi,Owan East,2020,Adavi,0.830655145,0.8,0.8,0.8,0.308698703,0.726323559,0.65,1,march,70,Kogi,PBO
Adavi,Owan East,2023,Adavi,0.830655145,0.8,0.8,0.8,0.308698703,0.726323559,0.65,2,march,1165,Kogi,PBO
Adavi,Owan East,2026,Adavi,0.830655145,0.8,0.8,0.8,0.308698703,0.726323559,0.65,3,march,2260,Kogi,PBO
Adavi,Owan East,2029,Adavi,0.830655145,0.8,0.8,0.8,0.308698703,0.726323559,0.65,4,march,3355,Kogi,PBO
Ado,Akinyele,2020,Ado,0.8,0.8,0.8,0.8,0.357778894,0.735289623,0.65,1,may,131,Benue,PBO
Ado,Akinyele,2023,Ado,0.8,0.8,0.8,0.8,0.357778894,0.735289623,0.65,2,may,1226,Benue,PBO
Ado,Akinyele,2026,Ado,0.8,0.8,0.8,0.8,0.357778894,0.735289623,0.65,3,may,2321,Benue,PBO
Ado,Akinyele,2029,Ado,0.8,0.8,0.8,0.8,0.357778894,0.735289623,0.65,4,may,3416,Benue,PBO
Ado-Odo-Ota,Uzo-Uwani,2021,Ado-Odo/Ota,0.8,0.8,0.8,0.8,0.405185074,0.740672987,0.65,1,june,527,Ogun,PBO
Ado-Odo-Ota,Uzo-Uwani,2024,Ado-Odo/Ota,0.8,0.8,0.8,0.8,0.405185074,0.740672987,0.65,2,june,1622,Ogun,PBO
Ado-Odo-Ota,Uzo-Uwani,2027,Ado-Odo/Ota,0.8,0.8,0.8,0.8,0.405185074,0.740672987,0.65,3,june,2717,Ogun,PBO
Ado-Odo-Ota,Uzo-Uwani,2030,Ado-Odo/Ota,0.8,0.8,0.8,0.8,0.405185074,0.740672987,0.65,4,june,3812,Ogun,PBO
Ado Ekiti,Owan East,2020,Ado Ekiti,0.8,0.8,0.8,0.8,0.357399296,0.735235955,0.65,1,march,70,Ekiti,PBO
Ado Ekiti,Owan East,2023,Ado Ekiti,0.8,0.8,0.8,0.8,0.357399296,0.735235955,0.65,2,march,1165,Ekiti,PBO
Ado Ekiti,Owan East,2026,Ado Ekiti,0.8,0.8,0.8,0.8,0.357399296,0.735235955,0.65,3,march,2260,Ekiti,PBO
Ado Ekiti,Owan East,2029,Ado Ekiti,0.8,0.8,0.8,0.8,0.357399296,0.735235955,0.65,4,march,3355,Ekiti,PBO
Afijio,Akinyele,2020,Afijio,0.8,0.8,0.8,0.8,0.464150913,0.744845222,0.65,1,may,131,Oyo,PBO
Afijio,Akinyele,2023,Afijio,0.8,0.8,0.8,0.8,0.464150913,0.744845222,0.65,2,may,1226,Oyo,PBO
Afijio,Akinyele,2026,Afijio,0.8,0.8,0.8,0.8,0.464150913,0.744845222,0.65,3,may,2321,Oyo,PBO
Afijio,Akinyele,2029,Afijio,0.8,0.8,0.8,0.8,0.464150913,0.744845222,0.65,4,may,3416,Oyo,PBO
Afikpo North,Oru West,2020,Afikpo North,0.905685179,0.8,0.8,0.8,0.428193447,0.742555644,0.65,1,june,162,Ebonyi,PBO
Afikpo North,Oru West,2023,Afikpo North,0.905685179,0.8,0.8,0.8,0.428193447,0.742555644,0.65,2,june,1257,Ebonyi,PBO
Afikpo North,Oru West,2026,Afikpo North,0.905685179,0.8,0.8,0.8,0.428193447,0.742555644,0.65,3,june,2352,Ebonyi,PBO
Afikpo North,Oru West,2029,Afikpo North,0.905685179,0.8,0.8,0.8,0.428193447,0.742555644,0.65,4,june,3447,Ebonyi,PBO
Afikpo South,Ngor-Okpala,2020,Afikpo South,0.8,0.8,0.8,0.8,0.44733042,0.743859597,0.65,1,june,162,Ebonyi,PBO
Afikpo South,Ngor-Okpala,2023,Afikpo South,0.8,0.8,0.8,0.8,0.44733042,0.743859597,0.65,2,june,1257,Ebonyi,PBO
Afikpo South,Ngor-Okpala,2026,Afikpo South,0.8,0.8,0.8,0.8,0.44733042,0.743859597,0.65,3,june,2352,Ebonyi,PBO
Afikpo South,Ngor-Okpala,2029,Afikpo South,0.8,0.8,0.8,0.8,0.44733042,0.743859597,0.65,4,june,3447,Ebonyi,PBO
Agaie,Oke-Ero,2022,Agaie,0.8,0.8,0.8,0.8,0.469310553,0.745121348,0.65,1,july,916,Niger,PBO
Agaie,Oke-Ero,2025,Agaie,0.8,0.8,0.8,0.8,0.469310553,0.745121348,0.65,2,july,2011,Niger,PBO
Agaie,Oke-Ero,2028,Agaie,0.8,0.8,0.8,0.8,0.469310553,0.745121348,0.65,3,july,3106,Niger,PBO
Agatu,Keana,2020,Agatu,0.8,0.833333333,0.8,0.8,0.440507142,0.743418762,0.65,1,august,223,Benue,PBO
Agatu,Keana,2023,Agatu,0.8,0.833333333,0.8,0.8,0.440507142,0.743418762,0.65,2,august,1318,Benue,PBO
Agatu,Keana,2026,Agatu,0.8,0.833333333,0.8,0.8,0.440507142,0.743418762,0.65,3,august,2413,Benue,PBO
Agatu,Keana,2029,Agatu,0.8,0.833333333,0.8,0.8,0.440507142,0.743418762,0.65,4,august,3508,Benue,PBO
Agege,Uzo-Uwani,2020,Agege,0.8,0.8,0.8,0.8,0.445938468,0.743771706,0.65,1,june,162,Lagos,Urban areas
Agege,Uzo-Uwani,2023,Agege,0.8,0.8,0.8,0.8,0.445938468,0.743771706,0.65,2,june,1257,Lagos,Urban areas
Agege,Uzo-Uwani,2026,Agege,0.8,0.8,0.8,0.8,0.445938468,0.743771706,0.65,3,june,2352,Lagos,Urban areas
Agege,Uzo-Uwani,2029,Agege,0.8,0.8,0.8,0.8,0.445938468,0.743771706,0.65,4,june,3447,Lagos,Urban areas
Aguata,Oru West,2020,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.744268911,0.65,1,june,162,Anambra,PBO
Aguata,Oru West,2023,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.744268911,0.65,2,june,1257,Anambra,PBO
Aguata,Oru West,2026,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.744268911,0.65,3,june,2352,Anambra,PBO
Aguata,Oru West,2029,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.744268911,0.65,4,june,3447,Anambra,PBO
Agwara,Birnin Kebbi,2022,Agwara,0.8,0.8,0.8,0.8,0.513248554,0.747067471,0.670022422,1,august,953,Niger,PBO
Agwara,Birnin Kebbi,2025,Agwara,0.8,0.8,0.8,0.8,0.513248554,0.747067471,0.670022422,2,august,2048,Niger,PBO
Agwara,Birnin Kebbi,2028,Agwara,0.8,0.8,0.8,0.8,0.513248554,0.747067471,0.670022422,3,august,3143,Niger,PBO
Ahiazu-Mbaise,Ngor-Okpala,2020,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,0.4502266,0.744039224,0.65,1,june,162,Imo,PBO
Ahiazu-Mbaise,Ngor-Okpala,2023,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,0.4502266,0.744039224,0.65,2,june,1257,Imo,PBO
Ahiazu-Mbaise,Ngor-Okpala,2026,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,0.4502266,0.744039224,0.65,3,june,2352,Imo,PBO
Ahiazu-Mbaise,Ngor-Okpala,2029,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,0.4502266,0.744039224,0.65,4,june,3447,Imo,PBO
Ahoada East,Ahoada West,2020,Ahoada East,0.8,0.8,0.8,0.8,0.212067193,0.685335866,0.65,1,may,131,Rivers,PBO
Ahoada East,Ahoada West,2023,Ahoada East,0.8,0.8,0.8,0.8,0.212067193,0.685335866,0.65,2,may,1226,Rivers,PBO
Ahoada East,Ahoada West,2026,Ahoada East,0.8,0.8,0.8,0.8,0.212067193,0.685335866,0.65,3,may,2321,Rivers,PBO
Ahoada East,Ahoada West,2029,Ahoada East,0.8,0.8,0.8,0.8,0.212067193,0.685335866,0.65,4,may,3416,Rivers,PBO
Ahoada West,Ahoada West,2020,Ahoada West,0.8,0.8,0.8,0.8,0.212747654,0.685818488,0.65,1,may,131,Rivers,PBO
Ahoada West,Ahoada West,2023,Ahoada West,0.8,0.8,0.8,0.8,0.212747654,0.685818488,0.65,2,may,1226,Rivers,PBO
Ahoada West,Ahoada West,2026,Ahoada West,0.8,0.8,0.8,0.8,0.212747654,0.685818488,0.65,3,may,2321,Rivers,PBO
Ahoada West,Ahoada West,2029,Ahoada West,0.8,0.8,0.8,0.8,0.212747654,0.685818488,0.65,4,may,3416,Rivers,PBO
Aiyedade,Akinyele,2020,Aiyedade,0.8,0.8,0.8,0.8,0.401428384,0.740327343,0.65,1,may,131,Osun,PBO
Aiyedade,Akinyele,2023,Aiyedade,0.8,0.8,0.8,0.8,0.401428384,0.740327343,0.65,2,may,1226,Osun,PBO
Aiyedade,Akinyele,2026,Aiyedade,0.8,0.8,0.8,0.8,0.401428384,0.740327343,0.65,3,may,2321,Osun,PBO
Aiyedade,Akinyele,2029,Aiyedade,0.8,0.8,0.8,0.8,0.401428384,0.740327343,0.65,4,may,3416,Osun,PBO
Aiyedire,Akinyele,2020,Aiyedire,0.8,0.8,0.8,0.8,0.440828641,0.743440107,0.65,1,may,131,Osun,PBO
Aiyedire,Akinyele,2023,Aiyedire,0.8,0.8,0.8,0.8,0.440828641,0.743440107,0.65,2,may,1226,Osun,PBO
Aiyedire,Akinyele,2026,Aiyedire,0.8,0.8,0.8,0.8,0.440828641,0.743440107,0.65,3,may,2321,Osun,PBO
Aiyedire,Akinyele,2029,Aiyedire,0.8,0.8,0.8,0.8,0.440828641,0.743440107,0.65,4,may,3416,Osun,PBO
Ajaokuta,Owan East,2020,Ajaokuta,0.8,0.8,0.8,0.8,0.321205627,0.729055954,0.65,1,march,70,Kogi,PBO
Ajaokuta,Owan East,2023,Ajaokuta,0.8,0.8,0.8,0.8,0.321205627,0.729055954,0.65,2,march,1165,Kogi,PBO
Ajaokuta,Owan East,2026,Ajaokuta,0.8,0.8,0.8,0.8,0.321205627,0.729055954,0.65,3,march,2260,Kogi,PBO
Ajaokuta,Owan East,2029,Ajaokuta,0.8,0.8,0.8,0.8,0.321205627,0.729055954,0.65,4,march,3355,Kogi,PBO
Ajeromi-Ifelodun,Uzo-Uwani,2020,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,0.442448497,0.743546776,0.65,1,june,162,Lagos,Urban areas
Ajeromi-Ifelodun,Uzo-Uwani,2023,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,0.442448497,0.743546776,0.65,2,june,1257,Lagos,Urban areas
Ajeromi-Ifelodun,Uzo-Uwani,2026,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,0.442448497,0.743546776,0.65,3,june,2352,Lagos,Urban areas
Ajeromi-Ifelodun,Uzo-Uwani,2029,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,0.442448497,0.743546776,0.65,4,june,3447,Lagos,Urban areas
Ajingi,Taura,2022,Ajingi,0.838709677,0.8,0.8,0.980769231,0.772623248,0.751602855,0.91186478,1,july,916,Kano,PBO
Ajingi,Taura,2025,Ajingi,0.838709677,0.8,0.8,0.980769231,0.772623248,0.751602855,0.91186478,2,july,2011,Kano,PBO
Ajingi,Taura,2028,Ajingi,0.838709677,0.8,0.8,0.980769231,0.772623248,0.751602855,0.91186478,3,july,3106,Kano,PBO
Akamkpa,Ngor-Okpala,2021,Akamkpa,0.8,0.8,0.8,0.8,0.473355826,0.745329937,0.65,1,june,527,Cross River,PBO
Akamkpa,Ngor-Okpala,2024,Akamkpa,0.8,0.8,0.8,0.8,0.473355826,0.745329937,0.65,2,june,1622,Cross River,PBO
Akamkpa,Ngor-Okpala,2027,Akamkpa,0.8,0.8,0.8,0.8,0.473355826,0.745329937,0.65,3,june,2717,Cross River,PBO
Akamkpa,Ngor-Okpala,2030,Akamkpa,0.8,0.8,0.8,0.8,0.473355826,0.745329937,0.65,4,june,3812,Cross River,PBO
Akinyele,Akinyele,2020,Akinyele,0.8,0.8,0.8,0.8,0.353306712,0.734644463,0.65,1,may,131,Oyo,Urban areas
Akinyele,Akinyele,2023,Akinyele,0.8,0.8,0.8,0.8,0.353306712,0.734644463,0.65,2,may,1226,Oyo,Urban areas
Akinyele,Akinyele,2026,Akinyele,0.8,0.8,0.8,0.8,0.353306712,0.734644463,0.65,3,may,2321,Oyo,Urban areas
Akinyele,Akinyele,2029,Akinyele,0.8,0.8,0.8,0.8,0.353306712,0.734644463,0.65,4,may,3416,Oyo,Urban areas
Akko,Alkaleri,2021,Akko,0.8,0.8,0.8,0.8,0.430348191,0.742713325,0.65,1,july,551,Gombe,PBO
Akko,Alkaleri,2024,Akko,0.8,0.8,0.8,0.8,0.430348191,0.742713325,0.65,2,july,1646,Gombe,PBO
Akko,Alkaleri,2027,Akko,0.8,0.8,0.8,0.8,0.430348191,0.742713325,0.65,3,july,2741,Gombe,PBO
Akko,Alkaleri,2030,Akko,0.8,0.8,0.8,0.8,0.430348191,0.742713325,0.65,4,july,3836,Gombe,PBO
Akoko-Edo,Owan East,2020,Akoko-Edo,0.8,0.8,0.8,0.8,0.304845225,0.725405618,0.65,1,march,70,Edo,PBO
Akoko-Edo,Owan East,2023,Akoko-Edo,0.8,0.8,0.8,0.8,0.304845225,0.725405618,0.65,2,march,1165,Edo,PBO
Akoko-Edo,Owan East,2026,Akoko-Edo,0.8,0.8,0.8,0.8,0.304845225,0.725405618,0.65,3,march,2260,Edo,PBO
Akoko-Edo,Owan East,2029,Akoko-Edo,0.8,0.8,0.8,0.8,0.304845225,0.725405618,0.65,4,march,3355,Edo,PBO
Akoko North East,Oke-Ero,2020,Akoko North East,0.8,0.8,0.8,0.8,0.346553372,0.733614536,0.65,1,july,186,Ondo,PBO
Akoko North East,Oke-Ero,2023,Akoko North East,0.8,0.8,0.8,0.8,0.346553372,0.733614536,0.65,2,july,1281,Ondo,PBO
Akoko North East,Oke-Ero,2026,Akoko North East,0.8,0.8,0.8,0.8,0.346553372,0.733614536,0.65,3,july,2376,Ondo,PBO
Akoko North East,Oke-Ero,2029,Akoko North East,0.8,0.8,0.8,0.8,0.346553372,0.733614536,0.65,4,july,3471,Ondo,PBO
Akoko North West,Oke-Ero,2020,Akoko North West,0.8,0.8,0.8,0.8,0.316763911,0.728126692,0.65,1,july,186,Ondo,PBO
Akoko North West,Oke-Ero,2023,Akoko North West,0.8,0.8,0.8,0.8,0.316763911,0.728126692,0.65,2,july,1281,Ondo,PBO
Akoko North West,Oke-Ero,2026,Akoko North West,0.8,0.8,0.8,0.8,0.316763911,0.728126692,0.65,3,july,2376,Ondo,PBO
Akoko North West,Oke-Ero,2029,Akoko North West,0.8,0.8,0.8,0.8,0.316763911,0.728126692,0.65,4,july,3471,Ondo,PBO
Akoko South East,Oke-Ero,2020,Akoko South East,0.8,0.8,0.8,0.8,0.347034531,0.733690227,0.65,1,july,186,Ondo,PBO
Akoko South East,Oke-Ero,2023,Akoko South East,0.8,0.8,0.8,0.8,0.347034531,0.733690227,0.65,2,july,1281,Ondo,PBO
Akoko South East,Oke-Ero,2026,Akoko South East,0.8,0.8,0.8,0.8,0.347034531,0.733690227,0.65,3,july,2376,Ondo,PBO
Akoko South East,Oke-Ero,2029,Akoko South East,0.8,0.8,0.8,0.8,0.347034531,0.733690227,0.65,4,july,3471,Ondo,PBO
Akoko South West,Oke-Ero,2020,Akoko South West,0.8,0.8,0.8,0.8,0.330802879,0.73092257,0.65,1,july,186,Ondo,PBO
Akoko South West,Oke-Ero,2023,Akoko South West,0.8,0.8,0.8,0.8,0.330802879,0.73092257,0.65,2,july,1281,Ondo,PBO
Akoko South West,Oke-Ero,2026,Akoko South West,0.8,0.8,0.8,0.8,0.330802879,0.73092257,0.65,3,july,2376,Ondo,PBO
Akoko South West,Oke-Ero,2029,Akoko South West,0.8,0.8,0.8,0.8,0.330802879,0.73092257,0.65,4,july,3471,Ondo,PBO
Akpabuyo,Nsit Ubium,2021,Akpabuyo,0.8,0.8,0.8,0.8,0.417147714,0.741699347,0.65,1,june,527,Cross River,PBO
Akpabuyo,Nsit Ubium,2024,Akpabuyo,0.8,0.8,0.8,0.8,0.417147714,0.741699347,0.65,2,june,1622,Cross River,PBO
Akpabuyo,Nsit Ubium,2027,Akpabuyo,0.8,0.8,0.8,0.8,0.417147714,0.741699347,0.65,3,june,2717,Cross River,PBO
Akpabuyo,Nsit Ubium,2030,Akpabuyo,0.8,0.8,0.8,0.8,0.417147714,0.741699347,0.65,4,june,3812,Cross River,PBO
Akuku Toru,Ahoada West,2020,Akuku Toru,0.8,0.8,0.8,0.8,0.307675695,0.72608356,0.65,1,may,131,Rivers,PBO
Akuku Toru,Ahoada West,2023,Akuku Toru,0.8,0.8,0.8,0.8,0.307675695,0.72608356,0.65,2,may,1226,Rivers,PBO
Akuku Toru,Ahoada West,2026,Akuku Toru,0.8,0.8,0.8,0.8,0.307675695,0.72608356,0.65,3,may,2321,Rivers,PBO
Akuku Toru,Ahoada West,2029,Akuku Toru,0.8,0.8,0.8,0.8,0.307675695,0.72608356,0.65,4,may,3416,Rivers,PBO
Akure North,Owan East,2020,Akure North,0.8,0.8,0.8,0.8,0.337034585,0.732039367,0.65,1,march,70,Ondo,PBO
Akure North,Owan East,2023,Akure North,0.8,0.8,0.8,0.8,0.337034585,0.732039367,0.65,2,march,1165,Ondo,PBO
Akure North,Owan East,2026,Akure North,0.8,0.8,0.8,0.8,0.337034585,0.732039367,0.65,3,march,2260,Ondo,PBO
Akure North,Owan East,2029,Akure North,0.8,0.8,0.8,0.8,0.337034585,0.732039367,0.65,4,march,3355,Ondo,PBO
Akure South,Owan East,2020,Akure South,0.8,0.8,0.8,0.8,0.299585483,0.724089439,0.65,1,march,70,Ondo,PBO
Akure South,Owan East,2023,Akure South,0.8,0.8,0.8,0.8,0.299585483,0.724089439,0.65,2,march,1165,Ondo,PBO
Akure South,Owan East,2026,Akure South,0.8,0.8,0.8,0.8,0.299585483,0.724089439,0.65,3,march,2260,Ondo,PBO
Akure South,Owan East,2029,Akure South,0.8,0.8,0.8,0.8,0.299585483,0.724089439,0.65,4,march,3355,Ondo,PBO
Akwanga,Oke-Ero,2021,Akwanga,0.822883221,0.800838317,0.8,0.8,0.509076895,0.746909746,0.662920161,1,july,551,Nasarawa,PBO
Akwanga,Oke-Ero,2024,Akwanga,0.822883221,0.800838317,0.8,0.8,0.509076895,0.746909746,0.662920161,2,july,1646,Nasarawa,PBO
Akwanga,Oke-Ero,2027,Akwanga,0.822883221,0.800838317,0.8,0.8,0.509076895,0.746909746,0.662920161,3,july,2741,Nasarawa,PBO
Akwanga,Oke-Ero,2030,Akwanga,0.822883221,0.800838317,0.8,0.8,0.509076895,0.746909746,0.662920161,4,july,3836,Nasarawa,PBO
Albasu,Takali,2022,Albasu,0.8,0.8,0.8,0.806451613,0.794967768,0.751755177,0.921115182,1,september,980,Kano,PBO
Albasu,Takali,2025,Albasu,0.8,0.8,0.8,0.806451613,0.794967768,0.751755177,0.921115182,2,september,2075,Kano,PBO
Albasu,Takali,2028,Albasu,0.8,0.8,0.8,0.806451613,0.794967768,0.751755177,0.921115182,3,september,3170,Kano,PBO
Aleiro,Birnin Kebbi,2021,Aleiro,0.8,0.8,0.8,0.8,0.705366928,0.75101499,0.876504706,1,august,588,Kebbi,PBO
Aleiro,Birnin Kebbi,2024,Aleiro,0.8,0.8,0.8,0.8,0.705366928,0.75101499,0.876504706,2,august,1683,Kebbi,PBO
Aleiro,Birnin Kebbi,2027,Aleiro,0.8,0.8,0.8,0.8,0.705366928,0.75101499,0.876504706,3,august,2778,Kebbi,PBO
Aleiro,Birnin Kebbi,2030,Aleiro,0.8,0.8,0.8,0.8,0.705366928,0.75101499,0.876504706,4,august,3873,Kebbi,PBO
Alimosho,Uzo-Uwani,2020,Alimosho,0.8,0.8,0.8,0.8,0.431973509,0.742830344,0.65,1,june,162,Lagos,Urban areas
Alimosho,Uzo-Uwani,2023,Alimosho,0.8,0.8,0.8,0.8,0.431973509,0.742830344,0.65,2,june,1257,Lagos,Urban areas
Alimosho,Uzo-Uwani,2026,Alimosho,0.8,0.8,0.8,0.8,0.431973509,0.742830344,0.65,3,june,2352,Lagos,Urban areas
Alimosho,Uzo-Uwani,2029,Alimosho,0.8,0.8,0.8,0.8,0.431973509,0.742830344,0.65,4,june,3447,Lagos,Urban areas
Alkaleri,Alkaleri,2021,Alkaleri,0.8,0.8,0.8,0.8,0.570092852,0.748797917,0.753454775,1,july,551,Bauchi,PBO
Alkaleri,Alkaleri,2024,Alkaleri,0.8,0.8,0.8,0.8,0.570092852,0.748797917,0.753454775,2,july,1646,Bauchi,PBO
