,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
166,Dutsi,Rimi,Katsina,0,1095,2010,0.096584862,0.096584862
167,Dutsin-Ma,Rimi,Katsina,0,1095,2010,0.096584862,0.096584862
168,Eastern Obolo,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
169,Ebonyi,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
170,Edati,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
171,Ede North,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
172,Ede South,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
173,Edu,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
174,Efon-Alayee,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
175,Egbado North,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
176,Egbado South,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
177,Egbeda,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
178,Egbedore,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
179,Egor,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
180,Ehime-Mbano,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
181,Ejigbo,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
182,Ekeremor,Ahoada West,Rivers,0,1095,2010,0.244230555,0.244230555
183,Eket,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
184,Ekiti,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
185,Ekiti East,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
186,Ekiti South West,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
187,Ekiti West,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
188,Ekwusigo,Oru West,Imo,0,1095,2010,0.175766728,0.175766728
189,Eleme,Ahoada West,Rivers,0,1095,2010,0.244230555,0.244230555
190,Emohua,Ahoada West,Rivers,0,1095,2010,0.244230555,0.244230555
191,Emure,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
192,Enugu East,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
193,Enugu North,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
194,Enugu South,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
195,Epe,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
196,Esan Central,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
197,Esan North East,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
198,Esan South East,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
199,Esan West,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
200,Ese-Odo,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
201,Esit Eket,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
202,Essien Udim,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
203,Etche,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
204,Ethiope East,Isoko South,Delta,0,1095,2010,0.102375399,0.102375399
205,Ethiope West,Isoko South,Delta,0,1095,2010,0.102375399,0.102375399
206,Eti-Osa,Isoko South,Delta,0,1095,2010,0.102375399,0.102375399
207,Etim Ekpo,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
208,Etinan,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
209,Etsako Central,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
210,Etsako East,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
211,Etsako West,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
212,Etung,Obubra,Cross River,0,1095,2010,0,0
213,Ewekoro,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
214,Ezeagu,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
215,Ezinihitte,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
216,Ezza North,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
217,Ezza South,Obubra,Cross River,0,1095,2010,0,0
218,Fagge,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
219,Fakai,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,0.005035576
220,Faskari,Giwa,Kaduna,0,1095,2010,0.018010707,0.018010707
221,Fika,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
222,Fufore,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
223,Funakaye,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
224,Fune,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
225,Funtua,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
226,Gabasawa,Taura,Jigawa,0,1095,2010,0.066097954,0.066097954
227,Gada,Gawabawa,Sokoto,0,1095,2010,0,0
228,Gagarawa,Taura,Jigawa,0,1095,2010,0.066097954,0.066097954
