,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
183,Abakaliki,Owan East,0.269425717,0.187474497,0.148850429,0.225827472
184,Afikpo North,Oru West,0.313365947,0.17666417,0.271659579,0.263677138
185,Afikpo South,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
186,Ebonyi,Owan East,0.190417906,0.133905361,0.099953742,0.141747932
187,Ezza North,Owan East,0.307692308,0.111111111,0.272727273,0.177777778
188,Ezza South,Obubra,0.52173913,0.444444444,0.210526316,0.296875
189,Ikwo,Obubra,0.396226415,0.266666667,0.136986301,0.346153846
190,Ishielu,Owan East,0.179618928,0.18687565,0.075788456,0.147514212
191,Ivo,Ngor-Okpala,0.556080276,0.326564692,0.316868204,0.443745735
192,Izzi,Owan East,0.333333333,0.093023256,0.111111111,0.203389831
193,Ohaukwu,Owan East,0.262376238,0.084781588,0.120821196,0.10877017
194,Onicha,Obubra,0.123417987,0.106112995,0.166414492,0.197160155
195,Akoko-Edo,Owan East,0.190417906,0.133905361,0.099953742,0.141747932
196,Egor,Uzo-Uwani,0.145727184,0.072927928,0.049786447,0.076973654
197,Esan North East,Uzo-Uwani,0.355555556,0.041666667,0.153846154,0.176470588
198,Esan Central,Owan East,0.233704874,0.070529951,0.065425529,0.160538575
199,Esan South East,Uzo-Uwani,0.457142857,0.565217391,0.255319149,0.362903226
200,Esan West,Uzo-Uwani,0.223947832,0.104651889,0.041898184,0.157299876
201,Etsako Central,Owan East,0.184210526,0.12,0.113636364,0.225490196
202,Etsako East,Owan East,0.538461538,0.394736842,0.549019608,0.47008547
203,Etsako West,Owan East,0.190417906,0.133905361,0.099953742,0.141747932
204,Igueben,Uzo-Uwani,0.168157145,0.119988856,0.09154177,0.114805248
205,Ikpoba-Okha,Uzo-Uwani,0.014948946,0.026903389,0.063553096,0.059088152
206,Aninri,Oru West,0.230641915,0.164100907,0.116855278,0.210331671
207,Oredo,Uzo-Uwani,0.206896552,0.157894737,0.052631579,0.222222222
208,Orhionmwon,Uzo-Uwani,0.318181818,0.222222222,0.08,0.095238095
209,Ovia North East,Owan East,0.16,0.133333333,0.125,0.156862745
210,Ovia South West,Akinyele,0.479698366,0.43997184,0.26718888,0.380619275
211,Owan East,Owan East,0.0625,0.125,0.114285714,0.08988764
212,Owan West,Owan East,0.090909091,0.074074074,0.057142857,0.119565217
213,Uhunmwonde,Owan East,0.190417906,0.133905361,0.099953742,0.141747932
214,Ado Ekiti,Owan East,0.231656759,0.128347272,0.059527855,0.145182859
215,Efon-Alayee,Oke-Ero,0.222222222,0.19047619,0.025,0.081081081
216,Ekiti East,Oke-Ero,0.231361008,0.183015217,0.118650061,0.187572408
217,Ekiti South West,Oke-Ero,0.153762799,0.090151944,0.18226909,0.193762455
218,Awgu,Oru West,0.19655476,0.042858561,0.10752884,0.108750588
219,Ekiti West,Oke-Ero,0.20680834,0.194198274,0.084735024,0.205477758
220,Emure,Oke-Ero,0.168695913,0.105193908,0.078409211,0.165696417
221,Gboyin,Obubra,0.291934142,0.166034007,0.119299807,0.210287538
222,Idosi-Osi,Oke-Ero,0.168695913,0.105193908,0.078409211,0.165696417
223,Ijero,Oke-Ero,0.227272727,0.5,0.043478261,0.175675676
224,Ikere,Owan East,0.136363636,0.230769231,0.290322581,0.154761905
225,Ikole,Oke-Ero,0.155221727,0.174275994,0.063919998,0.226317005
226,Ilemeji,Oke-Ero,0.168695913,0.105193908,0.078409211,0.165696417
227,Irepodun/Ifelodun,Oke-Ero,0.060606061,0.105263158,0.078409211,0.125
228,Ise/Orun,Oke-Ero,0.168695913,0.105193908,0.078409211,0.165696417
229,Moba,Oke-Ero,0.125,0.111111111,0.15,0.155844156
230,Oye,Oke-Ero,0.163859151,0.214592967,0.051656333,0.155285266
231,Ezeagu,Uzo-Uwani,0.032258065,0.130434783,0.032258065,0.078651685
232,Igbo-Etiti,Uzo-Uwani,0.343989554,0.292076525,0.163986222,0.296624574
233,Igbo-Eze North,Uzo-Uwani,0.210526316,0.026315789,0.125,0.126865672
234,Igbo-Eze South,Uzo-Uwani,0.08,0.176470588,0.088235294,0.152380952
235,Isi-Uzo,Owan East,0.325581395,0.25,0.073170732,0.217821782
236,Nkanu East,Owan East,0.380952381,0.333333333,0.388888889,0.368421053
237,Nkanu West,Uzo-Uwani,0.176470588,0.214285714,0.074074074,0.050420168
238,Nsukka,Uzo-Uwani,0.321715561,0.216831183,0.176841107,0.163236786
239,Oji-River,Oru West,0.212121212,0.25,0.137931034,0.086538462
240,Udenu,Uzo-Uwani,0.416666667,0.260869565,0.113636364,0.285714286
241,Udi,Uzo-Uwani,0.133333333,0.166666667,0.033333333,0.181818182
242,Uzo-Uwani,Uzo-Uwani,0.168157145,0.105263158,0.074074074,0.033707865
243,Ahiazu-Mbaise,Ngor-Okpala,0.175906959,0.127959503,0.14975925,0.309574319
244,Abaji,Keana,0.283668542,0.138305986,0.132084731,0.139380245
245,Bwari,Giwa,0.121879542,0.071428571,0.04,0.05952381
246,Gwagwalada,Keana,0.23449652,0.17049343,0.098707837,0.155884771
247,Kuje,Keana,0.114285714,0.166666667,0.081081081,0.174418605
248,Kwali,Keana,0.238095238,0.139534884,0.109090909,0.179245283
249,Bunkure,Gwarzo,0.312950682,0.158495705,0.127683581,0.20972908
250,Abuja Municipal,Keana,0.193500638,0.065765497,0.024997499,0.076104979
251,Akko,Alkaleri,0.110223074,0.090777175,0.040480995,0.106712442
252,Balanga,Alkaleri,0.35474406,0.210657073,0.177319438,0.325657964
253,Billiri,Alkaleri,0.206511564,0.19283178,0.079789305,0.221979072
254,Dukku,Darazo,0.105014985,0.08448735,0.068696764,0.019106719
255,Funakaye,Alkaleri,0.008757304,0.028054842,0.050300265,0.05641115
256,Gombe,Alkaleri,0.118463907,0.072751232,0.053568923,0.110290165
257,Kaltungo,Alkaleri,0.118463907,0.072751232,0.053568923,0.110290165
258,Kwami,Alkaleri,0.103425468,0.068170827,0.105804377,0.148527952
259,Dala,Alkaleri,0.049192182,0.072751232,0.053568923,0.036760055
260,Nafada,Alkaleri,0.051638643,0.02952543,0.067439009,0.145026044
261,Shomgom,Alkaleri,0.139470257,0.111591061,0.056431225,0.197807377
262,Yamaltu/Deba,Alkaleri,0.120526281,0.070981839,0.03520869,0.151775558
263,Aboh-Mbaise,Ngor-Okpala,0.164766835,0.044582696,0.089517765,0.099884118
264,Fagge,Alkaleri,0.118463907,0.072751232,0.053568923,0.110290165
265,Ehime-Mbano,Ngor-Okpala,0.153846154,0.208112873,0.0625,0.105263158
266,Ezinihitte,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
267,Ideato North,Oru West,0.285714286,0.142857143,0.05,0.223684211
268,Ideato South,Ngor-Okpala,0.497071642,0.343407215,0.34965413,0.478673993
269,Ihitte/Uboma,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
270,Ikeduru,Ngor-Okpala,0.34148961,0.189191378,0.197306443,0.189854861
271,Isiala Mbano,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
272,Isu,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
273,Mbaitoli,Ngor-Okpala,0.208333333,0.333333333,0.266666667,0.386792453
274,Obowo,Ngor-Okpala,0.181818182,0.133333333,0.0625,0.113924051
275,Ngor-Okpala,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
276,Njaba,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
277,Nkwerre,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
278,Nwangele,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
279,Oyo East,Akinyele,0.21332798,0.159744519,0.117702428,0.173750679
280,Oguta,Oru West,0.230641915,0.164100907,0.116855278,0.210331671
281,Ohaji/Egbema,Oru West,0.539954645,0.493721182,0.253341135,0.600130519
282,Okigwe,Ngor-Okpala,0.1875,0.2,0.25,0.345238095
283,Orlu,Oru West,0.157894737,0.04,0.088235294,0.148148148
284,Orsu,Oru West,0.285714286,0.090909091,0.083333333,0.232876712
285,Oru East,Oru West,0.346153846,0.16,0.138888889,0.345679012
286,Oru West,Oru West,0.274171698,0.229156851,0.145314013,0.269967596
287,Owerri-Municipal,Oru West,0.235294118,0.25,0.217391304,0.207792208
288,Tofa,Taura,0.181535236,0.11021374,0.032258065,0.043478261
289,Owerri North,Ngor-Okpala,0.171706732,0.05397929,0.05956401,0.085175051
290,Owerri West,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
291,Unuimo,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
292,Auyo,Taura,0.657534247,0.438596491,0.271186441,0.6
293,Babura,Babura,0.032258065,0.03030303,0.022727273,0.049019608
294,Biriniwa,Taura,0.181535236,0.11021374,0.086236149,0.171748891
295,Malam Madori,Taura,0.181535236,0.11021374,0.086236149,0.171748891
296,Birni Kudu,Takali,0.101449555,0.05735459,0.045574567,0.089767787
