LGA,repDS
Aninri,Oru West
Aninri,Oru West
Oredo,Uzo-Uwani
Oredo,Uzo-Uwani
Orhionmwon,Uzo-Uwani
Orhionmwon,Uzo-Uwani
Ovia North East,Owan East
Ovia North East,Owan East
Ovia South West,Akinyele
Ovia South West,Akinyele
Owan East,Owan East
Owan East,Owan East
Owan West,Owan East
Owan West,Owan East
Uhunmwonde,Owan East
Uhunmwonde,Owan East
Ado Ekiti,Owan East
Ado Ekiti,Owan East
Efon-Alayee,Oke-Ero
Efon-Alayee,Oke-Ero
Ekiti East,Oke-Ero
Ekiti East,Oke-Ero
Ekiti South West,Oke-Ero
Ekiti South West,Oke-Ero
Awgu,Oru West
Awgu,Oru West
Ekiti West,Oke-Ero
Ekiti West,Oke-Ero
Emure,Oke-Ero
Emure,Oke-Ero
Gboyin,Obubra
Gboyin,Obubra
Idosi-Osi,Oke-Ero
Idosi-Osi,Oke-Ero
Ijero,Oke-Ero
Ijero,Oke-Ero
Ikere,Owan East
Ikere,Owan East
Ikole,Oke-Ero
Ikole,Oke-Ero
Ilemeji,Oke-Ero
Ilemeji,Oke-Ero
Irepodun-Ifelodun,Oke-Ero
Irepodun-Ifelodun,Oke-Ero
Ise-Orun,Oke-Ero
Ise-Orun,Oke-Ero
Moba,Oke-Ero
Moba,Oke-Ero
Oye,Oke-Ero
Oye,Oke-Ero
Ezeagu,Uzo-Uwani
Ezeagu,Uzo-Uwani
Igbo-Etiti,Uzo-Uwani
Igbo-Etiti,Uzo-Uwani
Igbo-Eze North,Uzo-Uwani
Igbo-Eze North,Uzo-Uwani
Igbo-Eze South,Uzo-Uwani
Igbo-Eze South,Uzo-Uwani
Isi-Uzo,Owan East
Isi-Uzo,Owan East
Nkanu East,Owan East
Nkanu East,Owan East
Nkanu West,Uzo-Uwani
Nkanu West,Uzo-Uwani
Nsukka,Uzo-Uwani
Nsukka,Uzo-Uwani
Oji-River,Oru West
Oji-River,Oru West
Udenu,Uzo-Uwani
Udenu,Uzo-Uwani
Udi,Uzo-Uwani
Udi,Uzo-Uwani
Uzo-Uwani,Uzo-Uwani
Uzo-Uwani,Uzo-Uwani
Ahiazu-Mbaise,Ngor-Okpala
Ahiazu-Mbaise,Ngor-Okpala
Abaji,Keana
Abaji,Keana
Bwari,Giwa
Bwari,Giwa
Gwagwalada,Keana
Gwagwalada,Keana
Kuje,Keana
Kuje,Keana
Kwali,Keana
Kwali,Keana
Bunkure,Gwarzo
Bunkure,Gwarzo
Abuja Municipal,Keana
Abuja Municipal,Keana
Akko,Alkaleri
Akko,Alkaleri
Balanga,Alkaleri
Balanga,Alkaleri
Billiri,Alkaleri
Billiri,Alkaleri
Dukku,Darazo
Dukku,Darazo
Funakaye,Alkaleri
Funakaye,Alkaleri
Gombe,Alkaleri
Gombe,Alkaleri
Kaltungo,Alkaleri
Kaltungo,Alkaleri
Kwami,Alkaleri
Kwami,Alkaleri
Dala,Alkaleri
Dala,Alkaleri
Nafada,Alkaleri
Nafada,Alkaleri
Shomgom,Alkaleri
Shomgom,Alkaleri
Yamaltu-Deba,Alkaleri
Yamaltu-Deba,Alkaleri
Aboh-Mbaise,Ngor-Okpala
Aboh-Mbaise,Ngor-Okpala
Fagge,Alkaleri
Fagge,Alkaleri
Ehime-Mbano,Ngor-Okpala
Ehime-Mbano,Ngor-Okpala
Ezinihitte,Ngor-Okpala
Ezinihitte,Ngor-Okpala
Ideato North,Oru West
Ideato North,Oru West
Ideato South,Ngor-Okpala
Ideato South,Ngor-Okpala
Ihitte-Uboma,Ngor-Okpala
Ihitte-Uboma,Ngor-Okpala
Ikeduru,Ngor-Okpala
Ikeduru,Ngor-Okpala
Isiala Mbano,Ngor-Okpala
Isiala Mbano,Ngor-Okpala
Isu,Ngor-Okpala
Isu,Ngor-Okpala
Mbaitoli,Ngor-Okpala
Mbaitoli,Ngor-Okpala
Obowo,Ngor-Okpala
Obowo,Ngor-Okpala
Ngor-Okpala,Ngor-Okpala
Ngor-Okpala,Ngor-Okpala
Njaba,Ngor-Okpala
Njaba,Ngor-Okpala
Nkwerre,Ngor-Okpala
Nkwerre,Ngor-Okpala
Nwangele,Ngor-Okpala
Nwangele,Ngor-Okpala
Oyo East,Akinyele
Oyo East,Akinyele
Oguta,Oru West
Oguta,Oru West
Ohaji-Egbema,Oru West
Ohaji-Egbema,Oru West
Okigwe,Ngor-Okpala
Okigwe,Ngor-Okpala
Orlu,Oru West
Orlu,Oru West
Orsu,Oru West
Orsu,Oru West
Oru East,Oru West
Oru East,Oru West
Oru West,Oru West
Oru West,Oru West
Owerri-Municipal,Oru West
Owerri-Municipal,Oru West
Tofa,Taura
Tofa,Taura
Owerri North,Ngor-Okpala
Owerri North,Ngor-Okpala
Owerri West,Ngor-Okpala
Owerri West,Ngor-Okpala
Unuimo,Ngor-Okpala
Unuimo,Ngor-Okpala
Auyo,Taura
Auyo,Taura
Babura,Babura
Babura,Babura
Biriniwa,Taura
Biriniwa,Taura
Malam Madori,Taura
Malam Madori,Taura
Birni Kudu,Takali
Birni Kudu,Takali
Buji,Takali
Buji,Takali
Jahun,Taura
Jahun,Taura
Dutse,Takali
Dutse,Takali
Gagarawa,Taura
Gagarawa,Taura
Kafin Hausa,Taura
Kafin Hausa,Taura
Garki,Babura
Garki,Babura
Gumel,Babura
Gumel,Babura
Guri,Taura
Guri,Taura
Gwaram,Takali
Gwaram,Takali
Gwiwa,Babura
Gwiwa,Babura
Hadejia,Taura
Hadejia,Taura
Kaugama,Taura
Kaugama,Taura
Kazaure,Babura
Kazaure,Babura
Kiri Kasamma,Taura
Kiri Kasamma,Taura
Tsanyawa,Gwarzo
Tsanyawa,Gwarzo
Miga,Taura
Miga,Taura
Ringim,Taura
Ringim,Taura
Roni,Babura
Roni,Babura
Taura,Taura
Taura,Taura
Yankwashi,Babura
Yankwashi,Babura
kiyawa,Takali
kiyawa,Takali
Dutsi,Rimi
Dutsi,Rimi
Birnin-Gwari,Giwa
Birnin-Gwari,Giwa
Kajuru,Soba
Kajuru,Soba
Chikun,Soba
Chikun,Soba
Giwa,Giwa
Giwa,Giwa
Koko-Besse,Birnin Kebbi
Koko-Besse,Birnin Kebbi
Igabi,Soba
Igabi,Soba
Ikara,Soba
Ikara,Soba
Jaba,Oke-Ero
Jaba,Oke-Ero
Ogori-Mangongo,Owan East
Ogori-Mangongo,Owan East
Jema'a,Soba
Jema'a,Soba
Kachia,Ngor-Okpala
Kachia,Ngor-Okpala
Kaduna North,Soba
Kaduna North,Soba
Kudan,Giwa
Kudan,Giwa
Kagarko,Oke-Ero
Kagarko,Oke-Ero
Kaura,Soba
Kaura,Soba
Kauru,Soba
Kauru,Soba
Kubau,Soba
Kubau,Soba
Lere,Soba
Lere,Soba
Markafi,Gwarzo
Markafi,Gwarzo
Sabon-Gari,Soba
Sabon-Gari,Soba
Sanga,Soba
Sanga,Soba
Soba,Soba
Soba,Soba
Zango-Kataf,Soba
Zango-Kataf,Soba
Zaria,Soba
Zaria,Soba
Kaduna South,Soba
Kaduna South,Soba
Bichi,Gwarzo
Bichi,Gwarzo
Ajingi,Taura
Ajingi,Taura
Albasu,Takali
Albasu,Takali
Bagwai,Babura
Bagwai,Babura
Bebeji,Gwarzo
Bebeji,Gwarzo
Dambatta,Babura
Dambatta,Babura
Dawakin Kudu,Gwarzo
Dawakin Kudu,Gwarzo
Dawakin Tofa,Taura
Dawakin Tofa,Taura
Doguwa,Giwa
Doguwa,Giwa
Gabasawa,Taura
Gabasawa,Taura
Garko,Gwarzo
Garko,Gwarzo
Garum Mallam,Gwarzo
Garum Mallam,Gwarzo
Gaya,Gwarzo
Gaya,Gwarzo
Gezawa,Gwarzo
Gezawa,Gwarzo
Gwale,Alkaleri
Gwale,Alkaleri
Gwarzo,Gwarzo
Gwarzo,Gwarzo
Kabo,Gwarzo
Kabo,Gwarzo
Kano Municipal,Alkaleri
Kano Municipal,Alkaleri
Karaye,Gwarzo
Karaye,Gwarzo
Kibiya,Gwarzo
Kibiya,Gwarzo
Kiru,Gwarzo
Kiru,Gwarzo
Kumbotso,Taura
Kumbotso,Taura
Yagba West,Oke-Ero
Yagba West,Oke-Ero
Kunchi,Babura
Kunchi,Babura
Kura,Gwarzo
Kura,Gwarzo
Madobi,Taura
Madobi,Taura
Makoda,Babura
Makoda,Babura
Ekiti,Oke-Ero
Ekiti,Oke-Ero
Minjibir,Taura
Minjibir,Taura
Nasarawa1,Alkaleri
Nasarawa1,Alkaleri
Rano,Gwarzo
Rano,Gwarzo
Rimin Gado,Gwarzo
Rimin Gado,Gwarzo
Bindawa,Rimi
Bindawa,Rimi
Rogo,Gwarzo
Rogo,Gwarzo
Shanono,Gwarzo
Shanono,Gwarzo
Sumaila,Takali
Sumaila,Takali
Takali,Takali
Takali,Takali
Tarauni,Alkaleri
Tarauni,Alkaleri
Tudun Wada,Gwarzo
Tudun Wada,Gwarzo
Ungogo,Taura
Ungogo,Taura
Warawa,Gwarzo
Warawa,Gwarzo
Wudil,Gwarzo
Wudil,Gwarzo
Daura,Babura
Daura,Babura
Bakori,Gwarzo
Bakori,Gwarzo
Batagarawa,Rimi
Batagarawa,Rimi
Batsari,Rimi
Batsari,Rimi
Charanchi,Rimi
Charanchi,Rimi
Dan Musa,Rimi
Dan Musa,Rimi
Dandume,Giwa
Dandume,Giwa
Danja,Giwa
Danja,Giwa
Dutsin-Ma,Rimi
Dutsin-Ma,Rimi
Faskari,Giwa
Faskari,Giwa
Funtua,Gwarzo
Funtua,Gwarzo
Asa,Oke-Ero
Asa,Oke-Ero
Ingawa,Rimi
Ingawa,Rimi
Kafur,Gwarzo
Kafur,Gwarzo
Kankara,Rimi
Kankara,Rimi
Kankia,Rimi
Kankia,Rimi
Katsina,Rimi
Katsina,Rimi
Kurfi,Rimi
Kurfi,Rimi
Kusada,Rimi
Kusada,Rimi
Malumfashi,Gwarzo
Malumfashi,Gwarzo
Mani,Rimi
Mani,Rimi
Matazuu,Rimi
Matazuu,Rimi
Birnin Kebbi,Birnin Kebbi
Birnin Kebbi,Birnin Kebbi
Musawa,Gwarzo
Musawa,Gwarzo
Rimi,Rimi
Rimi,Rimi
Sabuwa,Giwa
Sabuwa,Giwa
Safana,Babura
Safana,Babura
Sandamu,Rimi
Sandamu,Rimi
Aleiro,Birnin Kebbi
Aleiro,Birnin Kebbi
Argungu,Birnin Kebbi
Argungu,Birnin Kebbi
Augie,Birnin Kebbi
Augie,Birnin Kebbi
Bunza,Birnin Kebbi
Bunza,Birnin Kebbi
Fakai,Birnin Kebbi
Fakai,Birnin Kebbi
Gwandu,Birnin Kebbi
Gwandu,Birnin Kebbi
Jega,Birnin Kebbi
Jega,Birnin Kebbi
Kalgo,Birnin Kebbi
Kalgo,Birnin Kebbi
Iseyin,Akinyele
Iseyin,Akinyele
Maiyama,Birnin Kebbi
Maiyama,Birnin Kebbi
Ngaski,Owan East
Ngaski,Owan East
Sakaba,Alkaleri
Sakaba,Alkaleri
Shanga,Birnin Kebbi
Shanga,Birnin Kebbi
Suru,Birnin Kebbi
Suru,Birnin Kebbi
Wasagu-Danko,Alkaleri
Wasagu-Danko,Alkaleri
Yauri,Birnin Kebbi
Yauri,Birnin Kebbi
Zuru,Alkaleri
Zuru,Alkaleri
Adavi,Owan East
Adavi,Owan East
Ajaokuta,Owan East
Ajaokuta,Owan East
Ankpa,Owan East
Ankpa,Owan East
Bassa1,Keana
Bassa1,Keana
Dekina,Owan East
Dekina,Owan East
Edu,Oke-Ero
Edu,Oke-Ero
Ibaji,Uzo-Uwani
Ibaji,Uzo-Uwani
Idah,Uzo-Uwani
Idah,Uzo-Uwani
Igalamela-Odolu,Uzo-Uwani
Igalamela-Odolu,Uzo-Uwani
Ijumu,Oke-Ero
Ijumu,Oke-Ero
Kabba-Bunu,Oke-Ero
Kabba-Bunu,Oke-Ero
Kogi,Keana
Kogi,Keana
Lokoja,Keana
Lokoja,Keana
Mopa-Muro,Oke-Ero
Mopa-Muro,Oke-Ero
Ofu,Owan East
Ofu,Owan East
Okehi,Owan East
Okehi,Owan East
Okene,Owan East
Okene,Owan East
Olamabolo,Owan East
Olamabolo,Owan East
Omala,Keana
Omala,Keana
Yagba East,Oke-Ero
Yagba East,Oke-Ero
Ifelodun1,Oke-Ero
Ifelodun1,Oke-Ero
Ilorin East,Oke-Ero
Ilorin East,Oke-Ero
Ilorin South,Oke-Ero
Ilorin South,Oke-Ero
Ilorin West,Owan East
Ilorin West,Owan East
Irepodun1,Owan East
Irepodun1,Owan East
Itesiwaju,Akinyele
Itesiwaju,Akinyele
Isin,Oke-Ero
Isin,Oke-Ero
Kaiama,Oke-Ero
Kaiama,Oke-Ero
Moro,Oke-Ero
Moro,Oke-Ero
Offa,Akinyele
Offa,Akinyele
Oke-Ero,Oke-Ero
Oke-Ero,Oke-Ero
Kajola,Akinyele
Kajola,Akinyele
Oyun,Oke-Ero
Oyun,Oke-Ero
Pategi,Oke-Ero
Pategi,Oke-Ero
Agege,Uzo-Uwani
Agege,Uzo-Uwani
Ajeromi-Ifelodun,Uzo-Uwani
Ajeromi-Ifelodun,Uzo-Uwani
Alimosho,Uzo-Uwani
Alimosho,Uzo-Uwani
Apapa,Isoko South
Apapa,Isoko South
Epe,Uzo-Uwani
Epe,Uzo-Uwani
Ifako-Ijaye,Uzo-Uwani
Ifako-Ijaye,Uzo-Uwani
Ikeja,Uzo-Uwani
Ikeja,Uzo-Uwani
Mushin,Isoko South
Mushin,Isoko South
Kokona,Oke-Ero
Kokona,Oke-Ero
Ojo,Isoko South
Ojo,Isoko South
Oshodi-Isolo,Uzo-Uwani
Oshodi-Isolo,Uzo-Uwani
Surulere1,Oke-Ero
Surulere1,Oke-Ero
Akwanga,Oke-Ero
Akwanga,Oke-Ero
Obi2,Keana
Obi2,Keana
Awe,Keana
Awe,Keana
Doma,Keana
Doma,Keana
Karu,Oke-Ero
Karu,Oke-Ero
Keana,Keana
Keana,Keana
Keffi,Oke-Ero
Keffi,Oke-Ero
Lafia,Alkaleri
Lafia,Alkaleri
Nasarawa2,Keana
Nasarawa2,Keana
Nasarawa-Eggon,Alkaleri
Nasarawa-Eggon,Alkaleri
Chanchaga,Keana
Chanchaga,Keana
Toto,Keana
Toto,Keana
Wamba,Alkaleri
Wamba,Alkaleri
Agaie,Oke-Ero
Agaie,Oke-Ero
Agwara,Birnin Kebbi
Agwara,Birnin Kebbi
Bida,Oke-Ero
Bida,Oke-Ero
Bosso,Keana
Bosso,Keana
Edati,Oke-Ero
Edati,Oke-Ero
Gbako,Oke-Ero
Gbako,Oke-Ero
Gurara,Oke-Ero
Gurara,Oke-Ero
Katcha,Oke-Ero
Katcha,Oke-Ero
Kontagora,Oke-Ero
Kontagora,Oke-Ero
Lapai,Oke-Ero
Lapai,Oke-Ero
Lavun,Oke-Ero
Lavun,Oke-Ero
Magama,Oke-Ero
Magama,Oke-Ero
Mariga,Oke-Ero
Mariga,Oke-Ero
Mashegu,Oke-Ero
Mashegu,Oke-Ero
Pailoro,Oke-Ero
Pailoro,Oke-Ero
Lagelu,Akinyele
Lagelu,Akinyele
Mokwa,Oke-Ero
Mokwa,Oke-Ero
Muya,Giwa
Muya,Giwa
Abeokuta South,Uzo-Uwani
Abeokuta South,Uzo-Uwani
Ijebu North,Owan East
Ijebu North,Owan East
Rafi,Oke-Ero
Rafi,Oke-Ero
Rijau,Alkaleri
Rijau,Alkaleri
Ado-Odo-Ota,Uzo-Uwani
Ado-Odo-Ota,Uzo-Uwani
Ijebu North East,Oke-Ero
Ijebu North East,Oke-Ero
Shiroro,Oke-Ero
Shiroro,Oke-Ero
Suleja,Giwa
Suleja,Giwa
Tafa,Oke-Ero
Tafa,Oke-Ero
Wushishi,Oke-Ero
Wushishi,Oke-Ero
Abeokuta North,Owan East
Abeokuta North,Owan East
Egbado South,Uzo-Uwani
Egbado South,Uzo-Uwani
Ewekoro,Uzo-Uwani
Ewekoro,Uzo-Uwani
Ifo,Uzo-Uwani
Ifo,Uzo-Uwani
Ijebu East,Oke-Ero
Ijebu East,Oke-Ero
Ijebu ode,Owan East
Ijebu ode,Owan East
Ikenne,Owan East
Ikenne,Owan East
Obafemi-Owode,Owan East
Obafemi-Owode,Owan East
Odeda,Oke-Ero
Odeda,Oke-Ero
Odogbolu,Owan East
Odogbolu,Owan East
Ogun waterside,Owan East
Ogun waterside,Owan East
Remo North,Owan East
Remo North,Owan East
Shagamu,Uzo-Uwani
Shagamu,Uzo-Uwani
Akoko North East,Oke-Ero
Akoko North East,Oke-Ero
Akoko North West,Oke-Ero
Akoko North West,Oke-Ero
Akoko South East,Oke-Ero
Akoko South East,Oke-Ero
Akoko South West,Oke-Ero
Akoko South West,Oke-Ero
Akure North,Owan East
Akure North,Owan East
Ifedayo,Oke-Ero
Ifedayo,Oke-Ero
Akure South,Owan East
Akure South,Owan East
Ese-Odo,Owan East
