LGA,LGA_old,repDS,simday,duration,year,mortality_rate,kill_rate,block_initial,U5_ITN_use_m,U5201.repDS,U5_ITN_use_l,U5_ITN_use,six_nine_ITN_use_m,six_nine_ITN_use_l,six_nine_ITN_use,six_n.year,ten_eighteen_ITN_use_m,ten_eighteen_ITN_use_l,ten_eighteen_ITN_use,ten_e.year,over_eighteen_ITN_use_m,over_eighteen_ITN_use_l,over_eighteen_ITN_use,over_.year
Ukanafun,Ukanafun,Nsit Ubium,0,1095,2010,0.340679142,0.41101835,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Uruan,Uruan,Nsit Ubium,0,1095,2010,0.401030149,0.460591042,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Urue-Offong-Oruko,Urue-Offong/Oruko,Nsit Ubium,0,1095,2010,0.204236897,0.30126919,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ayamelum,Ayamelum,Uzo-Uwani,0,1095,2010,0.436497382,0.489171465,0.53,0.793103448,Uzo-Uwani,0.725900545,0.860306351,0.733333333,0.674383044,0.792283622,2010,0.7,0.636751181,0.763248819,2010,0.6375,0.579956709,0.695043291,2010
Uyo,Uyo,Nsit Ubium,0,1095,2010,0.399966547,0.459725229,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.111111111,0.033759097,0.188463125,2010,0.25654695,0.194166606,0.318927295,2010,0.036363636,0,0.131294777,2010
Aguata,Aguata,Oru West,0,1095,2010,0.454034567,0.503044714,0.53,0.343098592,Oru West,0.213692871,0.472504313,0.295986276,0.196503898,0.395468655,2010,0.219999637,0.130500929,0.309498345,2010,0.304709624,0.187472989,0.42194626,2010
Anambra East,Anambra East,Uzo-Uwani,0,1095,2010,0.375672105,0.439848897,0.53,0.132714912,Uzo-Uwani,0.065512009,0.199917815,0.074567206,0.015616917,0.133517495,2010,0.067921762,0.004672943,0.131170581,2010,0.080523576,0.022980284,0.138066867,2010
Anambra West,Anambra West,Uzo-Uwani,0,1095,2010,0.39176502,0.453035277,0.53,0.132714912,Uzo-Uwani,0.065512009,0.199917815,0.074567206,0.015616917,0.133517495,2010,0.067921762,0.004672943,0.131170581,2010,0.080523576,0.022980284,0.138066867,2010
Anaocha,Anaocha,Oru West,0,1095,2010,0.420247823,0.476153753,0.53,0.389878166,Oru West,0.260472445,0.519283887,0.360147631,0.260665253,0.45963001,2010,0.23777304,0.148274332,0.327271748,2010,0.308504417,0.191267781,0.425741052,2010
Dunukofia,Dunukofia,Uzo-Uwani,0,1095,2010,0.421451191,0.477122595,0.53,0.132714912,Uzo-Uwani,0.065512009,0.199917815,0.074567206,0.015616917,0.133517495,2010,0.067921762,0.004672943,0.131170581,2010,0.080523576,0.022980284,0.138066867,2010
Ekwusigo,Ekwusigo,Oru West,0,1095,2010,0.255572543,0.341515837,0.53,0.343098592,Oru West,0.213692871,0.472504313,0.295986276,0.196503898,0.395468655,2010,0.219999637,0.130500929,0.309498345,2010,0.304709624,0.187472989,0.42194626,2010
Idemili North,Idemili North,Uzo-Uwani,0,1095,2010,0.422797782,0.478205882,0.53,0.132714912,Uzo-Uwani,0.065512009,0.199917815,0.074567206,0.015616917,0.133517495,2010,0.067921762,0.004672943,0.131170581,2010,0.080523576,0.022980284,0.138066867,2010
Idemili South,Idemili South,Oru West,0,1095,2010,0.377378695,0.441250403,0.53,0.343098592,Oru West,0.213692871,0.472504313,0.295986276,0.196503898,0.395468655,2010,0.219999637,0.130500929,0.309498345,2010,0.304709624,0.187472989,0.42194626,2010
Ihiala,Ihiala,Oru West,0,1095,2010,0.199598953,0.297729955,0.53,0.469051071,Oru West,0.33964535,0.598456791,0.39728137,0.297798991,0.496763748,2010,0.335786532,0.246287824,0.42528524,2010,0.501232917,0.383996281,0.618469553,2010
Njikoka,Njikoka,Uzo-Uwani,0,1095,2010,0.436915256,0.489504274,0.53,0.132714912,Uzo-Uwani,0.065512009,0.199917815,0.074567206,0.015616917,0.133517495,2010,0.067921762,0.004672943,0.131170581,2010,0.080523576,0.022980284,0.138066867,2010
Nnewi North,Nnewi North,Oru West,0,1095,2010,0.308642745,0.38462961,0.53,0.380952381,Oru West,0.25154666,0.510358102,0.444444444,0.344962066,0.543926823,2010,0.210526316,0.121027608,0.300025024,2010,0.227272727,0.110036092,0.344509363,2010
Nnewi South,Nnewi South,Oru West,0,1095,2010,0.303374646,0.380306319,0.53,0.343098592,Oru West,0.213692871,0.472504313,0.295986276,0.196503898,0.395468655,2010,0.219999637,0.130500929,0.309498345,2010,0.304709624,0.187472989,0.42194626,2010
Ogbaru,Ogbaru,Ahoada West,0,1095,2010,0.230996863,0.322021221,0.53,0.297457865,Ahoada West,0.136798716,0.458117013,0.282724371,0.09837586,0.467072881,2010,0.103882524,0.049526012,0.158239037,2010,0.235336962,0.125250178,0.345423745,2010
Onitsha North,Onitsha North,Uzo-Uwani,0,1095,2010,0.382531956,0.445478249,0.53,0.132714912,Uzo-Uwani,0.065512009,0.199917815,0.074567206,0.015616917,0.133517495,2010,0.067921762,0.004672943,0.131170581,2010,0.080523576,0.022980284,0.138066867,2010
Onitsha South,Onitsha South,Uzo-Uwani,0,1095,2010,0.368656397,0.434081069,0.53,0.444444444,Uzo-Uwani,0.377241542,0.511647347,0.266666667,0.207716378,0.325616956,2010,0.138888889,0.07564007,0.202137708,2010,0.142857143,0.085313852,0.200400434,2010
Orumba North,Orumba North,Oru West,0,1095,2010,0.403508225,0.462606614,0.53,0.343098592,Oru West,0.213692871,0.472504313,0.295986276,0.196503898,0.395468655,2010,0.219999637,0.130500929,0.309498345,2010,0.304709624,0.187472989,0.42194626,2010
Orumba South,Orumba South,Oru West,0,1095,2010,0.438379079,0.490669288,0.53,0.343098592,Oru West,0.213692871,0.472504313,0.295986276,0.196503898,0.395468655,2010,0.219999637,0.130500929,0.309498345,2010,0.304709624,0.187472989,0.42194626,2010
Oyi,Oyi,Uzo-Uwani,0,1095,2010,0.387377598,0.449447388,0.53,0.416666667,Uzo-Uwani,0.349463764,0.483869569,0.181818182,0.122867893,0.240768471,2010,0.214285714,0.151036895,0.277534533,2010,0.203703704,0.146160413,0.261246995,2010
Alkaleri,Alkaleri,Alkaleri,0,1095,2010,0.570092852,0.588317246,0.672462749,0.481667677,Alkaleri,0.323472614,0.639862739,0.306521543,0.14410124,0.468941846,2010,0.256637785,0.114119799,0.39915577,2010,0.410395137,0.260798468,0.559991805,2010
Bauchi,Bauchi,Alkaleri,0,1095,2010,0.627087591,0.624866967,0.754059265,0.350599671,Alkaleri,0.192404609,0.508794734,0.021748029,0,0.184168332,2010,0.072240199,0,0.214758185,2010,0.161493577,0.011896908,0.311090245,2010
Bogoro,Bogoro,Alkaleri,0,1095,2010,0.578959907,0.594258836,0.686789221,0.481667677,Alkaleri,0.323472614,0.639862739,0.306521543,0.14410124,0.468941846,2010,0.256637785,0.114119799,0.39915577,2010,0.410395137,0.260798468,0.559991805,2010
Damban,Damban,Darazo,0,1095,2010,0.81015375,0.714922519,0.898587768,0.708333333,Darazo,0.576612333,0.840054333,0.392857143,0.291285939,0.494428347,2010,0.341463415,0.255476927,0.427449902,2010,0.666666667,0.529417775,0.803915558,2010
Darazo,Darazo,Darazo,0,1095,2010,0.786253294,0.705476275,0.886610487,0.46787632,Darazo,0.33615532,0.59959732,0.313975754,0.21240455,0.415546958,2010,0.226588337,0.14060185,0.312574825,2010,0.47097189,0.333722999,0.608220782,2010
Dass,Dass,Alkaleri,0,1095,2010,0.466190501,0.512538393,0.53,0.481667677,Alkaleri,0.323472614,0.639862739,0.306521543,0.14410124,0.468941846,2010,0.256637785,0.114119799,0.39915577,2010,0.410395137,0.260798468,0.559991805,2010
Gamawa,Gamawa,Gwarzo,0,1095,2010,0.770682387,0.698966685,0.877968696,0.692307692,Gwarzo,0.527576217,0.857039168,0.47826087,0.350830375,0.605691364,2010,0.333333333,0.244940266,0.4217264,2010,0.740740741,0.60764824,0.873833241,2010
Jama'are,Jama'are,Taura,0,1095,2010,0.749263424,0.689541118,0.8648732,0.53646592,Taura,0.403199959,0.66973188,0.440114892,0.320991916,0.559237868,2010,0.368967436,0.268285002,0.469649871,2010,0.583396689,0.479944718,0.68684866,2010
Ganjuwa,Ganjuwa,Darazo,0,1095,2010,0.647484501,0.636975276,0.777846808,0.46787632,Darazo,0.33615532,0.59959732,0.313975754,0.21240455,0.415546958,2010,0.226588337,0.14060185,0.312574825,2010,0.47097189,0.333722999,0.608220782,2010
