,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
118,Oju,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
119,Okpokwu,Akinyele,0.030541734,0.009079867,0.003972784,0.02173913
120,Oturkpo,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
121,Tarka,Keana,0.086924687,0.045651648,0.033072808,0.087141812
122,Ushongo,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
123,Vandeikya,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
124,Askira/Uba,Darazo,0.137931034,0.088235294,0.039215686,0.073170732
125,Enugu East,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
126,Bayo,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
127,Biu,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
128,Chibok,Darazo,0.025641026,0.313975754,0.226588337,0.030769231
129,Damboa,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
130,Biase,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
131,Dikwa,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
132,Gubio,Gawabawa,0.56855196,0.449598764,0.309015741,0.454882641
133,Jere,Gawabawa,0.56855196,0.449598764,0.309015741,0.454882641
134,Guzamala,Babura,0.560888931,0.337116019,0.180241199,0.508843943
135,Hawul,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
136,Kwaya Kusar,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
137,Enugu North,Uzo-Uwani,0.142857143,0.074567206,0.067921762,0.035087719
138,Kaga,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
139,Mafa,Darazo,0.46787632,0.705882353,0.777777778,0.978723404
140,Obudu,Obubra,0.276762984,0.182743565,0.131962766,0.21025261
141,Konduga,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
142,Bomadi,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
143,Magumeri,Gawabawa,0.56855196,0.095238095,0.052631579,0.12
144,Maiduguri,Darazo,0.307692308,0.230769231,0.090909091,0.177777778
145,Shani,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
146,Abi,Obubra,0.272727273,0.25,0.21875,0.256756757
147,Marte,Babura,0.375325174,0.214522186,0.126023075,0.350839769
148,Nganzai,Gawabawa,0.967741935,0.916666667,0.818181818,0.959183673
149,Bekwara,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
150,Calabar-Municipal,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
151,Ikom,Obubra,0.276762984,0.182743565,0.131962766,0.21025261
152,Obubra,Obubra,0.428571429,0.277777778,0.125,0.279411765
153,Enugu South,Uzo-Uwani,0.05,0.1,0.067921762,0.093333333
154,Odukpani,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
155,Ogoja,Obubra,0.276762984,0.182743565,0.131962766,0.21025261
