LGA,pop,anc_total,preg_llin,coverage,block_initial,kill_rate,simday,duration,year,type
Kokona,156475.83,19282,1155,0.0599,0.53,0.508267659,2920,-1,2018,antenatal
Kolokuma-Opokuma,108922.86,4185,134,0.032019,0.53,0.31668418,2920,-1,2018,antenatal
Konduga,233850.54,5685,1112,0.195602,0.53,0.685445232,2920,-1,2018,antenatal
Konshisha,321754.31,2839,837,0.294822,0.53,0.45479219,2920,-1,2018,antenatal
Kontagora,226949.91,38295,10660,0.278365,0.53,0.613446079,2920,-1,2018,antenatal
Kosofe,971034.35,63378,3428,0.054088,0.53,0.508440915,2920,-1,2018,antenatal
Kubau,402128.73,78176,11956,0.152937,0.53,0.658563106,2920,-1,2018,antenatal
Kudan,198169.36,37807,7907,0.209141,0.53,0.673476599,2920,-1,2018,antenatal
Kuje,249526.38,32849,2989,0.090992,0.53,0.498560793,2920,-1,2018,antenatal
Kukawa,304499.8,5749,2,0.000348,0.53,0.632574443,2920,-1,2018,antenatal
Kumbotso,436983.22,53582,8854,0.165242,0.53,0.679648396,2920,-1,2018,antenatal
Kunchi,163906.91,19270,3872,0.200934,0.53,0.680296131,2920,-1,2018,antenatal
Kura,213488.83,43689,15427,0.353109,0.53,0.70943541,2920,-1,2018,antenatal
Kurfi,167642.39,10416,1743,0.167339,0.53,0.656290638,2920,-1,2018,antenatal
Kurmi,128989.01,4099,1348,0.328861,0.53,0.501628429,2920,-1,2018,antenatal
Kusada,141531.01,14488,1349,0.093112,0.53,0.698147157,2920,-1,2018,antenatal
Kwali,2263278.2,19750,37,0.001873,0.53,0.520161192,2920,-1,2018,antenatal
Kwami,285006.11,21860,2865,0.131061,0.53,0.559035931,2920,-1,2018,antenatal
Kwande,354582.46,4571,580,0.126887,0.53,0.451208693,2920,-1,2018,antenatal
Kware,190907.96,23834,1153,0.048376,0.53,0.725770018,2920,-1,2018,antenatal
Kwaya Kusar,84390.763,6938,889,0.128135,0.53,0.606689636,2920,-1,2018,antenatal
Lafia,471516.23,74682,2412,0.032297,0.53,0.541291955,2920,-1,2018,antenatal
Lagelu,220994.76,20478,2249,0.109825,0.53,0.414987723,2920,-1,2018,antenatal
Lagos Island,305639.71,48109,4784,0.099441,0.53,0.516005638,2920,-1,2018,antenatal
Lagos Mainland,463661.38,13545,1057,0.078036,0.53,0.516213299,2920,-1,2018,antenatal
Lamurde,158966.33,15781,2500,0.158418,0.53,0.483923569,2920,-1,2018,antenatal
Langtang North,193625.9,5413,660,0.121929,0.53,0.528657291,2920,-1,2018,antenatal
Langtang South,146352.12,4105,563,0.13715,0.53,0.570014312,2920,-1,2018,antenatal
Lapai,164490.29,25130,8654,0.344369,0.53,0.476147229,2920,-1,2018,antenatal
Lau,136118.35,6325,854,0.13502,0.53,0.504803441,2920,-1,2018,antenatal
Lavun,313540.81,17683,6816,0.385455,0.53,0.564173288,2920,-1,2018,antenatal
Lere,472156.4,75091,7872,0.104833,0.53,0.535617259,2920,-1,2018,antenatal
Logo,241043.41,4814,1498,0.311176,0.53,0.473946946,2920,-1,2018,antenatal
Lokoja,278395.5,21801,1447,0.066373,0.53,0.389588612,2920,-1,2018,antenatal
Machina,93090.896,8369,1018,0.121639,0.53,0.682341276,2920,-1,2018,antenatal
Madagali,190003.4,18931,2687,0.141937,0.53,0.67676674,2920,-1,2018,antenatal
Madobi,201710.11,31669,5137,0.162209,0.53,0.730463144,2920,-1,2018,antenatal
Mafa,154618.81,4127,594,0.14393,0.53,0.673505468,2920,-1,2018,antenatal
Magama,271324.52,11291,4446,0.393765,0.53,0.517157065,2920,-1,2018,antenatal
Magumeri,209454.89,9379,196,0.020898,0.53,0.704144224,2920,-1,2018,antenatal
Mai'Adua,286831.72,16894,1925,0.113946,0.53,0.632545498,2920,-1,2018,antenatal
Maiduguri,778922.26,109604,42196,0.384986,0.53,0.699455384,2920,-1,2018,antenatal
Maigatari,253261.3,26230,7081,0.269958,0.53,0.655669759,2920,-1,2018,antenatal
Maiha,156728.46,35642,3510,0.098479,0.53,0.636938432,2920,-1,2018,antenatal
Maiyama,179970.05,19492,1589,0.081521,0.53,0.630198767,2920,-1,2018,antenatal
Makoda,328349.75,29233,6918,0.23665,0.53,0.664761406,2920,-1,2018,antenatal
Makurdi,424018.44,8040,1439,0.17898,0.53,0.434420372,2920,-1,2018,antenatal
Malam Madori,227469.41,31628,7289,0.23046,0.53,0.646183975,2920,-1,2018,antenatal
Malumfashi,260800.18,57966,1622,0.027982,0.53,0.708480769,2920,-1,2018,antenatal
Mangu,406037.13,20428,1752,0.085765,0.53,0.519252565,2920,-1,2018,antenatal
Mani,252311.2,28925,4183,0.144615,0.53,0.64616062,2920,-1,2018,antenatal
Maradun,307704.67,24815,7972,0.321257,0.53,0.703907955,2920,-1,2018,antenatal
Mariga,297876.99,31052,10050,0.323651,0.53,0.639142834,2920,-1,2018,antenatal
