LGA,LGA_old,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use_u,over_eighteen_ITN_use_u,simday,duration,year,mortality_rate,kill_rate,block_initial
Umu-Neochi,Umu-Neochi,Oru West,0.322307169,0.250155965,0.157328531,0.291834654,1095,730,2013,0.436597759,0.489251418,0.53
Umuahia North,Umuahia North,Ngor-Okpala,0.235103634,0.319867179,0.108326612,0.177718592,1095,730,2013,0.451576154,0.501112024,0.53
Umuahia South,Umuahia South,Ngor-Okpala,0.192820345,0.189997097,0.091992685,0.127061142,1095,730,2013,0.48752647,0.528927156,0.53
Demsa,Demsa,Alkaleri,0.090362185,0.056841912,0.057121153,0.070957859,1095,730,2013,0.495212973,0.534738199,0.53
Gireri,Gireri,Darazo,0.13427978,0.084784242,0.09144348,0.107750715,1095,730,2013,0.658506137,0.643299625,0.789677498
Gombi,Gombi,Alkaleri,0.067173779,0.092556107,0.072954227,0.063931069,1095,730,2013,0.515567645,0.54986676,0.568706617
Guyuk,Guyuk,Alkaleri,0.193654611,0.108068521,0.142513203,0.161720199,1095,730,2013,0.571995521,0.58959986,0.675592018
Hong,Hong,Darazo,0.074189843,0.069864757,0.10485619,0.068341553,1095,730,2013,0.634881453,0.629555395,0.763450658
Lamurde,Lamurde,Alkaleri,0.394065889,0.367630962,0.327077612,0.320452808,1095,730,2013,0.429924862,0.483923569,0.53
Mayo-Belwa,Mayo-Belwa,Alkaleri,0.142159426,0.092556107,0.072954227,0.130742973,1095,730,2013,0.615915722,0.618014343,0.739910945
Numan,Numan,Alkaleri,0.142159426,0.092556107,0.072954227,0.130742973,1095,730,2013,0.518273564,0.55184819,0.57454826
Shelleng,Shelleng,Darazo,0.152627634,0.128658193,0.10485619,0.147544119,1095,730,2013,0.58914423,0.600969346,0.702457608
Itu,Itu,Ngor-Okpala,0.316131465,0.255252779,0.210649721,0.265878951,1095,730,2013,0.415010863,0.471929182,0.53
Song,Song,Darazo,0.217825415,0.218083887,0.10485619,0.153609231,1095,730,2013,0.551949619,0.575879905,0.641046694
Yola North,Yola North,Alkaleri,0.232191527,0.178617434,0.231071678,0.169517474,1095,730,2013,0.581884889,0.596198663,0.691373749
Yola South,Yola South,Alkaleri,0.142159426,0.092556107,0.072954227,0.130742973,1095,730,2013,0.57254926,0.589972357,0.676497023
Abak,Abak,Nsit Ubium,0.189708863,0.3641692,0.241507197,0.26381642,1095,730,2013,0.358412263,0.425644469,0.53
Awka North,Awka North,Uzo-Uwani,0.19529155,0.142878873,0.113444634,0.130584972,1095,730,2013,0.388205397,0.450124783,0.53
Eket,Eket,Nsit Ubium,0.140909536,0.125417999,0.1299579,0.111279613,1095,730,2013,0.238612216,0.328021397,0.53
Esit Eket,Esit Eket,Nsit Ubium,0.24719301,0.203997495,0.118923196,0.201219519,1095,730,2013,0.262279676,0.346897657,0.53
Essien Udim,Essien Udim,Ngor-Okpala,0.272035452,0.172139906,0.351861094,0.284907572,1095,730,2013,0.369824263,0.435041855,0.53
Etim Ekpo,Etim Ekpo,Ngor-Okpala,0.316131465,0.255252779,0.210649721,0.265878951,1095,730,2013,0.326319464,0.399175674,0.53
Etinan,Etinan,Nsit Ubium,0.240522452,0.202723667,0.147840213,0.187292517,1095,730,2013,0.271254927,0.35413511,0.53
Ibesikpo Asutan,Ibesikpo Asutan,Nsit Ubium,0.130725197,0.180701458,0.198252065,0.233592099,1095,730,2013,0.364757188,0.430871605,0.53
Ibiono Ibom,Ibiono Ibom,Ngor-Okpala,0.386618785,0.084176943,0.062088367,0.250987513,1095,730,2013,0.383194312,0.446021174,0.53
Ika,Ika,Ngor-Okpala,0.316131465,0.255252779,0.210649721,0.265878951,1095,730,2013,0.281330517,0.36230356,0.53
Ikono,Ikono,Ngor-Okpala,0.316131465,0.255252779,0.210649721,0.265878951,1095,730,2013,0.3504186,0.419053252,0.53
Ikot Abasi,Ikot Abasi,Nsit Ubium,0.344460756,0.337383485,0.33425904,0.371608628,1095,730,2013,0.194063012,0.293529351,0.53
Ikot Ekpene,Ikot Ekpene,Ngor-Okpala,0.263811768,0.138048997,0.239361094,0.209445972,1095,730,2013,0.356519334,0.424084125,0.53
Ini,Ini,Ngor-Okpala,0.115785452,0.162524522,0.202151792,0.34728381,1095,730,2013,0.395911217,0.45642023,0.53
Mkpat Enin,Mkpat Enin,Nsit Ubium,0.240522452,0.202723667,0.147840213,0.187292517,1095,730,2013,0.225930858,0.318051677,0.53
Nsit Atai,Nsit Atai,Nsit Ubium,0.240522452,0.202723667,0.147840213,0.187292517,1095,730,2013,0.243345201,0.331769618,0.53
Nsit Ibom,Nsit Ibom,Nsit Ubium,0.266866164,0.222568505,0.20869528,0.244454506,1095,730,2013,0.357951303,0.425264532,0.53
Nsit Ubium,Nsit Ubium,Nsit Ubium,0.104409408,0.1716692,0.242844096,0.235244991,1095,730,2013,0.247213687,0.334843575,0.53
Awka South,Awka South,Uzo-Uwani,0.057437435,0.078445573,0.113444634,0.026649289,1095,730,2013,0.431794981,0.485419293,0.53
Obot Akara,Obot Akara,Ngor-Okpala,0.196142595,0.183503543,0.15474571,0.309910072,1095,730,2013,0.376065149,0.440171735,0.53
Okobo,Okobo,Nsit Ubium,0.240522452,0.202723667,0.147840213,0.187292517,1095,730,2013,0.269257198,0.352520839,0.53
Onna,Onna,Nsit Ubium,0.240522452,0.202723667,0.147840213,0.187292517,1095,730,2013,0.191877243,0.291878138,0.53
Oruk Anam,Oruk Anam,Nsit Ubium,0.240522452,0.202723667,0.147840213,0.187292517,1095,730,2013,0.312496984,0.387796568,0.53
Ukanafun,Ukanafun,Nsit Ubium,0.351777829,0.118335866,0.097567803,0.261435467,1095,730,2013,0.340679142,0.41101835,0.53
Uruan,Uruan,Nsit Ubium,0.148552022,0.099288247,0.063277532,0.18389364,1095,730,2013,0.401030149,0.460591042,0.53
Urue-Offong-Oruko,Urue-Offong/Oruko,Nsit Ubium,0.090239367,0.202723667,0.115086743,0.152266268,1095,730,2013,0.204236897,0.30126919,0.53
Ayamelum,Ayamelum,Uzo-Uwani,0.098562976,0.113799108,0.046293109,0.097412377,1095,730,2013,0.436497382,0.489171465,0.53
Uyo,Uyo,Nsit Ubium,0.148282857,0.143299605,0.090859781,0.11825512,1095,730,2013,0.399966547,0.459725229,0.53
Aguata,Aguata,Oru West,0.291815235,0.114076697,0.092761173,0.206936189,1095,730,2013,0.454034567,0.503044714,0.53
Anambra East,Anambra East,Uzo-Uwani,0.114090927,0.075521596,0.10761715,0.074603253,1095,730,2013,0.375672105,0.439848897,0.53
Anambra West,Anambra West,Uzo-Uwani,0.19529155,0.142878873,0.113444634,0.130584972,1095,730,2013,0.39176502,0.453035277,0.53
Anaocha,Anaocha,Oru West,0.273483435,0.228912201,0.157328531,0.223012417,1095,730,2013,0.420247823,0.476153753,0.53
Dunukofia,Dunukofia,Uzo-Uwani,0.160467738,0.066368278,0.105236198,0.145191488,1095,730,2013,0.421451191,0.477122595,0.53
Ekwusigo,Ekwusigo,Oru West,0.188439447,0.152721725,0.082139919,0.128672794,1095,730,2013,0.255572543,0.341515837,0.53
Idemili North,Idemili North,Uzo-Uwani,0.045209835,0.126801307,0.041590587,0.072885269,1095,730,2013,0.422797782,0.478205882,0.53
Idemili South,Idemili South,Oru West,0.265367943,0.184281162,0.118571903,0.189983434,1095,730,2013,0.377378695,0.441250403,0.53
Ihiala,Ihiala,Oru West,0.229715513,0.260465087,0.095691376,0.205754399,1095,730,2013,0.199598953,0.297729955,0.53
Njikoka,Njikoka,Uzo-Uwani,0.19529155,0.142878873,0.113444634,0.130584972,1095,730,2013,0.436915256,0.489504274,0.53
Nnewi North,Nnewi North,Oru West,0.322307169,0.250155965,0.157328531,0.291834654,1095,730,2013,0.308642745,0.38462961,0.53
Nnewi South,Nnewi South,Oru West,0.322307169,0.250155965,0.157328531,0.291834654,1095,730,2013,0.303374646,0.380306319,0.53
Ogbaru,Ogbaru,Ahoada West,0.306857007,0.147972194,0.170562798,0.215861402,1095,730,2013,0.230996863,0.322021221,0.53
Onitsha North,Onitsha North,Uzo-Uwani,0.206401525,0.051542574,0.043088767,0.095241689,1095,730,2013,0.382531956,0.445478249,0.53
Onitsha South,Onitsha South,Uzo-Uwani,0.19529155,0.142878873,0.113444634,0.130584972,1095,730,2013,0.368656397,0.434081069,0.53
Orumba North,Orumba North,Oru West,0.174998587,0.371769344,0.161685374,0.238806354,1095,730,2013,0.403508225,0.462606614,0.53
Orumba South,Orumba South,Oru West,0.322307169,0.228912201,0.096028808,0.144660878,1095,730,2013,0.438379079,0.490669288,0.53
Oyi,Oyi,Uzo-Uwani,0.19529155,0.142878873,0.113444634,0.130584972,1095,730,2013,0.387377598,0.449447388,0.53
Alkaleri,Alkaleri,Alkaleri,0.142159426,0.092556107,0.072954227,0.130742973,1095,730,2013,0.570092852,0.588317246,0.672462749
Bauchi,Bauchi,Alkaleri,0.240836405,0.144365565,0.09833089,0.214125614,1095,730,2013,0.627087591,0.624866967,0.754059265
Bogoro,Bogoro,Alkaleri,0.142159426,0.092556107,0.072954227,0.130742973,1095,730,2013,0.578959907,0.594258836,0.686789221
Damban,Damban,Darazo,0.0598679,0.128658193,0.10485619,0.071176285,1095,730,2013,0.81015375,0.714922519,0.898587768
Darazo,Darazo,Darazo,0.152627634,0.128658193,0.10485619,0.147544119,1095,730,2013,0.786253294,0.705476275,0.886610487
Dass,Dass,Alkaleri,0.142159426,0.092556107,0.072954227,0.130742973,1095,730,2013,0.466190501,0.512538393,0.53
Gamawa,Gamawa,Gwarzo,0.122968117,0.076178602,0.053686478,0.080674988,1095,730,2013,0.770682387,0.698966685,0.877968696
Jama'are,Jama'are,Taura,0.24915026,0.150698423,0.123650783,0.229257888,1095,730,2013,0.749263424,0.689541118,0.8648732
Ganjuwa,Ganjuwa,Darazo,0.060945982,0.128658193,0.10485619,0.064528771,1095,730,2013,0.647484501,0.636975276,0.777846808
Giade,Giade,Darazo,0.152627634,0.128658193,0.10485619,0.147544119,1095,730,2013,0.730326034,0.680743195,0.852004738
Itas-Gadau,Itas/Gadau,Taura,0.172878182,0.064294207,0.123650783,0.170716543,1095,730,2013,0.742973977,0.686667971,0.860740455
Katagum,Katagum,Gwarzo,0.07036032,0.09035712,0.077005604,0.067095415,1095,730,2013,0.74547039,0.687814164,0.862397166
Kirfi,Kirfi,Alkaleri,0.142159426,0.092556107,0.072954227,0.130742973,1095,730,2013,0.704749265,0.668154735,0.832458934
Misau,Misau,Darazo,0.095231696,0.119642542,0.106581961,0.1141384,1095,730,2013,0.803277912,0.712271562,0.895292482
Ningi,Ningi,Takali,0.048424662,0.079940551,0.068356696,0.058851777,1095,730,2013,0.6738636,0.651854983,0.805057422
Ukum,Ukum,Keana,0.117672527,0.07680973,0.075247698,0.087716743,1095,730,2013,0.383970395,0.446657171,0.53
Shira,Shira,Takali,0.070102447,0.079940551,0.068356696,0.046681123,1095,730,2013,0.742991291,0.686675947,0.86075202
Tafawa-Balewa,Tafawa-Balewa,Alkaleri,0.138422006,0.070372083,0.053201942,0.115282487,1095,730,2013,0.531148459,0.561175608,0.601298661
Toro,Toro,Giwa,0.224810419,0.100999372,0.08108403,0.246656794,1095,730,2013,0.625332185,0.623800515,0.751890584
Warji,Warji,Takali,0.183162876,0.105919294,0.122782129,0.118896393,1095,730,2013,0.680001753,0.655190649,0.810864418
Zaki,Zaki,Taura,0.24915026,0.150698423,0.123650783,0.229257888,1095,730,2013,0.753604356,0.69149605,0.867647129
Kolokuma-Opokuma,Kolokuma/Opokuma,Ahoada West,0.226223582,0.165199198,0.139191918,0.153946048,1095,730,2013,0.224180225,0.31668418,0.53
Nembe,Nembe,Ahoada West,0.444033537,0.223664621,0.385370674,0.284313181,1095,730,2013,0.273335383,0.35581817,0.53
Ogbia,Ogbia,Ahoada West,0.198230133,0.224709724,0.141840954,0.187375742,1095,730,2013,0.381331283,0.44449378,0.53
Sagbama,Sagbama,Ahoada West,0.226223582,0.165199198,0.139191918,0.153946048,1095,730,2013,0.219154854,0.312771086,0.53
Yenegoa,Yenegoa,Isoko South,0.269529864,0.251035214,0.17673985,0.218832488,1095,730,2013,0.260617689,0.34556186,0.53
Ado,Ado,Akinyele,0.872771503,0.625083451,0.572612935,0.800310235,1095,730,2013,0.357778894,0.425122422,0.53
Agatu,Agatu,Keana,0.37183128,0.14402877,0.216939954,0.420495541,1095,730,2013,0.440507142,0.492360644,0.53
Apa,Apa,Keana,0.238182107,0.145799331,0.12181473,0.201641742,1095,730,2013,0.437711079,0.490137805,0.53
Buruku,Buruku,Keana,0.355356443,0.239281115,0.185145081,0.303913849,1095,730,2013,0.37690999,0.440865552,0.53
Gboko,Gboko,Keana,0.209504114,0.162787028,0.158126397,0.177752109,1095,730,2013,0.325574075,0.398561371,0.53
Guma,Guma,Keana,0.238182107,0.145799331,0.12181473,0.201641742,1095,730,2013,0.365014826,0.431083741,0.53
Gwer East,Gwer East,Oke-Ero,0.485945377,0.34333429,0.240515382,0.376180153,1095,730,2013,0.369333536,0.43463817,0.53
Gwer West,Gwer West,Keana,0.238182107,0.145799331,0.12181473,0.201641742,1095,730,2013,0.423749809,0.478971197,0.53
Katsina-Ala,Katsina-Ala,Keana,0.196609627,0.125264199,0.100612538,0.188574916,1095,730,2013,0.338062239,0.408859386,0.53
Konshisha,Konshisha,Oke-Ero,0.203028386,0.13034638,0.099412398,0.199019428,1095,730,2013,0.393916167,0.45479219,0.53
Logo,Logo,Keana,0.238182107,0.145799331,0.12181473,0.201641742,1095,730,2013,0.41751013,0.473946946,0.53
Makurdi,Makurdi,Keana,0.421003493,0.532917666,0.294360382,0.428181808,1095,730,2013,0.369068798,0.434420372,0.53
Obi1,Obi1,Keana,0.617799832,0.396554029,0.31679628,0.54263964,1095,730,2013,0.390472194,0.451978665,0.53
Ogbadibo,Ogbadibo,Owan East,0.636869122,0.504940762,0.450372227,0.426586062,1095,730,2013,0.336392711,0.407482111,0.53
Ohimini,Ohimini,Akinyele,0.286099483,0.22600444,0.166505839,0.233801174,1095,730,2013,0.349595567,0.418374369,0.53
Oju,Oju,Oke-Ero,0.498618188,0.393573524,0.604336521,0.372608725,1095,730,2013,0.409720848,0.467648858,0.53
Okpokwu,Okpokwu,Akinyele,0.364056824,0.341892345,0.418789566,0.273947445,1095,730,2013,0.347201019,0.416399046,0.53
Oturkpo,Oturkpo,Owan East,0.391857668,0.157927122,0.126324418,0.317308341,1095,730,2013,0.406479871,0.465020433,0.53
Tarka,Tarka,Keana,0.238182107,0.145799331,0.12181473,0.201641742,1095,730,2013,0.339520975,0.410062837,0.53
Ushongo,Ushongo,Oke-Ero,0.203028386,0.13034638,0.099412398,0.199019428,1095,730,2013,0.333533837,0.405123965,0.53
Vandeikya,Vandeikya,Oke-Ero,0.522137352,0.358485805,0.261003187,0.388878566,1095,730,2013,0.384252901,0.446888644,0.53
Askira-Uba,Askira/Uba,Darazo,0.152627634,0.128658193,0.10485619,0.147544119,1095,730,2013,0.666450057,0.647762427,0.797788447
Enugu East,Enugu East,Uzo-Uwani,0.17323361,0.109395399,0.09804512,0.099262212,1095,730,2013,0.392074002,0.453287726,0.53
Bayo,Bayo,Alkaleri,0.142159426,0.092556107,0.072954227,0.130742973,1095,730,2013,0.570036309,0.588279066,0.672369288
Biu,Biu,Darazo,0.152627634,0.128658193,0.10485619,0.147544119,1095,730,2013,0.636944927,0.630783932,0.765873459
Chibok,Chibok,Darazo,0.152627634,0.128658193,0.10485619,0.147544119,1095,730,2013,0.652598314,0.639928775,0.78342144
Damboa,Damboa,Darazo,0.079870713,0.075420843,0.10485619,0.07396082,1095,730,2013,0.695319136,0.663306114,0.824560976
Biase,Biase,Ngor-Okpala,0.316131465,0.255252779,0.210649721,0.265878951,1095,730,2013,0.42094549,0.476715539,0.53
Dikwa,Dikwa,Darazo,0.14437165,0.110567672,0.095436712,0.128317411,1095,730,2013,0.719398758,0.675465,0.843975139
Gubio,Gubio,Gawabawa,0.217784807,0.121779285,0.092354826,0.140120723,1095,730,2013,0.814426994,0.716543356,0.900577617
Jere,Jere,Gawabawa,0.220281761,0.136457277,0.086948738,0.129424417,1095,730,2013,0.753750697,0.691561556,0.867739549
Guzamala,Guzamala,Babura,0.136814341,0.082581536,0.081809499,0.132121167,1095,730,2013,0.777569747,0.701881155,0.881877699
Hawul,Hawul,Darazo,0.152627634,0.128658193,0.10485619,0.147544119,1095,730,2013,0.628168105,0.625521494,0.755384282
Kwaya Kusar,Kwaya Kusar,Alkaleri,0.142159426,0.092556107,0.072954227,0.130742973,1095,730,2013,0.597977668,0.606689636,0.715395685
Enugu North,Enugu North,Uzo-Uwani,0.242887254,0.260024569,0.126522658,0.14903228,1095,730,2013,0.420714903,0.476529889,0.53
Kaga,Kaga,Darazo,0.152627634,0.128658193,0.10485619,0.147544119,1095,730,2013,0.674887541,0.65241475,0.806039237
Mafa,Mafa,Darazo,0.152627634,0.128658193,0.10485619,0.147544119,1095,730,2013,0.71541858,0.673505468,0.840933705
Obudu,Obudu,Obubra,0.390868544,0.337208836,0.226156998,0.337502972,1095,730,2013,0.438167494,0.490500973,0.53
Konduga,Konduga,Darazo,0.152627634,0.128658193,0.10485619,0.072000035,1095,730,2013,0.74032898,0.685445232,0.85896129
Bomadi,Bomadi,Isoko South,0.187225965,0.046269484,0.034904786,0.046056335,1095,730,2013,0.197303754,0.29598519,0.53
Magumeri,Magumeri,Gawabawa,0.217784807,0.121779285,0.092354826,0.140120723,1095,730,2013,0.783011005,0.704144224,0.884868304
Maiduguri,Maiduguri,Darazo,0.32411222,0.276681098,0.193326926,0.253757747,1095,730,2013,0.77182807,0.699455384,0.878628714
Shani,Shani,Alkaleri,0.116288111,0.091233446,0.130496415,0.086386874,1095,730,2013,0.675999756,0.653021266,0.807099703
Abi,Abi,Obubra,0.390868544,0.337208836,0.226156998,0.337502972,1095,730,2013,0.400313882,0.46000802,0.53
Marte,Marte,Babura,0.136814341,0.082581536,0.081809499,0.132121167,1095,730,2013,0.719831894,0.675677048,0.844302287
Nganzai,Nganzai,Gawabawa,0.146390135,0.085548186,0.131393182,0.084754472,1095,730,2013,0.772011267,0.699533384,0.878733887
Bekwara,Bekwara,Oke-Ero,0.203028386,0.13034638,0.099412398,0.199019428,1095,730,2013,0.383264622,0.4460788,0.53
Calabar-Municipal,Calabar-Municipal,Nsit Ubium,0.101777829,0.107224755,0.147840213,0.047440113,1095,730,2013,0.462134621,0.509382696,0.53
Ikom,Ikom,Obubra,0.311326281,0.337208836,0.138052491,0.194227276,1095,730,2013,0.470923114,0.51620494,0.53
Obubra,Obubra,Obubra,0.336187394,0.363146849,0.309088174,0.329261247,1095,730,2013,0.444533155,0.495552804,0.53
Enugu South,Enugu South,Uzo-Uwani,0.369239668,0.237175732,0.113444634,0.124475376,1095,730,2013,0.479661177,0.52292855,0.53
Odukpani,Odukpani,Ngor-Okpala,0.382539433,0.379072215,0.313808222,0.35411753,1095,730,2013,0.447918712,0.498229176,0.53
Ogoja,Ogoja,Obubra,0.390868544,0.337208836,0.226156998,0.337502972,1095,730,2013,0.439863497,0.491849375,0.53
Yakurr,Yakurr,Obubra,0.448528938,0.555128887,0.278802794,0.39418583,1095,730,2013,0.412760432,0.470109825,0.53
Ogbomosho North,Ogbomosho North,Akinyele,0.333641069,0.161498016,0.205053411,0.189920625,1095,730,2013,0.277526963,0.359214893,0.53
Yala,Yala,Oke-Ero,0.237838095,0.223024659,0.134832761,0.254239207,1095,730,2013,0.446939058,0.497455497,0.53
Aniocha North,Aniocha North,Uzo-Uwani,0.117768805,0.119201035,0.039194099,0.079401338,1095,730,2013,0.369401293,0.434693912,0.53
Aniocha South,Aniocha South,Uzo-Uwani,0.19529155,0.142878873,0.113444634,0.130584972,1095,730,2013,0.311595529,0.387055583,0.53
Ibadan South West,Ibadan South West,Owan East,0.073906159,0.160585254,0.12175454,0.0650476,1095,730,2013,0.315354899,0.390146775,0.53
Ethiope East,Ethiope East,Isoko South,0.083757407,0.150649543,0.115841212,0.080571666,1095,730,2013,0.209725367,0.305480359,0.53
Ethiope West,Ethiope West,Isoko South,0.187225965,0.150649543,0.115841212,0.073394632,1095,730,2013,0.342228555,0.412296673,0.53
Ika North East,Ika North East,Uzo-Uwani,0.19529155,0.142878873,0.113444634,0.130584972,1095,730,2013,0.388201078,0.450121249,0.53
Ika South,Ika South,Uzo-Uwani,0.165061617,0.105815581,0.10599492,0.090485891,1095,730,2013,0.37137411,0.436316512,0.53
Isoko North,Isoko North,Isoko South,0.090198631,0.070372021,0.115841212,0.06127342,1095,730,2013,0.19337815,0.293011529,0.53
Ogbomosho South,Ogbomosho South,Akinyele,0.286099483,0.22600444,0.166505839,0.233801174,1095,730,2013,0.343621306,0.413445748,0.53
Isoko South,Isoko South,Isoko South,0.187225965,0.150649543,0.115841212,0.127318215,1095,730,2013,0.162398226,0.270038761,0.53
Ndokwa East,Ndokwa East,Ahoada West,0.226223582,0.165199198,0.139191918,0.153946048,1095,730,2013,0.258105917,0.343545804,0.53
Ndokwa West,Ndokwa West,Isoko South,0.187225965,0.150649543,0.115841212,0.127318215,1095,730,2013,0.26790329,0.351427873,0.53
Okpe,Okpe,Isoko South,0.187225965,0.150649543,0.115841212,0.039176042,1095,730,2013,0.176806986,0.280610706,0.53
Oshimili North,Oshimili North,Uzo-Uwani,0.19529155,0.142878873,0.113444634,0.130584972,1095,730,2013,0.34095855,0.41124887,0.53
Oshimili South,Oshimili South,Uzo-Uwani,0.384277262,0.099813094,0.455236198,0.275519983,1095,730,2013,0.3079518,0.384062211,0.53
Patani,Patani,Isoko South,0.178299318,0.238705354,0.19157096,0.094606753,1095,730,2013,0.156971919,0.266110793,0.53
Sapele,Sapele,Isoko South,0.191091684,0.084496858,0.105564635,0.136858135,1095,730,2013,0.293983111,0.37261735,0.53
Udu,Udu,Isoko South,0.187225965,0.150649543,0.115841212,0.127318215,1095,730,2013,0.132665008,0.24889334,0.53
Ughelli North,Ughelli North,Isoko South,0.099351949,0.117328542,0.076186344,0.096567538,1095,730,2013,0.187814216,0.288820013,0.53
Ughelli South,Ughelli South,Isoko South,0.118148942,0.063705354,0.136015404,0.09100315,1095,730,2013,0.146146999,0.258365504,0.53
Ukwuani,Ukwuani,Uzo-Uwani,0.169991548,0.142878873,0.093331436,0.130584972,1095,730,2013,0.33569314,0.406905033,0.53
Uvwie,Uvwie,Isoko South,0.187225965,0.150649543,0.115841212,0.127318215,1095,730,2013,0.128201894,0.245801456,0.53
Warri South,Warri South,Isoko South,0.111236499,0.150649543,0.049294537,0.061553532,1095,730,2013,0.150613557,0.261546529,0.53
Ohaozara,Ohaozara,Obubra,0.590786632,0.447890352,0.33482849,0.418251684,1095,730,2013,0.422916581,0.478301408,0.53
Abakaliki,Abakaliki,Owan East,0.306294838,0.214154389,0.170651227,0.252413533,1095,730,2013,0.416945424,0.473491294,0.53
Afikpo North,Afikpo North,Oru West,0.4050312,0.262719228,0.312132832,0.345180121,1095,730,2013,0.428193447,0.482537052,0.53
Afikpo South,Afikpo South,Ngor-Okpala,0.316131465,0.255252779,0.210649721,0.265878951,1095,730,2013,0.44733042,0.497764649,0.53
Ebonyi,Ebonyi,Owan East,0.227287028,0.160585254,0.12175454,0.168333993,1095,730,2013,0.429410898,0.483512158,0.53
Ezza North,Ezza North,Owan East,0.344561429,0.137791004,0.294528071,0.204363839,1095,730,2013,0.41226708,0.469710667,0.53
Ezza South,Ezza South,Obubra,0.604493983,0.542099089,0.245130531,0.350257205,1095,730,2013,0.389807073,0.451434864,0.53
Ikwo,Ikwo,Obubra,0.478981268,0.364321312,0.171590516,0.399536052,1095,730,2013,0.39899006,0.45892996,0.53
Ishielu,Ishielu,Owan East,0.21648805,0.213555542,0.097589254,0.174100274,1095,730,2013,0.402215764,0.461555673,0.53
Ivo,Ivo,Ngor-Okpala,0.609365728,0.373704598,0.356229299,0.491029544,1095,730,2013,0.433913174,0.487111038,0.53
Izzi,Izzi,Owan East,0.370202455,0.119703148,0.132911909,0.229975892,1095,730,2013,0.409695434,0.467628265,0.53
Ohaukwu,Ohaukwu,Owan East,0.29924536,0.11146148,0.142621994,0.135356231,1095,730,2013,0.40041459,0.460090005,0.53
Onicha,Onicha,Obubra,0.206172839,0.20376764,0.201018706,0.25054236,1095,730,2013,0.407479271,0.465831417,0.53
Akoko-Edo,Akoko-Edo,Owan East,0.227287028,0.160585254,0.12175454,0.168333993,1095,730,2013,0.304845225,0.381512482,0.53
Egor,Egor,Uzo-Uwani,0.172861589,0.095817945,0.071689312,0.092753378,1095,730,2013,0.42209808,0.477643111,0.53
Esan North East,Esan North East,Uzo-Uwani,0.382689961,0.064556684,0.175749019,0.192250312,1095,730,2013,0.339061878,0.409684078,0.53
Esan Central,Esan Central,Owan East,0.270573995,0.097209843,0.087226327,0.187124636,1095,730,2013,0.34342137,0.413280793,0.53
Esan South East,Esan South East,Uzo-Uwani,0.484277262,0.588107409,0.277222014,0.378682949,1095,730,2013,0.404971726,0.463795838,0.53
Esan West,Esan West,Uzo-Uwani,0.251082237,0.127541906,0.063801049,0.1730796,1095,730,2013,0.366421113,0.432241487,0.53
Etsako Central,Etsako Central,Owan East,0.221079648,0.146679892,0.135437162,0.252076258,1095,730,2013,0.300181787,0.377689484,0.53
Etsako East,Etsako East,Owan East,0.57533066,0.421416735,0.570820406,0.496671532,1095,730,2013,0.314825995,0.389711717,0.53
Etsako West,Etsako West,Owan East,0.227287028,0.160585254,0.12175454,0.168333993,1095,730,2013,0.290127246,0.36946828,0.53
Igueben,Igueben,Uzo-Uwani,0.19529155,0.142878873,0.113444634,0.130584972,1095,730,2013,0.415233246,0.472108841,0.53
Ikpoba-Okha,Ikpoba-Okha,Uzo-Uwani,0.042083351,0.049793406,0.085455961,0.074867875,1095,730,2013,0.323305427,0.396692086,0.53
Aninri,Aninri,Oru West,0.322307169,0.250155965,0.157328531,0.291834654,1095,730,2013,0.430439768,0.484335586,0.53
Oredo,Oredo,Uzo-Uwani,0.234030957,0.180784754,0.074534444,0.238001946,1095,730,2013,0.382076571,0.445104909,0.53
Orhionmwon,Orhionmwon,Uzo-Uwani,0.345316223,0.24511224,0.101902865,0.111017819,1095,730,2013,0.335936711,0.407105953,0.53
Ovia North East,Ovia North East,Owan East,0.196869122,0.160013226,0.146800798,0.183448807,1095,730,2013,0.337624396,0.408498179,0.53
Ovia South West,Ovia South West,Akinyele,0.55246987,0.506231762,0.315992291,0.44066977,1095,730,2013,0.363545715,0.429873962,0.53
Owan East,Owan East,Owan East,0.099369122,0.151679892,0.136086512,0.116473702,1095,730,2013,0.315089802,0.389928709,0.53
Owan West,Owan West,Owan East,0.127778213,0.100753967,0.078943655,0.146151279,1095,730,2013,0.389346565,0.451058274,0.53
Uhunmwonde,Uhunmwonde,Owan East,0.227287028,0.160585254,0.12175454,0.168333993,1095,730,2013,0.3888156,0.450623986,0.53
Ado Ekiti,Ado Ekiti,Owan East,0.268525881,0.155027165,0.081328653,0.171768921,1095,730,2013,0.357399296,0.424809523,0.53
Efon-Alayee,Efon-Alayee,Oke-Ero,0.256554696,0.215628662,0.046003187,0.114404092,1095,730,2013,0.32342441,0.396790109,0.53
Ekiti East,Ekiti East,Oke-Ero,0.265693481,0.208167689,0.139653248,0.220895418,1095,730,2013,0.342294717,0.412351259,0.53
Ekiti South West,Ekiti South West,Oke-Ero,0.188095273,0.115304415,0.203272277,0.227085465,1095,730,2013,0.434979733,0.487961894,0.53
Awgu,Awgu,Oru West,0.288220013,0.128913619,0.148002092,0.190253571,1095,730,2013,0.428474781,0.482762456,0.53
Ekiti West,Ekiti West,Oke-Ero,0.241140814,0.219350746,0.105738211,0.238800768,1095,730,2013,0.332828195,0.404541983,0.53
