"","LGA","p_test","se","Number of Participants"
"211","Gboko",0.0923308723876178,0.060288202714223,33
"212","Gboyin",0.121904785857955,0.0687059836446119,7
"213","Gezawa",0,0,6
"214","Giade",0.6,8.32667268468868e-17,5
"215","Gireri",0.234505832118814,0.0594399384859599,5
"216","Giwa",0.408827140657248,0.0463140025145965,34
"217","Gokana",0.286118112049415,0.11520067281199,11
"218","Gombe",0.0480446903433287,0.0291008161878035,18
"219","Gombi",0.411287769303668,0.235972492462102,13
"220","Goronyo",0,0,1
"221","Gubio",0,0,4
"222","Guma",0.156479199434325,0.0840662744602807,8
"223","Gumel",0.333333333333333,2.77555756156289e-17,5
"224","Gummi",0.862244929126209,0.107531784542283,27
"225","Gusau",0,0,34
"226","Guyuk",0.314861453391908,0.168277372722426,25
"227","Gwagwalada",0.143350009213095,0.0428613080293072,9
"228","Gwale",0,0,16
"229","Gwandu",0.857142857142857,5.55111512312578e-17,7
"230","Gwaram",0.382572533536789,0.212300412781914,20
"231","Gwarzo",0.6,1.38777878078145e-17,10
"232","Gwer East",0,0,2
"233","Gwer West",0.222222222222222,0,15
"234","Gwiwa",0.357142857142857,3.12250225675826e-17,15
"235","Hawul",0.182044888269685,0.0119562465729556,5
"236","Hong",0.6,5.55111512312579e-17,4
"237","Ibadan North",0.244662802678956,0.155695852353304,17
"238","Ibadan North East",0.8,7.63278329429795e-17,7
"239","Ibadan North West",0.190478321138707,0.0647014052540309,65
"240","Ibadan South West",0.0577747603184667,0.0490762142837228,15
"241","Ibaji",0,0,3
"242","Ibarapa Central",0.136251541143982,0.00588609709353014,23
"243","Ibeju/Lekki",0.142857142857143,2.08166817117217e-17,12
"244","Ibiono Ibom",0.27244580138439,0.0790411855214357,5
"245","Ideato North",0,0,18
"246","Ideato South",0,0,1
"247","Idemili North",0.0763358726487096,0.0715583789214192,47
"248","Idemili South",0,0,32
"249","Ido",0.0874680287518128,0.0707899973685449,15
"250","Idosi-Osi",0.159025007797736,0.0732708388966244,11
"251","Ifako-Ijaye",0,0,30
"252","Ife Central",0.627906976744186,0.336710796102855,4
"253","Ife East",0,0,5
"254","Ife North",0.128602159300113,0.0661627500693609,7
"255","Ifedayo",0.5,0,6
"256","Ifedore",0.47185996652892,0.0933270429504171,4
