LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases,start_day_override
Etsako West,Owan East,NA,0.345913578,0.345913578,196,154,2020,2,0.8,1
Etsako West,Owan East,NA,0.425863406,0.425863406,350,212,2021,3,0.49,1
Etsako West,Owan East,NA,0.8,0.8,562,154,2021,4,0.539,1
Etsako West,Owan East,NA,0.8,0.8,716,202,2022,5,0.588,1
Etsako West,Owan East,NA,0.8,0.8,918,159,2022,6,0.637,1
Etsako West,Owan East,NA,0.8,0.8,1077,219,2023,7,0.686,1
Etsako West,Owan East,NA,0.8,0.8,1296,136,2023,8,0.735,1
Etsako West,Owan East,NA,0.8,0.8,1432,218,2024,9,0.784,1
Etsako West,Owan East,NA,0.8,0.8,1650,151,2024,10,0.8,1
Etsako West,Owan East,NA,0.8,0.8,1801,185,2025,11,0.8,1
Etsako West,Owan East,NA,0.8,0.8,1986,183,2025,12,0.8,1
Etung,Obubra,NA,0.2,0.2,0,196,2020,1,0.8,1
Etung,Obubra,NA,0.4305,0.4305,196,154,2020,2,0.8,1
Etung,Obubra,NA,0.43672,0.43672,350,212,2021,3,0.8,1
Etung,Obubra,NA,0.65698,0.65698,562,154,2021,4,0.49,1
Etung,Obubra,NA,0.66528,0.66528,716,202,2022,5,0.539,1
Etung,Obubra,NA,0.67362,0.67362,918,159,2022,6,0.588,1
Etung,Obubra,NA,0.8,0.8,1077,219,2023,7,0.637,1
Etung,Obubra,NA,0.8,0.8,1296,136,2023,8,0.686,1
Etung,Obubra,NA,0.8,0.8,1432,218,2024,9,0.735,1
Etung,Obubra,NA,0.8,0.8,1650,151,2024,10,0.784,1
Etung,Obubra,NA,0.8,0.8,1801,185,2025,11,0.8,1
Etung,Obubra,NA,0.8,0.8,1986,183,2025,12,0.8,1
Ewekoro,Uzo-Uwani,NA,0.420192485,0.420192485,0,196,2020,1,0.8,1
Ewekoro,Uzo-Uwani,NA,0.441202109,0.441202109,196,154,2020,2,0.8,1
Ewekoro,Uzo-Uwani,NA,0.445404034,0.445404034,350,212,2021,3,0.8,1
Ewekoro,Uzo-Uwani,NA,0.449605959,0.449605959,562,154,2021,4,0.8,1
Ewekoro,Uzo-Uwani,NA,0.453807884,0.453807884,716,202,2022,5,0.49,1
Ewekoro,Uzo-Uwani,NA,0.458009809,0.458009809,918,159,2022,6,0.539,1
Ewekoro,Uzo-Uwani,NA,0.462211734,0.462211734,1077,219,2023,7,0.588,1
Ewekoro,Uzo-Uwani,NA,0.470615583,0.470615583,1296,136,2023,8,0.637,1
Ewekoro,Uzo-Uwani,NA,0.630288728,0.630288728,1432,218,2024,9,0.686,1
Ewekoro,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,10,0.735,1
Ewekoro,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,11,0.784,1
Ewekoro,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,12,0.8,1
Ezeagu,Uzo-Uwani,NA,0.434581511,0.434581511,0,196,2020,1,0.8,1
Ezeagu,Uzo-Uwani,NA,0.456310587,0.456310587,196,154,2020,2,0.8,1
Ezeagu,Uzo-Uwani,NA,0.460656402,0.460656402,350,212,2021,3,0.8,1
Ezeagu,Uzo-Uwani,NA,0.465002217,0.465002217,562,154,2021,4,0.8,1
Ezeagu,Uzo-Uwani,NA,0.469348032,0.469348032,716,202,2022,5,0.8,1
Ezeagu,Uzo-Uwani,NA,0.473693847,0.473693847,918,159,2022,6,0.49,1
Ezeagu,Uzo-Uwani,NA,0.478039662,0.478039662,1077,219,2023,7,0.539,1
Ezeagu,Uzo-Uwani,NA,0.486731292,0.486731292,1296,136,2023,8,0.588,1
Ezeagu,Uzo-Uwani,NA,0.651872267,0.651872267,1432,218,2024,9,0.637,1
Ezeagu,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,10,0.686,1
Ezeagu,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,11,0.735,1
Ezeagu,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,12,0.784,1
Ezinihitte,Ngor-Okpala,NA,0.388958352,0.388958352,0,196,2020,1,0.8,1
Ezinihitte,Ngor-Okpala,NA,0.40840627,0.40840627,196,154,2020,2,0.8,1
Ezinihitte,Ngor-Okpala,NA,0.412295853,0.412295853,350,212,2021,3,0.8,1
Ezinihitte,Ngor-Okpala,NA,0.416185437,0.416185437,562,154,2021,4,0.8,1
Ezinihitte,Ngor-Okpala,NA,0.42007502,0.42007502,716,202,2022,5,0.8,1
Ezinihitte,Ngor-Okpala,NA,0.423964604,0.423964604,918,159,2022,6,0.8,1
Ezinihitte,Ngor-Okpala,NA,0.427854187,0.427854187,1077,219,2023,7,0.49,1
Ezinihitte,Ngor-Okpala,NA,0.435633354,0.435633354,1296,136,2023,8,0.539,1
Ezinihitte,Ngor-Okpala,NA,0.583437528,0.583437528,1432,218,2024,9,0.588,1
Ezinihitte,Ngor-Okpala,NA,0.777916704,0.777916704,1650,151,2024,10,0.637,1
Ezinihitte,Ngor-Okpala,NA,0.8,0.8,1801,185,2025,11,0.686,1
Ezinihitte,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,12,0.735,1
Ezza North,Owan East,NA,0.19047619,0.19047619,0,196,2020,1,0.784,1
Ezza North,Owan East,NA,0.409999999,0.409999999,196,154,2020,2,0.8,1
Ezza North,Owan East,NA,0.415923808,0.415923808,350,212,2021,3,0.8,1
Ezza North,Owan East,NA,0.625695237,0.625695237,562,154,2021,4,0.8,1
Ezza North,Owan East,NA,0.633599998,0.633599998,716,202,2022,5,0.8,1
Ezza North,Owan East,NA,0.641542856,0.641542856,918,159,2022,6,0.8,1
Ezza North,Owan East,NA,0.8,0.8,1077,219,2023,7,0.8,1
Ezza North,Owan East,NA,0.8,0.8,1296,136,2023,8,0.49,1
Ezza North,Owan East,NA,0.8,0.8,1432,218,2024,9,0.539,1
Ezza North,Owan East,NA,0.8,0.8,1650,151,2024,10,0.588,1
Ezza North,Owan East,NA,0.8,0.8,1801,185,2025,11,0.637,1
Ezza North,Owan East,NA,0.8,0.8,1986,183,2025,12,0.686,1
Ezza South,Obubra,NA,0.478845956,0.478845956,0,196,2020,1,0.735,1
Ezza South,Obubra,NA,0.502788254,0.502788254,196,154,2020,2,0.784,1
Ezza South,Obubra,NA,0.507576713,0.507576713,350,212,2021,3,0.8,1
Ezza South,Obubra,NA,0.512365173,0.512365173,562,154,2021,4,0.8,1
Ezza South,Obubra,NA,0.517153632,0.517153632,716,202,2022,5,0.8,1
Ezza South,Obubra,NA,0.521942092,0.521942092,918,159,2022,6,0.8,1
Ezza South,Obubra,NA,0.526730552,0.526730552,1077,219,2023,7,0.8,1
Ezza South,Obubra,NA,0.536307471,0.536307471,1296,136,2023,8,0.8,1
Ezza South,Obubra,NA,0.718268934,0.718268934,1432,218,2024,9,0.49,1
Ezza South,Obubra,NA,0.8,0.8,1650,151,2024,10,0.539,1
Ezza South,Obubra,NA,0.8,0.8,1801,185,2025,11,0.588,1
Ezza South,Obubra,NA,0.8,0.8,1986,183,2025,12,0.637,1
Fagge,Alkaleri,NA,0.234127553,0.234127553,0,196,2020,1,0.686,1
Fagge,Alkaleri,NA,0.503959558,0.503959558,196,154,2020,2,0.735,1
Fagge,Alkaleri,NA,0.511240925,0.511240925,350,212,2021,3,0.784,1
Fagge,Alkaleri,NA,0.769085599,0.769085599,562,154,2021,4,0.8,1
Fagge,Alkaleri,NA,0.778801892,0.778801892,716,202,2022,5,0.8,1
Fagge,Alkaleri,NA,0.788565011,0.788565011,918,159,2022,6,0.8,1
Fagge,Alkaleri,NA,0.8,0.8,1077,219,2023,7,0.8,1
Fagge,Alkaleri,NA,0.8,0.8,1296,136,2023,8,0.8,1
Fagge,Alkaleri,NA,0.8,0.8,1432,218,2024,9,0.8,1
Fagge,Alkaleri,NA,0.8,0.8,1650,151,2024,10,0.49,1
Fagge,Alkaleri,NA,0.8,0.8,1801,185,2025,11,0.539,1
Fagge,Alkaleri,NA,0.8,0.8,1986,183,2025,12,0.588,1
Fakai,Birnin Kebbi,NA,0.666666667,0.666666667,0,196,2020,1,0.637,1
Fakai,Birnin Kebbi,NA,0.7,0.7,196,154,2020,2,0.686,1
Fakai,Birnin Kebbi,NA,0.706666667,0.706666667,350,212,2021,3,0.735,1
Fakai,Birnin Kebbi,NA,0.713333334,0.713333334,562,154,2021,4,0.784,1
Fakai,Birnin Kebbi,NA,0.72,0.72,716,202,2022,5,0.8,1
Fakai,Birnin Kebbi,NA,0.726666667,0.726666667,918,159,2022,6,0.8,1
Fakai,Birnin Kebbi,NA,0.733333334,0.733333334,1077,219,2023,7,0.8,1
Fakai,Birnin Kebbi,NA,0.746666667,0.746666667,1296,136,2023,8,0.8,1
Fakai,Birnin Kebbi,NA,0.8,0.8,1432,218,2024,9,0.8,1
Fakai,Birnin Kebbi,NA,0.8,0.8,1650,151,2024,10,0.8,1
Fakai,Birnin Kebbi,NA,0.8,0.8,1801,185,2025,11,0.49,1
Fakai,Birnin Kebbi,NA,0.8,0.8,1986,183,2025,12,0.539,1
Faskari,Giwa,NA,0.130508332,0.130508332,0,196,2020,1,0.588,1
Faskari,Giwa,NA,0.561838369,0.561838369,196,154,2020,2,0.637,1
Faskari,Giwa,NA,0.69169416,0.69169416,350,212,2021,3,0.686,1
Faskari,Giwa,NA,0.8,0.8,562,154,2021,4,0.735,1
Faskari,Giwa,NA,0.8,0.8,716,202,2022,5,0.784,1
Faskari,Giwa,NA,0.8,0.8,918,159,2022,6,0.8,1
Faskari,Giwa,NA,0.8,0.8,1077,219,2023,7,0.8,1
Faskari,Giwa,NA,0.8,0.8,1296,136,2023,8,0.8,1
Faskari,Giwa,NA,0.8,0.8,1432,218,2024,9,0.8,1
Faskari,Giwa,NA,0.8,0.8,1650,151,2024,10,0.8,1
Faskari,Giwa,NA,0.8,0.8,1801,185,2025,11,0.8,1
Faskari,Giwa,NA,0.8,0.8,1986,183,2025,12,0.49,1
Fika,Darazo,NA,0.095238095,0.095238095,0,196,2020,1,0.539,1
Fika,Darazo,NA,0.409999999,0.409999999,196,154,2020,2,0.588,1
Fika,Darazo,NA,0.504761904,0.504761904,350,212,2021,3,0.637,1
Fika,Darazo,NA,0.8,0.8,562,154,2021,4,0.686,1
Fika,Darazo,NA,0.8,0.8,716,202,2022,5,0.735,1
Fika,Darazo,NA,0.8,0.8,918,159,2022,6,0.784,1
Fika,Darazo,NA,0.8,0.8,1077,219,2023,7,0.8,1
Fika,Darazo,NA,0.8,0.8,1296,136,2023,8,0.8,1
Fika,Darazo,NA,0.8,0.8,1432,218,2024,9,0.8,1
Fika,Darazo,NA,0.8,0.8,1650,151,2024,10,0.8,1
Fika,Darazo,NA,0.8,0.8,1801,185,2025,11,0.8,1
Fika,Darazo,NA,0.8,0.8,1986,183,2025,12,0.8,1
Fufore,Alkaleri,NA,0.139280114,0.139280114,0,196,2020,1,0.49,1
Fufore,Alkaleri,NA,0.292488239,0.292488239,196,154,2020,2,0.539,1
Fufore,Alkaleri,NA,0.738184604,0.738184604,350,212,2021,3,0.588,1
Fufore,Alkaleri,NA,0.8,0.8,562,154,2021,4,0.637,1
Fufore,Alkaleri,NA,0.8,0.8,716,202,2022,5,0.686,1
Fufore,Alkaleri,NA,0.8,0.8,918,159,2022,6,0.735,1
Fufore,Alkaleri,NA,0.8,0.8,1077,219,2023,7,0.784,1
Fufore,Alkaleri,NA,0.8,0.8,1296,136,2023,8,0.8,1
Fufore,Alkaleri,NA,0.8,0.8,1432,218,2024,9,0.8,1
Fufore,Alkaleri,NA,0.8,0.8,1650,151,2024,10,0.8,1
Fufore,Alkaleri,NA,0.8,0.8,1801,185,2025,11,0.8,1
Fufore,Alkaleri,NA,0.8,0.8,1986,183,2025,12,0.8,1
Funakaye,Alkaleri,NA,0.045454545,0.045454545,0,196,2020,1,0.8,1
Funakaye,Alkaleri,NA,0.09090909,0.09090909,196,154,2020,2,0.49,1
Funakaye,Alkaleri,NA,0.496272722,0.496272722,350,212,2021,3,0.539,1
Funakaye,Alkaleri,NA,0.729545447,0.729545447,562,154,2021,4,0.588,1
Funakaye,Alkaleri,NA,0.8,0.8,716,202,2022,5,0.637,1
Funakaye,Alkaleri,NA,0.8,0.8,918,159,2022,6,0.686,1
Funakaye,Alkaleri,NA,0.8,0.8,1077,219,2023,7,0.735,1
Funakaye,Alkaleri,NA,0.8,0.8,1296,136,2023,8,0.784,1
Funakaye,Alkaleri,NA,0.8,0.8,1432,218,2024,9,0.8,1
Funakaye,Alkaleri,NA,0.8,0.8,1650,151,2024,10,0.8,1
Funakaye,Alkaleri,NA,0.8,0.8,1801,185,2025,11,0.8,1
Funakaye,Alkaleri,NA,0.8,0.8,1986,183,2025,12,0.8,1
Fune,Darazo,NA,0.03153893,0.03153893,0,196,2020,1,0.8,1
Fune,Darazo,NA,0.06307786,0.06307786,196,154,2020,2,0.8,1
Fune,Darazo,NA,0.344342038,0.344342038,350,212,2021,3,0.49,1
Fune,Darazo,NA,0.506199827,0.506199827,562,154,2021,4,0.539,1
Fune,Darazo,NA,0.681240888,0.681240888,716,202,2022,5,0.588,1
Fune,Darazo,NA,0.8,0.8,918,159,2022,6,0.637,1
Fune,Darazo,NA,0.8,0.8,1077,219,2023,7,0.686,1
Fune,Darazo,NA,0.8,0.8,1296,136,2023,8,0.735,1
Fune,Darazo,NA,0.8,0.8,1432,218,2024,9,0.784,1
Fune,Darazo,NA,0.8,0.8,1650,151,2024,10,0.8,1
Fune,Darazo,NA,0.8,0.8,1801,185,2025,11,0.8,1
Fune,Darazo,NA,0.8,0.8,1986,183,2025,12,0.8,1
Funtua,Gwarzo,NA,0.172172547,0.172172547,0,196,2020,1,0.8,1
Funtua,Gwarzo,NA,0.370601407,0.370601407,196,154,2020,2,0.8,1
Funtua,Gwarzo,NA,0.375955974,0.375955974,350,212,2021,3,0.8,1
Funtua,Gwarzo,NA,0.5655696,0.5655696,562,154,2021,4,0.49,1
Funtua,Gwarzo,NA,0.57271476,0.57271476,716,202,2022,5,0.539,1
Funtua,Gwarzo,NA,0.579894356,0.579894356,918,159,2022,6,0.588,1
Funtua,Gwarzo,NA,0.776498187,0.776498187,1077,219,2023,7,0.637,1
Funtua,Gwarzo,NA,0.794473001,0.794473001,1296,136,2023,8,0.686,1
Funtua,Gwarzo,NA,0.8,0.8,1432,218,2024,9,0.735,1
Funtua,Gwarzo,NA,0.8,0.8,1650,151,2024,10,0.784,1
Funtua,Gwarzo,NA,0.8,0.8,1801,185,2025,11,0.8,1
Funtua,Gwarzo,NA,0.8,0.8,1986,183,2025,12,0.8,1
Gabasawa,Taura,NA,0.174928041,0.174928041,0,196,2020,1,0.8,1
Gabasawa,Taura,NA,0.376532608,0.376532608,196,154,2020,2,0.8,1
Gabasawa,Taura,NA,0.38197287,0.38197287,350,212,2021,3,0.8,1
Gabasawa,Taura,NA,0.574621122,0.574621122,562,154,2021,4,0.8,1
Gabasawa,Taura,NA,0.581880636,0.581880636,716,202,2022,5,0.49,1
Gabasawa,Taura,NA,0.589175135,0.589175135,918,159,2022,6,0.539,1
Gabasawa,Taura,NA,0.788925465,0.788925465,1077,219,2023,7,0.588,1
Gabasawa,Taura,NA,0.8,0.8,1296,136,2023,8,0.637,1
Gabasawa,Taura,NA,0.8,0.8,1432,218,2024,9,0.686,1
Gabasawa,Taura,NA,0.8,0.8,1650,151,2024,10,0.735,1
Gabasawa,Taura,NA,0.8,0.8,1801,185,2025,11,0.784,1
Gabasawa,Taura,NA,0.8,0.8,1986,183,2025,12,0.8,1
Gada,Gawabawa,NA,0.106631444,0.106631444,0,196,2020,1,0.8,1
Gada,Gawabawa,NA,0.459048366,0.459048366,196,154,2020,2,0.8,1
Gada,Gawabawa,NA,0.565146653,0.565146653,350,212,2021,3,0.8,1
Gada,Gawabawa,NA,0.8,0.8,562,154,2021,4,0.8,1
Gada,Gawabawa,NA,0.8,0.8,716,202,2022,5,0.8,1
Gada,Gawabawa,NA,0.8,0.8,918,159,2022,6,0.49,1
Gada,Gawabawa,NA,0.8,0.8,1077,219,2023,7,0.539,1
Gada,Gawabawa,NA,0.8,0.8,1296,136,2023,8,0.588,1
Gada,Gawabawa,NA,0.8,0.8,1432,218,2024,9,0.637,1
Gada,Gawabawa,NA,0.8,0.8,1650,151,2024,10,0.686,1
Gada,Gawabawa,NA,0.8,0.8,1801,185,2025,11,0.735,1
Gada,Gawabawa,NA,0.8,0.8,1986,183,2025,12,0.784,1
Gagarawa,Taura,NA,0.174928041,0.174928041,0,196,2020,1,0.8,1
Gagarawa,Taura,NA,0.376532608,0.376532608,196,154,2020,2,0.8,1
Gagarawa,Taura,NA,0.38197287,0.38197287,350,212,2021,3,0.8,1
Gagarawa,Taura,NA,0.574621122,0.574621122,562,154,2021,4,0.8,1
Gagarawa,Taura,NA,0.581880636,0.581880636,716,202,2022,5,0.8,1
Gagarawa,Taura,NA,0.589175135,0.589175135,918,159,2022,6,0.8,1
Gagarawa,Taura,NA,0.788925465,0.788925465,1077,219,2023,7,0.49,1
Gagarawa,Taura,NA,0.8,0.8,1296,136,2023,8,0.539,1
Gagarawa,Taura,NA,0.8,0.8,1432,218,2024,9,0.588,1
Gagarawa,Taura,NA,0.8,0.8,1650,151,2024,10,0.637,1
Gagarawa,Taura,NA,0.8,0.8,1801,185,2025,11,0.686,1
Gagarawa,Taura,NA,0.8,0.8,1986,183,2025,12,0.735,1
Gamawa,Gwarzo,NA,0.172172547,0.172172547,0,196,2020,1,0.784,1
Gamawa,Gwarzo,NA,0.370601407,0.370601407,196,154,2020,2,0.8,1
Gamawa,Gwarzo,NA,0.375955974,0.375955974,350,212,2021,3,0.8,1
Gamawa,Gwarzo,NA,0.5655696,0.5655696,562,154,2021,4,0.8,1
Gamawa,Gwarzo,NA,0.57271476,0.57271476,716,202,2022,5,0.8,1
Gamawa,Gwarzo,NA,0.579894356,0.579894356,918,159,2022,6,0.8,1
Gamawa,Gwarzo,NA,0.776498187,0.776498187,1077,219,2023,7,0.8,1
Gamawa,Gwarzo,NA,0.794473001,0.794473001,1296,136,2023,8,0.49,1
Gamawa,Gwarzo,NA,0.8,0.8,1432,218,2024,9,0.539,1
Gamawa,Gwarzo,NA,0.8,0.8,1650,151,2024,10,0.588,1
Gamawa,Gwarzo,NA,0.8,0.8,1801,185,2025,11,0.637,1
Gamawa,Gwarzo,NA,0.8,0.8,1986,183,2025,12,0.686,1
Ganaye,Alkaleri,NA,0.234127553,0.234127553,0,196,2020,1,0.735,1
Ganaye,Alkaleri,NA,0.503959558,0.503959558,196,154,2020,2,0.784,1
Ganaye,Alkaleri,NA,0.511240925,0.511240925,350,212,2021,3,0.8,1
Ganaye,Alkaleri,NA,0.769085599,0.769085599,562,154,2021,4,0.8,1
Ganaye,Alkaleri,NA,0.778801892,0.778801892,716,202,2022,5,0.8,1
Ganaye,Alkaleri,NA,0.788565011,0.788565011,918,159,2022,6,0.8,1
Ganaye,Alkaleri,NA,0.8,0.8,1077,219,2023,7,0.8,1
Ganaye,Alkaleri,NA,0.8,0.8,1296,136,2023,8,0.8,1
Ganaye,Alkaleri,NA,0.8,0.8,1432,218,2024,9,0.49,1
Ganaye,Alkaleri,NA,0.8,0.8,1650,151,2024,10,0.539,1
Ganaye,Alkaleri,NA,0.8,0.8,1801,185,2025,11,0.588,1
Ganaye,Alkaleri,NA,0.8,0.8,1986,183,2025,12,0.637,1
Ganjuwa,Darazo,NA,0.101826237,0.101826237,0,196,2020,1,0.686,1
Ganjuwa,Darazo,NA,0.43836195,0.43836195,196,154,2020,2,0.735,1
Ganjuwa,Darazo,NA,0.539679056,0.539679056,350,212,2021,3,0.784,1
Ganjuwa,Darazo,NA,0.8,0.8,562,154,2021,4,0.8,1
Ganjuwa,Darazo,NA,0.8,0.8,716,202,2022,5,0.8,1
Ganjuwa,Darazo,NA,0.8,0.8,918,159,2022,6,0.8,1
Ganjuwa,Darazo,NA,0.8,0.8,1077,219,2023,7,0.8,1
Ganjuwa,Darazo,NA,0.8,0.8,1296,136,2023,8,0.8,1
Ganjuwa,Darazo,NA,0.8,0.8,1432,218,2024,9,0.8,1
Ganjuwa,Darazo,NA,0.8,0.8,1650,151,2024,10,0.49,1
Ganjuwa,Darazo,NA,0.8,0.8,1801,185,2025,11,0.539,1
Ganjuwa,Darazo,NA,0.8,0.8,1986,183,2025,12,0.588,1
Garki,Babura,NA,0.666666667,0.666666667,0,196,2020,1,0.637,1
Garki,Babura,NA,0.7,0.7,196,154,2020,2,0.686,1
Garki,Babura,NA,0.706666667,0.706666667,350,212,2021,3,0.735,1
Garki,Babura,NA,0.713333334,0.713333334,562,154,2021,4,0.784,1
Garki,Babura,NA,0.72,0.72,716,202,2022,5,0.8,1
Garki,Babura,NA,0.726666667,0.726666667,918,159,2022,6,0.8,1
Garki,Babura,NA,0.733333334,0.733333334,1077,219,2023,7,0.8,1
Garki,Babura,NA,0.746666667,0.746666667,1296,136,2023,8,0.8,1
Garki,Babura,NA,0.8,0.8,1432,218,2024,9,0.8,1
Garki,Babura,NA,0.8,0.8,1650,151,2024,10,0.8,1
Garki,Babura,NA,0.8,0.8,1801,185,2025,11,0.49,1
Garki,Babura,NA,0.8,0.8,1986,183,2025,12,0.539,1
Garko,Gwarzo,NA,0.172172547,0.172172547,0,196,2020,1,0.588,1
Garko,Gwarzo,NA,0.370601407,0.370601407,196,154,2020,2,0.637,1
Garko,Gwarzo,NA,0.375955974,0.375955974,350,212,2021,3,0.686,1
Garko,Gwarzo,NA,0.5655696,0.5655696,562,154,2021,4,0.735,1
Garko,Gwarzo,NA,0.57271476,0.57271476,716,202,2022,5,0.784,1
Garko,Gwarzo,NA,0.579894356,0.579894356,918,159,2022,6,0.8,1
Garko,Gwarzo,NA,0.776498187,0.776498187,1077,219,2023,7,0.8,1
Garko,Gwarzo,NA,0.794473001,0.794473001,1296,136,2023,8,0.8,1
Garko,Gwarzo,NA,0.8,0.8,1432,218,2024,9,0.8,1
Garko,Gwarzo,NA,0.8,0.8,1650,151,2024,10,0.8,1
Garko,Gwarzo,NA,0.8,0.8,1801,185,2025,11,0.8,1
Garko,Gwarzo,NA,0.8,0.8,1986,183,2025,12,0.49,1
Garum Mallam,Gwarzo,NA,0.153846154,0.153846154,0,196,2020,1,0.539,1
Garum Mallam,Gwarzo,NA,0.323076923,0.323076923,196,154,2020,2,0.588,1
Garum Mallam,Gwarzo,NA,0.8,0.8,350,212,2021,3,0.637,1
Garum Mallam,Gwarzo,NA,0.8,0.8,562,154,2021,4,0.686,1
Garum Mallam,Gwarzo,NA,0.8,0.8,716,202,2022,5,0.735,1
Garum Mallam,Gwarzo,NA,0.8,0.8,918,159,2022,6,0.784,1
Garum Mallam,Gwarzo,NA,0.8,0.8,1077,219,2023,7,0.8,1
Garum Mallam,Gwarzo,NA,0.8,0.8,1296,136,2023,8,0.8,1
Garum Mallam,Gwarzo,NA,0.8,0.8,1432,218,2024,9,0.8,1
Garum Mallam,Gwarzo,NA,0.8,0.8,1650,151,2024,10,0.8,1
Garum Mallam,Gwarzo,NA,0.8,0.8,1801,185,2025,11,0.8,1
Garum Mallam,Gwarzo,NA,0.8,0.8,1986,183,2025,12,0.8,1
Gashaka,Oru West,NA,0.411077428,0.411077428,0,196,2020,1,0.49,1
Gashaka,Oru West,NA,0.431631299,0.431631299,196,154,2020,2,0.539,1
Gashaka,Oru West,NA,0.435742074,0.435742074,350,212,2021,3,0.588,1
Gashaka,Oru West,NA,0.439852848,0.439852848,562,154,2021,4,0.637,1
Gashaka,Oru West,NA,0.443963622,0.443963622,716,202,2022,5,0.686,1
Gashaka,Oru West,NA,0.448074397,0.448074397,918,159,2022,6,0.735,1
Gashaka,Oru West,NA,0.452185171,0.452185171,1077,219,2023,7,0.784,1
Gashaka,Oru West,NA,0.460406719,0.460406719,1296,136,2023,8,0.8,1
Gashaka,Oru West,NA,0.616616142,0.616616142,1432,218,2024,9,0.8,1
Gashaka,Oru West,NA,0.8,0.8,1650,151,2024,10,0.8,1
Gashaka,Oru West,NA,0.8,0.8,1801,185,2025,11,0.8,1
Gashaka,Oru West,NA,0.8,0.8,1986,183,2025,12,0.8,1
Gassol,Keana,NA,0.086136445,0.086136445,0,196,2020,1,0.8,1
Gassol,Keana,NA,0.370817396,0.370817396,196,154,2020,2,0.49,1
Gassol,Keana,NA,0.456523159,0.456523159,350,212,2021,3,0.539,1
Gassol,Keana,NA,0.8,0.8,562,154,2021,4,0.588,1
Gassol,Keana,NA,0.8,0.8,716,202,2022,5,0.637,1
Gassol,Keana,NA,0.8,0.8,918,159,2022,6,0.686,1
Gassol,Keana,NA,0.8,0.8,1077,219,2023,7,0.735,1
Gassol,Keana,NA,0.8,0.8,1296,136,2023,8,0.784,1
Gassol,Keana,NA,0.8,0.8,1432,218,2024,9,0.8,1
Gassol,Keana,NA,0.8,0.8,1650,151,2024,10,0.8,1
Gassol,Keana,NA,0.8,0.8,1801,185,2025,11,0.8,1
Gassol,Keana,NA,0.8,0.8,1986,183,2025,12,0.8,1
Gawabawa,Gawabawa,NA,0.106631444,0.106631444,0,196,2020,1,0.8,1
Gawabawa,Gawabawa,NA,0.459048366,0.459048366,196,154,2020,2,0.8,1
Gawabawa,Gawabawa,NA,0.565146653,0.565146653,350,212,2021,3,0.49,1
Gawabawa,Gawabawa,NA,0.8,0.8,562,154,2021,4,0.539,1
Gawabawa,Gawabawa,NA,0.8,0.8,716,202,2022,5,0.588,1
Gawabawa,Gawabawa,NA,0.8,0.8,918,159,2022,6,0.637,1
Gawabawa,Gawabawa,NA,0.8,0.8,1077,219,2023,7,0.686,1
Gawabawa,Gawabawa,NA,0.8,0.8,1296,136,2023,8,0.735,1
Gawabawa,Gawabawa,NA,0.8,0.8,1432,218,2024,9,0.784,1
Gawabawa,Gawabawa,NA,0.8,0.8,1650,151,2024,10,0.8,1
Gawabawa,Gawabawa,NA,0.8,0.8,1801,185,2025,11,0.8,1
Gawabawa,Gawabawa,NA,0.8,0.8,1986,183,2025,12,0.8,1
Gaya,Gwarzo,NA,0.166666667,0.166666667,0,196,2020,1,0.8,1
Gaya,Gwarzo,NA,0.358750001,0.358750001,196,154,2020,2,0.8,1
Gaya,Gwarzo,NA,0.363933334,0.363933334,350,212,2021,3,0.8,1
Gaya,Gwarzo,NA,0.547483334,0.547483334,562,154,2021,4,0.49,1
Gaya,Gwarzo,NA,0.554400001,0.554400001,716,202,2022,5,0.539,1
Gaya,Gwarzo,NA,0.561350001,0.561350001,918,159,2022,6,0.588,1
Gaya,Gwarzo,NA,0.751666668,0.751666668,1077,219,2023,7,0.637,1
Gaya,Gwarzo,NA,0.769066668,0.769066668,1296,136,2023,8,0.686,1
Gaya,Gwarzo,NA,0.8,0.8,1432,218,2024,9,0.735,1
Gaya,Gwarzo,NA,0.8,0.8,1650,151,2024,10,0.784,1
Gaya,Gwarzo,NA,0.8,0.8,1801,185,2025,11,0.8,1
Gaya,Gwarzo,NA,0.8,0.8,1986,183,2025,12,0.8,1
Gbako,Oke-Ero,NA,0.461538462,0.461538462,0,196,2020,1,0.8,1
Gbako,Oke-Ero,NA,0.484615385,0.484615385,196,154,2020,2,0.8,1
Gbako,Oke-Ero,NA,0.48923077,0.48923077,350,212,2021,3,0.8,1
Gbako,Oke-Ero,NA,0.493846154,0.493846154,562,154,2021,4,0.8,1
Gbako,Oke-Ero,NA,0.498461539,0.498461539,716,202,2022,5,0.49,1
Gbako,Oke-Ero,NA,0.503076924,0.503076924,918,159,2022,6,0.539,1
Gbako,Oke-Ero,NA,0.507692308,0.507692308,1077,219,2023,7,0.588,1
Gbako,Oke-Ero,NA,0.516923077,0.516923077,1296,136,2023,8,0.637,1
Gbako,Oke-Ero,NA,0.692307693,0.692307693,1432,218,2024,9,0.686,1
