,adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
203,Jigawa,Buji,SMC,Takali,september,310,2020,3,-1,1,0.6,5
204,Jigawa,Buji,SMC,Takali,september,340,2020,4,-1,1,0.6,5
205,Jigawa,Dutse,SMC,Takali,september,250,2020,1,-1,1,0.6,5
206,Jigawa,Dutse,SMC,Takali,september,280,2020,2,-1,1,0.6,5
207,Jigawa,Dutse,SMC,Takali,september,310,2020,3,-1,1,0.6,5
208,Jigawa,Dutse,SMC,Takali,september,340,2020,4,-1,1,0.6,5
209,Jigawa,Gagarawa,SMC,Taura,july,186,2020,1,-1,1,0.6,5
210,Jigawa,Gagarawa,SMC,Taura,july,216,2020,2,-1,1,0.6,5
211,Jigawa,Gagarawa,SMC,Taura,july,246,2020,3,-1,1,0.6,5
212,Jigawa,Gagarawa,SMC,Taura,july,276,2020,4,-1,1,0.6,5
213,Jigawa,Garki,SMC,Babura,may,131,2020,1,-1,1,0.6,5
214,Jigawa,Garki,SMC,Babura,may,161,2020,2,-1,1,0.6,5
215,Jigawa,Garki,SMC,Babura,may,191,2020,3,-1,1,0.6,5
216,Jigawa,Garki,SMC,Babura,may,221,2020,4,-1,1,0.6,5
217,Jigawa,Gumel,SMC,Babura,may,131,2020,1,-1,1,0.6,5
218,Jigawa,Gumel,SMC,Babura,may,161,2020,2,-1,1,0.6,5
219,Jigawa,Gumel,SMC,Babura,may,191,2020,3,-1,1,0.6,5
220,Jigawa,Gumel,SMC,Babura,may,221,2020,4,-1,1,0.6,5
221,Jigawa,Guri,SMC,Taura,july,186,2020,1,-1,1,0.6,5
222,Jigawa,Guri,SMC,Taura,july,216,2020,2,-1,1,0.6,5
223,Jigawa,Guri,SMC,Taura,july,246,2020,3,-1,1,0.6,5
224,Jigawa,Guri,SMC,Taura,july,276,2020,4,-1,1,0.6,5
225,Jigawa,Gwaram,SMC,Takali,september,250,2020,1,-1,1,0.6,5
226,Jigawa,Gwaram,SMC,Takali,september,280,2020,2,-1,1,0.6,5
227,Jigawa,Gwaram,SMC,Takali,september,310,2020,3,-1,1,0.6,5
228,Jigawa,Gwaram,SMC,Takali,september,340,2020,4,-1,1,0.6,5
229,Jigawa,Gwiwa,SMC,Babura,may,131,2020,1,-1,1,0.6,5
230,Jigawa,Gwiwa,SMC,Babura,may,161,2020,2,-1,1,0.6,5
231,Jigawa,Gwiwa,SMC,Babura,may,191,2020,3,-1,1,0.6,5
232,Jigawa,Gwiwa,SMC,Babura,may,221,2020,4,-1,1,0.6,5
233,Jigawa,Hadejia,SMC,Taura,july,186,2020,1,-1,1,0.6,5
234,Jigawa,Hadejia,SMC,Taura,july,216,2020,2,-1,1,0.6,5
235,Jigawa,Hadejia,SMC,Taura,july,246,2020,3,-1,1,0.6,5
236,Jigawa,Hadejia,SMC,Taura,july,276,2020,4,-1,1,0.6,5
237,Jigawa,Jahun,SMC,Taura,july,186,2020,1,-1,1,0.6,5
238,Jigawa,Jahun,SMC,Taura,july,216,2020,2,-1,1,0.6,5
239,Jigawa,Jahun,SMC,Taura,july,246,2020,3,-1,1,0.6,5
240,Jigawa,Jahun,SMC,Taura,july,276,2020,4,-1,1,0.6,5
241,Jigawa,Kafin Hausa,SMC,Taura,july,186,2020,1,-1,1,0.6,5
242,Jigawa,Kafin Hausa,SMC,Taura,july,216,2020,2,-1,1,0.6,5
243,Jigawa,Kafin Hausa,SMC,Taura,july,246,2020,3,-1,1,0.6,5
244,Jigawa,Kafin Hausa,SMC,Taura,july,276,2020,4,-1,1,0.6,5
245,Jigawa,Kaugama,SMC,Taura,july,186,2020,1,-1,1,0.6,5
246,Jigawa,Kaugama,SMC,Taura,july,216,2020,2,-1,1,0.6,5
247,Jigawa,Kaugama,SMC,Taura,july,246,2020,3,-1,1,0.6,5
248,Jigawa,Kaugama,SMC,Taura,july,276,2020,4,-1,1,0.6,5
249,Jigawa,Kazaure,SMC,Babura,may,131,2020,1,-1,1,0.6,5
250,Jigawa,Kazaure,SMC,Babura,may,161,2020,2,-1,1,0.6,5
251,Jigawa,Kazaure,SMC,Babura,may,191,2020,3,-1,1,0.6,5
252,Jigawa,Kazaure,SMC,Babura,may,221,2020,4,-1,1,0.6,5
253,Jigawa,Kiri Kasamma,SMC,Taura,july,186,2020,1,-1,1,0.6,5
254,Jigawa,Kiri Kasamma,SMC,Taura,july,216,2020,2,-1,1,0.6,5
255,Jigawa,Kiri Kasamma,SMC,Taura,july,246,2020,3,-1,1,0.6,5
256,Jigawa,Kiri Kasamma,SMC,Taura,july,276,2020,4,-1,1,0.6,5
257,Jigawa,Maigatari,SMC,Babura,may,131,2020,1,-1,1,0.6,5
258,Jigawa,Maigatari,SMC,Babura,may,161,2020,2,-1,1,0.6,5
259,Jigawa,Maigatari,SMC,Babura,may,191,2020,3,-1,1,0.6,5
260,Jigawa,Maigatari,SMC,Babura,may,221,2020,4,-1,1,0.6,5
261,Jigawa,Malam Madori,SMC,Taura,july,186,2020,1,-1,1,0.6,5
262,Jigawa,Malam Madori,SMC,Taura,july,216,2020,2,-1,1,0.6,5
263,Jigawa,Malam Madori,SMC,Taura,july,246,2020,3,-1,1,0.6,5
264,Jigawa,Malam Madori,SMC,Taura,july,276,2020,4,-1,1,0.6,5
265,Jigawa,Miga,SMC,Taura,july,186,2020,1,-1,1,0.6,5
266,Jigawa,Miga,SMC,Taura,july,216,2020,2,-1,1,0.6,5
267,Jigawa,Miga,SMC,Taura,july,246,2020,3,-1,1,0.6,5
268,Jigawa,Miga,SMC,Taura,july,276,2020,4,-1,1,0.6,5
269,Jigawa,Ringim,SMC,Taura,july,186,2020,1,-1,1,0.6,5
270,Jigawa,Ringim,SMC,Taura,july,216,2020,2,-1,1,0.6,5
271,Jigawa,Ringim,SMC,Taura,july,246,2020,3,-1,1,0.6,5
272,Jigawa,Ringim,SMC,Taura,july,276,2020,4,-1,1,0.6,5
273,Jigawa,Roni,SMC,Babura,may,131,2020,1,-1,1,0.6,5
274,Jigawa,Roni,SMC,Babura,may,161,2020,2,-1,1,0.6,5
275,Jigawa,Roni,SMC,Babura,may,191,2020,3,-1,1,0.6,5
276,Jigawa,Roni,SMC,Babura,may,221,2020,4,-1,1,0.6,5
277,Jigawa,Sule-Tankarkar,SMC,Babura,may,131,2020,1,-1,1,0.6,5
278,Jigawa,Sule-Tankarkar,SMC,Babura,may,161,2020,2,-1,1,0.6,5
279,Jigawa,Sule-Tankarkar,SMC,Babura,may,191,2020,3,-1,1,0.6,5
280,Jigawa,Sule-Tankarkar,SMC,Babura,may,221,2020,4,-1,1,0.6,5
281,Jigawa,Taura,SMC,Taura,july,186,2020,1,-1,1,0.6,5
282,Jigawa,Taura,SMC,Taura,july,216,2020,2,-1,1,0.6,5
283,Jigawa,Taura,SMC,Taura,july,246,2020,3,-1,1,0.6,5
284,Jigawa,Taura,SMC,Taura,july,276,2020,4,-1,1,0.6,5
285,Jigawa,Yankwashi,SMC,Babura,may,131,2020,1,-1,1,0.6,5
286,Jigawa,Yankwashi,SMC,Babura,may,161,2020,2,-1,1,0.6,5
287,Jigawa,Yankwashi,SMC,Babura,may,191,2020,3,-1,1,0.6,5
288,Jigawa,Yankwashi,SMC,Babura,may,221,2020,4,-1,1,0.6,5
289,Jigawa,Kiyawa,SMC,Takali,september,250,2020,1,-1,1,0.6,5
290,Jigawa,Kiyawa,SMC,Takali,september,280,2020,2,-1,1,0.6,5
291,Jigawa,Kiyawa,SMC,Takali,september,310,2020,3,-1,1,0.6,5
292,Jigawa,Kiyawa,SMC,Takali,september,340,2020,4,-1,1,0.6,5
293,Kano,Ajingi,SMC,Taura,july,186,2020,1,-1,1,0.6,5
294,Kano,Ajingi,SMC,Taura,july,216,2020,2,-1,1,0.6,5
295,Kano,Ajingi,SMC,Taura,july,246,2020,3,-1,1,0.6,5
296,Kano,Ajingi,SMC,Taura,july,276,2020,4,-1,1,0.6,5
297,Kano,Albasu,SMC,Takali,september,250,2020,1,-1,1,0.6,5
298,Kano,Albasu,SMC,Takali,september,280,2020,2,-1,1,0.6,5
299,Kano,Albasu,SMC,Takali,september,310,2020,3,-1,1,0.6,5
300,Kano,Albasu,SMC,Takali,september,340,2020,4,-1,1,0.6,5
301,Kano,Bagwai,SMC,Babura,may,131,2020,1,-1,1,0.6,5
302,Kano,Bagwai,SMC,Babura,may,161,2020,2,-1,1,0.6,5
303,Kano,Bagwai,SMC,Babura,may,191,2020,3,-1,1,0.6,5
304,Kano,Bagwai,SMC,Babura,may,221,2020,4,-1,1,0.6,5
305,Kano,Bebeji,SMC,Gwarzo,august,223,2020,1,-1,1,0.6,5
306,Kano,Bebeji,SMC,Gwarzo,august,253,2020,2,-1,1,0.6,5
307,Kano,Bebeji,SMC,Gwarzo,august,283,2020,3,-1,1,0.6,5
308,Kano,Bebeji,SMC,Gwarzo,august,313,2020,4,-1,1,0.6,5
309,Kano,Bichi,SMC,Gwarzo,august,223,2020,1,-1,1,0.6,5
310,Kano,Bichi,SMC,Gwarzo,august,253,2020,2,-1,1,0.6,5
311,Kano,Bichi,SMC,Gwarzo,august,283,2020,3,-1,1,0.6,5
312,Kano,Bichi,SMC,Gwarzo,august,313,2020,4,-1,1,0.6,5
313,Kano,Bunkure,SMC,Gwarzo,august,223,2020,1,-1,1,0.6,5
314,Kano,Bunkure,SMC,Gwarzo,august,253,2020,2,-1,1,0.6,5
315,Kano,Bunkure,SMC,Gwarzo,august,283,2020,3,-1,1,0.6,5
316,Kano,Bunkure,SMC,Gwarzo,august,313,2020,4,-1,1,0.6,5
317,Kano,Dala,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
318,Kano,Dala,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
319,Kano,Dala,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
320,Kano,Dala,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
321,Kano,Dambatta,SMC,Babura,may,131,2020,1,-1,1,0.6,5
322,Kano,Dambatta,SMC,Babura,may,161,2020,2,-1,1,0.6,5
323,Kano,Dambatta,SMC,Babura,may,191,2020,3,-1,1,0.6,5
324,Kano,Dambatta,SMC,Babura,may,221,2020,4,-1,1,0.6,5
325,Kano,Dawakin Kudu,SMC,Gwarzo,august,223,2020,1,-1,1,0.6,5
326,Kano,Dawakin Kudu,SMC,Gwarzo,august,253,2020,2,-1,1,0.6,5
327,Kano,Dawakin Kudu,SMC,Gwarzo,august,283,2020,3,-1,1,0.6,5
328,Kano,Dawakin Kudu,SMC,Gwarzo,august,313,2020,4,-1,1,0.6,5
329,Kano,Dawakin Tofa,SMC,Taura,july,186,2020,1,-1,1,0.6,5
330,Kano,Dawakin Tofa,SMC,Taura,july,216,2020,2,-1,1,0.6,5
