,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
97,Orumba South,Oru West,2020,Orumba South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.438379079,0.743276001,0.65
98,Orumba South,Oru West,2023,Orumba South,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.438379079,0.743276001,0.65
99,Oyi,Uzo-Uwani,2020,Oyi,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.387377598,0.738924512,0.65
100,Oyi,Uzo-Uwani,2023,Oyi,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.387377598,0.738924512,0.65
101,Ukum,Keana,2020,Ukum,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.383970395,0.446657171,0.53
102,Ukum,Keana,2023,Ukum,0.8,0.8,0.8,0.8,2,august,1318,Standard 2020,0.383970395,0.446657171,0.53
103,Kolokuma/Opokuma,Ahoada West,2020,Kolokuma-Opokuma,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.224180225,0.693359192,0.65
104,Kolokuma/Opokuma,Ahoada West,2023,Kolokuma-Opokuma,0.8,0.8,0.8,0.8,2,may,1226,PBO(2021),0.224180225,0.693359192,0.65
105,Nembe,Ahoada West,2020,Nembe,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.273335383,0.716248429,0.65
106,Nembe,Ahoada West,2023,Nembe,0.8,0.8,0.8,0.8,2,may,1226,PBO(2021),0.273335383,0.716248429,0.65
107,Ogbia,Ahoada West,2020,Ogbia,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.381331283,0.738262526,0.65
108,Ogbia,Ahoada West,2023,Ogbia,0.8,0.8,0.8,0.8,2,may,1226,PBO(2021),0.381331283,0.738262526,0.65
109,Sagbama,Ahoada West,2020,Sagbama,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.219154854,0.690172734,0.65
110,Sagbama,Ahoada West,2023,Sagbama,0.8,0.8,0.8,0.8,2,may,1226,PBO(2021),0.219154854,0.690172734,0.65
111,Yenegoa,Isoko South,2020,Yenegoa,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.260617689,0.711526996,0.65
112,Yenegoa,Isoko South,2023,Yenegoa,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.260617689,0.711526996,0.65
113,Ado,Akinyele,2020,Ado,0.8,0.8,0.8,0.8,1,may,131,Standard 2020,0.357778894,0.425122422,0.53
114,Ado,Akinyele,2023,Ado,0.8,0.8,0.8,0.8,2,may,1226,Standard 2020,0.357778894,0.425122422,0.53
115,Agatu,Keana,2020,Agatu,0.8,0.833333333,0.8,0.8,1,august,223,Standard 2020,0.440507142,0.492360644,0.53
116,Agatu,Keana,2023,Agatu,0.8,0.833333333,0.8,0.8,2,august,1318,Standard 2020,0.440507142,0.492360644,0.53
117,Apa,Keana,2020,Apa,0.842105263,0.8,0.8,0.8,1,august,223,Standard 2020,0.437711079,0.490137805,0.53
118,Apa,Keana,2023,Apa,0.842105263,0.8,0.8,0.8,2,august,1318,Standard 2020,0.437711079,0.490137805,0.53
119,Buruku,Keana,2020,Buruku,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.37690999,0.440865552,0.53
120,Buruku,Keana,2023,Buruku,0.8,0.8,0.8,0.8,2,august,1318,Standard 2020,0.37690999,0.440865552,0.53
121,Gboko,Keana,2020,Gboko,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.325574075,0.398561371,0.53
122,Gboko,Keana,2023,Gboko,0.8,0.8,0.8,0.8,2,august,1318,Standard 2020,0.325574075,0.398561371,0.53
123,Guma,Keana,2020,Guma,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.365014826,0.431083741,0.53
124,Guma,Keana,2023,Guma,0.8,0.8,0.8,0.8,2,august,1318,Standard 2020,0.365014826,0.431083741,0.53
125,Gwer East,Oke-Ero,2020,Gwer East,0.888888889,0.916666667,0.8,0.8,1,july,186,Standard 2020,0.369333536,0.43463817,0.53
126,Gwer East,Oke-Ero,2023,Gwer East,0.888888889,0.916666667,0.8,0.8,2,july,1281,Standard 2020,0.369333536,0.43463817,0.53
