adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Borno,Kukawa,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Borno,Kukawa,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Borno,Kwaya Kusar,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Borno,Kwaya Kusar,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Borno,Kwaya Kusar,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Borno,Kwaya Kusar,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Borno,Mafa,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Mafa,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Mafa,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Mafa,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Magumeri,SMC,Gawabawa,august,579,2021,1,-1,1,0.6,5
Borno,Magumeri,SMC,Gawabawa,august,609,2021,2,-1,1,0.6,5
Borno,Magumeri,SMC,Gawabawa,august,639,2021,3,-1,1,0.6,5
Borno,Magumeri,SMC,Gawabawa,august,669,2021,4,-1,1,0.6,5
Borno,Maiduguri,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Maiduguri,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Maiduguri,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Maiduguri,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Marte,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Borno,Marte,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Borno,Marte,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Borno,Marte,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Borno,Mobbar,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Borno,Mobbar,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Borno,Mobbar,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Borno,Mobbar,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Borno,Monguno,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Borno,Monguno,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Borno,Monguno,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Borno,Monguno,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Borno,Ngala,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Borno,Ngala,SMC,Taura,july,580,2021,2,-1,1,0.6,5
