LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
Ogbomosho North,Akinyele,2024,Ogbomosho North,0.8,0.8,0.8,0.8,2,may,1591,Dual Al+PBO 2020,0.277526963,0.717660075,0.65
Aniocha North,Uzo-Uwani,2022,Aniocha North,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.369401293,0.736840485,0.65
Aniocha North,Uzo-Uwani,2025,Aniocha North,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.369401293,0.736840485,0.65
Aniocha South,Uzo-Uwani,2022,Aniocha South,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.311595529,0.726989078,0.65
Aniocha South,Uzo-Uwani,2025,Aniocha South,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.311595529,0.726989078,0.65
Ibadan South West,Owan East,2021,Ibadan South West,0.8,0.8,0.8,0.8,1,march,496,Dual Al+PBO 2020,0.315354899,0.727822706,0.65
Ibadan South West,Owan East,2024,Ibadan South West,0.8,0.8,0.8,0.8,2,march,1591,Dual Al+PBO 2020,0.315354899,0.727822706,0.65
Ethiope East,Isoko South,2022,Ethiope East,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.209725367,0.683644114,0.65
Ethiope East,Isoko South,2025,Ethiope East,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.209725367,0.683644114,0.65
Ethiope West,Isoko South,2022,Ethiope West,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.342228555,0.732917568,0.65
Ethiope West,Isoko South,2025,Ethiope West,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.342228555,0.732917568,0.65
Ika North East,Uzo-Uwani,2022,Ika North East,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.388201078,0.739011823,0.65
Ika North East,Uzo-Uwani,2025,Ika North East,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.388201078,0.739011823,0.65
Ika South,Uzo-Uwani,2022,Ika South,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.37137411,0.737086908,0.65
Ika South,Uzo-Uwani,2025,Ika South,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.37137411,0.737086908,0.65
Isoko North,Isoko South,2022,Isoko North,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.19337815,0.67039561,0.65
Isoko North,Isoko South,2025,Isoko North,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.19337815,0.67039561,0.65
Ogbomosho South,Akinyele,2021,Ogbomosho South,0.8,0.8,0.8,0.8,1,may,496,Dual Al+PBO 2020,0.343621306,0.733145329,0.65
Ogbomosho South,Akinyele,2024,Ogbomosho South,0.8,0.8,0.8,0.8,2,may,1591,Dual Al+PBO 2020,0.343621306,0.733145329,0.65
Isoko South,Isoko South,2022,Isoko South,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.162398226,0.636925918,0.65
Isoko South,Isoko South,2025,Isoko South,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.162398226,0.636925918,0.65
Ndokwa East,Ahoada West,2022,Ndokwa East,0.8,0.8,0.8,0.8,1,may,861,PBO(2021),0.258105917,0.71050969,0.65
Ndokwa East,Ahoada West,2025,Ndokwa East,0.8,0.8,0.8,0.8,2,may,1956,PBO(2021),0.258105917,0.71050969,0.65
Ndokwa West,Isoko South,2022,Ndokwa West,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.26790329,0.714315831,0.65
Ndokwa West,Isoko South,2025,Ndokwa West,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.26790329,0.714315831,0.65
Okpe,Isoko South,2022,Okpe,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.176806986,0.654016831,0.65
Okpe,Isoko South,2025,Okpe,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.176806986,0.654016831,0.65
Oshimili North,Uzo-Uwani,2022,Oshimili North,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.34095855,0.732707076,0.65
Oshimili North,Uzo-Uwani,2025,Oshimili North,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.34095855,0.732707076,0.65
Oshimili South,Uzo-Uwani,2022,Oshimili South,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.3079518,0.726148594,0.65
Oshimili South,Uzo-Uwani,2025,Oshimili South,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.3079518,0.726148594,0.65
Patani,Isoko South,2022,Patani,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.156971919,0.629722331,0.65
Patani,Isoko South,2025,Patani,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.156971919,0.629722331,0.65
Sapele,Isoko South,2022,Sapele,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.293983111,0.722602083,0.65
Sapele,Isoko South,2025,Sapele,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.293983111,0.722602083,0.65
Udu,Isoko South,2022,Udu,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.132665008,0.591758219,0.65
Udu,Isoko South,2025,Udu,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.132665008,0.591758219,0.65
Ughelli North,Isoko South,2022,Ughelli North,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.187814216,0.66525468,0.65
Ughelli North,Isoko South,2025,Ughelli North,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.187814216,0.66525468,0.65
Ughelli South,Isoko South,2022,Ughelli South,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.146146999,0.613998812,0.65
Ughelli South,Isoko South,2025,Ughelli South,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.146146999,0.613998812,0.65
Ukwuani,Uzo-Uwani,2022,Ukwuani,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.33569314,0.731804934,0.65
Ukwuani,Uzo-Uwani,2025,Ukwuani,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.33569314,0.731804934,0.65
Uvwie,Isoko South,2022,Uvwie,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.128201894,0.5837257,0.65
Uvwie,Isoko South,2025,Uvwie,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.128201894,0.5837257,0.65
Warri South,Isoko South,2022,Warri South,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.150613557,0.620710523,0.65
Warri South,Isoko South,2025,Warri South,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.150613557,0.620710523,0.65
Akoko-Edo,Owan East,2021,Akoko-Edo,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.304845225,0.725405618,0.65
Akoko-Edo,Owan East,2024,Akoko-Edo,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.304845225,0.725405618,0.65
Egor,Uzo-Uwani,2021,Egor,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.42209808,0.74209333,0.65
Egor,Uzo-Uwani,2024,Egor,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.42209808,0.74209333,0.65
Esan North East,Uzo-Uwani,2021,Esan North East,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.339061878,0.732387649,0.65
Esan North East,Uzo-Uwani,2024,Esan North East,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.339061878,0.732387649,0.65
Esan Central,Owan East,2021,Esan Central,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.34342137,0.733112828,0.65
Esan Central,Owan East,2024,Esan Central,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.34342137,0.733112828,0.65
Esan South East,Uzo-Uwani,2021,Esan South East,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.404971726,0.740653669,0.65
Esan South East,Uzo-Uwani,2024,Esan South East,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.404971726,0.740653669,0.65
Esan West,Uzo-Uwani,2021,Esan West,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.366421113,0.736459279,0.65
Esan West,Uzo-Uwani,2024,Esan West,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.366421113,0.736459279,0.65
Etsako Central,Owan East,2021,Etsako Central,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.300181787,0.724242459,0.65
Etsako Central,Owan East,2024,Etsako Central,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.300181787,0.724242459,0.65
Etsako East,Owan East,2021,Etsako East,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.314825995,0.727707424,0.65
Etsako East,Owan East,2024,Etsako East,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.314825995,0.727707424,0.65
Etsako West,Owan East,2021,Etsako West,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.290127246,0.721523913,0.65
Etsako West,Owan East,2024,Etsako West,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.290127246,0.721523913,0.65
Igueben,Uzo-Uwani,2021,Igueben,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.415233246,0.741542325,0.65
Igueben,Uzo-Uwani,2024,Igueben,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.415233246,0.741542325,0.65
Ikpoba-Okha,Uzo-Uwani,2021,Ikpoba-Okha,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.323305427,0.729480418,0.65
Ikpoba-Okha,Uzo-Uwani,2024,Ikpoba-Okha,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.323305427,0.729480418,0.65
Aninri,Oru West,2021,Aninri,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.430439768,0.742719962,0.65
Aninri,Oru West,2024,Aninri,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.430439768,0.742719962,0.65
Oredo,Uzo-Uwani,2021,Oredo,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.382076571,0.738346159,0.65
Oredo,Uzo-Uwani,2024,Oredo,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.382076571,0.738346159,0.65
Orhionmwon,Uzo-Uwani,2021,Orhionmwon,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.335936711,0.731847739,0.65
Orhionmwon,Uzo-Uwani,2024,Orhionmwon,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.335936711,0.731847739,0.65
Ovia North East,Owan East,2021,Ovia North East,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.337624396,0.732141435,0.65
Ovia North East,Owan East,2024,Ovia North East,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.337624396,0.732141435,0.65
Ovia South West,Akinyele,2021,Ovia South West,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.363545715,0.736080953,0.65
Ovia South West,Akinyele,2024,Ovia South West,0.8,0.8,0.8,0.8,2,may,1591,PBO(2021),0.363545715,0.736080953,0.65
Owan East,Owan East,2021,Owan East,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.315089802,0.727765005,0.65
Owan East,Owan East,2024,Owan East,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.315089802,0.727765005,0.65
Owan West,Owan East,2021,Owan West,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.389346565,0.739132174,0.65
Owan West,Owan East,2024,Owan West,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.389346565,0.739132174,0.65
Uhunmwonde,Owan East,2021,Uhunmwonde,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.3888156,0.739076547,0.65
Uhunmwonde,Owan East,2024,Uhunmwonde,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.3888156,0.739076547,0.65
Ado Ekiti,Owan East,2021,Ado Ekiti,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.357399296,0.735235955,0.65
Ado Ekiti,Owan East,2024,Ado Ekiti,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.357399296,0.735235955,0.65
Efon-Alayee,Oke-Ero,2021,Efon-Alayee,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.32342441,0.729504192,0.65
Efon-Alayee,Oke-Ero,2024,Efon-Alayee,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.32342441,0.729504192,0.65
Ekiti East,Oke-Ero,2021,Ekiti East,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.342294717,0.73292846,0.65
Ekiti East,Oke-Ero,2024,Ekiti East,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.342294717,0.73292846,0.65
Ekiti South West,Oke-Ero,2021,Ekiti South West,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.434979733,0.743042533,0.65
Ekiti South West,Oke-Ero,2024,Ekiti South West,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.434979733,0.743042533,0.65
Awgu,Oru West,2021,Awgu,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.428474781,0.742576398,0.65
Awgu,Oru West,2024,Awgu,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.428474781,0.742576398,0.65
Ekiti West,Oke-Ero,2021,Ekiti West,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.332828195,0.731293374,0.65
Ekiti West,Oke-Ero,2024,Ekiti West,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.332828195,0.731293374,0.65
Emure,Oke-Ero,2021,Emure,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.372039671,0.737169001,0.65
Emure,Oke-Ero,2024,Emure,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.372039671,0.737169001,0.65
Gboyin,Obubra,2021,Gboyin,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.286540024,0.7204787,0.65
Gboyin,Obubra,2024,Gboyin,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.286540024,0.7204787,0.65
Idosi-Osi,Oke-Ero,2021,Idosi-Osi,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.302701283,0.724878164,0.65
Idosi-Osi,Oke-Ero,2024,Idosi-Osi,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.302701283,0.724878164,0.65
Ijero,Oke-Ero,2021,Ijero,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.264220599,0.712935452,0.65
Ijero,Oke-Ero,2024,Ijero,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.264220599,0.712935452,0.65
Ikere,Owan East,2021,Ikere,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.456857423,0.744434569,0.65
Ikere,Owan East,2024,Ikere,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.456857423,0.744434569,0.65
Ikole,Oke-Ero,2021,Ikole,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.320812672,0.72897548,0.65
Ikole,Oke-Ero,2024,Ikole,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.320812672,0.72897548,0.65
Ilemeji,Oke-Ero,2021,Ilemeji,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.308389127,0.726251209,0.65
Ilemeji,Oke-Ero,2024,Ilemeji,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.308389127,0.726251209,0.65
Irepodun/Ifelodun,Oke-Ero,2021,Irepodun-Ifelodun,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.314066122,0.727540664,0.65
Irepodun/Ifelodun,Oke-Ero,2024,Irepodun-Ifelodun,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.314066122,0.727540664,0.65
Ise/Orun,Oke-Ero,2021,Ise-Orun,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.409896538,0.74109031,0.65
Ise/Orun,Oke-Ero,2024,Ise-Orun,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.409896538,0.74109031,0.65
Moba,Oke-Ero,2021,Moba,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.282164723,0.719146001,0.65
Moba,Oke-Ero,2024,Moba,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.282164723,0.719146001,0.65
Oye,Oke-Ero,2021,Oye,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.299868816,0.72416227,0.65
Oye,Oke-Ero,2024,Oye,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.299868816,0.72416227,0.65
Ezeagu,Uzo-Uwani,2021,Ezeagu,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.415961311,0.741602353,0.65
Ezeagu,Uzo-Uwani,2024,Ezeagu,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.415961311,0.741602353,0.65
Igbo-Etiti,Uzo-Uwani,2021,Igbo-Etiti,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.38332308,0.738484739,0.65
Igbo-Etiti,Uzo-Uwani,2024,Igbo-Etiti,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.38332308,0.738484739,0.65
Igbo-Eze North,Uzo-Uwani,2021,Igbo-Eze North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.332315805,0.73120029,0.65
Igbo-Eze North,Uzo-Uwani,2024,Igbo-Eze North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.332315805,0.73120029,0.65
Igbo-Eze South,Uzo-Uwani,2021,Igbo-Eze South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.361653388,0.735826165,0.65
Igbo-Eze South,Uzo-Uwani,2024,Igbo-Eze South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.361653388,0.735826165,0.65
Isi-Uzo,Owan East,2021,Isi-Uzo,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.425114132,0.742325146,0.65
Isi-Uzo,Owan East,2024,Isi-Uzo,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.425114132,0.742325146,0.65
Nkanu East,Owan East,2021,Nkanu East,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.414364125,0.741470161,0.65
Nkanu East,Owan East,2024,Nkanu East,0.8,0.8,0.8,0.8,2,march,1591,PBO(2021),0.414364125,0.741470161,0.65
Nkanu West,Uzo-Uwani,2021,Nkanu West,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.464287853,0.744852701,0.65
Nkanu West,Uzo-Uwani,2024,Nkanu West,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.464287853,0.744852701,0.65
Nsukka,Uzo-Uwani,2021,Nsukka,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.391481406,0.739353101,0.65
Nsukka,Uzo-Uwani,2024,Nsukka,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.391481406,0.739353101,0.65
Oji-River,Oru West,2021,Oji-River,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.407484101,0.740878825,0.65
Oji-River,Oru West,2024,Oji-River,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.407484101,0.740878825,0.65
Udenu,Uzo-Uwani,2021,Udenu,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.38139738,0.738269967,0.65
Udenu,Uzo-Uwani,2024,Udenu,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.38139738,0.738269967,0.65
Udi,Uzo-Uwani,2021,Udi,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.379547492,0.738059966,0.65
Udi,Uzo-Uwani,2024,Udi,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.379547492,0.738059966,0.65
Uzo-Uwani,Uzo-Uwani,2021,Uzo-Uwani,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.404737188,0.74063239,0.65
Uzo-Uwani,Uzo-Uwani,2024,Uzo-Uwani,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.404737188,0.74063239,0.65
Ahiazu-Mbaise,Ngor-Okpala,2021,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.4502266,0.744039224,0.65
Ahiazu-Mbaise,Ngor-Okpala,2024,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.4502266,0.744039224,0.65
Abaji,Keana,2021,Abaji,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.476373849,0.74548121,0.65
Abaji,Keana,2024,Abaji,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.476373849,0.74548121,0.65
Bwari,Giwa,2021,Bwari,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.558433035,0.748497974,0.73823236
Bwari,Giwa,2024,Bwari,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.558433035,0.748497974,0.73823236
Gwagwalada,Keana,2021,Gwagwalada,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.555904987,0.748429645,0.734810981
Gwagwalada,Keana,2024,Gwagwalada,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.555904987,0.748429645,0.734810981
Kuje,Keana,2021,Kuje,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.448338859,0.743922635,0.65
Kuje,Keana,2024,Kuje,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.448338859,0.743922635,0.65
Kwali,Keana,2021,Kwali,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.476055073,0.745465403,0.65
Kwali,Keana,2024,Kwali,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.476055073,0.745465403,0.65
Bunkure,Gwarzo,2022,Bunkure,0.829787234,0.8,0.8,0.861111111,1,august,953,PBO(2021),0.769743323,0.751581878,0.910592316
Bunkure,Gwarzo,2025,Bunkure,0.829787234,0.8,0.8,0.861111111,2,august,2048,PBO(2021),0.769743323,0.751581878,0.910592316
Abuja Municipal,Keana,2021,Abuja Municipal,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.500846708,0.746583537,0.64847786
Abuja Municipal,Keana,2024,Abuja Municipal,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.500846708,0.746583537,0.64847786
Akko,Alkaleri,2021,Akko,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.430348191,0.742713325,0.65
Akko,Alkaleri,2024,Akko,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.430348191,0.742713325,0.65
Balanga,Alkaleri,2021,Balanga,0.8,0.8,0.8,0.803248637,1,july,551,PBO(2021),0.625491041,0.749939303,0.81450054
Balanga,Alkaleri,2024,Balanga,0.8,0.8,0.8,0.803248637,2,july,1646,PBO(2021),0.625491041,0.749939303,0.81450054
Billiri,Alkaleri,2021,Billiri,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.209402585,0.683407139,0.65
Billiri,Alkaleri,2024,Billiri,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.209402585,0.683407139,0.65
Dukku,Darazo,2021,Dukku,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.67468816,0.75066207,0.855717164
Dukku,Darazo,2024,Dukku,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.67468816,0.75066207,0.855717164
Funakaye,Alkaleri,2021,Funakaye,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.631961788,0.750047545,0.820549364
Funakaye,Alkaleri,2024,Funakaye,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.631961788,0.750047545,0.820549364
Gombe,Alkaleri,2021,Gombe,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.497689178,0.746452831,0.65
Gombe,Alkaleri,2024,Gombe,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.497689178,0.746452831,0.65
Kaltungo,Alkaleri,2021,Kaltungo,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.500615672,0.74657408,0.648064062
Kaltungo,Alkaleri,2024,Kaltungo,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.500615672,0.74657408,0.648064062
Kwami,Alkaleri,2021,Kwami,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.528174359,0.747593116,0.6942737
Kwami,Alkaleri,2024,Kwami,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.528174359,0.747593116,0.6942737
Dala,Alkaleri,2022,Dala,0.8,0.8,0.8,0.8,1,july,916,PBO(2021),0.582690135,0.749095907,0.768911575
Dala,Alkaleri,2025,Dala,0.8,0.8,0.8,0.8,2,july,2011,PBO(2021),0.582690135,0.749095907,0.768911575
Nafada,Alkaleri,2021,Nafada,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.699548844,0.750952854,0.872816603
Nafada,Alkaleri,2024,Nafada,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.699548844,0.750952854,0.872816603
Shomgom,Alkaleri,2021,Shomgom,0.8,0.8,0.8,0.835300207,1,july,551,PBO(2021),0.393550536,0.739563122,0.65
Shomgom,Alkaleri,2024,Shomgom,0.8,0.8,0.8,0.835300207,2,july,1646,PBO(2021),0.393550536,0.739563122,0.65
Yamaltu/Deba,Alkaleri,2021,Yamaltu-Deba,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.541765398,0.748024003,0.714846744
Yamaltu/Deba,Alkaleri,2024,Yamaltu-Deba,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.541765398,0.748024003,0.714846744
Aboh-Mbaise,Ngor-Okpala,2021,Aboh-Mbaise,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.366998982,0.736534052,0.65
Aboh-Mbaise,Ngor-Okpala,2024,Aboh-Mbaise,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.366998982,0.736534052,0.65
Fagge,Alkaleri,2022,Fagge,0.8,0.8,0.8,0.8,1,july,916,PBO(2021),0.567041099,0.748721751,0.749557661
Fagge,Alkaleri,2025,Fagge,0.8,0.8,0.8,0.8,2,july,2011,PBO(2021),0.567041099,0.748721751,0.749557661
Ehime-Mbano,Ngor-Okpala,2021,Ehime-Mbano,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.459803075,0.744603378,0.65
Ehime-Mbano,Ngor-Okpala,2024,Ehime-Mbano,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.459803075,0.744603378,0.65
Ezinihitte,Ngor-Okpala,2021,Ezinihitte,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.456817192,0.744432235,0.65
Ezinihitte,Ngor-Okpala,2024,Ezinihitte,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.456817192,0.744432235,0.65
Ideato North,Oru West,2021,Ideato North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.449066913,0.743967818,0.65
Ideato North,Oru West,2024,Ideato North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.449066913,0.743967818,0.65
Ideato South,Ngor-Okpala,2021,Ideato South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.438565746,0.743288627,0.65
Ideato South,Ngor-Okpala,2024,Ideato South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.438565746,0.743288627,0.65
Ihitte/Uboma,Ngor-Okpala,2021,Ihitte-Uboma,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.471133329,0.745216177,0.65
Ihitte/Uboma,Ngor-Okpala,2024,Ihitte-Uboma,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.471133329,0.745216177,0.65
Ikeduru,Ngor-Okpala,2021,Ikeduru,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.402638622,0.740439976,0.65
Ikeduru,Ngor-Okpala,2024,Ikeduru,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.402638622,0.740439976,0.65
