LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Baruten,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Bassa1,Keana,0.26,0.26,0.637,0,-1,2018
Bassa2,Soba,0.026643097,0.026643097,0.637,0,-1,2018
Batagarawa,Rimi,0.485000004,0.485000004,0.637,0,-1,2018
Batsari,Rimi,0.433333333,0.433333333,0.637,0,-1,2018
Bauchi,Alkaleri,0.03520074,0.03520074,0.637,0,-1,2018
Baure,Babura,0.464285714,0.464285714,0.637,0,-1,2018
Bayo,Alkaleri,0.65,0.65,0.637,0,-1,2018
Bebeji,Gwarzo,0.223824311,0.223824311,0.637,0,-1,2018
Bekwara,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Bende,Ngor-Okpala,0.228703545,0.228703545,0.637,0,-1,2018
Biase,Ngor-Okpala,0.764436804,0.764436804,0.637,0,-1,2018
Bichi,Gwarzo,0.223824311,0.223824311,0.637,0,-1,2018
Bida,Oke-Ero,0.65,0.65,0.637,0,-1,2018
Billiri,Alkaleri,0.433333333,0.433333333,0.637,0,-1,2018
Bindawa,Rimi,0.13,0.13,0.637,0,-1,2018
Binji,Gawabawa,0.325,0.325,0.637,0,-1,2018
Biriniwa,Taura,0.216666667,0.216666667,0.637,0,-1,2018
Birni Kudu,Takali,0.291178008,0.291178008,0.637,0,-1,2018
Birnin Kebbi,Birnin Kebbi,0.744821618,0.744821618,0.637,0,-1,2018
Birnin Magaji,Rimi,0.272994244,0.272994244,0.637,0,-1,2018
Birnin-Gwari,Giwa,0.169660832,0.169660832,0.637,0,-1,2018
Biu,Darazo,0.65,0.65,0.637,0,-1,2018
Bodinga,Gawabawa,0.138620877,0.138620877,0.637,0,-1,2018
Bogoro,Alkaleri,0.304365819,0.304365819,0.637,0,-1,2018
Boki,Obubra,0.325,0.325,0.637,0,-1,2018
Bokkos,Giwa,0.169660832,0.169660832,0.637,0,-1,2018
Boluwaduro,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Bomadi,Isoko South,0.158075112,0.158075112,0.637,0,-1,2018
Bonny,Nsit Ubium,0.775511407,0.775511407,0.637,0,-1,2018
Borgu,Oke-Ero,0.371428572,0.371428572,0.637,0,-1,2018
Boripe,Akinyele,0.433333333,0.433333333,0.637,0,-1,2018
Bosso,Keana,0.28087628,0.28087628,0.637,0,-1,2018
Brass,Ahoada West,0.668806597,0.668806597,0.637,0,-1,2018
Buji,Takali,0.232381499,0.232381499,0.637,0,-1,2018
Bukkuyum,Alkaleri,0.304365819,0.304365819,0.637,0,-1,2018
Bungudu,Takali,0.386389111,0.386389111,0.637,0,-1,2018
Bunkure,Gwarzo,0.223824311,0.223824311,0.637,0,-1,2018
Bunza,Birnin Kebbi,0.548932384,0.548932384,0.637,0,-1,2018
Bursari,Taura,0.1625,0.1625,0.637,0,-1,2018
Buruku,Keana,0.260000049,0.260000049,0.637,0,-1,2018
Burutu,Isoko South,0.158075112,0.158075112,0.637,0,-1,2018
Bwari,Giwa,0.200549626,0.200549626,0.637,0,-1,2018
Calabar South,Nsit Ubium,0.387046089,0.387046089,0.637,0,-1,2018
Calabar-Municipal,Nsit Ubium,0.389661579,0.389661579,0.637,0,-1,2018
Chanchaga,Keana,0.505655168,0.505655168,0.637,0,-1,2018
Charanchi,Rimi,0.136842105,0.136842105,0.637,0,-1,2018
Chibok,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Chikun,Soba,0.026643097,0.026643097,0.637,0,-1,2018
Dala,Alkaleri,0.850046207,0.850046207,0.637,0,-1,2018
Damaturu,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Damban,Darazo,0.433333333,0.433333333,0.637,0,-1,2018
Dambatta,Babura,0.433333333,0.433333333,0.637,0,-1,2018
Damboa,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Dan Musa,Rimi,0.272994244,0.272994244,0.637,0,-1,2018
Dandi,Birnin Kebbi,0.453837059,0.453837059,0.637,0,-1,2018
Dandume,Giwa,0.169660832,0.169660832,0.637,0,-1,2018
Dange-Shnsi,Gawabawa,0.1625,0.1625,0.637,0,-1,2018
Danja,Giwa,0.169660832,0.169660832,0.637,0,-1,2018
Darazo,Darazo,0.209498396,0.209498396,0.637,0,-1,2018
Dass,Alkaleri,0.304365819,0.304365819,0.637,0,-1,2018
Daura,Babura,0.262899573,0.262899573,0.637,0,-1,2018
Dawakin Kudu,Gwarzo,0.354545455,0.354545455,0.637,0,-1,2018
Dawakin Tofa,Taura,0.236363637,0.236363637,0.637,0,-1,2018
Degema,Ahoada West,0.325,0.325,0.637,0,-1,2018
Dekina,Owan East,0.247387092,0.247387092,0.637,0,-1,2018
Demsa,Alkaleri,0.8,0.8,0.637,0,-1,2018
Dikwa,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Doguwa,Giwa,0.169565218,0.169565218,0.637,0,-1,2018
Doma,Keana,0.230343377,0.230343377,0.637,0,-1,2018
Donga,Keana,0.370395489,0.370395489,0.637,0,-1,2018
Dukku,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Dunukofia,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Dutse,Takali,0.193034451,0.193034451,0.637,0,-1,2018
Dutsi,Rimi,0.3,0.3,0.637,0,-1,2018
Dutsin-Ma,Rimi,0.272994244,0.272994244,0.637,0,-1,2018
Eastern Obolo,Nsit Ubium,0.78,0.78,0.637,0,-1,2018
Ebonyi,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Edati,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ede North,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ede South,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Edu,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Efon-Alayee,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Egbado North,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Egbado South,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Egbeda,Akinyele,0.139511852,0.139511852,0.637,0,-1,2018
Egbedore,Akinyele,0.704433509,0.704433509,0.637,0,-1,2018
Egor,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ehime-Mbano,Ngor-Okpala,0.768786832,0.768786832,0.637,0,-1,2018
Ejigbo,Akinyele,0.280679433,0.280679433,0.637,0,-1,2018
Ekeremor,Ahoada West,0.267706951,0.267706951,0.637,0,-1,2018
Eket,Nsit Ubium,0.387046089,0.387046089,0.637,0,-1,2018
Ekiti,Oke-Ero,0.8,0.8,0.637,0,-1,2018
Ekiti East,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ekiti South West,Oke-Ero,0.601250074,0.601250074,0.637,0,-1,2018
Ekiti West,Oke-Ero,0.210877683,0.210877683,0.637,0,-1,2018
Ekwusigo,Oru West,0.8,0.8,0.637,0,-1,2018
Eleme,Ahoada West,0.197201567,0.197201567,0.637,0,-1,2018
Emohua,Ahoada West,0.216666667,0.216666667,0.637,0,-1,2018
Emure,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Enugu East,Uzo-Uwani,0.8,0.8,0.637,0,-1,2018
Enugu North,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Enugu South,Uzo-Uwani,0.66936156,0.66936156,0.637,0,-1,2018
Epe,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Esan Central,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Esan North East,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Esan South East,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Esan West,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ese-Odo,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Esit Eket,Nsit Ubium,0.092857142,0.092857142,0.637,0,-1,2018
Essien Udim,Ngor-Okpala,0.285066209,0.285066209,0.637,0,-1,2018
Etche,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Ethiope East,Isoko South,0.158075112,0.158075112,0.637,0,-1,2018
Ethiope West,Isoko South,0.158075112,0.158075112,0.637,0,-1,2018
Etim Ekpo,Isoko South,0.158075112,0.158075112,0.637,0,-1,2018
Etinan,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Eti-Osa,Nsit Ubium,0.387046089,0.387046089,0.637,0,-1,2018
Etsako Central,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Etsako East,Owan East,0.101340513,0.101340513,0.637,0,-1,2018
Etsako West,Owan East,0.104457062,0.104457062,0.637,0,-1,2018
Etung,Obubra,0.26,0.26,0.637,0,-1,2018
Ewekoro,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ezeagu,Uzo-Uwani,0.564955964,0.564955964,0.637,0,-1,2018
Ezinihitte,Ngor-Okpala,0.505645858,0.505645858,0.637,0,-1,2018
Ezza North,Owan East,0.247619047,0.247619047,0.637,0,-1,2018
Ezza South,Obubra,0.622499743,0.622499743,0.637,0,-1,2018
Fagge,Alkaleri,0.304365819,0.304365819,0.637,0,-1,2018
Fakai,Birnin Kebbi,0.8,0.8,0.637,0,-1,2018
Faskari,Giwa,0.169660832,0.169660832,0.637,0,-1,2018
Fika,Darazo,0.123809524,0.123809524,0.637,0,-1,2018
Fufore,Alkaleri,0.181064148,0.181064148,0.637,0,-1,2018
Funakaye,Alkaleri,0.059090909,0.059090909,0.637,0,-1,2018
Fune,Darazo,0.041000609,0.041000609,0.637,0,-1,2018
