LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Irele,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Irepo,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Irepodun1,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Irepodun2,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Irepodun-Ifelodun,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Irewole,Akinyele,NA,0.57272734,0.57272734,0.588,0,-1,2018
Isa,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Ise-Orun,Oke-Ero,NA,0.6,0.6,0.588,0,-1,2018
Iseyin,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ishielu,Owan East,NA,0.281682656,0.281682656,0.588,0,-1,2018
Isiala Mbano,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Isiala-Ngwa North,Ngor-Okpala,NA,0.407354323,0.407354323,0.588,0,-1,2018
Isiala-Ngwa South,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Isin,Ngor-Okpala,NA,0.639674533,0.639674533,0.588,0,-1,2018
Isi-Uzo,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Isokan,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Isoko North,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Isoko South,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Isu,Ngor-Okpala,NA,0.6,0.6,0.588,0,-1,2018
Isuikwato,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Itas-Gadau,Taura,NA,0.20914634,0.20914634,0.588,0,-1,2018
Itesiwaju,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Itu,Ngor-Okpala,NA,0.8,0.8,0.588,0,-1,2018
Ivo,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Iwajowa,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Iwo,Akinyele,NA,0.55683723,0.55683723,0.588,0,-1,2018
Izzi,Owan East,NA,0.584262878,0.584262878,0.588,0,-1,2018
Jaba,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Jada,Alkaleri,NA,0.114793366,0.114793366,0.588,0,-1,2018
Jahun,Taura,NA,0.265611012,0.265611012,0.588,0,-1,2018
Jakusko,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Jalingo,Keana,NA,0.411188742,0.411188742,0.588,0,-1,2018
Jama'are,Taura,NA,0.170352074,0.170352074,0.588,0,-1,2018
Jega,Birnin Kebbi,NA,0.680127414,0.680127414,0.588,0,-1,2018
Jema'a,Soba,NA,0.167010312,0.167010312,0.588,0,-1,2018
Jere,Gawabawa,NA,0.6,0.6,0.588,0,-1,2018
Jibia,Rimi,NA,0.4,0.4,0.588,0,-1,2018
Jos East,Soba,NA,0.6,0.6,0.588,0,-1,2018
Jos North,Soba,NA,0.125551464,0.125551464,0.588,0,-1,2018
Jos South,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Kabba-Bunu,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Kabo,Gwarzo,NA,0.394403622,0.394403622,0.588,0,-1,2018
Kachia,Ngor-Okpala,NA,0.031329414,0.031329414,0.588,0,-1,2018
Kaduna North,Soba,NA,0.078884468,0.078884468,0.588,0,-1,2018
Kaduna South,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Kafin Hausa,Taura,NA,0.502882356,0.502882356,0.588,0,-1,2018
Kafur,Gwarzo,NA,0.245614018,0.245614018,0.588,0,-1,2018
Kaga,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Kagarko,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Kaiama,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Kaita,Rimi,NA,0.184615385,0.184615385,0.588,0,-1,2018
Kajola,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Kajuru,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Kala-Balge,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Kalgo,Birnin Kebbi,NA,0.633833569,0.633833569,0.588,0,-1,2018
Kaltungo,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Kanam,Alkaleri,NA,0.356603698,0.356603698,0.588,0,-1,2018
Kankara,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Kanke,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Kankia,Rimi,NA,0.342857143,0.342857143,0.588,0,-1,2018
Kano Municipal,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Karasuwa,Taura,NA,0.06899349,0.06899349,0.588,0,-1,2018
Karaye,Gwarzo,NA,0.5,0.5,0.588,0,-1,2018
Karin-Lamido,Alkaleri,NA,0.188297864,0.188297864,0.588,0,-1,2018
Karu,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Katagum,Gwarzo,NA,0.140186963,0.140186963,0.588,0,-1,2018
Katcha,Oke-Ero,NA,0.367765602,0.367765602,0.588,0,-1,2018
Katsina,Rimi,NA,0.598739507,0.598739507,0.588,0,-1,2018
Katsina-Ala,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Kaugama,Taura,NA,0.133333333,0.133333333,0.588,0,-1,2018
Kaura,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Kaura-Namoda,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Kauru,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Kazaure,Babura,NA,0.375,0.375,0.588,0,-1,2018
Keana,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Kebbe,Birnin Kebbi,NA,0.506706816,0.506706816,0.588,0,-1,2018
Keffi,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Khana,Nsit Ubium,NA,0.342857143,0.342857143,0.588,0,-1,2018
Kibiya,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Kirfi,Alkaleri,NA,0.092307692,0.092307692,0.588,0,-1,2018
Kiri Kasamma,Taura,NA,0.352475226,0.352475226,0.588,0,-1,2018
Kiru,Gwarzo,NA,0.286499311,0.286499311,0.588,0,-1,2018
Kiyawa,Takali,NA,0.171428572,0.171428572,0.588,0,-1,2018
Kogi,Keana,NA,0.4,0.4,0.588,0,-1,2018
Koko-Besse,Birnin Kebbi,NA,0.756407446,0.756407446,0.588,0,-1,2018
Kokona,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Kolokuma-Opokuma,Ahoada West,NA,0.466858746,0.466858746,0.588,0,-1,2018
Konduga,Darazo,NA,0.6,0.6,0.588,0,-1,2018
Konshisha,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Kontagora,Oke-Ero,NA,0.385126606,0.385126606,0.588,0,-1,2018
Kosofe,Isoko South,NA,0.8,0.8,0.588,0,-1,2018
Kubau,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Kudan,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018
Kuje,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Kukawa,Babura,NA,0.72,0.72,0.588,0,-1,2018
Kumbotso,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Kunchi,Babura,NA,0.176892424,0.176892424,0.588,0,-1,2018
Kura,Gwarzo,NA,0.266666666,0.266666666,0.588,0,-1,2018
Kurfi,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Kurmi,Oru West,NA,0.48,0.48,0.588,0,-1,2018
Kusada,Rimi,NA,0.225,0.225,0.588,0,-1,2018
Kwali,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Kwami,Alkaleri,NA,0.08339344,0.08339344,0.588,0,-1,2018
Kwande,Oke-Ero,NA,0.226415276,0.226415276,0.588,0,-1,2018
Kware,Gawabawa,NA,0.24,0.24,0.588,0,-1,2018
Kwaya Kusar,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Lafia,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Lagelu,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Lagos Island,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Lagos Mainland,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Lamurde,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Langtang North,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Langtang South,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Lapai,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Lau,Alkaleri,NA,0.218181818,0.218181818,0.588,0,-1,2018
Lavun,Oke-Ero,NA,0.491330524,0.491330524,0.588,0,-1,2018
Lere,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Logo,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Lokoja,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Machina,Taura,NA,0.065615144,0.065615144,0.588,0,-1,2018
Madagali,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Madobi,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Mafa,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Magama,Oke-Ero,NA,0.362762164,0.362762164,0.588,0,-1,2018
Magumeri,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Mai'Adua,Rimi,NA,0.48,0.48,0.588,0,-1,2018
Maiduguri,Darazo,NA,0.037416476,0.037416476,0.588,0,-1,2018
Maigatari,Babura,NA,0.247083792,0.247083792,0.588,0,-1,2018
Maiha,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Maiyama,Birnin Kebbi,NA,0.8,0.8,0.588,0,-1,2018
Makoda,Babura,NA,0.72,0.72,0.588,0,-1,2018
Makurdi,Keana,NA,0.101243465,0.101243465,0.588,0,-1,2018
Malam Madori,Taura,NA,0.6,0.6,0.588,0,-1,2018
Malumfashi,Gwarzo,NA,0.8,0.8,0.588,0,-1,2018
Mangu,Darazo,NA,0.343598692,0.343598692,0.588,0,-1,2018
Mani,Rimi,NA,0.23985794,0.23985794,0.588,0,-1,2018
Maradun,Darazo,NA,0.088192787,0.088192787,0.588,0,-1,2018
Mariga,Oke-Ero,NA,0.12,0.12,0.588,0,-1,2018
Markafi,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Marte,Babura,NA,0.419132831,0.419132831,0.588,0,-1,2018
Maru,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018
Mashegu,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Mashi,Rimi,NA,0.2,0.2,0.588,0,-1,2018
Matazuu,Rimi,NA,0.342857143,0.342857143,0.588,0,-1,2018
Mayo-Belwa,Alkaleri,NA,0.654545454,0.654545454,0.588,0,-1,2018
Mbaitoli,Ngor-Okpala,NA,0.453256152,0.453256152,0.588,0,-1,2018
Mbo,Nsit Ubium,NA,0.12,0.12,0.588,0,-1,2018
Michika,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Miga,Taura,NA,0.133333333,0.133333333,0.588,0,-1,2018
Mikang,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Minjibir,Taura,NA,0.645549535,0.645549535,0.588,0,-1,2018
Misau,Darazo,NA,0.146964688,0.146964688,0.588,0,-1,2018
Mkpat Enin,Nsit Ubium,NA,0.455947176,0.455947176,0.588,0,-1,2018
Moba,Oke-Ero,NA,0.104395444,0.104395444,0.588,0,-1,2018
Mobbar,Babura,NA,0.628879777,0.628879777,0.588,0,-1,2018
Mokwa,Oke-Ero,NA,0.307056329,0.307056329,0.588,0,-1,2018
Monguno,Babura,NA,0.419132831,0.419132831,0.588,0,-1,2018
Mopa-Muro,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Moro,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Mubi North,Darazo,NA,0.267341536,0.267341536,0.588,0,-1,2018
Mubi South,Darazo,NA,0.067648787,0.067648787,0.588,0,-1,2018
Musawa,Gwarzo,NA,0.442105264,0.442105264,0.588,0,-1,2018
Mushin,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Muya,Giwa,NA,0.428571428,0.428571428,0.588,0,-1,2018
Nafada,Alkaleri,NA,0.241933644,0.241933644,0.588,0,-1,2018
Nangere,Darazo,NA,0.04,0.04,0.588,0,-1,2018
Nasarawa1,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Nasarawa2,Alkaleri,NA,0.439302734,0.439302734,0.588,0,-1,2018
Nasarawa-Eggon,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Ndokwa East,Ahoada West,NA,0.295753745,0.295753745,0.588,0,-1,2018
Ndokwa West,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Nembe,Ahoada West,NA,0.3,0.3,0.588,0,-1,2018
Ngala,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Nganzai,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Ngaski,Owan East,NA,0.725149144,0.725149144,0.588,0,-1,2018
Ngor-Okpala,Ngor-Okpala,NA,0.666666667,0.666666667,0.588,0,-1,2018
Nguru,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Ningi,Takali,NA,0.10309277,0.10309277,0.588,0,-1,2018
Njaba,Ngor-Okpala,NA,0.8,0.8,0.588,0,-1,2018
Njikoka,Uzo-Uwani,NA,0.8,0.8,0.588,0,-1,2018
Nkanu East,Owan East,NA,0.535487101,0.535487101,0.588,0,-1,2018
Nkanu West,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Nkwerre,Ngor-Okpala,NA,0.3,0.3,0.588,0,-1,2018
Nnewi North,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018
Nnewi South,Oru West,NA,0.688659812,0.688659812,0.588,0,-1,2018
Nsit Atai,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Nsit Ibom,Nsit Ubium,NA,0.3,0.3,0.588,0,-1,2018
Nsit Ubium,Nsit Ubium,NA,0.514285715,0.514285715,0.588,0,-1,2018
Nsukka,Uzo-Uwani,NA,0.486390544,0.486390544,0.588,0,-1,2018
Numan,Alkaleri,NA,0.776470589,0.776470589,0.588,0,-1,2018
Nwangele,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Obafemi-Owode,Owan East,NA,0.546557155,0.546557155,0.588,0,-1,2018
Obanliku,Obubra,NA,0.492116988,0.492116988,0.588,0,-1,2018
Obi Nwa,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Obi1,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Obi2,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Obia-Akpor,Ahoada West,NA,0.256180553,0.256180553,0.588,0,-1,2018
Obokun,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Obot Akara,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Obowo,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Obubra,Obubra,NA,0.492116988,0.492116988,0.588,0,-1,2018
Obudu,Obubra,NA,0.492116988,0.492116988,0.588,0,-1,2018
Odeda,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Odigbo,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Odogbolu,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Odo-Otin,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Odukpani,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Offa,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ofu,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ogbadibo,Ahoada West,NA,0.162815078,0.162815078,0.588,0,-1,2018
Ogba-Egbema-Ndoni,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ogbaru,Ahoada West,NA,0.8,0.8,0.588,0,-1,2018
Ogbia,Ahoada West,NA,0.295753745,0.295753745,0.588,0,-1,2018
Ogbomosho North,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ogbomosho South,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ogo Oluwa,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ogoja,Obubra,NA,0.492116988,0.492116988,0.588,0,-1,2018
Ogori-Mangongo,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ogu-Bolo,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Ogun waterside,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Oguta,Oru West,NA,0.6,0.6,0.588,0,-1,2018
Ohafia,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Ohaji-Egbema,Oru West,NA,0.560262854,0.560262854,0.588,0,-1,2018
Ohaozara,Obubra,NA,0.8,0.8,0.588,0,-1,2018
Ohaukwu,Owan East,NA,0.3,0.3,0.588,0,-1,2018
Ohimini,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Oji-River,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018
Ojo,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Oju,Oke-Ero,NA,0.079695446,0.079695446,0.588,0,-1,2018
Oke-Ero,Oke-Ero,NA,0.48,0.48,0.588,0,-1,2018
Okehi,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Okene,Owan East,NA,0.08768023,0.08768023,0.588,0,-1,2018
Okigwe,Ngor-Okpala,NA,0.4,0.4,0.588,0,-1,2018
Okitipupa,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Okobo,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Okpe,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Okpokwu,Akinyele,NA,0.171428572,0.171428572,0.588,0,-1,2018
Okrika,Nsit Ubium,NA,0.673545736,0.673545736,0.588,0,-1,2018
Olamabolo,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ola-oluwa,Owan East,NA,0.4,0.4,0.588,0,-1,2018
Olorunda,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Olorunsogo,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Oluyole,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Omala,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Omumma,Ngor-Okpala,NA,0.085213102,0.085213102,0.588,0,-1,2018
Ona-Ara,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ondo East,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ondo West,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Onicha,Obubra,NA,0.450828737,0.450828737,0.588,0,-1,2018
Onitsha North,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Onitsha South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Onna,Nsit Ubium,NA,0.431020367,0.431020367,0.588,0,-1,2018
Opobo-Nkoro,Nsit Ubium,NA,0.732527893,0.732527893,0.588,0,-1,2018
Oredo,Uzo-Uwani,NA,0.380597126,0.380597126,0.588,0,-1,2018
Orelope,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Orhionmwon,Uzo-Uwani,NA,0.21858952,0.21858952,0.588,0,-1,2018
Ori Ire,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Oriade,Oke-Ero,NA,0.407424746,0.407424746,0.588,0,-1,2018
Orlu,Oru West,NA,0.3,0.3,0.588,0,-1,2018
Orolu,Oke-Ero,NA,0.363636454,0.363636454,0.588,0,-1,2018
Oron,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Orsu,Oru West,NA,0.309193663,0.309193663,0.588,0,-1,2018
Oru East,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018
Oru West,Oru West,NA,0.519797429,0.519797429,0.588,0,-1,2018
Oruk Anam,Nsit Ubium,NA,0.351515195,0.351515195,0.588,0,-1,2018
Orumba North,Oru West,NA,0.57692304,0.57692304,0.588,0,-1,2018
Orumba South,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018
Ose,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Oshimili North,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Oshimili South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Oshodi-Isolo,Uzo-Uwani,NA,0.3,0.3,0.588,0,-1,2018
Osisioma Ngwa,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Osogbo,Owan East,NA,0.6,0.6,0.588,0,-1,2018
Oturkpo,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ovia North East,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ovia South West,Akinyele,NA,0.171428572,0.171428572,0.588,0,-1,2018
Owan East,Owan East,NA,0.24,0.24,0.588,0,-1,2018
Owan West,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Owerri North,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Owerri West,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Owerri-Municipal,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018
Owo,Owan East,NA,0.17474589,0.17474589,0.588,0,-1,2018
Oye,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Oyi,Uzo-Uwani,NA,0.8,0.8,0.588,0,-1,2018
Oyigbo,Nsit Ubium,NA,0.6,0.6,0.588,0,-1,2018
Oyo East,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Oyo West,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Oyun,Oke-Ero,NA,0.6163169,0.6163169,0.588,0,-1,2018
Pailoro,Oke-Ero,NA,0.252294254,0.252294254,0.588,0,-1,2018
Pankshin,Alkaleri,NA,0.4,0.4,0.588,0,-1,2018
Patani,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Pategi,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Port-Harcourt,Ahoada West,NA,0.368054386,0.368054386,0.588,0,-1,2018
Potiskum,Darazo,NA,0.016776478,0.016776478,0.588,0,-1,2018
Qua'an Pan,Keana,NA,0.150335552,0.150335552,0.588,0,-1,2018
Rabah,Gawabawa,NA,0.4,0.4,0.588,0,-1,2018
Rafi,Oke-Ero,NA,0.595709149,0.595709149,0.588,0,-1,2018
Rano,Gwarzo,NA,0.266666666,0.266666666,0.588,0,-1,2018
Remo North,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Rijau,Alkaleri,NA,0.9,0.9,0.588,0,-1,2018
Rimi,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Rimin Gado,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Ringim,Taura,NA,0.4,0.4,0.588,0,-1,2018
Riyom,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Rogo,Gwarzo,NA,0.4,0.4,0.588,0,-1,2018
Roni,Babura,NA,0.419132831,0.419132831,0.588,0,-1,2018
Sabon Birni,Gawabawa,NA,0.148640449,0.148640449,0.588,0,-1,2018
Sabon-Gari,Soba,NA,0.06562088,0.06562088,0.588,0,-1,2018
Sabuwa,Giwa,NA,0.6,0.6,0.588,0,-1,2018
Safana,Babura,NA,0.533333333,0.533333333,0.588,0,-1,2018
Sagbama,Ahoada West,NA,0.502480781,0.502480781,0.588,0,-1,2018
Sakaba,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Saki East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Saki West,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Sandamu,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Sanga,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Sapele,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Sardauna,Oru West,NA,0.247876946,0.247876946,0.588,0,-1,2018
Shagamu,Uzo-Uwani,NA,0.544846867,0.544846867,0.588,0,-1,2018
Shagari,Birnin Kebbi,NA,0.18,0.18,0.588,0,-1,2018
Shanga,Birnin Kebbi,NA,0.857142857,0.857142857,0.588,0,-1,2018
Shani,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Shanono,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Shelleng,Darazo,NA,0.408225536,0.408225536,0.588,0,-1,2018
Shendam,Keana,NA,0.165779408,0.165779408,0.588,0,-1,2018
Shinkafi,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Shira,Takali,NA,0.247665847,0.247665847,0.588,0,-1,2018
Shiroro,Oke-Ero,NA,0.511686019,0.511686019,0.588,0,-1,2018
Shomgom,Alkaleri,NA,0.169685752,0.169685752,0.588,0,-1,2018
Shomolu,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Silame,Gawabawa,NA,0.1,0.1,0.588,0,-1,2018
Soba,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Sokoto North,Gawabawa,NA,0.2,0.2,0.588,0,-1,2018
Sokoto South,Birnin Kebbi,NA,0.506706816,0.506706816,0.588,0,-1,2018
Song,Darazo,NA,0.366857143,0.366857143,0.588,0,-1,2018
Southern Ijaw,Ahoada West,NA,0.295753745,0.295753745,0.588,0,-1,2018
Suleja,Babura,NA,0.442105264,0.442105264,0.588,0,-1,2018
Sule-Tankarkar,Giwa,NA,0.388621428,0.388621428,0.588,0,-1,2018
Sumaila,Takali,NA,0.75,0.75,0.588,0,-1,2018
Suru,Birnin Kebbi,NA,0.64,0.64,0.588,0,-1,2018
Surulere1,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Surulere2,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Tafa,Oke-Ero,NA,0.6,0.6,0.588,0,-1,2018
Tafawa-Balewa,Alkaleri,NA,0.277448396,0.277448396,0.588,0,-1,2018
Tai,Nsit Ubium,NA,0.093559339,0.093559339,0.588,0,-1,2018
Takali,Takali,NA,0.321885248,0.321885248,0.588,0,-1,2018
Takum,Keana,NA,0.181643386,0.181643386,0.588,0,-1,2018
Talata Mafara,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Tambuwal,Birnin Kebbi,NA,0.083153734,0.083153734,0.588,0,-1,2018
Tangaza,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Tarauni,Alkaleri,NA,0.811023636,0.811023636,0.588,0,-1,2018
Tarka,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Tarmua,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Taura,Taura,NA,0.494117647,0.494117647,0.588,0,-1,2018
Tofa,Taura,NA,0.276923077,0.276923077,0.588,0,-1,2018
Toro,Giwa,NA,0.24554137,0.24554137,0.588,0,-1,2018
Toto,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Toungo,Keana,NA,0.085714285,0.085714285,0.588,0,-1,2018
