LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Balanga,Alkaleri,0.235581882,0.235581882,0.539,0,-1,2018
Bali,Keana,0.361833747,0.361833747,0.539,0,-1,2018
Bama,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Barikin Ladi,Soba,0.022544159,0.022544159,0.539,0,-1,2018
Baruten,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Bassa1,Keana,0.22,0.22,0.539,0,-1,2018
Bassa2,Soba,0.022544159,0.022544159,0.539,0,-1,2018
Batagarawa,Rimi,0.410384619,0.410384619,0.539,0,-1,2018
Batsari,Rimi,0.366666666,0.366666666,0.539,0,-1,2018
Bauchi,Alkaleri,0.029785241,0.029785241,0.539,0,-1,2018
Baure,Babura,0.392857143,0.392857143,0.539,0,-1,2018
Bayo,Alkaleri,0.55,0.55,0.539,0,-1,2018
Bebeji,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018
Bekwara,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Bende,Ngor-Okpala,0.193518384,0.193518384,0.539,0,-1,2018
Biase,Ngor-Okpala,0.646831142,0.646831142,0.539,0,-1,2018
Bichi,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018
Bida,Oke-Ero,0.55,0.55,0.539,0,-1,2018
Billiri,Alkaleri,0.366666666,0.366666666,0.539,0,-1,2018
Bindawa,Rimi,0.11,0.11,0.539,0,-1,2018
Binji,Gawabawa,0.275,0.275,0.539,0,-1,2018
Biriniwa,Taura,0.183333334,0.183333334,0.539,0,-1,2018
Birni Kudu,Takali,0.246381391,0.246381391,0.539,0,-1,2018
Birnin Kebbi,Birnin Kebbi,0.630233677,0.630233677,0.539,0,-1,2018
Birnin Magaji,Rimi,0.230995129,0.230995129,0.539,0,-1,2018
Birnin-Gwari,Giwa,0.143559165,0.143559165,0.539,0,-1,2018
Biu,Darazo,0.55,0.55,0.539,0,-1,2018
Bodinga,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018
Bogoro,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018
Boki,Obubra,0.275,0.275,0.539,0,-1,2018
Bokkos,Giwa,0.143559165,0.143559165,0.539,0,-1,2018
Boluwaduro,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Bomadi,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018
Bonny,Nsit Ubium,0.65620196,0.65620196,0.539,0,-1,2018
Borgu,Oke-Ero,0.314285715,0.314285715,0.539,0,-1,2018
Boripe,Akinyele,0.366666666,0.366666666,0.539,0,-1,2018
Bosso,Keana,0.237664545,0.237664545,0.539,0,-1,2018
Brass,Ahoada West,0.565913274,0.565913274,0.539,0,-1,2018
Buji,Takali,0.196630499,0.196630499,0.539,0,-1,2018
Bukkuyum,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018
Bungudu,Takali,0.326944632,0.326944632,0.539,0,-1,2018
Bunkure,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018
Bunza,Birnin Kebbi,0.464481248,0.464481248,0.539,0,-1,2018
Bursari,Taura,0.1375,0.1375,0.539,0,-1,2018
Buruku,Keana,0.220000042,0.220000042,0.539,0,-1,2018
Burutu,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018
Bwari,Giwa,0.169695837,0.169695837,0.539,0,-1,2018
Calabar South,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018
Calabar-Municipal,Nsit Ubium,0.329713644,0.329713644,0.539,0,-1,2018
Chanchaga,Keana,0.427862065,0.427862065,0.539,0,-1,2018
Charanchi,Rimi,0.115789474,0.115789474,0.539,0,-1,2018
Chibok,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Chikun,Soba,0.022544159,0.022544159,0.539,0,-1,2018
Dala,Alkaleri,0.850046207,0.850046207,0.539,0,-1,2018
Damaturu,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Damban,Darazo,0.366666666,0.366666666,0.539,0,-1,2018
Dambatta,Babura,0.366666666,0.366666666,0.539,0,-1,2018
Damboa,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Dan Musa,Rimi,0.230995129,0.230995129,0.539,0,-1,2018
Dandi,Birnin Kebbi,0.384015973,0.384015973,0.539,0,-1,2018
Dandume,Giwa,0.143559165,0.143559165,0.539,0,-1,2018
Dange-Shnsi,Gawabawa,0.1375,0.1375,0.539,0,-1,2018
Danja,Giwa,0.143559165,0.143559165,0.539,0,-1,2018
Darazo,Darazo,0.177267873,0.177267873,0.539,0,-1,2018
Dass,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018
Daura,Babura,0.222453485,0.222453485,0.539,0,-1,2018
Dawakin Kudu,Gwarzo,0.3,0.3,0.539,0,-1,2018
Dawakin Tofa,Taura,0.2,0.2,0.539,0,-1,2018
Degema,Ahoada West,0.275,0.275,0.539,0,-1,2018
Dekina,Owan East,0.209327539,0.209327539,0.539,0,-1,2018
Demsa,Alkaleri,0.772185534,0.772185534,0.539,0,-1,2018
Dikwa,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Doguwa,Giwa,0.143478261,0.143478261,0.539,0,-1,2018
Doma,Keana,0.194905934,0.194905934,0.539,0,-1,2018
Donga,Keana,0.313411568,0.313411568,0.539,0,-1,2018
Dukku,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Dunukofia,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Dutse,Takali,0.163336843,0.163336843,0.539,0,-1,2018
Dutsi,Rimi,0.253846154,0.253846154,0.539,0,-1,2018
Dutsin-Ma,Rimi,0.230995129,0.230995129,0.539,0,-1,2018
Eastern Obolo,Nsit Ubium,0.66,0.66,0.539,0,-1,2018
Ebonyi,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Edati,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ede North,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ede South,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Edu,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Efon-Alayee,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Egbado North,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Egbado South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Egbeda,Akinyele,0.11804849,0.11804849,0.539,0,-1,2018
Egbedore,Akinyele,0.596059123,0.596059123,0.539,0,-1,2018
Egor,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ehime-Mbano,Ngor-Okpala,0.650511935,0.650511935,0.539,0,-1,2018
Ejigbo,Akinyele,0.237497982,0.237497982,0.539,0,-1,2018
Ekeremor,Ahoada West,0.226521266,0.226521266,0.539,0,-1,2018
Eket,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018
Ekiti,Oke-Ero,0.8,0.8,0.539,0,-1,2018
Ekiti East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ekiti South West,Oke-Ero,0.508750063,0.508750063,0.539,0,-1,2018
Ekiti West,Oke-Ero,0.178434962,0.178434962,0.539,0,-1,2018
Ekwusigo,Oru West,0.8,0.8,0.539,0,-1,2018
Eleme,Ahoada West,0.166862864,0.166862864,0.539,0,-1,2018
Emohua,Ahoada West,0.183333334,0.183333334,0.539,0,-1,2018
Emure,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Enugu East,Uzo-Uwani,0.8,0.8,0.539,0,-1,2018
Enugu North,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Enugu South,Uzo-Uwani,0.566382859,0.566382859,0.539,0,-1,2018
Epe,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Esan Central,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Esan North East,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Esan South East,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Esan West,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ese-Odo,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Esit Eket,Nsit Ubium,0.078571428,0.078571428,0.539,0,-1,2018
Essien Udim,Ngor-Okpala,0.241209869,0.241209869,0.539,0,-1,2018
Etche,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Ethiope East,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018
Ethiope West,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018
Etim Ekpo,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018
Etinan,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Eti-Osa,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018
Etsako Central,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Etsako East,Owan East,0.085749665,0.085749665,0.539,0,-1,2018
Etsako West,Owan East,0.088386745,0.088386745,0.539,0,-1,2018
Etung,Obubra,0.22,0.22,0.539,0,-1,2018
Ewekoro,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ezeagu,Uzo-Uwani,0.478039662,0.478039662,0.539,0,-1,2018
Ezinihitte,Ngor-Okpala,0.427854187,0.427854187,0.539,0,-1,2018
Ezza North,Owan East,0.209523809,0.209523809,0.539,0,-1,2018
Ezza South,Obubra,0.526730552,0.526730552,0.539,0,-1,2018
Fagge,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018
Fakai,Birnin Kebbi,0.733333334,0.733333334,0.539,0,-1,2018
Faskari,Giwa,0.143559165,0.143559165,0.539,0,-1,2018
Fika,Darazo,0.104761905,0.104761905,0.539,0,-1,2018
Fufore,Alkaleri,0.153208125,0.153208125,0.539,0,-1,2018
Funakaye,Alkaleri,0.05,0.05,0.539,0,-1,2018
Fune,Darazo,0.034692823,0.034692823,0.539,0,-1,2018
Funtua,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018
Gabasawa,Taura,0.192420845,0.192420845,0.539,0,-1,2018
Gada,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018
Gagarawa,Taura,0.192420845,0.192420845,0.539,0,-1,2018
Gamawa,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018
Ganaye,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018
Ganjuwa,Darazo,0.112008861,0.112008861,0.539,0,-1,2018
Garki,Babura,0.733333334,0.733333334,0.539,0,-1,2018
Garko,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018
Garum Mallam,Gwarzo,0.169230769,0.169230769,0.539,0,-1,2018
Gashaka,Oru West,0.452185171,0.452185171,0.539,0,-1,2018
Gassol,Keana,0.09475009,0.09475009,0.539,0,-1,2018
Gawabawa,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018
Gaya,Gwarzo,0.183333334,0.183333334,0.539,0,-1,2018
Gbako,Oke-Ero,0.507692308,0.507692308,0.539,0,-1,2018
Gboko,Keana,0.154309465,0.154309465,0.539,0,-1,2018
Gboyin,Obubra,0.482352856,0.482352856,0.539,0,-1,2018
Geidam,Babura,0.384205095,0.384205095,0.539,0,-1,2018
Gezawa,Gwarzo,0.275,0.275,0.539,0,-1,2018
Giade,Darazo,0.157142857,0.157142857,0.539,0,-1,2018
Gireri,Darazo,0.089091333,0.089091333,0.539,0,-1,2018
Giwa,Giwa,0.143559165,0.143559165,0.539,0,-1,2018
Gokana,Nsit Ubium,0.200322706,0.200322706,0.539,0,-1,2018
Gombe,Alkaleri,0.127786511,0.127786511,0.539,0,-1,2018
Gombi,Alkaleri,0.229718796,0.229718796,0.539,0,-1,2018
Goronyo,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018
Gubio,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018
Gudu,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018
Gujba,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Gulani,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018
Guma,Keana,0.347010347,0.347010347,0.539,0,-1,2018
Gumel,Babura,0.275,0.275,0.539,0,-1,2018
Gummi,Birnin Kebbi,0.464481248,0.464481248,0.539,0,-1,2018
Gurara,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Guri,Taura,0.192420845,0.192420845,0.539,0,-1,2018
Gusau,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Guyuk,Alkaleri,0.528776994,0.528776994,0.539,0,-1,2018
Guzamala,Babura,0.384205095,0.384205095,0.539,0,-1,2018
Gwagwalada,Keana,0.074383433,0.074383433,0.539,0,-1,2018
Gwale,Alkaleri,0.505414437,0.505414437,0.539,0,-1,2018
Gwandu,Birnin Kebbi,0.582352942,0.582352942,0.539,0,-1,2018
Gwaram,Takali,0.245848605,0.245848605,0.539,0,-1,2018
Gwarzo,Gwarzo,0.44,0.44,0.539,0,-1,2018
Gwer East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Gwer West,Keana,0.366666666,0.366666666,0.539,0,-1,2018
Gwiwa,Babura,0.366666666,0.366666666,0.539,0,-1,2018
Gwoza,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Hadejia,Taura,0.192420845,0.192420845,0.539,0,-1,2018
Hawul,Darazo,0.243692308,0.243692308,0.539,0,-1,2018
Hong,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Ibadan North,Owan East,0.273946391,0.273946391,0.539,0,-1,2018
Ibadan North East,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ibadan North West,Owan East,0.129513435,0.129513435,0.539,0,-1,2018
Ibadan South East,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ibadan South West,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ibaji,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ibarapa Central,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ibarapa East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ibarapa North,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ibeju-Lekki,Uzo-Uwani,0.55,0.55,0.539,0,-1,2018
Ibeno,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018
Ibesikpo Asutan,Nsit Ubium,0.257446804,0.257446804,0.539,0,-1,2018
Ibi,Keana,0.194905934,0.194905934,0.539,0,-1,2018
Ibiono Ibom,Ngor-Okpala,0.156569339,0.156569339,0.539,0,-1,2018
Idah,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Idanre,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ideato North,Oru West,0.8,0.8,0.539,0,-1,2018
Ideato South,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Idemili North,Uzo-Uwani,0.68439853,0.68439853,0.539,0,-1,2018
Idemili South,Oru West,0.336604079,0.336604079,0.539,0,-1,2018
Ido,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Idosi-Osi,Oke-Ero,0.096818932,0.096818932,0.539,0,-1,2018
Ifako-Ijaye,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ife Central,Akinyele,0.582352825,0.582352825,0.539,0,-1,2018
Ife East,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ife North,Akinyele,0.55,0.55,0.539,0,-1,2018
Ife South,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ifedayo,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ifedore,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ifelodun1,Oke-Ero,0.15374592,0.15374592,0.539,0,-1,2018
Ifelodun2,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ifo,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Igabi,Soba,0.022544159,0.022544159,0.539,0,-1,2018
Igalamela-Odolu,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Igbo-Etiti,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Igbo-Eze North,Uzo-Uwani,0.093916503,0.093916503,0.539,0,-1,2018
Igbo-Eze South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Igueben,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ihiala,Oru West,0.318999971,0.318999971,0.539,0,-1,2018
Ihitte-Uboma,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Ijebu East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ijebu North,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ijebu North East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ijebu ode,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ijero,Oke-Ero,0.217658681,0.217658681,0.539,0,-1,2018
Ijumu,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ika,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Ika North East,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ika South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ikara,Soba,0.022544159,0.022544159,0.539,0,-1,2018
Ikeduru,Ngor-Okpala,0.204481885,0.204481885,0.539,0,-1,2018
Ikeja,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ikenne,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ikere,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ikole,Oke-Ero,0.02896121,0.02896121,0.539,0,-1,2018
Ikom,Obubra,0.451107239,0.451107239,0.539,0,-1,2018
Ikono,Ngor-Okpala,0.55,0.55,0.539,0,-1,2018
Ikorodu,Uzo-Uwani,0.175458207,0.175458207,0.539,0,-1,2018
Ikot Abasi,Nsit Ubium,0.55,0.55,0.539,0,-1,2018
Ikot Ekpene,Ngor-Okpala,0.179641708,0.179641708,0.539,0,-1,2018
Ikpoba-Okha,Uzo-Uwani,0.18824407,0.18824407,0.539,0,-1,2018
Ikwerre,Oru West,0.351436385,0.351436385,0.539,0,-1,2018
Ikwo,Obubra,0.521071561,0.521071561,0.539,0,-1,2018
Ikwuano,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Ila,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ilaje,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ilemeji,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ile-Oluji-Okeigbo,Oke-Ero,0.488888888,0.488888888,0.539,0,-1,2018
Ilesha East,Owan East,0.55,0.55,0.539,0,-1,2018
Ilesha West,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Illela,Gawabawa,0.025833591,0.025833591,0.539,0,-1,2018
Ilorin East,Oke-Ero,0.427824932,0.427824932,0.539,0,-1,2018
Ilorin South,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ilorin West,Owan East,0.369599955,0.369599955,0.539,0,-1,2018
Imeko-Afon,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Ingawa,Rimi,0.061111112,0.061111112,0.539,0,-1,2018
Ini,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Ipokia,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Irele,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Irepo,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Irepodun1,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Irepodun2,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Irepodun-Ifelodun,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Irewole,Akinyele,0.525000061,0.525000061,0.539,0,-1,2018
Isa,Rimi,0.230995129,0.230995129,0.539,0,-1,2018
Ise-Orun,Oke-Ero,0.55,0.55,0.539,0,-1,2018
Iseyin,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ishielu,Owan East,0.258209102,0.258209102,0.539,0,-1,2018
Isiala Mbano,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Isiala-Ngwa North,Ngor-Okpala,0.37340813,0.37340813,0.539,0,-1,2018
Isiala-Ngwa South,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Isin,Ngor-Okpala,0.586368322,0.586368322,0.539,0,-1,2018
Isi-Uzo,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Isokan,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Isoko North,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018
Isoko South,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018
Isu,Ngor-Okpala,0.55,0.55,0.539,0,-1,2018
Isuikwato,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Itas-Gadau,Taura,0.191717479,0.191717479,0.539,0,-1,2018
Itesiwaju,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Itu,Ngor-Okpala,0.733333334,0.733333334,0.539,0,-1,2018
Ivo,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Iwajowa,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Iwo,Akinyele,0.510434128,0.510434128,0.539,0,-1,2018
