LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins1,mortality,kill_rate,block_initial
Hong,Darazo,2023,Hong,0.791304348,0.577777777,0.313793103,0.500000001,2,july,1281,PBO,0.634881453,0.750094944,0.823212171
Lamurde,Alkaleri,2020,Lamurde,0.413636363,0.185714286,0.472727273,0.524193548,1,july,186,PBO,0.429924862,0.742682577,0.65
Lamurde,Alkaleri,2023,Lamurde,0.413636363,0.185714286,0.472727273,0.524193548,2,july,1281,PBO,0.429924862,0.742682577,0.65
Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.832,0.24375,0.572,0.570175438,1,july,186,PBO,0.615915722,0.74977065,0.805165057
Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.832,0.24375,0.572,0.570175438,2,july,1281,PBO,0.615915722,0.74977065,0.805165057
Numan,Alkaleri,2020,Numan,1,0.56875,0.478947369,0.794444444,1,july,186,PBO,0.518273564,0.747251003,0.678387
Numan,Alkaleri,2023,Numan,1,0.56875,0.478947369,0.794444444,2,july,1281,PBO,0.518273564,0.747251003,0.678387
Shelleng,Darazo,2020,Shelleng,0.473668913,0.382878759,0.410938242,0.476118486,1,july,186,PBO,0.58914423,0.749238946,0.776450833
Shelleng,Darazo,2023,Shelleng,0.473668913,0.382878759,0.410938242,0.476118486,2,july,1281,PBO,0.58914423,0.749238946,0.776450833
Itu,Ngor-Okpala,2021,Itu,0.395751899,0.346415832,0.285097415,0.026530612,1,june,527,PBO,0.415010863,0.741523913,0.65
Itu,Ngor-Okpala,2024,Itu,0.395751899,0.346415832,0.285097415,0.026530612,2,june,1622,PBO,0.415010863,0.741523913,0.65
Song,Darazo,2020,Song,0.62568898,0.737159093,0.636003456,0.64263254,1,july,186,PBO,0.551949619,0.748320258,0.729369132
Song,Darazo,2023,Song,0.62568898,0.737159093,0.636003456,0.64263254,2,july,1281,PBO,0.551949619,0.748320258,0.729369132
Yola North,Alkaleri,2020,Yola North,0.635838752,0.591225701,0.538562996,0.532208149,1,july,186,PBO,0.581884889,0.749077617,0.767953208
Yola North,Alkaleri,2023,Yola North,0.635838752,0.591225701,0.538562996,0.532208149,2,july,1281,PBO,0.581884889,0.749077617,0.767953208
Yola South,Alkaleri,2020,Yola South,0.680952381,0.4875,0.577777777,0.337037037,1,july,186,PBO,0.57254926,0.748858066,0.756547718
Yola South,Alkaleri,2023,Yola South,0.680952381,0.4875,0.577777777,0.337037037,2,july,1281,PBO,0.57254926,0.748858066,0.756547718
Abak,Nsit Ubium,2021,Abak,0.152941177,0.086666667,0.226086956,0.213114754,1,june,527,PBO,0.358412263,0.735378725,0.65
Abak,Nsit Ubium,2024,Abak,0.152941177,0.086666667,0.226086956,0.213114754,2,june,1622,PBO,0.358412263,0.735378725,0.65
Awka North,Uzo-Uwani,2020,Awka North,0.309523809,0.185714286,0.113043479,0.273684211,1,june,162,PBO,0.388205397,0.739012279,0.65
Awka North,Uzo-Uwani,2023,Awka North,0.309523809,0.185714286,0.113043479,0.273684211,2,june,1257,PBO,0.388205397,0.739012279,0.65
Eket,Nsit Ubium,2021,Eket,0.472727273,0.433333333,0.455,0.413636363,1,june,527,PBO,0.238612216,0.701507165,0.65
Eket,Nsit Ubium,2024,Eket,0.472727273,0.433333333,0.455,0.413636363,2,june,1622,PBO,0.238612216,0.701507165,0.65
Esit Eket,Nsit Ubium,2021,Esit Eket,0.835714286,0.52,0.210810811,0.637735849,1,june,527,PBO,0.262279676,0.712184003,0.65
Esit Eket,Nsit Ubium,2024,Esit Eket,0.835714286,0.52,0.210810811,0.637735849,2,june,1622,PBO,0.262279676,0.712184003,0.65
Essien Udim,Ngor-Okpala,2021,Essien Udim,0.525411978,0.545123059,0.132359449,0.323371227,1,june,527,PBO,0.369824263,0.73689371,0.65
Essien Udim,Ngor-Okpala,2024,Essien Udim,0.525411978,0.545123059,0.132359449,0.323371227,2,june,1622,PBO,0.369824263,0.73689371,0.65
Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.395751899,0.346415832,0.285097415,0.346984182,1,june,527,PBO,0.326319464,0.730073677,0.65
Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.395751899,0.346415832,0.285097415,0.346984182,2,june,1622,PBO,0.326319464,0.730073677,0.65
Etinan,Nsit Ubium,2021,Etinan,0.3,0.216666667,0.263339795,0.185714286,1,june,527,PBO,0.271254927,0.715522394,0.65
Etinan,Nsit Ubium,2024,Etinan,0.3,0.216666667,0.263339795,0.185714286,2,june,1622,PBO,0.271254927,0.715522394,0.65
Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.411224525,0.474999959,0.343396238,0.383985776,1,june,527,PBO,0.364757188,0.736241633,0.65
Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.411224525,0.474999959,0.343396238,0.383985776,2,june,1622,PBO,0.364757188,0.736241633,0.65
Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.885048726,0.733364355,0.452111108,0.673445713,1,june,527,PBO,0.383194312,0.738470498,0.65
Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.885048726,0.733364355,0.452111108,0.673445713,2,june,1622,PBO,0.383194312,0.738470498,0.65
Ika,Ngor-Okpala,2021,Ika,0.395751899,0.346415832,0.285097415,0.346984182,1,june,527,PBO,0.281330517,0.718884411,0.65
Ika,Ngor-Okpala,2024,Ika,0.395751899,0.346415832,0.285097415,0.346984182,2,june,1622,PBO,0.281330517,0.718884411,0.65
Ikono,Ngor-Okpala,2021,Ikono,0.216666667,0.152941177,0.379166667,0.242372881,1,june,527,PBO,0.3504186,0.734212445,0.65
Ikono,Ngor-Okpala,2024,Ikono,0.216666667,0.152941177,0.379166667,0.242372881,2,june,1622,PBO,0.3504186,0.734212445,0.65
Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.452173913,0.600000001,0.39,0.16,1,june,527,PBO,0.194063012,0.671004892,0.65
Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.452173913,0.600000001,0.39,0.16,2,june,1622,PBO,0.194063012,0.671004892,0.65
Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.072870837,0.346415832,0.260624165,0.151940481,1,june,527,PBO,0.356519334,0.735110776,0.65
Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.072870837,0.346415832,0.260624165,0.151940481,2,june,1622,PBO,0.356519334,0.735110776,0.65
Ini,Ngor-Okpala,2021,Ini,0.9,0.464285714,0.693333333,0.663265307,1,june,527,PBO,0.395911217,0.739797918,0.65
Ini,Ngor-Okpala,2024,Ini,0.9,0.464285714,0.693333333,0.663265307,2,june,1622,PBO,0.395911217,0.739797918,0.65
Mkpat Enin,Nsit Ubium,2021,Mkpat Enin,0.783696696,0.493144436,0.437211502,0.494340915,1,june,527,PBO,0.225930858,0.694424558,0.65
Mkpat Enin,Nsit Ubium,2024,Mkpat Enin,0.783696696,0.493144436,0.437211502,0.494340915,2,june,1622,PBO,0.225930858,0.694424558,0.65
Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.434804084,0.382450966,0.263339795,0.296168328,1,june,527,PBO,0.243345201,0.703887208,0.65
Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.434804084,0.382450966,0.263339795,0.296168328,2,june,1622,PBO,0.243345201,0.703887208,0.65
Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.26,0.1,0.263339795,0.22,1,june,527,PBO,0.357951303,0.735313932,0.65
Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.26,0.1,0.263339795,0.22,2,june,1622,PBO,0.357951303,0.735313932,0.65
Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.382352941,0.709090909,0.177272727,0.381034482,1,june,527,PBO,0.247213687,0.705735631,0.65
Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.382352941,0.709090909,0.177272727,0.381034482,2,june,1622,PBO,0.247213687,0.705735631,0.65
Awka South,Uzo-Uwani,2020,Awka South,0.15,0.291338145,0.208065627,0.072222223,1,june,162,PBO,0.431794981,0.74281757,0.65
Awka South,Uzo-Uwani,2023,Awka South,0.15,0.291338145,0.208065627,0.072222223,2,june,1257,PBO,0.431794981,0.74281757,0.65
Obot Akara,Ngor-Okpala,2021,Obot Akara,0.458823529,0.577777777,0.3,0.387719298,1,june,527,PBO,0.376065149,0.737654581,0.65
Obot Akara,Ngor-Okpala,2024,Obot Akara,0.458823529,0.577777777,0.3,0.387719298,2,june,1622,PBO,0.376065149,0.737654581,0.65
Okobo,Nsit Ubium,2021,Okobo,0.39,0.288888889,0.590909092,0.378181818,1,june,527,PBO,0.269257198,0.714808808,0.65
Okobo,Nsit Ubium,2024,Okobo,0.39,0.288888889,0.590909092,0.378181818,2,june,1622,PBO,0.269257198,0.714808808,0.65
Onna,Nsit Ubium,2021,Onna,0.539971558,0.535370736,0.285721925,0.533783515,1,june,527,PBO,0.191877243,0.66904259,0.65
Onna,Nsit Ubium,2024,Onna,0.539971558,0.535370736,0.285721925,0.533783515,2,june,1622,PBO,0.191877243,0.66904259,0.65
Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.448920832,0.561052652,0.310869493,0.369731111,1,june,527,PBO,0.312496984,0.727192018,0.65
Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.448920832,0.561052652,0.310869493,0.369731111,2,june,1622,PBO,0.312496984,0.727192018,0.65
Ukanafun,Nsit Ubium,2021,Ukanafun,0.345088415,0.370625384,0.133362423,0.181576126,1,june,527,PBO,0.340679142,0.732660403,0.65
Ukanafun,Nsit Ubium,2024,Ukanafun,0.345088415,0.370625384,0.133362423,0.181576126,2,june,1622,PBO,0.340679142,0.732660403,0.65
Uruan,Nsit Ubium,2021,Uruan,0.436332247,0.393421106,0.280698006,0.338138865,1,june,527,PBO,0.401030149,0.74029001,0.65
Uruan,Nsit Ubium,2024,Uruan,0.436332247,0.393421106,0.280698006,0.338138865,2,june,1622,PBO,0.401030149,0.74029001,0.65
Urue-Offong/Oruko,Nsit Ubium,2021,Urue-Offong-Oruko,0.547368422,0.4,0.270833333,0.417857142,1,june,527,PBO,0.204236897,0.679485559,0.65
Urue-Offong/Oruko,Nsit Ubium,2024,Urue-Offong-Oruko,0.547368422,0.4,0.270833333,0.417857142,2,june,1622,PBO,0.204236897,0.679485559,0.65
Ayamelum,Uzo-Uwani,2020,Ayamelum,0.293800001,0.117254903,0.072994656,0.193366833,1,june,162,PBO,0.436497382,0.743147601,0.65
Ayamelum,Uzo-Uwani,2023,Ayamelum,0.293800001,0.117254903,0.072994656,0.193366833,2,june,1257,PBO,0.436497382,0.743147601,0.65
Uyo,Nsit Ubium,2021,Uyo,0.246854347,0.100732273,0.141726694,0.160119395,1,june,527,PBO,0.399966547,0.74018964,0.65
Uyo,Nsit Ubium,2024,Uyo,0.246854347,0.100732273,0.141726694,0.160119395,2,june,1622,PBO,0.399966547,0.74018964,0.65
Aguata,Oru West,2020,Aguata,0.332605612,0.503144816,0.311535632,0.308966046,1,june,162,PBO,0.454034567,0.744268911,0.65
Aguata,Oru West,2023,Aguata,0.332605612,0.503144816,0.311535632,0.308966046,2,june,1257,PBO,0.454034567,0.744268911,0.65
Anambra East,Uzo-Uwani,2020,Anambra East,0.139285714,0.291338145,0.13,0.045614035,1,june,162,PBO,0.375672105,0.737607983,0.65
Anambra East,Uzo-Uwani,2023,Anambra East,0.139285714,0.291338145,0.13,0.045614035,2,june,1257,PBO,0.375672105,0.737607983,0.65
Anambra West,Uzo-Uwani,2020,Anambra West,0.422041503,0.481244804,0.345280242,0.361916955,1,june,162,PBO,0.39176502,0.739382126,0.65
Anambra West,Uzo-Uwani,2023,Anambra West,0.422041503,0.481244804,0.345280242,0.361916955,2,june,1257,PBO,0.39176502,0.739382126,0.65
Anaocha,Oru West,2020,Anaocha,0.23543038,0.161015183,0.198594629,0.136520803,1,june,162,PBO,0.420247823,0.741948071,0.65
Anaocha,Oru West,2023,Anaocha,0.23543038,0.161015183,0.198594629,0.136520803,2,june,1257,PBO,0.420247823,0.741948071,0.65
Dunukofia,Uzo-Uwani,2020,Dunukofia,0.359432533,0.291338145,0.208065627,0.245494842,1,june,162,PBO,0.421451191,0.742042811,0.65
Dunukofia,Uzo-Uwani,2023,Dunukofia,0.359432533,0.291338145,0.208065627,0.245494842,2,june,1257,PBO,0.421451191,0.742042811,0.65
Ekwusigo,Oru West,2020,Ekwusigo,0.476666667,0.108333333,0.054166667,0.26440678,1,june,162,PBO,0.255572543,0.70945305,0.65
Ekwusigo,Oru West,2023,Ekwusigo,0.476666667,0.108333333,0.054166667,0.26440678,2,june,1257,PBO,0.255572543,0.70945305,0.65
Idemili North,Uzo-Uwani,2020,Idemili North,0.381084781,0.284705503,0.14193595,0.252460138,1,june,162,PBO,0.422797782,0.742147653,0.65
Idemili North,Uzo-Uwani,2023,Idemili North,0.381084781,0.284705503,0.14193595,0.252460138,2,june,1257,PBO,0.422797782,0.742147653,0.65
Idemili South,Oru West,2020,Idemili South,0.239639397,0.152341933,0.118958562,0.212286478,1,june,162,PBO,0.377378695,0.737809061,0.65
Idemili South,Oru West,2023,Idemili South,0.239639397,0.152341933,0.118958562,0.212286478,2,june,1257,PBO,0.377378695,0.737809061,0.65
Ihiala,Oru West,2020,Ihiala,0.261214948,0.299731905,0.244017562,0.398529411,1,june,162,PBO,0.199598953,0.675748907,0.65
Ihiala,Oru West,2023,Ihiala,0.261214948,0.299731905,0.244017562,0.398529411,2,june,1257,PBO,0.199598953,0.675748907,0.65
Njikoka,Uzo-Uwani,2020,Njikoka,0.371428572,0.217106305,0.253546055,0.195237212,1,june,162,PBO,0.436915256,0.743176293,0.65
Njikoka,Uzo-Uwani,2023,Njikoka,0.371428572,0.217106305,0.253546055,0.195237212,2,june,1257,PBO,0.436915256,0.743176293,0.65
Nnewi North,Oru West,2020,Nnewi North,0.328758242,0.293730562,0.198594629,0.282944862,1,june,162,PBO,0.308642745,0.726310499,0.65
Nnewi North,Oru West,2023,Nnewi North,0.328758242,0.293730562,0.198594629,0.282944862,2,june,1257,PBO,0.308642745,0.726310499,0.65
Nnewi South,Oru West,2020,Nnewi South,0.499671908,0.557142858,0.31806626,0.326634515,1,june,162,PBO,0.303374646,0.725045144,0.65
Nnewi South,Oru West,2023,Nnewi South,0.499671908,0.557142858,0.31806626,0.326634515,2,june,1257,PBO,0.303374646,0.725045144,0.65
Ogbaru,Ahoada West,2020,Ogbaru,0.45,0.346666667,0.472727273,0.286764706,1,may,131,PBO,0.230996863,0.697383872,0.65
Ogbaru,Ahoada West,2023,Ogbaru,0.45,0.346666667,0.472727273,0.286764706,2,may,1226,PBO,0.230996863,0.697383872,0.65
Onitsha North,Uzo-Uwani,2020,Onitsha North,0.039393939,0.291338145,0.208065627,0.03880597,1,june,162,PBO,0.382531956,0.738396974,0.65
Onitsha North,Uzo-Uwani,2023,Onitsha North,0.039393939,0.291338145,0.208065627,0.03880597,2,june,1257,PBO,0.382531956,0.738396974,0.65
Onitsha South,Uzo-Uwani,2020,Onitsha South,0.359432533,0.291338145,0.061904762,0.01969697,1,june,162,PBO,0.368656397,0.736746223,0.65
Onitsha South,Uzo-Uwani,2023,Onitsha South,0.359432533,0.291338145,0.061904762,0.01969697,2,june,1257,PBO,0.368656397,0.736746223,0.65
Orumba North,Oru West,2020,Orumba North,0.330424713,0.207286775,0.132726545,0.143848229,1,june,162,PBO,0.403508225,0.74052015,0.65
Orumba North,Oru West,2023,Orumba North,0.330424713,0.207286775,0.132726545,0.143848229,2,june,1257,PBO,0.403508225,0.74052015,0.65
Orumba South,Oru West,2020,Orumba South,0.328758242,0.293730562,0.198594629,0.282944862,1,june,162,PBO,0.438379079,0.743276001,0.65
Orumba South,Oru West,2023,Orumba South,0.328758242,0.293730562,0.198594629,0.282944862,2,june,1257,PBO,0.438379079,0.743276001,0.65
Oyi,Uzo-Uwani,2020,Oyi,0.294359962,0.078195484,0.043987913,0.13176919,1,june,162,PBO,0.387377598,0.738924512,0.65
Oyi,Uzo-Uwani,2023,Oyi,0.294359962,0.078195484,0.043987913,0.13176919,2,june,1257,PBO,0.387377598,0.738924512,0.65
Alkaleri,Alkaleri,2021,Alkaleri,0.592004353,0.517299357,0.398612527,0.594676315,1,july,551,PBO,0.570092852,0.748797917,0.753454775
Alkaleri,Alkaleri,2024,Alkaleri,0.592004353,0.517299357,0.398612527,0.594676315,2,july,1646,PBO,0.570092852,0.748797917,0.753454775
Bauchi,Alkaleri,2021,Bauchi,0.584944138,0.330875163,0.35777882,0.536854439,1,july,551,PBO,0.627087591,0.749966427,0.816012104
Bauchi,Alkaleri,2024,Bauchi,0.584944138,0.330875163,0.35777882,0.536854439,2,july,1646,PBO,0.627087591,0.749966427,0.816012104
Bogoro,Alkaleri,2021,Bogoro,0.629895132,0.496260192,0.440143318,0.646778747,1,july,551,PBO,0.578959907,0.749010332,0.764438403
Bogoro,Alkaleri,2024,Bogoro,0.629895132,0.496260192,0.440143318,0.646778747,2,july,1646,PBO,0.578959907,0.749010332,0.764438403
Damban,Darazo,2021,Damban,0.416981132,0.4225,0.367391305,0.675324675,1,july,551,PBO,0.81015375,0.751849022,0.926817289
Damban,Darazo,2024,Damban,0.416981132,0.4225,0.367391305,0.675324675,2,july,1646,PBO,0.81015375,0.751849022,0.926817289
Darazo,Darazo,2021,Darazo,0.495485905,0.433992711,0.461025325,0.678791972,1,july,551,PBO,0.786253294,0.751697891,0.917634707
Darazo,Darazo,2024,Darazo,0.495485905,0.433992711,0.461025325,0.678791972,2,july,1646,PBO,0.786253294,0.751697891,0.917634707
Dass,Alkaleri,2021,Dass,1,0.600000001,0.472727273,1,1,july,551,PBO,0.466190501,0.744955755,0.65
Dass,Alkaleri,2024,Dass,1,0.600000001,0.472727273,1,2,july,1646,PBO,0.466190501,0.744955755,0.65
Gamawa,Gwarzo,2021,Gamawa,0.630303031,0.325,0.433333333,0.825396826,1,august,588,PBO,0.770682387,0.751588754,0.911009334
Gamawa,Gwarzo,2024,Gamawa,0.630303031,0.325,0.433333333,0.825396826,2,august,1683,PBO,0.770682387,0.751588754,0.911009334
Jama'are,Taura,2021,Jama'are,0.701150073,0.578042403,0.671754807,1,1,july,551,PBO,0.749263424,0.751422939,0.900969453
Jama'are,Taura,2024,Jama'are,0.701150073,0.578042403,0.671754807,1,2,july,1646,PBO,0.749263424,0.751422939,0.900969453
Ganjuwa,Darazo,2021,Ganjuwa,0.74927761,0.317453185,0.400073335,0.811700273,1,july,551,PBO,0.647484501,0.750289825,0.83424922
Ganjuwa,Darazo,2024,Ganjuwa,0.74927761,0.317453185,0.400073335,0.811700273,2,july,1646,PBO,0.647484501,0.750289825,0.83424922
Giade,Darazo,2021,Giade,0.408571428,0.111428572,0.185714286,0.401470588,1,july,551,PBO,0.730326034,0.751259215,0.891103632
Giade,Darazo,2024,Giade,0.408571428,0.111428572,0.185714286,0.401470588,2,july,1646,PBO,0.730326034,0.751259215,0.891103632
Itas/Gadau,Taura,2021,Itas-Gadau,0.915754286,0.793249031,0.818776264,1,1,july,551,PBO,0.742973977,0.751370456,0.897801015
Itas/Gadau,Taura,2024,Itas-Gadau,0.915754286,0.793249031,0.818776264,1,2,july,1646,PBO,0.742973977,0.751370456,0.897801015
Katagum,Gwarzo,2021,Katagum,0.669998196,0.508503137,0.561679192,0.994019807,1,august,588,PBO,0.74547039,0.751391505,0.899071161
Katagum,Gwarzo,2024,Katagum,0.669998196,0.508503137,0.561679192,0.994019807,2,august,1683,PBO,0.74547039,0.751391505,0.899071161
Kirfi,Alkaleri,2021,Kirfi,0.794444444,0.205263158,0.251612903,0.629032258,1,july,551,PBO,0.704749265,0.751008493,0.876118516
Kirfi,Alkaleri,2024,Kirfi,0.794444444,0.205263158,0.251612903,0.629032258,2,july,1646,PBO,0.704749265,0.751008493,0.876118516
Misau,Darazo,2021,Misau,0.504613074,0.442846049,0.304816837,0.791884131,1,july,551,PBO,0.803277912,0.75180744,0.924290903
Misau,Darazo,2024,Misau,0.504613074,0.442846049,0.304816837,0.791884131,2,july,1646,PBO,0.803277912,0.75180744,0.924290903
Ningi,Takali,2021,Ningi,0.779454172,0.41234225,0.474819456,0.908763518,1,september,615,PBO,0.6738636,0.750651669,0.85511069
Ningi,Takali,2024,Ningi,0.779454172,0.41234225,0.474819456,0.908763518,2,september,1710,PBO,0.6738636,0.750651669,0.85511069
Ukum,Keana,2020,Ukum,0.523763582,0.444280736,0.531410031,0.360815356,1,august,223,PBO,0.383970395,0.738556069,0.65
Ukum,Keana,2023,Ukum,0.523763582,0.444280736,0.531410031,0.360815356,2,august,1318,PBO,0.383970395,0.738556069,0.65
Shira,Takali,2021,Shira,1,0.725636327,0.585481455,0.986530886,1,september,615,PBO,0.742991291,0.751370603,0.897809882
Shira,Takali,2024,Shira,1,0.725636327,0.585481455,0.986530886,2,september,1710,PBO,0.742991291,0.751370603,0.897809882
