LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday
Binji,Sokoto,2023,3,-1,1,0.992105263,5,9,1342
Binji,Sokoto,2023,4,-1,1,0.45,5,10,1370
Binji,Sokoto,2024,1,-1,1,0.969736842,5,7,1646
Binji,Sokoto,2024,2,-1,1,0.994736842,5,8,1674
Binji,Sokoto,2024,3,-1,1,0.992105263,5,9,1702
Binji,Sokoto,2024,4,-1,1,0.45,5,10,1730
Binji,Sokoto,2025,1,-1,1,0.969736842,5,7,2014
Binji,Sokoto,2025,2,-1,1,0.994736842,5,8,2042
Binji,Sokoto,2025,3,-1,1,0.992105263,5,9,2070
Binji,Sokoto,2025,4,-1,1,0.45,5,10,2098
Biriniwa,Jigawa,2020,1,-1,1,0.934456929,5,7,186
Biriniwa,Jigawa,2020,2,-1,1,0.973782772,5,8,214
Biriniwa,Jigawa,2020,3,-1,1,0.975655431,5,9,242
Biriniwa,Jigawa,2020,4,-1,1,0.653558052,5,10,270
Biriniwa,Jigawa,2021,1,-1,1,0.934456929,5,7,550
Biriniwa,Jigawa,2021,2,-1,1,0.973782772,5,8,578
Biriniwa,Jigawa,2021,3,-1,1,0.975655431,5,9,606
Biriniwa,Jigawa,2021,4,-1,1,0.653558052,5,10,634
Biriniwa,Jigawa,2022,1,-1,1,0.934456929,5,7,915
Biriniwa,Jigawa,2022,2,-1,1,0.973782772,5,8,943
Biriniwa,Jigawa,2022,3,-1,1,0.975655431,5,9,971
Biriniwa,Jigawa,2022,4,-1,1,0.653558052,5,10,999
Biriniwa,Jigawa,2023,1,-1,1,0.934456929,5,7,1286
Biriniwa,Jigawa,2023,2,-1,1,0.973782772,5,8,1314
Biriniwa,Jigawa,2023,3,-1,1,0.975655431,5,9,1342
Biriniwa,Jigawa,2023,4,-1,1,0.653558052,5,10,1370
Biriniwa,Jigawa,2024,1,-1,1,0.934456929,5,7,1646
Biriniwa,Jigawa,2024,2,-1,1,0.973782772,5,8,1674
Biriniwa,Jigawa,2024,3,-1,1,0.975655431,5,9,1702
Biriniwa,Jigawa,2024,4,-1,1,0.653558052,5,10,1730
Biriniwa,Jigawa,2025,1,-1,1,0.934456929,5,7,2014
Biriniwa,Jigawa,2025,2,-1,1,0.973782772,5,8,2042
Biriniwa,Jigawa,2025,3,-1,1,0.975655431,5,9,2070
Biriniwa,Jigawa,2025,4,-1,1,0.653558052,5,10,2098
Birni Kudu,Jigawa,2020,1,-1,1,0.934456929,5,7,186
Birni Kudu,Jigawa,2021,1,-1,1,0.934456929,5,7,550
Birni Kudu,Jigawa,2022,1,-1,1,0.934456929,5,7,915
Birni Kudu,Jigawa,2023,1,-1,1,0.934456929,5,7,1286
Birni Kudu,Jigawa,2024,1,-1,1,0.934456929,5,7,1646
Birni Kudu,Jigawa,2025,1,-1,1,0.934456929,5,7,2014
Birnin Magaji,Zamfara,2020,1,-1,1,0.854974705,5,7,186
Birnin Magaji,Zamfara,2020,2,-1,1,0.927487352,5,8,214
Birnin Magaji,Zamfara,2020,3,-1,1,0.937605396,5,9,242
Birnin Magaji,Zamfara,2020,4,-1,1,0.268128162,5,10,270
Birnin Magaji,Zamfara,2021,1,-1,1,0.854974705,5,7,550
Birnin Magaji,Zamfara,2021,2,-1,1,0.927487352,5,8,578
Birnin Magaji,Zamfara,2021,3,-1,1,0.937605396,5,9,606
Birnin Magaji,Zamfara,2021,4,-1,1,0.268128162,5,10,634
Birnin Magaji,Zamfara,2022,1,-1,1,0.854974705,5,7,915
Birnin Magaji,Zamfara,2022,2,-1,1,0.927487352,5,8,943
Birnin Magaji,Zamfara,2022,3,-1,1,0.937605396,5,9,971
Birnin Magaji,Zamfara,2022,4,-1,1,0.268128162,5,10,999
Birnin Magaji,Zamfara,2023,1,-1,1,0.854974705,5,7,1286
Birnin Magaji,Zamfara,2023,2,-1,1,0.927487352,5,8,1314
