"","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"50","Numan","Alkaleri",2023,"Numan",0.833333333,0.56875,0.478947369,0.794444444,2,"july","PBO",0.518273564,0.747251003,0.678387,1281
"51","Shelleng","Darazo",2020,"Shelleng",0.473668913,0.382878759,0.410938242,0.476118486,1,"july","PBO",0.58914423,0.749238946,0.776450833,186
"52","Shelleng","Darazo",2023,"Shelleng",0.473668913,0.382878759,0.410938242,0.476118486,2,"july","PBO",0.58914423,0.749238946,0.776450833,1281
"53","Itu","Ngor-Okpala",2021,"Itu",0.395751899,0.346415832,0.285097415,0.026530612,1,"june","PBO",0.415010863,0.741523913,0.65,527
"54","Itu","Ngor-Okpala",2024,"Itu",0.395751899,0.346415832,0.285097415,0.026530612,2,"june","PBO",0.415010863,0.741523913,0.65,1622
"55","Song","Darazo",2020,"Song",0.62568898,0.737159093,0.636003456,0.64263254,1,"july","PBO",0.551949619,0.748320258,0.729369132,186
"56","Song","Darazo",2023,"Song",0.62568898,0.737159093,0.636003456,0.64263254,2,"july","PBO",0.551949619,0.748320258,0.729369132,1281
"57","Yola North","Alkaleri",2020,"Yola North",0.635838752,0.591225701,0.538562996,0.532208149,1,"july","PBO",0.581884889,0.749077617,0.767953208,186
"58","Yola North","Alkaleri",2023,"Yola North",0.635838752,0.591225701,0.538562996,0.532208149,2,"july","PBO",0.581884889,0.749077617,0.767953208,1281
"59","Yola South","Alkaleri",2020,"Yola South",0.680952381,0.4875,0.577777777,0.337037037,1,"july","PBO",0.57254926,0.748858066,0.756547718,186
"60","Yola South","Alkaleri",2023,"Yola South",0.680952381,0.4875,0.577777777,0.337037037,2,"july","PBO",0.57254926,0.748858066,0.756547718,1281
"61","Abak","Nsit Ubium",2021,"Abak",0.152941177,0.086666667,0.226086956,0.213114754,1,"june","PBO",0.358412263,0.735378725,0.65,527
"62","Abak","Nsit Ubium",2024,"Abak",0.152941177,0.086666667,0.226086956,0.213114754,2,"june","PBO",0.358412263,0.735378725,0.65,1622
"63","Awka North","Uzo-Uwani",2020,"Awka North",0.309523809,0.185714286,0.113043479,0.273684211,1,"june","PBO",0.388205397,0.739012279,0.65,162
"64","Awka North","Uzo-Uwani",2023,"Awka North",0.309523809,0.185714286,0.113043479,0.273684211,2,"june","PBO",0.388205397,0.739012279,0.65,1257
"65","Eket","Nsit Ubium",2021,"Eket",0.472727273,0.433333333,0.455,0.413636363,1,"june","PBO",0.238612216,0.701507165,0.65,527
"66","Eket","Nsit Ubium",2024,"Eket",0.472727273,0.433333333,0.455,0.413636363,2,"june","PBO",0.238612216,0.701507165,0.65,1622
"67","Esit Eket","Nsit Ubium",2021,"Esit Eket",0.8,0.52,0.210810811,0.637735849,1,"june","PBO",0.262279676,0.712184003,0.65,527
"68","Esit Eket","Nsit Ubium",2024,"Esit Eket",0.8,0.52,0.210810811,0.637735849,2,"june","PBO",0.262279676,0.712184003,0.65,1622
"69","Essien Udim","Ngor-Okpala",2021,"Essien Udim",0.525411978,0.545123059,0.132359449,0.323371227,1,"june","PBO",0.369824263,0.73689371,0.65,527
"70","Essien Udim","Ngor-Okpala",2024,"Essien Udim",0.525411978,0.545123059,0.132359449,0.323371227,2,"june","PBO",0.369824263,0.73689371,0.65,1622
"71","Etim Ekpo","Ngor-Okpala",2021,"Etim Ekpo",0.395751899,0.346415832,0.285097415,0.346984182,1,"june","PBO",0.326319464,0.730073677,0.65,527
"72","Etim Ekpo","Ngor-Okpala",2024,"Etim Ekpo",0.395751899,0.346415832,0.285097415,0.346984182,2,"june","PBO",0.326319464,0.730073677,0.65,1622
"73","Etinan","Nsit Ubium",2021,"Etinan",0.3,0.216666667,0.263339795,0.185714286,1,"june","PBO",0.271254927,0.715522394,0.65,527
"74","Etinan","Nsit Ubium",2024,"Etinan",0.3,0.216666667,0.263339795,0.185714286,2,"june","PBO",0.271254927,0.715522394,0.65,1622
"75","Ibesikpo Asutan","Nsit Ubium",2021,"Ibesikpo Asutan",0.411224525,0.474999959,0.343396238,0.383985776,1,"june","PBO",0.364757188,0.736241633,0.65,527
"76","Ibesikpo Asutan","Nsit Ubium",2024,"Ibesikpo Asutan",0.411224525,0.474999959,0.343396238,0.383985776,2,"june","PBO",0.364757188,0.736241633,0.65,1622
"77","Ibiono Ibom","Ngor-Okpala",2021,"Ibiono Ibom",0.8,0.733364355,0.452111108,0.673445713,1,"june","PBO",0.383194312,0.738470498,0.65,527
"78","Ibiono Ibom","Ngor-Okpala",2024,"Ibiono Ibom",0.8,0.733364355,0.452111108,0.673445713,2,"june","PBO",0.383194312,0.738470498,0.65,1622
"79","Ika","Ngor-Okpala",2021,"Ika",0.395751899,0.346415832,0.285097415,0.346984182,1,"june","PBO",0.281330517,0.718884411,0.65,527
"80","Ika","Ngor-Okpala",2024,"Ika",0.395751899,0.346415832,0.285097415,0.346984182,2,"june","PBO",0.281330517,0.718884411,0.65,1622
"81","Ikono","Ngor-Okpala",2021,"Ikono",0.216666667,0.152941177,0.379166667,0.242372881,1,"june","PBO",0.3504186,0.734212445,0.65,527
"82","Ikono","Ngor-Okpala",2024,"Ikono",0.216666667,0.152941177,0.379166667,0.242372881,2,"june","PBO",0.3504186,0.734212445,0.65,1622
"83","Ikot Abasi","Nsit Ubium",2021,"Ikot Abasi",0.452173913,0.600000001,0.39,0.16,1,"june","PBO",0.194063012,0.671004892,0.65,527
