"","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"36","Demsa","Alkaleri",2023,"Demsa",0.8,0.8,0.8,0.8,2,"july","PBO",0.495212973,0.74634808,0.65,1281
"37","Ahoada East","Ahoada West",2020,"Ahoada East",0.8,0.8,0.8,0.8,1,"may","PBO",0.212067193,0.685335866,0.65,131
"38","Gireri","Darazo",2023,"Gireri",0.8,0.8,0.8,0.8,2,"july","PBO",0.658506137,0.75044815,0.843319415,1281
"39","Ahoada West","Ahoada West",2020,"Ahoada West",0.8,0.8,0.8,0.8,1,"may","PBO",0.212747654,0.685818488,0.65,131
"40","Gombi","Alkaleri",2023,"Gombi",0.8,0.8,0.8,0.8,2,"july","PBO",0.515567645,0.747153033,0.673908406,1281
"41","Aiyedade","Akinyele",2020,"Aiyedade",0.8,0.8,0.8,0.8,1,"may","PBO",0.401428384,0.740327343,0.65,131
"42","Guyuk","Alkaleri",2023,"Guyuk",0.8,0.8,0.8,0.8,2,"july","PBO",0.571995521,0.748844595,0.755853881,1281
"43","Aiyedire","Akinyele",2020,"Aiyedire",0.8,0.8,0.8,0.8,1,"may","PBO",0.440828641,0.743440107,0.65,131
"44","Hong","Darazo",2023,"Hong",0.8,0.8,0.8,0.8,2,"july","PBO",0.634881453,0.750094944,0.823212171,1281
"45","Ajaokuta","Owan East",2020,"Ajaokuta",0.8,0.8,0.8,0.8,1,"march","PBO",0.321205627,0.729055954,0.65,70
"46","Lamurde","Alkaleri",2023,"Lamurde",0.8,0.8,0.8,0.8,2,"july","PBO",0.429924862,0.742682577,0.65,1281
"47","Ajeromi-Ifelodun","Uzo-Uwani",2020,"Ajeromi-Ifelodun",0.8,0.8,0.8,0.8,1,"june","Urban areas",0.442448497,0.493901179,0.53,162
"48","Mayo-Belwa","Alkaleri",2023,"Mayo-Belwa",0.8,0.8,0.8,0.8,2,"july","PBO",0.615915722,0.74977065,0.805165057,1281
"49","Akinyele","Akinyele",2020,"Akinyele",0.8,0.8,0.8,0.8,1,"may","Urban areas",0.353306712,0.421435221,0.53,131
"50","Numan","Alkaleri",2023,"Numan",0.833333333,0.8,0.8,0.8,2,"july","PBO",0.518273564,0.747251003,0.678387,1281
"51","Akoko North East","Oke-Ero",2020,"Akoko North East",0.8,0.8,0.8,0.8,1,"july","PBO",0.346553372,0.733614536,0.65,186
"52","Shelleng","Darazo",2023,"Shelleng",0.8,0.8,0.8,0.8,2,"july","PBO",0.58914423,0.749238946,0.776450833,1281
"53","Itu","Ngor-Okpala",2021,"Itu",0.8,0.8,0.8,0.8,1,"june","PBO",0.415010863,0.741523913,0.65,527
"54","Itu","Ngor-Okpala",2024,"Itu",0.8,0.8,0.8,0.8,2,"june","PBO",0.415010863,0.741523913,0.65,1622
"55","Akoko North West","Oke-Ero",2020,"Akoko North West",0.8,0.8,0.8,0.8,1,"july","PBO",0.316763911,0.728126692,0.65,186
"56","Song","Darazo",2023,"Song",0.8,0.8,0.8,0.8,2,"july","PBO",0.551949619,0.748320258,0.729369132,1281
"57","Akoko South East","Oke-Ero",2020,"Akoko South East",0.8,0.8,0.8,0.8,1,"july","PBO",0.347034531,0.733690227,0.65,186
"58","Yola North","Alkaleri",2023,"Yola North",0.8,0.8,0.8,0.8,2,"july","PBO",0.581884889,0.749077617,0.767953208,1281
"59","Akoko South West","Oke-Ero",2020,"Akoko South West",0.8,0.8,0.8,0.8,1,"july","PBO",0.330802879,0.73092257,0.65,186
"60","Yola South","Alkaleri",2023,"Yola South",0.8,0.8,0.8,0.8,2,"july","PBO",0.57254926,0.748858066,0.756547718,1281
"61","Abak","Nsit Ubium",2021,"Abak",0.8,0.8,0.8,0.8,1,"june","PBO",0.358412263,0.735378725,0.65,527
"62","Abak","Nsit Ubium",2024,"Abak",0.8,0.8,0.8,0.8,2,"june","PBO",0.358412263,0.735378725,0.65,1622
"63","Akoko-Edo","Owan East",2020,"Akoko-Edo",0.8,0.8,0.8,0.8,1,"march","PBO",0.304845225,0.725405618,0.65,70
"64","Awka North","Uzo-Uwani",2023,"Awka North",0.8,0.8,0.8,0.8,2,"june","PBO",0.388205397,0.739012279,0.65,1257
"65","Eket","Nsit Ubium",2021,"Eket",0.8,0.8,0.8,0.8,1,"june","PBO",0.238612216,0.701507165,0.65,527
"66","Eket","Nsit Ubium",2024,"Eket",0.8,0.8,0.8,0.8,2,"june","PBO",0.238612216,0.701507165,0.65,1622
"67","Esit Eket","Nsit Ubium",2021,"Esit Eket",0.8,0.8,0.8,0.8,1,"june","PBO",0.262279676,0.712184003,0.65,527
"68","Esit Eket","Nsit Ubium",2024,"Esit Eket",0.8,0.8,0.8,0.8,2,"june","PBO",0.262279676,0.712184003,0.65,1622
"69","Essien Udim","Ngor-Okpala",2021,"Essien Udim",0.8,0.8,0.8,0.8,1,"june","PBO",0.369824263,0.73689371,0.65,527
"70","Essien Udim","Ngor-Okpala",2024,"Essien Udim",0.8,0.8,0.8,0.8,2,"june","PBO",0.369824263,0.73689371,0.65,1622
"71","Etim Ekpo","Ngor-Okpala",2021,"Etim Ekpo",0.8,0.8,0.8,0.8,1,"june","PBO",0.326319464,0.730073677,0.65,527
"72","Etim Ekpo","Ngor-Okpala",2024,"Etim Ekpo",0.8,0.8,0.8,0.8,2,"june","PBO",0.326319464,0.730073677,0.65,1622
"73","Etinan","Nsit Ubium",2021,"Etinan",0.8,0.8,0.8,0.8,1,"june","PBO",0.271254927,0.715522394,0.65,527
"74","Etinan","Nsit Ubium",2024,"Etinan",0.8,0.8,0.8,0.8,2,"june","PBO",0.271254927,0.715522394,0.65,1622
"75","Ibesikpo Asutan","Nsit Ubium",2021,"Ibesikpo Asutan",0.8,0.8,0.8,0.8,1,"june","PBO",0.364757188,0.736241633,0.65,527
"76","Ibesikpo Asutan","Nsit Ubium",2024,"Ibesikpo Asutan",0.8,0.8,0.8,0.8,2,"june","PBO",0.364757188,0.736241633,0.65,1622
"77","Ibiono Ibom","Ngor-Okpala",2021,"Ibiono Ibom",0.8,0.8,0.8,0.8,1,"june","PBO",0.383194312,0.738470498,0.65,527
"78","Ibiono Ibom","Ngor-Okpala",2024,"Ibiono Ibom",0.8,0.8,0.8,0.8,2,"june","PBO",0.383194312,0.738470498,0.65,1622
"79","Ika","Ngor-Okpala",2021,"Ika",0.8,0.8,0.8,0.8,1,"june","PBO",0.281330517,0.718884411,0.65,527
"80","Ika","Ngor-Okpala",2024,"Ika",0.8,0.8,0.8,0.8,2,"june","PBO",0.281330517,0.718884411,0.65,1622
"81","Ikono","Ngor-Okpala",2021,"Ikono",0.8,0.8,0.8,0.8,1,"june","PBO",0.3504186,0.734212445,0.65,527
"82","Ikono","Ngor-Okpala",2024,"Ikono",0.8,0.8,0.8,0.8,2,"june","PBO",0.3504186,0.734212445,0.65,1622
"83","Ikot Abasi","Nsit Ubium",2021,"Ikot Abasi",0.8,0.8,0.8,0.8,1,"june","PBO",0.194063012,0.671004892,0.65,527
"84","Ikot Abasi","Nsit Ubium",2024,"Ikot Abasi",0.8,0.8,0.8,0.8,2,"june","PBO",0.194063012,0.671004892,0.65,1622
"85","Ikot Ekpene","Ngor-Okpala",2021,"Ikot Ekpene",0.8,0.8,0.8,0.8,1,"june","PBO",0.356519334,0.735110776,0.65,527
"86","Ikot Ekpene","Ngor-Okpala",2024,"Ikot Ekpene",0.8,0.8,0.8,0.8,2,"june","PBO",0.356519334,0.735110776,0.65,1622
"87","Ini","Ngor-Okpala",2021,"Ini",0.8,0.8,0.8,0.8,1,"june","PBO",0.395911217,0.739797918,0.65,527
"88","Ini","Ngor-Okpala",2024,"Ini",0.8,0.8,0.8,0.8,2,"june","PBO",0.395911217,0.739797918,0.65,1622
"89","Mkpat Enin","Nsit Ubium",2021,"Mkpat Enin",0.8,0.8,0.8,0.8,1,"june","PBO",0.225930858,0.694424558,0.65,527
"90","Mkpat Enin","Nsit Ubium",2024,"Mkpat Enin",0.8,0.8,0.8,0.8,2,"june","PBO",0.225930858,0.694424558,0.65,1622
"91","Nsit Atai","Nsit Ubium",2021,"Nsit Atai",0.8,0.8,0.8,0.8,1,"june","PBO",0.243345201,0.703887208,0.65,527
"92","Nsit Atai","Nsit Ubium",2024,"Nsit Atai",0.8,0.8,0.8,0.8,2,"june","PBO",0.243345201,0.703887208,0.65,1622
"93","Nsit Ibom","Nsit Ubium",2021,"Nsit Ibom",0.8,0.8,0.8,0.8,1,"june","PBO",0.357951303,0.735313932,0.65,527
"94","Nsit Ibom","Nsit Ubium",2024,"Nsit Ibom",0.8,0.8,0.8,0.8,2,"june","PBO",0.357951303,0.735313932,0.65,1622
"95","Nsit Ubium","Nsit Ubium",2021,"Nsit Ubium",0.8,0.8,0.8,0.8,1,"june","PBO",0.247213687,0.705735631,0.65,527
"96","Nsit Ubium","Nsit Ubium",2024,"Nsit Ubium",0.8,0.8,0.8,0.8,2,"june","PBO",0.247213687,0.705735631,0.65,1622
"97","Akuku Toru","Ahoada West",2020,"Akuku Toru",0.8,0.8,0.8,0.8,1,"may","PBO",0.307675695,0.72608356,0.65,131
"98","Awka South","Uzo-Uwani",2023,"Awka South",0.8,0.8,0.8,0.8,2,"june","PBO",0.431794981,0.74281757,0.65,1257
"99","Obot Akara","Ngor-Okpala",2021,"Obot Akara",0.8,0.8,0.8,0.8,1,"june","PBO",0.376065149,0.737654581,0.65,527
"100","Obot Akara","Ngor-Okpala",2024,"Obot Akara",0.8,0.8,0.8,0.8,2,"june","PBO",0.376065149,0.737654581,0.65,1622
"101","Okobo","Nsit Ubium",2021,"Okobo",0.8,0.8,0.8,0.8,1,"june","PBO",0.269257198,0.714808808,0.65,527
"102","Okobo","Nsit Ubium",2024,"Okobo",0.8,0.8,0.8,0.8,2,"june","PBO",0.269257198,0.714808808,0.65,1622
"103","Onna","Nsit Ubium",2021,"Onna",0.8,0.8,0.8,0.8,1,"june","PBO",0.191877243,0.66904259,0.65,527
"104","Onna","Nsit Ubium",2024,"Onna",0.8,0.8,0.8,0.8,2,"june","PBO",0.191877243,0.66904259,0.65,1622
"105","Oruk Anam","Nsit Ubium",2021,"Oruk Anam",0.8,0.8,0.8,0.8,1,"june","PBO",0.312496984,0.727192018,0.65,527
"106","Oruk Anam","Nsit Ubium",2024,"Oruk Anam",0.8,0.8,0.8,0.8,2,"june","PBO",0.312496984,0.727192018,0.65,1622
"107","Ukanafun","Nsit Ubium",2021,"Ukanafun",0.8,0.8,0.8,0.8,1,"june","PBO",0.340679142,0.732660403,0.65,527
"108","Ukanafun","Nsit Ubium",2024,"Ukanafun",0.8,0.8,0.8,0.8,2,"june","PBO",0.340679142,0.732660403,0.65,1622
"109","Uruan","Nsit Ubium",2021,"Uruan",0.8,0.8,0.8,0.8,1,"june","PBO",0.401030149,0.74029001,0.65,527
"110","Uruan","Nsit Ubium",2024,"Uruan",0.8,0.8,0.8,0.8,2,"june","PBO",0.401030149,0.74029001,0.65,1622
"111","Urue-Offong/Oruko","Nsit Ubium",2021,"Urue-Offong-Oruko",0.8,0.8,0.8,0.8,1,"june","PBO",0.204236897,0.679485559,0.65,527
"112","Urue-Offong/Oruko","Nsit Ubium",2024,"Urue-Offong-Oruko",0.8,0.8,0.8,0.8,2,"june","PBO",0.204236897,0.679485559,0.65,1622
"113","Akure North","Owan East",2020,"Akure North",0.8,0.8,0.8,0.8,1,"march","PBO",0.337034585,0.732039367,0.65,70
"114","Ayamelum","Uzo-Uwani",2023,"Ayamelum",0.8,0.8,0.8,0.8,2,"june","PBO",0.436497382,0.743147601,0.65,1257
"115","Uyo","Nsit Ubium",2021,"Uyo",0.8,0.8,0.8,0.8,1,"june","PBO",0.399966547,0.74018964,0.65,527
"116","Uyo","Nsit Ubium",2024,"Uyo",0.8,0.8,0.8,0.8,2,"june","PBO",0.399966547,0.74018964,0.65,1622
"117","Akure South","Owan East",2020,"Akure South",0.8,0.8,0.8,0.8,1,"march","PBO",0.299585483,0.724089439,0.65,70
"118","Aguata","Oru West",2023,"Aguata",0.8,0.8,0.8,0.8,2,"june","PBO",0.454034567,0.744268911,0.65,1257
"119","Alimosho","Uzo-Uwani",2020,"Alimosho",0.8,0.8,0.8,0.8,1,"june","Urban areas",0.431973509,0.485561977,0.53,162
"120","Anambra East","Uzo-Uwani",2023,"Anambra East",0.8,0.8,0.8,0.8,2,"june","PBO",0.375672105,0.737607983,0.65,1257
"121","Amuwo-Odofin","Isoko South",2020,"Amuwo-Odofin",0.8,0.8,0.8,0.8,1,"june","Urban areas",0.414522642,0.471534679,0.53,162
"122","Anambra West","Uzo-Uwani",2023,"Anambra West",0.8,0.8,0.8,0.8,2,"june","PBO",0.39176502,0.739382126,0.65,1257
"123","Anambra East","Uzo-Uwani",2020,"Anambra East",0.8,0.8,0.8,0.8,1,"june","PBO",0.375672105,0.737607983,0.65,162
"124","Anaocha","Oru West",2023,"Anaocha",0.8,0.8,0.8,0.8,2,"june","PBO",0.420247823,0.741948071,0.65,1257
"125","Anambra West","Uzo-Uwani",2020,"Anambra West",0.8,0.8,0.8,0.8,1,"june","PBO",0.39176502,0.739382126,0.65,162
"126","Dunukofia","Uzo-Uwani",2023,"Dunukofia",0.8,0.8,0.8,0.8,2,"june","PBO",0.421451191,0.742042811,0.65,1257
"127","Anaocha","Oru West",2020,"Anaocha",0.8,0.8,0.8,0.8,1,"june","PBO",0.420247823,0.741948071,0.65,162
"128","Ekwusigo","Oru West",2023,"Ekwusigo",0.8,0.8,0.8,0.8,2,"june","PBO",0.255572543,0.70945305,0.65,1257
"129","Andoni","Nsit Ubium",2020,"Andoni",0.8,0.8,0.8,0.8,1,"june","PBO",0.187807527,0.66524829,0.65,162
"130","Idemili North","Uzo-Uwani",2023,"Idemili North",0.8,0.8,0.8,0.8,2,"june","PBO",0.422797782,0.742147653,0.65,1257
"131","Aninri","Oru West",2020,"Aninri",0.8,0.8,0.8,0.8,1,"june","PBO",0.430439768,0.742719962,0.65,162
"132","Idemili South","Oru West",2023,"Idemili South",0.8,0.8,0.8,0.8,2,"june","PBO",0.377378695,0.737809061,0.65,1257
"133","Anka","Darazo",2020,"Anka",0.8,0.8,0.8,0.8,1,"july","PBO",0.695814162,0.750911845,0.87038882,186
"134","Ihiala","Oru West",2023,"Ihiala",0.8,0.8,0.8,0.8,2,"june","PBO",0.199598953,0.675748907,0.65,1257
"135","Ankpa","Owan East",2020,"Ankpa",0.8,0.8,0.8,0.8,1,"march","PBO",0.382494781,0.738392834,0.65,70
"136","Njikoka","Uzo-Uwani",2023,"Njikoka",0.8,0.8,0.8,0.8,2,"june","PBO",0.436915256,0.743176293,0.65,1257
"137","Apa","Keana",2020,"Apa",0.842105263,0.8,0.8,0.8,1,"august","PBO",0.437711079,0.743230654,0.65,223
"138","Nnewi North","Oru West",2023,"Nnewi North",0.8,0.8,0.8,0.8,2,"june","PBO",0.308642745,0.726310499,0.65,1257
"139","Apapa","Isoko South",2020,"Apapa",0.8,0.8,0.8,0.8,1,"june","Urban areas",0.464571223,0.511279973,0.53,162
"140","Nnewi South","Oru West",2023,"Nnewi South",0.8,0.8,0.8,0.8,2,"june","PBO",0.303374646,0.725045144,0.65,1257
"141","Arochukwu","Ngor-Okpala",2020,"Arochukwu",0.8,0.8,0.8,0.8,1,"june","PBO",0.431823298,0.742819598,0.65,162
"142","Ogbaru","Ahoada West",2023,"Ogbaru",0.8,0.8,0.8,0.8,2,"may","PBO",0.230996863,0.697383872,0.65,1226
"143","Asa","Oke-Ero",2020,"Asa",0.8,0.8,0.8,0.8,1,"july","PBO",0.293917451,0.722584104,0.65,186
"144","Onitsha North","Uzo-Uwani",2023,"Onitsha North",0.8,0.8,0.8,0.8,2,"june","PBO",0.382531956,0.738396974,0.65,1257
"145","Asari-Toru","Ahoada West",2020,"Asari-Toru",0.8,0.8,0.8,0.8,1,"may","PBO",0.231108823,0.697447259,0.65,131
"146","Onitsha South","Uzo-Uwani",2023,"Onitsha South",0.8,0.8,0.8,0.8,2,"june","PBO",0.368656397,0.736746223,0.65,1257
"147","Askira/Uba","Darazo",2020,"Askira-Uba",0.8,0.8,0.8,0.8,1,"july","PBO",0.666450057,0.750555793,0.849537809,186
"148","Orumba North","Oru West",2023,"Orumba North",0.8,0.8,0.8,0.8,2,"june","PBO",0.403508225,0.74052015,0.65,1257
"149","Atakumosa East","Oke-Ero",2020,"Atakumosa East",0.8,0.8,0.8,0.8,1,"july","PBO",0.438640296,0.743293664,0.65,186
"150","Orumba South","Oru West",2023,"Orumba South",0.8,0.8,0.8,0.8,2,"june","PBO",0.438379079,0.743276001,0.65,1257
"151","Atakumosa West","Akinyele",2020,"Atakumosa West",0.8,0.8,0.8,0.8,1,"may","PBO",0.441512439,0.743485314,0.65,131
"152","Oyi","Uzo-Uwani",2023,"Oyi",0.8,0.8,0.8,0.8,2,"june","PBO",0.387377598,0.738924512,0.65,1257
"153","Alkaleri","Alkaleri",2021,"Alkaleri",0.8,0.8,0.8,0.8,1,"july","PBO",0.570092852,0.748797917,0.753454775,551
"154","Alkaleri","Alkaleri",2024,"Alkaleri",0.8,0.8,0.8,0.8,2,"july","PBO",0.570092852,0.748797917,0.753454775,1646
"155","Bauchi","Alkaleri",2021,"Bauchi",0.8,0.8,0.8,0.8,1,"july","PBO",0.627087591,0.749966427,0.816012104,551
"156","Bauchi","Alkaleri",2024,"Bauchi",0.8,0.8,0.8,0.8,2,"july","PBO",0.627087591,0.749966427,0.816012104,1646
"157","Bogoro","Alkaleri",2021,"Bogoro",0.8,0.8,0.8,0.8,1,"july","PBO",0.578959907,0.749010332,0.764438403,551
"158","Bogoro","Alkaleri",2024,"Bogoro",0.8,0.8,0.8,0.8,2,"july","PBO",0.578959907,0.749010332,0.764438403,1646
"159","Damban","Darazo",2021,"Damban",0.8,0.8,0.8,0.8,1,"july","PBO",0.81015375,0.751849022,0.926817289,551
"160","Damban","Darazo",2024,"Damban",0.8,0.8,0.8,0.8,2,"july","PBO",0.81015375,0.751849022,0.926817289,1646
"161","Darazo","Darazo",2021,"Darazo",0.8,0.8,0.8,0.8,1,"july","PBO",0.786253294,0.751697891,0.917634707,551
"162","Darazo","Darazo",2024,"Darazo",0.8,0.8,0.8,0.8,2,"july","PBO",0.786253294,0.751697891,0.917634707,1646
"163","Dass","Alkaleri",2021,"Dass",0.861111111,0.8,0.8,0.8,1,"july","PBO",0.466190501,0.744955755,0.65,551
"164","Dass","Alkaleri",2024,"Dass",0.861111111,0.8,0.8,0.8,2,"july","PBO",0.466190501,0.744955755,0.65,1646
"165","Gamawa","Gwarzo",2021,"Gamawa",0.8,0.8,0.8,0.8,1,"august","PBO",0.770682387,0.751588754,0.911009334,588
"166","Gamawa","Gwarzo",2024,"Gamawa",0.8,0.8,0.8,0.8,2,"august","PBO",0.770682387,0.751588754,0.911009334,1683
"167","Jama'are","Taura",2021,"Jama'are",0.8,0.8,0.8,0.8,1,"july","PBO",0.749263424,0.751422939,0.900969453,551
"168","Jama'are","Taura",2024,"Jama'are",0.8,0.8,0.8,0.8,2,"july","PBO",0.749263424,0.751422939,0.900969453,1646
"169","Ganjuwa","Darazo",2021,"Ganjuwa",0.8,0.8,0.8,0.8,1,"july","PBO",0.647484501,0.750289825,0.83424922,551
"170","Ganjuwa","Darazo",2024,"Ganjuwa",0.8,0.8,0.8,0.8,2,"july","PBO",0.647484501,0.750289825,0.83424922,1646
"171","Giade","Darazo",2021,"Giade",0.8,0.8,0.8,0.8,1,"july","PBO",0.730326034,0.751259215,0.891103632,551
"172","Giade","Darazo",2024,"Giade",0.8,0.8,0.8,0.8,2,"july","PBO",0.730326034,0.751259215,0.891103632,1646
"173","Itas/Gadau","Taura",2021,"Itas-Gadau",0.8,0.8,0.8,0.915155207,1,"july","PBO",0.742973977,0.751370456,0.897801015,551
"174","Itas/Gadau","Taura",2024,"Itas-Gadau",0.8,0.8,0.8,0.915155207,2,"july","PBO",0.742973977,0.751370456,0.897801015,1646
"175","Katagum","Gwarzo",2021,"Katagum",0.8,0.8,0.8,0.8,1,"august","PBO",0.74547039,0.751391505,0.899071161,588
"176","Katagum","Gwarzo",2024,"Katagum",0.8,0.8,0.8,0.8,2,"august","PBO",0.74547039,0.751391505,0.899071161,1683
"177","Kirfi","Alkaleri",2021,"Kirfi",0.8,0.8,0.8,0.8,1,"july","PBO",0.704749265,0.751008493,0.876118516,551
"178","Kirfi","Alkaleri",2024,"Kirfi",0.8,0.8,0.8,0.8,2,"july","PBO",0.704749265,0.751008493,0.876118516,1646
"179","Misau","Darazo",2021,"Misau",0.8,0.8,0.8,0.8,1,"july","PBO",0.803277912,0.75180744,0.924290903,551
"180","Misau","Darazo",2024,"Misau",0.8,0.8,0.8,0.8,2,"july","PBO",0.803277912,0.75180744,0.924290903,1646
"181","Ningi","Takali",2021,"Ningi",0.8,0.8,0.8,0.8,1,"september","PBO",0.6738636,0.750651669,0.85511069,615
"182","Ningi","Takali",2024,"Ningi",0.8,0.8,0.8,0.8,2,"september","PBO",0.6738636,0.750651669,0.85511069,1710
"183","Atiba","Akinyele",2020,"Atiba",0.8,0.8,0.8,0.8,1,"may","PBO",0.383570526,0.738512057,0.65,131
"184","Ukum","Keana",2023,"Ukum",0.8,0.8,0.8,0.8,2,"august","PBO",0.383970395,0.738556069,0.65,1318
"185","Shira","Takali",2021,"Shira",0.8,0.8,0.8,0.8,1,"september","PBO",0.742991291,0.751370603,0.897809882,615
"186","Shira","Takali",2024,"Shira",0.8,0.8,0.8,0.8,2,"september","PBO",0.742991291,0.751370603,0.897809882,1710
"187","Tafawa-Balewa","Alkaleri",2021,"Tafawa-Balewa",0.8,0.8,0.8,0.8,1,"july","PBO",0.531148459,0.747691092,0.69889564,551
"188","Tafawa-Balewa","Alkaleri",2024,"Tafawa-Balewa",0.8,0.8,0.8,0.8,2,"july","PBO",0.531148459,0.747691092,0.69889564,1646
"189","Toro","Giwa",2021,"Toro",0.8,0.8,0.8,0.8,1,"august","PBO",0.625332185,0.749936589,0.814349448,588
"190","Toro","Giwa",2024,"Toro",0.8,0.8,0.8,0.8,2,"august","PBO",0.625332185,0.749936589,0.814349448,1683
"191","Warji","Takali",2021,"Warji",0.861111111,0.8,0.8,0.836363636,1,"september","PBO",0.680001753,0.750727876,0.859562721,615
"192","Warji","Takali",2024,"Warji",0.861111111,0.8,0.8,0.836363636,2,"september","PBO",0.680001753,0.750727876,0.859562721,1710
