LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round
Gombe,Alkaleri,NA,0.196254987,0.196254987,1289,762,2023,2
Gombe,Alkaleri,NA,0.236297703,0.236297703,2051,140,2025,3
Gombi,Alkaleri,NA,0.248877985,0.248877985,468,821,2021,1
Gombi,Alkaleri,NA,0.288920701,0.288920701,1289,762,2023,2
Gombi,Alkaleri,NA,0.328963417,0.328963417,2051,140,2025,3
Goronyo,Gawabawa,NA,0.11890935,0.11890935,468,821,2021,1
Goronyo,Gawabawa,NA,0.131187256,0.131187256,1289,762,2023,2
Goronyo,Gawabawa,NA,0.143465162,0.143465162,2051,140,2025,3
Gubio,Gawabawa,NA,0.11890935,0.11890935,468,821,2021,1
Gubio,Gawabawa,NA,0.131187256,0.131187256,1289,762,2023,2
Gubio,Gawabawa,NA,0.143465162,0.143465162,2051,140,2025,3
Gudu,Gawabawa,NA,0.11890935,0.11890935,468,821,2021,1
Gudu,Gawabawa,NA,0.131187256,0.131187256,1289,762,2023,2
Gudu,Gawabawa,NA,0.143465162,0.143465162,2051,140,2025,3
Gujba,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Gujba,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Gujba,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Gulani,Alkaleri,NA,0.274170269,0.274170269,468,821,2021,1
Gulani,Alkaleri,NA,0.314212985,0.314212985,1289,762,2023,2
Gulani,Alkaleri,NA,0.354255701,0.354255701,2051,140,2025,3
Guma,Keana,NA,0.338692682,0.338692682,468,821,2021,1
Guma,Keana,NA,0.361921412,0.361921412,1289,762,2023,2
Guma,Keana,NA,0.385150142,0.385150142,2051,140,2025,3
Gumel,Babura,NA,0.315618138,0.315618138,468,821,2021,1
Gumel,Babura,NA,0.381236275,0.381236275,1289,762,2023,2
Gumel,Babura,NA,0.446854413,0.446854413,2051,140,2025,3
Gummi,Birnin Kebbi,NA,0.485886492,0.485886492,468,821,2021,1
Gummi,Birnin Kebbi,NA,0.549517304,0.549517304,1289,762,2023,2
Gummi,Birnin Kebbi,NA,0.613148115,0.613148115,2051,140,2025,3
Gurara,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Gurara,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Gurara,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Guri,Taura,NA,0.205373207,0.205373207,468,821,2021,1
Guri,Taura,NA,0.235818373,0.235818373,1289,762,2023,2
Guri,Taura,NA,0.266263539,0.266263539,2051,140,2025,3
Gusau,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Gusau,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Gusau,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Guyuk,Alkaleri,NA,0.520749074,0.520749074,468,821,2021,1
Guyuk,Alkaleri,NA,0.56079179,0.56079179,1289,762,2023,2
Guyuk,Alkaleri,NA,0.600834506,0.600834506,2051,140,2025,3
Guzamala,Babura,NA,0.414895497,0.414895497,468,821,2021,1
Guzamala,Babura,NA,0.480513634,0.480513634,1289,762,2023,2
Guzamala,Babura,NA,0.546131772,0.546131772,2051,140,2025,3
Gwagwalada,Keana,NA,0.090850033,0.090850033,468,821,2021,1
Gwagwalada,Keana,NA,0.114078763,0.114078763,1289,762,2023,2
Gwagwalada,Keana,NA,0.137307493,0.137307493,2051,140,2025,3
Gwale,Alkaleri,NA,0.499510386,0.499510386,468,821,2021,1
Gwale,Alkaleri,NA,0.539553102,0.539553102,1289,762,2023,2
Gwale,Alkaleri,NA,0.579595818,0.579595818,2051,140,2025,3
Gwandu,Birnin Kebbi,NA,0.593042577,0.593042577,468,821,2021,1
Gwandu,Birnin Kebbi,NA,0.656673389,0.656673389,1289,762,2023,2
Gwandu,Birnin Kebbi,NA,0.7203042,0.7203042,2051,140,2025,3
Gwaram,Takali,NA,0.261635258,0.261635258,468,821,2021,1
Gwaram,Takali,NA,0.299771784,0.299771784,1289,762,2023,2
Gwaram,Takali,NA,0.33790831,0.33790831,2051,140,2025,3
Gwarzo,Gwarzo,NA,0.436062739,0.436062739,468,821,2021,1
Gwarzo,Gwarzo,NA,0.472125477,0.472125477,1289,762,2023,2
Gwarzo,Gwarzo,NA,0.508188216,0.508188216,2051,140,2025,3
Gwer East,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Gwer East,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Gwer East,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Gwer West,Keana,NA,0.356562063,0.356562063,468,821,2021,1
Gwer West,Keana,NA,0.379790793,0.379790793,1289,762,2023,2
Gwer West,Keana,NA,0.403019523,0.403019523,2051,140,2025,3
Gwiwa,Babura,NA,0.398951471,0.398951471,468,821,2021,1
Gwiwa,Babura,NA,0.464569608,0.464569608,1289,762,2023,2
Gwiwa,Babura,NA,0.530187746,0.530187746,2051,140,2025,3
Gwoza,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Gwoza,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Gwoza,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Hadejia,Taura,NA,0.205373207,0.205373207,468,821,2021,1
Hadejia,Taura,NA,0.235818373,0.235818373,1289,762,2023,2
Hadejia,Taura,NA,0.266263539,0.266263539,2051,140,2025,3
Hawul,Darazo,NA,0.244537499,0.244537499,468,821,2021,1
Hawul,Darazo,NA,0.267536537,0.267536537,1289,762,2023,2
Hawul,Darazo,NA,0.290535574,0.290535574,2051,140,2025,3
Hong,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Hong,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Hong,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Ibadan North,Owan East,NA,0.291464552,0.291464552,468,821,2021,1
Ibadan North,Owan East,NA,0.33388693,0.33388693,1289,762,2023,2
Ibadan North,Owan East,NA,0.376309308,0.376309308,2051,140,2025,3
Ibadan North East,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ibadan North East,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ibadan North East,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Ibadan North West,Owan East,NA,0.160161864,0.160161864,468,821,2021,1
Ibadan North West,Owan East,NA,0.202584242,0.202584242,1289,762,2023,2
Ibadan North West,Owan East,NA,0.24500662,0.24500662,2051,140,2025,3
Ibadan South East,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ibadan South East,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ibadan South East,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ibadan South West,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ibadan South West,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ibadan South West,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Ibaji,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Ibaji,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Ibaji,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ibarapa Central,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ibarapa Central,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ibarapa Central,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ibarapa East,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ibarapa East,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ibarapa East,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ibarapa North,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ibarapa North,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ibarapa North,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ibeju-Lekki,Uzo-Uwani,NA,0.570216965,0.570216965,468,821,2021,1
Ibeju-Lekki,Uzo-Uwani,NA,0.640433931,0.640433931,1289,762,2023,2
Ibeju-Lekki,Uzo-Uwani,NA,0.710650896,0.710650896,2051,140,2025,3
Ibeno,Nsit Ubium,NA,0.343460837,0.343460837,468,821,2021,1
Ibeno,Nsit Ubium,NA,0.389193913,0.389193913,1289,762,2023,2
Ibeno,Nsit Ubium,NA,0.434926989,0.434926989,2051,140,2025,3
Ibesikpo Asutan,Nsit Ubium,NA,0.279775625,0.279775625,468,821,2021,1
Ibesikpo Asutan,Nsit Ubium,NA,0.325508701,0.325508701,1289,762,2023,2
Ibesikpo Asutan,Nsit Ubium,NA,0.371241777,0.371241777,2051,140,2025,3
Ibi,Keana,NA,0.200415943,0.200415943,468,821,2021,1
Ibi,Keana,NA,0.223644673,0.223644673,1289,762,2023,2
Ibi,Keana,NA,0.246873403,0.246873403,2051,140,2025,3
Ibiono Ibom,Ngor-Okpala,NA,0.195456964,0.195456964,468,821,2021,1
Ibiono Ibom,Ngor-Okpala,NA,0.248578165,0.248578165,1289,762,2023,2
Ibiono Ibom,Ngor-Okpala,NA,0.301699366,0.301699366,2051,140,2025,3
Idah,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Idah,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Idah,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Idanre,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Idanre,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Idanre,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ideato North,Oru West,NA,0.831290686,0.831290686,468,821,2021,1
Ideato North,Oru West,NA,0.900970685,0.900970685,1289,762,2023,2
Ideato North,Oru West,NA,0.970650683,0.970650683,2051,140,2025,3
Ideato South,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Ideato South,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Ideato South,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Idemili North,Uzo-Uwani,NA,0.692397447,0.692397447,468,821,2021,1
Idemili North,Uzo-Uwani,NA,0.762614413,0.762614413,1289,762,2023,2
Idemili North,Uzo-Uwani,NA,0.832831378,0.832831378,2051,140,2025,3
Idemili South,Oru West,NA,0.375683706,0.375683706,468,821,2021,1
Idemili South,Oru West,NA,0.445363705,0.445363705,1289,762,2023,2
Idemili South,Oru West,NA,0.515043703,0.515043703,2051,140,2025,3
Ido,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ido,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ido,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Idosi-Osi,Oke-Ero,NA,0.118961799,0.118961799,468,821,2021,1
Idosi-Osi,Oke-Ero,NA,0.149906387,0.149906387,1289,762,2023,2
Idosi-Osi,Oke-Ero,NA,0.180850975,0.180850975,2051,140,2025,3
Ifako-Ijaye,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Ifako-Ijaye,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Ifako-Ijaye,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ife Central,Akinyele,NA,0.557385597,0.557385597,468,821,2021,1
Ife Central,Akinyele,NA,0.585359534,0.585359534,1289,762,2023,2
Ife Central,Akinyele,NA,0.613333472,0.613333472,2051,140,2025,3
Ife East,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ife East,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ife East,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ife North,Akinyele,NA,0.527973938,0.527973938,468,821,2021,1
Ife North,Akinyele,NA,0.555947875,0.555947875,1289,762,2023,2
Ife North,Akinyele,NA,0.583921813,0.583921813,2051,140,2025,3
Ife South,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ife South,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ife South,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ifedayo,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ifedayo,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ifedayo,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ifedore,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ifedore,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ifedore,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ifelodun1,Oke-Ero,NA,0.170713606,0.170713606,468,821,2021,1
Ifelodun1,Oke-Ero,NA,0.201658194,0.201658194,1289,762,2023,2
Ifelodun1,Oke-Ero,NA,0.232602782,0.232602782,2051,140,2025,3
Ifelodun2,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ifelodun2,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ifelodun2,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ifo,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Ifo,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Ifo,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Igabi,Soba,NA,0.022182499,0.022182499,468,821,2021,1
Igabi,Soba,NA,0.023870307,0.023870307,1289,762,2023,2
Igabi,Soba,NA,0.025558116,0.025558116,2051,140,2025,3
Igalamela-Odolu,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Igalamela-Odolu,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Igalamela-Odolu,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Igbo-Etiti,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Igbo-Etiti,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Igbo-Etiti,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Igbo-Eze North,Uzo-Uwani,NA,0.155595604,0.155595604,468,821,2021,1
Igbo-Eze North,Uzo-Uwani,NA,0.22581257,0.22581257,1289,762,2023,2
Igbo-Eze North,Uzo-Uwani,NA,0.296029535,0.296029535,2051,140,2025,3
Igbo-Eze South,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Igbo-Eze South,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Igbo-Eze South,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Igueben,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Igueben,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Igueben,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ihiala,Oru West,NA,0.359679972,0.359679972,468,821,2021,1
Ihiala,Oru West,NA,0.429359971,0.429359971,1289,762,2023,2
Ihiala,Oru West,NA,0.499039969,0.499039969,2051,140,2025,3
Ihitte-Uboma,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Ihitte-Uboma,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Ihitte-Uboma,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Ijebu East,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ijebu East,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ijebu East,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ijebu North,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ijebu North,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ijebu North,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Ijebu North East,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ijebu North East,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ijebu North East,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ijebu ode,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ijebu ode,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ijebu ode,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Ijero,Oke-Ero,NA,0.228816116,0.228816116,468,821,2021,1
Ijero,Oke-Ero,NA,0.259760704,0.259760704,1289,762,2023,2
Ijero,Oke-Ero,NA,0.290705292,0.290705292,2051,140,2025,3
Ijumu,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ijumu,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ijumu,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ika,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Ika,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Ika,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Ika North East,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Ika North East,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Ika North East,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ika South,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Ika South,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Ika South,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ikara,Soba,NA,0.022182499,0.022182499,468,821,2021,1
Ikara,Soba,NA,0.023870307,0.023870307,1289,762,2023,2
Ikara,Soba,NA,0.025558116,0.025558116,2051,140,2025,3
Ikeduru,Ngor-Okpala,NA,0.239013824,0.239013824,468,821,2021,1
Ikeduru,Ngor-Okpala,NA,0.292135025,0.292135025,1289,762,2023,2
Ikeduru,Ngor-Okpala,NA,0.345256226,0.345256226,2051,140,2025,3
Ikeja,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Ikeja,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Ikeja,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ikenne,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ikenne,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ikenne,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Ikere,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ikere,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ikere,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Ikole,Oke-Ero,NA,0.057272961,0.057272961,468,821,2021,1
Ikole,Oke-Ero,NA,0.088217549,0.088217549,1289,762,2023,2
Ikole,Oke-Ero,NA,0.119162137,0.119162137,2051,140,2025,3
Ikom,Obubra,NA,0.470486689,0.470486689,468,821,2021,1
Ikom,Obubra,NA,0.530875889,0.530875889,1289,762,2023,2
Ikom,Obubra,NA,0.591265088,0.591265088,2051,140,2025,3
Ikono,Ngor-Okpala,NA,0.553121201,0.553121201,468,821,2021,1
Ikono,Ngor-Okpala,NA,0.606242402,0.606242402,1289,762,2023,2
Ikono,Ngor-Okpala,NA,0.659363603,0.659363603,2051,140,2025,3
Ikorodu,Uzo-Uwani,NA,0.229724426,0.229724426,468,821,2021,1
Ikorodu,Uzo-Uwani,NA,0.299941392,0.299941392,1289,762,2023,2
Ikorodu,Uzo-Uwani,NA,0.370158357,0.370158357,2051,140,2025,3
Ikot Abasi,Nsit Ubium,NA,0.545733076,0.545733076,468,821,2021,1
Ikot Abasi,Nsit Ubium,NA,0.591466152,0.591466152,1289,762,2023,2
Ikot Abasi,Nsit Ubium,NA,0.637199228,0.637199228,2051,140,2025,3
Ikot Ekpene,Ngor-Okpala,NA,0.216431845,0.216431845,468,821,2021,1
Ikot Ekpene,Ngor-Okpala,NA,0.269553046,0.269553046,1289,762,2023,2
Ikot Ekpene,Ngor-Okpala,NA,0.322674247,0.322674247,2051,140,2025,3
Ikpoba-Okha,Uzo-Uwani,NA,0.241347938,0.241347938,468,821,2021,1
Ikpoba-Okha,Uzo-Uwani,NA,0.311564904,0.311564904,1289,762,2023,2
Ikpoba-Okha,Uzo-Uwani,NA,0.381781869,0.381781869,2051,140,2025,3
Ikwerre,Oru West,NA,0.389167621,0.389167621,468,821,2021,1
Ikwerre,Oru West,NA,0.45884762,0.45884762,1289,762,2023,2
Ikwerre,Oru West,NA,0.528527618,0.528527618,2051,140,2025,3
Ikwo,Obubra,NA,0.534090618,0.534090618,468,821,2021,1
Ikwo,Obubra,NA,0.594479818,0.594479818,1289,762,2023,2
Ikwo,Obubra,NA,0.654869017,0.654869017,2051,140,2025,3
Ikwuano,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Ikwuano,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Ikwuano,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Ila,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ila,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ila,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ilaje,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ilaje,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ilaje,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Ilemeji,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ilemeji,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ilemeji,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ile-Oluji-Okeigbo,Oke-Ero,NA,0.475389032,0.475389032,468,821,2021,1
Ile-Oluji-Okeigbo,Oke-Ero,NA,0.50633362,0.50633362,1289,762,2023,2
Ile-Oluji-Okeigbo,Oke-Ero,NA,0.537278208,0.537278208,2051,140,2025,3
Ilesha East,Owan East,NA,0.542422378,0.542422378,468,821,2021,1
Ilesha East,Owan East,NA,0.584844756,0.584844756,1289,762,2023,2
Ilesha East,Owan East,NA,0.627267134,0.627267134,2051,140,2025,3
Ilesha West,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ilesha West,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ilesha West,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Illela,Gawabawa,NA,0.035762989,0.035762989,468,821,2021,1
Illela,Gawabawa,NA,0.048040895,0.048040895,1289,762,2023,2
Illela,Gawabawa,NA,0.060318801,0.060318801,2051,140,2025,3
Ilorin East,Oke-Ero,NA,0.419876344,0.419876344,468,821,2021,1
Ilorin East,Oke-Ero,NA,0.450820932,0.450820932,1289,762,2023,2
Ilorin East,Oke-Ero,NA,0.48176552,0.48176552,2051,140,2025,3
Ilorin South,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ilorin South,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ilorin South,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ilorin West,Owan East,NA,0.378422337,0.378422337,468,821,2021,1
Ilorin West,Owan East,NA,0.420844715,0.420844715,1289,762,2023,2
Ilorin West,Owan East,NA,0.463267093,0.463267093,2051,140,2025,3
Imeko-Afon,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Imeko-Afon,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Imeko-Afon,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ingawa,Rimi,NA,0.078828279,0.078828279,468,821,2021,1
Ingawa,Rimi,NA,0.102101003,0.102101003,1289,762,2023,2
Ingawa,Rimi,NA,0.125373726,0.125373726,2051,140,2025,3
Ini,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Ini,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Ini,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Ipokia,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Ipokia,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Ipokia,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Irele,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Irele,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Irele,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Irepo,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Irepo,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Irepo,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Irepodun1,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Irepodun1,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Irepodun1,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Irepodun2,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Irepodun2,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Irepodun2,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Irepodun-Ifelodun,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Irepodun-Ifelodun,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Irepodun-Ifelodun,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Irewole,Akinyele,NA,0.505246721,0.505246721,468,821,2021,1
Irewole,Akinyele,NA,0.533220658,0.533220658,1289,762,2023,2
Irewole,Akinyele,NA,0.561194596,0.561194596,2051,140,2025,3
Isa,Rimi,NA,0.233268295,0.233268295,468,821,2021,1
Isa,Rimi,NA,0.256541019,0.256541019,1289,762,2023,2
Isa,Rimi,NA,0.279813742,0.279813742,2051,140,2025,3
Ise-Orun,Oke-Ero,NA,0.530944588,0.530944588,468,821,2021,1
Ise-Orun,Oke-Ero,NA,0.561889176,0.561889176,1289,762,2023,2
Ise-Orun,Oke-Ero,NA,0.592833764,0.592833764,2051,140,2025,3
Iseyin,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Iseyin,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Iseyin,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ishielu,Owan East,NA,0.277157925,0.277157925,468,821,2021,1
Ishielu,Owan East,NA,0.319580303,0.319580303,1289,762,2023,2
Ishielu,Owan East,NA,0.362002681,0.362002681,2051,140,2025,3
Isiala Mbano,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Isiala Mbano,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Isiala Mbano,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Isiala-Ngwa North,Ngor-Okpala,NA,0.392583137,0.392583137,468,821,2021,1
Isiala-Ngwa North,Ngor-Okpala,NA,0.445704338,0.445704338,1289,762,2023,2
Isiala-Ngwa North,Ngor-Okpala,NA,0.498825539,0.498825539,2051,140,2025,3
Isiala-Ngwa South,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Isiala-Ngwa South,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Isiala-Ngwa South,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Isin,Ngor-Okpala,NA,0.586183312,0.586183312,468,821,2021,1
Isin,Ngor-Okpala,NA,0.639304513,0.639304513,1289,762,2023,2
Isin,Ngor-Okpala,NA,0.692425714,0.692425714,2051,140,2025,3
Isi-Uzo,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Isi-Uzo,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Isi-Uzo,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Isokan,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Isokan,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Isokan,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
