LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round
Badagry,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Bade,Taura,NA,0.078064214,0.078064214,468,821,2021,1
Bade,Taura,NA,0.10850938,0.10850938,1289,762,2023,2
Bade,Taura,NA,0.138954546,0.138954546,2051,140,2025,3
Bagudo,Birnin Kebbi,NA,0.408907685,0.408907685,468,821,2021,1
Bagudo,Birnin Kebbi,NA,0.472538497,0.472538497,1289,762,2023,2
Bagudo,Birnin Kebbi,NA,0.536169308,0.536169308,2051,140,2025,3
Bagwai,Babura,NA,0.265618138,0.265618138,468,821,2021,1
Bagwai,Babura,NA,0.331236275,0.331236275,1289,762,2023,2
Bagwai,Babura,NA,0.396854413,0.396854413,2051,140,2025,3
Bakassi,Obubra,NA,0.470486689,0.470486689,468,821,2021,1
Bakassi,Obubra,NA,0.530875889,0.530875889,1289,762,2023,2
Bakassi,Obubra,NA,0.591265088,0.591265088,2051,140,2025,3
Bakori,Gwarzo,NA,0.208235286,0.208235286,468,821,2021,1
Bakori,Gwarzo,NA,0.244298024,0.244298024,1289,762,2023,2
Bakori,Gwarzo,NA,0.280360763,0.280360763,2051,140,2025,3
Bakura,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Bakura,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Bakura,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Balanga,Alkaleri,NA,0.254208063,0.254208063,468,821,2021,1
Balanga,Alkaleri,NA,0.294250779,0.294250779,1289,762,2023,2
Balanga,Alkaleri,NA,0.334293495,0.334293495,2051,140,2025,3
Bali,Keana,NA,0.3521685,0.3521685,468,821,2021,1
Bali,Keana,NA,0.37539723,0.37539723,1289,762,2023,2
Bali,Keana,NA,0.39862596,0.39862596,2051,140,2025,3
Bama,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Bama,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Bama,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Barikin Ladi,Soba,NA,0.022182499,0.022182499,468,821,2021,1
Barikin Ladi,Soba,NA,0.023870307,0.023870307,1289,762,2023,2
Barikin Ladi,Soba,NA,0.025558116,0.025558116,2051,140,2025,3
Baruten,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Baruten,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Baruten,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Bassa1,Keana,NA,0.22322873,0.22322873,468,821,2021,1
Bassa1,Keana,NA,0.24645746,0.24645746,1289,762,2023,2
Bassa1,Keana,NA,0.26968619,0.26968619,2051,140,2025,3
Bassa2,Soba,NA,0.022182499,0.022182499,468,821,2021,1
Bassa2,Soba,NA,0.023870307,0.023870307,1289,762,2023,2
Bassa2,Soba,NA,0.025558116,0.025558116,2051,140,2025,3
