"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"142","Ogbaru","Ahoada West",2023,"Ogbaru",0.446153846,0.366666667,0.463636364,0.320588235,0.230996863,0.322021221,0.53,2,"may",1226
"143","Onitsha North","Uzo-Uwani",2020,"Onitsha North",0.13030303,0.324106265,0.260050482,0.129850746,0.382531956,0.445478249,0.53,1,"june",162
"144","Onitsha North","Uzo-Uwani",2023,"Onitsha North",0.13030303,0.324106265,0.260050482,0.129850746,0.382531956,0.445478249,0.53,2,"june",1257
"145","Onitsha South","Uzo-Uwani",2020,"Onitsha South",0.376486564,0.324106265,0.147619048,0.115151515,0.368656397,0.434081069,0.53,1,"june",162
"146","Onitsha South","Uzo-Uwani",2023,"Onitsha South",0.376486564,0.324106265,0.147619048,0.115151515,0.368656397,0.434081069,0.53,2,"june",1257
"147","Orumba North","Oru West",2020,"Orumba North",0.354172856,0.259451365,0.202097342,0.210652484,0.403508225,0.462606614,0.53,1,"june",162
"148","Orumba North","Oru West",2023,"Orumba North",0.354172856,0.259451365,0.202097342,0.210652484,0.403508225,0.462606614,0.53,2,"june",1257
"149","Orumba South","Oru West",2020,"Orumba South",0.352890955,0.325946586,0.252765099,0.317649894,0.438379079,0.490669288,0.53,1,"june",162
"150","Orumba South","Oru West",2023,"Orumba South",0.352890955,0.325946586,0.252765099,0.317649894,0.438379079,0.490669288,0.53,2,"june",1257
"151","Oyi","Uzo-Uwani",2020,"Oyi",0.32643074,0.160150372,0.133836856,0.201360915,0.387377598,0.449447388,0.53,1,"june",162
"152","Oyi","Uzo-Uwani",2023,"Oyi",0.32643074,0.160150372,0.133836856,0.201360915,0.387377598,0.449447388,0.53,2,"june",1257
"153","Biase","Ngor-Okpala",2021,"Biase",0.582671224,0.626268077,0.576156082,0.650827005,0.42094549,0.476715539,0.53,1,"june",527
"154","Alkaleri","Alkaleri",2024,"Alkaleri",0.555387964,0.497922582,0.406625021,0.557443319,0.570092852,0.588317246,0.53,2,"july",1646
"155","Billiri","Alkaleri",2021,"Billiri",0.631522209,0.480907069,0.43393797,0.805255164,0.209402585,0.305232023,0.53,1,"july",551
"156","Bauchi","Alkaleri",2024,"Bauchi",0.549957029,0.354519356,0.375214477,0.512964953,0.627087591,0.624866967,0.53,2,"july",1646
"157","Bindawa","Rimi",2021,"Bindawa",0.894871795,1.016666667,0.907692308,0.905970149,0.7272811,0.679287322,0.53,1,"march",435
"158","Bogoro","Alkaleri",2024,"Bogoro",0.584534717,0.481738609,0.438571783,0.597522113,0.578959907,0.594258836,0.53,2,"july",1646
"159","Biriniwa","Taura",2021,"Biriniwa",0.849295991,0.746893034,1.047368421,0.867208089,0.694642094,0.662953681,0.53,1,"july",551
"160","Damban","Darazo",2024,"Damban",0.420754717,0.425,0.382608696,0.619480519,0.81015375,0.714922519,0.53,2,"july",1646
"161","Birni Kudu","Takali",2021,"Birni Kudu",0.979221521,0.880412827,0.940102739,0.9898771,0.79905925,0.710618621,0.53,1,"september",615
"162","Darazo","Darazo",2024,"Darazo",0.481143004,0.433840547,0.454634865,0.622147671,0.786253294,0.705476275,0.53,2,"july",1646
"163","Birnin Kebbi","Birnin Kebbi",2021,"Birnin Kebbi",0.974349018,0.814472081,0.640596894,0.884096173,0.745947987,0.688032578,0.53,1,"august",588
"164","Dass","Alkaleri",2024,"Dass",0.961111111,0.561538462,0.463636364,0.873584906,0.466190501,0.512538393,0.53,2,"july",1646
"165","Bogoro","Alkaleri",2021,"Bogoro",0.584534717,0.481738609,0.438571783,0.597522113,0.578959907,0.594258836,0.53,1,"july",551
"166","Gamawa","Gwarzo",2024,"Gamawa",0.584848485,0.35,0.433333333,0.734920635,0.770682387,0.698966685,0.53,2,"august",1683
"167","Boki","Obubra",2021,"Boki",0.225,0.35,0.211111111,0.283673469,0.433816783,0.487034109,0.53,1,"june",527
"168","Jama'are","Taura",2024,"Jama'are",0.63934621,0.544648002,0.616734467,0.897350525,0.749263424,0.689541118,0.53,2,"july",1646
"169","Buji","Takali",2021,"Buji",0.842088223,0.532266982,0.649887443,0.96602248,0.759566013,0.694143703,0.53,1,"september",615
"170","Ganjuwa","Darazo",2024,"Ganjuwa",0.676367392,0.344194758,0.407748719,0.724384825,0.647484501,0.636975276,0.53,2,"july",1646
"171","Bunza","Birnin Kebbi",2021,"Bunza",0.889226475,0.714967322,0.634978419,0.88771905,0.672182056,0.650932828,0.53,1,"august",588
"172","Giade","Darazo",2024,"Giade",0.414285714,0.185714286,0.242857143,0.408823529,0.730326034,0.680743195,0.53,2,"july",1646
"173","Calabar South","Nsit Ubium",2021,"Calabar South",0.603793657,0.389940862,0.279419564,0.330488395,0.442007326,0.4935513,0.53,1,"june",527
"174","Itas-Gadau","Taura",2024,"Itas/Gadau",0.804426374,0.710191562,0.729827895,1.015155207,0.742973977,0.686667971,0.53,2,"july",1646
"175","Calabar-Municipal","Nsit Ubium",2021,"Calabar-Municipal",0.431461607,0.492374883,0.249901442,0.348555116,0.462134621,0.509382696,0.53,1,"june",527
"176","Katagum","Gwarzo",2024,"Katagum",0.615383228,0.491156259,0.532060917,0.864630621,0.74547039,0.687814164,0.53,2,"august",1683
"177","Charanchi","Rimi",2021,"Charanchi",0.961111111,0.918181818,0.842857143,0.903030303,0.738728442,0.684701159,0.53,1,"march",435
"178","Kirfi","Alkaleri",2024,"Kirfi",0.711111111,0.257894737,0.293548387,0.583870968,0.704749265,0.668154735,0.53,2,"july",1646
"179","Damban","Darazo",2021,"Damban",0.420754717,0.425,0.382608696,0.619480519,0.81015375,0.714922519,0.53,1,"july",551
"180","Misau","Darazo",2024,"Misau",0.488163903,0.440650807,0.33447449,0.709141639,0.803277912,0.712271562,0.53,2,"july",1646
"181","Dan Musa","Rimi",2021,"Dan Musa",1.054545455,0.918181818,0.926923077,0.973239437,0.814381216,0.7165261,0.53,1,"march",435
"182","Ningi","Takali",2024,"Ningi",0.699580132,0.417186346,0.465245735,0.79904886,0.6738636,0.651854983,0.53,2,"september",1710
"183","Ukum","Keana",2020,"Ukum",0.502895063,0.441754412,0.508776947,0.377550274,0.383970395,0.446657171,0.53,1,"august",223
