LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,start_day_override 
Abadam,Babura,NA,0.377219548,0.377219548,716,202,2022,1
Abadam,Babura,NA,0.380712321,0.380712321,918,159,2022,1
Abadam,Babura,NA,0.384205095,0.384205095,1077,219,2023,1
Abadam,Babura,NA,0.391190642,0.391190642,1296,136,2023,1
Abadam,Babura,NA,0.523916039,0.523916039,1432,218,2024,1
Abadam,Babura,NA,0.698554718,0.698554718,1650,151,2024,1
Abadam,Babura,NA,0.8,0.8,1801,185,2025,1
Abadam,Babura,NA,0.8,0.8,1986,183,2025,1
Abaji,Keana,NA,0.246130843,0.246130843,0,196,2020,1
Abaji,Keana,NA,0.52979664,0.52979664,196,154,2020,1
Abaji,Keana,NA,0.537451309,0.537451309,350,212,2020,1
Abaji,Keana,NA,0.8,0.8,562,154,2021,1
Abaji,Keana,NA,0.8,0.8,716,202,2022,1
Abaji,Keana,NA,0.8,0.8,918,159,2022,1
Abaji,Keana,NA,0.8,0.8,1077,219,2023,1
Abaji,Keana,NA,0.8,0.8,1296,136,2023,1
Abaji,Keana,NA,0.8,0.8,1432,218,2024,1
Abaji,Keana,NA,0.8,0.8,1650,151,2024,1
Abaji,Keana,NA,0.8,0.8,1801,185,2025,1
Abaji,Keana,NA,0.8,0.8,1986,183,2025,1
Abak,Nsit Ubium,NA,0.297727761,0.297727761,0,196,2020,1
Abak,Nsit Ubium,NA,0.312614149,0.312614149,196,154,2020,1
Abak,Nsit Ubium,NA,0.315591427,0.315591427,350,212,2020,1
Abak,Nsit Ubium,NA,0.318568704,0.318568704,562,154,2021,1
Abak,Nsit Ubium,NA,0.321545982,0.321545982,716,202,2022,1
Abak,Nsit Ubium,NA,0.324523259,0.324523259,918,159,2022,1
Abak,Nsit Ubium,NA,0.327500537,0.327500537,1077,219,2023,1
Abak,Nsit Ubium,NA,0.333455092,0.333455092,1296,136,2023,1
Abak,Nsit Ubium,NA,0.446591642,0.446591642,1432,218,2024,1
Abak,Nsit Ubium,NA,0.595455522,0.595455522,1650,151,2024,1
Abak,Nsit Ubium,NA,0.744319403,0.744319403,1801,185,2025,1
Abak,Nsit Ubium,NA,0.8,0.8,1986,183,2025,1
Abakaliki,Owan East,NA,0.352748878,0.352748878,0,196,2020,1
Abakaliki,Owan East,NA,0.370386322,0.370386322,196,154,2020,1
Abakaliki,Owan East,NA,0.373913811,0.373913811,350,212,2020,1
Abakaliki,Owan East,NA,0.377441299,0.377441299,562,154,2021,1
Abakaliki,Owan East,NA,0.380968788,0.380968788,716,202,2022,1
Abakaliki,Owan East,NA,0.384496277,0.384496277,918,159,2022,1
Abakaliki,Owan East,NA,0.388023766,0.388023766,1077,219,2023,1
Abakaliki,Owan East,NA,0.395078743,0.395078743,1296,136,2023,1
Abakaliki,Owan East,NA,0.529123317,0.529123317,1432,218,2024,1
Abakaliki,Owan East,NA,0.705497756,0.705497756,1650,151,2024,1
Abakaliki,Owan East,NA,0.8,0.8,1801,185,2025,1
Abakaliki,Owan East,NA,0.8,0.8,1986,183,2025,1
Abeokuta North,Owan East,NA,0.516473785,0.516473785,0,196,2020,1
Abeokuta North,Owan East,NA,0.542297474,0.542297474,196,154,2020,1
Abeokuta North,Owan East,NA,0.547462212,0.547462212,350,212,2020,1
Abeokuta North,Owan East,NA,0.55262695,0.55262695,562,154,2021,1
Abeokuta North,Owan East,NA,0.557791688,0.557791688,716,202,2022,1
Abeokuta North,Owan East,NA,0.562956426,0.562956426,918,159,2022,1
