,LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases,start_day_override
28,Abadam,Babura,NA,0.373726774,0.373726774,562,154,2021,4,0.637,1
29,Abadam,Babura,NA,0.377219548,0.377219548,716,202,2022,5,0.686,1
30,Abadam,Babura,NA,0.380712321,0.380712321,918,159,2022,6,0.735,1
31,Abadam,Babura,NA,0.384205095,0.384205095,1077,219,2023,7,0.784,1
32,Abadam,Babura,NA,0.391190642,0.391190642,1296,136,2023,8,0.8,1
33,Abadam,Babura,NA,0.523916039,0.523916039,1432,218,2024,9,0.8,1
34,Abadam,Babura,NA,0.698554718,0.698554718,1650,151,2024,10,0.8,1
35,Abadam,Babura,NA,0.8,0.8,1801,185,2025,11,0.8,1
36,Abadam,Babura,NA,0.8,0.8,1986,183,2025,12,0.8,1
37,Abaji,Keana,NA,0.246130843,0.246130843,0,196,2020,1,0.49,1
38,Abaji,Keana,NA,0.52979664,0.52979664,196,154,2020,2,0.539,1
39,Abaji,Keana,NA,0.537451309,0.537451309,350,212,2021,3,0.588,1
40,Abaji,Keana,NA,0.8,0.8,562,154,2021,4,0.637,1
41,Abaji,Keana,NA,0.8,0.8,716,202,2022,5,0.686,1
42,Abaji,Keana,NA,0.8,0.8,918,159,2022,6,0.735,1
43,Abaji,Keana,NA,0.8,0.8,1077,219,2023,7,0.784,1
44,Abaji,Keana,NA,0.8,0.8,1296,136,2023,8,0.8,1
45,Abaji,Keana,NA,0.8,0.8,1432,218,2024,9,0.8,1
46,Abaji,Keana,NA,0.8,0.8,1650,151,2024,10,0.8,1
47,Abaji,Keana,NA,0.8,0.8,1801,185,2025,11,0.8,1
48,Abaji,Keana,NA,0.8,0.8,1986,183,2025,12,0.8,1
49,Abak,Nsit Ubium,NA,0.297727761,0.297727761,0,196,2020,1,0.49,1
50,Abak,Nsit Ubium,NA,0.312614149,0.312614149,196,154,2020,2,0.539,1
51,Abak,Nsit Ubium,NA,0.315591427,0.315591427,350,212,2021,3,0.588,1
52,Abak,Nsit Ubium,NA,0.318568704,0.318568704,562,154,2021,4,0.637,1
53,Abak,Nsit Ubium,NA,0.321545982,0.321545982,716,202,2022,5,0.686,1
54,Abak,Nsit Ubium,NA,0.324523259,0.324523259,918,159,2022,6,0.735,1
55,Abak,Nsit Ubium,NA,0.327500537,0.327500537,1077,219,2023,7,0.784,1
56,Abak,Nsit Ubium,NA,0.333455092,0.333455092,1296,136,2023,8,0.8,1
57,Abak,Nsit Ubium,NA,0.446591642,0.446591642,1432,218,2024,9,0.8,1
58,Abak,Nsit Ubium,NA,0.595455522,0.595455522,1650,151,2024,10,0.8,1
59,Abak,Nsit Ubium,NA,0.744319403,0.744319403,1801,185,2025,11,0.8,1
60,Abak,Nsit Ubium,NA,0.8,0.8,1986,183,2025,12,0.8,1
61,Abakaliki,Owan East,NA,0.352748878,0.352748878,0,196,2020,1,0.49,1
62,Abakaliki,Owan East,NA,0.370386322,0.370386322,196,154,2020,2,0.539,1
63,Abakaliki,Owan East,NA,0.373913811,0.373913811,350,212,2021,3,0.588,1
64,Abakaliki,Owan East,NA,0.377441299,0.377441299,562,154,2021,4,0.637,1
65,Abakaliki,Owan East,NA,0.380968788,0.380968788,716,202,2022,5,0.686,1
66,Abakaliki,Owan East,NA,0.384496277,0.384496277,918,159,2022,6,0.735,1
67,Abakaliki,Owan East,NA,0.388023766,0.388023766,1077,219,2023,7,0.784,1
68,Abakaliki,Owan East,NA,0.395078743,0.395078743,1296,136,2023,8,0.8,1
69,Abakaliki,Owan East,NA,0.529123317,0.529123317,1432,218,2024,9,0.8,1
70,Abakaliki,Owan East,NA,0.705497756,0.705497756,1650,151,2024,10,0.8,1
71,Abakaliki,Owan East,NA,0.8,0.8,1801,185,2025,11,0.8,1
