,LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round
128,Aboh-Mbaise,Ngor-Okpala,NA,0.8,0.8,0.8,1801,185,2025,1,11
129,Aboh-Mbaise,Ngor-Okpala,NA,0.8,0.8,0.8,1986,183,2025,1,12
130,Aboh-Mbaise,Ngor-Okpala,NA,0.8,0.8,0.8,0,-1,2025,1,13
131,Abua-Odual,Ahoada West,NA,0.104505917,0.104505917,0.49,0,196,2020,1,1
132,Abua-Odual,Ahoada West,NA,0.449897973,0.449897973,0.539,196,154,2020,1,2
133,Abua-Odual,Ahoada West,NA,0.55388136,0.55388136,0.588,350,212,2021,1,3
134,Abua-Odual,Ahoada West,NA,0.8,0.8,0.637,562,154,2021,1,4
135,Abua-Odual,Ahoada West,NA,0.8,0.8,0.686,716,202,2022,1,5
136,Abua-Odual,Ahoada West,NA,0.8,0.8,0.735,918,159,2022,1,6
137,Abua-Odual,Ahoada West,NA,0.8,0.8,0.784,1077,219,2023,1,7
138,Abua-Odual,Ahoada West,NA,0.8,0.8,0.8,1296,136,2023,1,8
139,Abua-Odual,Ahoada West,NA,0.8,0.8,0.8,1432,218,2024,1,9
140,Abua-Odual,Ahoada West,NA,0.8,0.8,0.8,1650,151,2024,1,10
141,Abua-Odual,Ahoada West,NA,0.8,0.8,0.8,1801,185,2025,1,11
142,Abua-Odual,Ahoada West,NA,0.8,0.8,0.8,1986,183,2025,1,12
143,Abua-Odual,Ahoada West,NA,0.8,0.8,0.8,0,-1,2025,1,13
144,Abuja Municipal,Keana,NA,0.048123756,0.048123756,0.49,0,196,2020,1,1
145,Abuja Municipal,Keana,NA,0.096247512,0.096247512,0.539,196,154,2020,1,2
146,Abuja Municipal,Keana,NA,0.525415168,0.525415168,0.588,350,212,2021,1,3
147,Abuja Municipal,Keana,NA,0.772386284,0.772386284,0.637,562,154,2021,1,4
148,Abuja Municipal,Keana,NA,0.8,0.8,0.686,716,202,2022,1,5
149,Abuja Municipal,Keana,NA,0.8,0.8,0.735,918,159,2022,1,6
150,Abuja Municipal,Keana,NA,0.8,0.8,0.784,1077,219,2023,1,7
151,Abuja Municipal,Keana,NA,0.8,0.8,0.8,1296,136,2023,1,8
152,Abuja Municipal,Keana,NA,0.8,0.8,0.8,1432,218,2024,1,9
153,Abuja Municipal,Keana,NA,0.8,0.8,0.8,1650,151,2024,1,10
154,Abuja Municipal,Keana,NA,0.8,0.8,0.8,1801,185,2025,1,11
155,Abuja Municipal,Keana,NA,0.8,0.8,0.8,1986,183,2025,1,12
156,Abuja Municipal,Keana,NA,0.8,0.8,0.8,0,-1,2025,1,13
157,Adavi,Owan East,NA,0.278942779,0.278942779,0.49,0,196,2020,1,1
158,Adavi,Owan East,NA,0.292889918,0.292889918,0.539,196,154,2020,1,2
159,Adavi,Owan East,NA,0.295679346,0.295679346,0.588,350,212,2021,1,3
160,Adavi,Owan East,NA,0.298468774,0.298468774,0.637,562,154,2021,1,4
161,Adavi,Owan East,NA,0.301258201,0.301258201,0.686,716,202,2022,1,5
162,Adavi,Owan East,NA,0.304047629,0.304047629,0.735,918,159,2022,1,6
163,Adavi,Owan East,NA,0.306837057,0.306837057,0.784,1077,219,2023,1,7
164,Adavi,Owan East,NA,0.312415912,0.312415912,0.8,1296,136,2023,1,8
165,Adavi,Owan East,NA,0.418414169,0.418414169,0.8,1432,218,2024,1,9
166,Adavi,Owan East,NA,0.557885558,0.557885558,0.8,1650,151,2024,1,10
167,Adavi,Owan East,NA,0.697356948,0.697356948,0.8,1801,185,2025,1,11
168,Adavi,Owan East,NA,0.8,0.8,0.8,1986,183,2025,1,12
169,Adavi,Owan East,NA,0.8,0.8,0.8,0,-1,2025,1,13
