State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Bauchi,Ganjuwa,Darazo,july,2020,3,-1,1,0.6,5,246
Bauchi,Ganjuwa,Darazo,july,2020,4,-1,1,0.6,5,276
Gombe,Balanga,Alkaleri,july,2020,1,-1,1,0.6,5,186
Bauchi,Giade,Darazo,july,2020,2,-1,1,0.6,5,216
Bauchi,Giade,Darazo,july,2020,3,-1,1,0.6,5,246
Bauchi,Giade,Darazo,july,2020,4,-1,1,0.6,5,276
Taraba,Bali,Keana,august,2020,1,-1,1,0.6,5,223
Bauchi,Itas-Gadau,Taura,july,2020,2,-1,1,0.6,5,216
Bauchi,Itas-Gadau,Taura,july,2020,3,-1,1,0.6,5,246
Bauchi,Itas-Gadau,Taura,july,2020,4,-1,1,0.6,5,276
Borno,Bama,Darazo,july,2020,1,-1,1,0.6,5,223
Bauchi,Jama'are,Taura,july,2020,2,-1,1,0.6,5,216
Bauchi,Jama'are,Taura,july,2020,3,-1,1,0.6,5,246
Bauchi,Jama'are,Taura,july,2020,4,-1,1,0.6,5,276
Plateau,Barikin Ladi,Soba,july,2020,1,-1,1,0.6,5,186
Bauchi,Katagum,Gwarzo,august,2020,2,-1,1,0.6,5,253
Bauchi,Katagum,Gwarzo,august,2020,3,-1,1,0.6,5,283
Bauchi,Katagum,Gwarzo,august,2020,4,-1,1,0.6,5,313
Kwara,Baruten,Oke-Ero,july,2020,1,-1,1,0.6,5,186
Bauchi,Kirfi,Alkaleri,july,2020,2,-1,1,0.6,5,216
Bauchi,Kirfi,Alkaleri,july,2020,3,-1,1,0.6,5,246
Bauchi,Kirfi,Alkaleri,july,2020,4,-1,1,0.6,5,276
Kogi,Bassa1,Keana,august,2020,1,-1,1,0.6,5,223
Bauchi,Misau,Darazo,july,2020,2,-1,1,0.6,5,216
Bauchi,Misau,Darazo,july,2020,3,-1,1,0.6,5,246
Bauchi,Misau,Darazo,july,2020,4,-1,1,0.6,5,276
Plateau,Bassa2,Soba,july,2020,1,-1,1,0.6,5,186
Bauchi,Ningi,Takali,september,2020,2,-1,1,0.6,5,280
