LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Akoko South West,Oke-Ero,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Akoko-Edo,Owan East,NA,0.563899045,0.563899045,0.637,0,-1,2018,-1
Akpabuyo,Nsit Ubium,NA,0.387046089,0.387046089,0.637,0,-1,2018,-1
Akuku Toru,Ahoada West,NA,0.52,0.52,0.637,0,-1,2018,-1
Akure North,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Akure South,Owan East,NA,0.65,0.65,0.637,0,-1,2018,-1
Akwanga,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Albasu,Takali,NA,0.866666667,0.866666667,0.637,0,-1,2018,-1
Aleiro,Birnin Kebbi,NA,0.548932384,0.548932384,0.637,0,-1,2018,-1
Alimosho,Uzo-Uwani,NA,0.357433809,0.357433809,0.637,0,-1,2018,-1
Alkaleri,Alkaleri,NA,0.28875281,0.28875281,0.637,0,-1,2018,-1
Amuwo-Odofin,Isoko South,NA,0.158075112,0.158075112,0.637,0,-1,2018,-1
Anambra East,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Anambra West,Uzo-Uwani,NA,0.867061333,0.867061333,0.637,0,-1,2018,-1
Anaocha,Oru West,NA,0.716042818,0.716042818,0.637,0,-1,2018,-1
Andoni,Nsit Ubium,NA,0.216571558,0.216571558,0.637,0,-1,2018,-1
Aninri,Oru West,NA,0.673350187,0.673350187,0.637,0,-1,2018,-1
Aniocha North,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Aniocha South,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Anka,Darazo,NA,0.10615386,0.10615386,0.637,0,-1,2018,-1
Ankpa,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Apa,Keana,NA,0.230343377,0.230343377,0.637,0,-1,2018,-1
Apapa,Isoko South,NA,0.158075112,0.158075112,0.637,0,-1,2018,-1
Ardo-Kola,Keana,NA,0.325,0.325,0.637,0,-1,2018,-1
Arewa-Dandi,Birnin Kebbi,NA,0.866666667,0.866666667,0.637,0,-1,2018,-1
Argungu,Birnin Kebbi,NA,0.769275034,0.769275034,0.637,0,-1,2018,-1
Arochukwu,Ngor-Okpala,NA,0.368385424,0.368385424,0.637,0,-1,2018,-1
Asa,Oke-Ero,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Asari-Toru,Ahoada West,NA,0.575765727,0.575765727,0.637,0,-1,2018,-1
Askira-Uba,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Atakumosa East,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Atakumosa West,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Atiba,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Atigbo,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Augie,Birnin Kebbi,NA,0.699999999,0.699999999,0.637,0,-1,2018,-1
Auyo,Taura,NA,0.975,0.975,0.637,0,-1,2018,-1
Awe,Keana,NA,0.230343377,0.230343377,0.637,0,-1,2018,-1
Awgu,Oru West,NA,0.534400656,0.534400656,0.637,0,-1,2018,-1
Awka North,Uzo-Uwani,NA,0.866666667,0.866666667,0.637,0,-1,2018,-1
Awka South,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Ayamelum,Uzo-Uwani,NA,0.996666684,0.996666684,0.637,0,-1,2018,-1
Babura,Babura,NA,0.644727656,0.644727656,0.637,0,-1,2018,-1
Badagry,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Bade,Taura,NA,0.061904762,0.061904762,0.637,0,-1,2018,-1
Bagudo,Birnin Kebbi,NA,0.448859935,0.448859935,0.637,0,-1,2018,-1
Bagwai,Babura,NA,0.26,0.26,0.637,0,-1,2018,-1
Bakassi,Obubra,NA,0.533126737,0.533126737,0.637,0,-1,2018,-1
Bakori,Gwarzo,NA,0.223824311,0.223824311,0.637,0,-1,2018,-1
Bakura,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Balanga,Alkaleri,NA,0.278414951,0.278414951,0.637,0,-1,2018,-1
Bali,Keana,NA,0.427621701,0.427621701,0.637,0,-1,2018,-1
Bama,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Barikin Ladi,Soba,NA,0.026643097,0.026643097,0.637,0,-1,2018,-1
Baruten,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Bassa1,Keana,NA,0.26,0.26,0.637,0,-1,2018,-1
Bassa2,Soba,NA,0.026643097,0.026643097,0.637,0,-1,2018,-1
Batagarawa,Rimi,NA,0.485000004,0.485000004,0.637,0,-1,2018,-1
Batsari,Rimi,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Bauchi,Alkaleri,NA,0.03520074,0.03520074,0.637,0,-1,2018,-1
Baure,Babura,NA,0.464285714,0.464285714,0.637,0,-1,2018,-1
Bayo,Alkaleri,NA,0.65,0.65,0.637,0,-1,2018,-1
Bebeji,Gwarzo,NA,0.223824311,0.223824311,0.637,0,-1,2018,-1
Bekwara,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Bende,Ngor-Okpala,NA,0.228703545,0.228703545,0.637,0,-1,2018,-1
Biase,Ngor-Okpala,NA,0.764436804,0.764436804,0.637,0,-1,2018,-1
Bichi,Gwarzo,NA,0.223824311,0.223824311,0.637,0,-1,2018,-1
Bida,Oke-Ero,NA,0.65,0.65,0.637,0,-1,2018,-1
Billiri,Alkaleri,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Bindawa,Rimi,NA,0.13,0.13,0.637,0,-1,2018,-1
Binji,Gawabawa,NA,0.325,0.325,0.637,0,-1,2018,-1
Biriniwa,Taura,NA,0.216666667,0.216666667,0.637,0,-1,2018,-1
Birni Kudu,Takali,NA,0.291178008,0.291178008,0.637,0,-1,2018,-1
Birnin Kebbi,Birnin Kebbi,NA,0.744821618,0.744821618,0.637,0,-1,2018,-1
Birnin Magaji,Rimi,NA,0.272994244,0.272994244,0.637,0,-1,2018,-1
Birnin-Gwari,Giwa,NA,0.169660832,0.169660832,0.637,0,-1,2018,-1
Biu,Darazo,NA,0.65,0.65,0.637,0,-1,2018,-1
Bodinga,Gawabawa,NA,0.138620877,0.138620877,0.637,0,-1,2018,-1
Bogoro,Alkaleri,NA,0.304365819,0.304365819,0.637,0,-1,2018,-1
Boki,Obubra,NA,0.325,0.325,0.637,0,-1,2018,-1
Bokkos,Giwa,NA,0.169660832,0.169660832,0.637,0,-1,2018,-1
Boluwaduro,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Bomadi,Isoko South,NA,0.158075112,0.158075112,0.637,0,-1,2018,-1
Bonny,Nsit Ubium,NA,0.775511407,0.775511407,0.637,0,-1,2018,-1
Borgu,Oke-Ero,NA,0.371428572,0.371428572,0.637,0,-1,2018,-1
Boripe,Akinyele,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Bosso,Keana,NA,0.28087628,0.28087628,0.637,0,-1,2018,-1
Brass,Ahoada West,NA,0.668806597,0.668806597,0.637,0,-1,2018,-1
Buji,Takali,NA,0.232381499,0.232381499,0.637,0,-1,2018,-1
Bukkuyum,Alkaleri,NA,0.304365819,0.304365819,0.637,0,-1,2018,-1
Bungudu,Takali,NA,0.386389111,0.386389111,0.637,0,-1,2018,-1
Bunkure,Gwarzo,NA,0.223824311,0.223824311,0.637,0,-1,2018,-1
Bunza,Birnin Kebbi,NA,0.548932384,0.548932384,0.637,0,-1,2018,-1
Bursari,Taura,NA,0.1625,0.1625,0.637,0,-1,2018,-1
Buruku,Keana,NA,0.260000049,0.260000049,0.637,0,-1,2018,-1
Burutu,Isoko South,NA,0.158075112,0.158075112,0.637,0,-1,2018,-1
Bwari,Giwa,NA,0.200549626,0.200549626,0.637,0,-1,2018,-1
Calabar South,Nsit Ubium,NA,0.387046089,0.387046089,0.637,0,-1,2018,-1
Calabar-Municipal,Nsit Ubium,NA,0.389661579,0.389661579,0.637,0,-1,2018,-1
Chanchaga,Keana,NA,0.505655168,0.505655168,0.637,0,-1,2018,-1
Charanchi,Rimi,NA,0.136842105,0.136842105,0.637,0,-1,2018,-1
Chibok,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Chikun,Soba,NA,0.026643097,0.026643097,0.637,0,-1,2018,-1
Dala,Alkaleri,NA,1,1,0.637,0,-1,2018,-1
Damaturu,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Damban,Darazo,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Dambatta,Babura,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Damboa,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Dan Musa,Rimi,NA,0.272994244,0.272994244,0.637,0,-1,2018,-1
Dandi,Birnin Kebbi,NA,0.453837059,0.453837059,0.637,0,-1,2018,-1
Dandume,Giwa,NA,0.169660832,0.169660832,0.637,0,-1,2018,-1
Dange-Shnsi,Gawabawa,NA,0.1625,0.1625,0.637,0,-1,2018,-1
Danja,Giwa,NA,0.169660832,0.169660832,0.637,0,-1,2018,-1
Darazo,Darazo,NA,0.209498396,0.209498396,0.637,0,-1,2018,-1
Dass,Alkaleri,NA,0.304365819,0.304365819,0.637,0,-1,2018,-1
Daura,Babura,NA,0.262899573,0.262899573,0.637,0,-1,2018,-1
Dawakin Kudu,Gwarzo,NA,0.354545455,0.354545455,0.637,0,-1,2018,-1
Dawakin Tofa,Taura,NA,0.236363637,0.236363637,0.637,0,-1,2018,-1
Degema,Ahoada West,NA,0.325,0.325,0.637,0,-1,2018,-1
Dekina,Owan East,NA,0.247387092,0.247387092,0.637,0,-1,2018,-1
Demsa,Alkaleri,NA,0.912582904,0.912582904,0.637,0,-1,2018,-1
Dikwa,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Doguwa,Giwa,NA,0.169565218,0.169565218,0.637,0,-1,2018,-1
Doma,Keana,NA,0.230343377,0.230343377,0.637,0,-1,2018,-1
Donga,Keana,NA,0.370395489,0.370395489,0.637,0,-1,2018,-1
Dukku,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Dunukofia,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Dutse,Takali,NA,0.193034451,0.193034451,0.637,0,-1,2018,-1
Dutsi,Rimi,NA,0.3,0.3,0.637,0,-1,2018,-1
Dutsin-Ma,Rimi,NA,0.272994244,0.272994244,0.637,0,-1,2018,-1
Eastern Obolo,Nsit Ubium,NA,0.78,0.78,0.637,0,-1,2018,-1
Ebonyi,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Edati,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Ede North,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Ede South,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Edu,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Efon-Alayee,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Egbado North,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Egbado South,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Egbeda,Akinyele,NA,0.139511852,0.139511852,0.637,0,-1,2018,-1
Egbedore,Akinyele,NA,0.704433509,0.704433509,0.637,0,-1,2018,-1
Egor,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Ehime-Mbano,Ngor-Okpala,NA,0.768786832,0.768786832,0.637,0,-1,2018,-1
Ejigbo,Akinyele,NA,0.280679433,0.280679433,0.637,0,-1,2018,-1
Ekeremor,Ahoada West,NA,0.267706951,0.267706951,0.637,0,-1,2018,-1
Eket,Nsit Ubium,NA,0.387046089,0.387046089,0.637,0,-1,2018,-1
Ekiti,Oke-Ero,NA,0.967712142,0.967712142,0.637,0,-1,2018,-1
Ekiti East,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Ekiti South West,Oke-Ero,NA,0.601250074,0.601250074,0.637,0,-1,2018,-1
Ekiti West,Oke-Ero,NA,0.210877683,0.210877683,0.637,0,-1,2018,-1
Ekwusigo,Oru West,NA,0.975,0.975,0.637,0,-1,2018,-1
Eleme,Ahoada West,NA,0.197201567,0.197201567,0.637,0,-1,2018,-1
Emohua,Ahoada West,NA,0.216666667,0.216666667,0.637,0,-1,2018,-1
Emure,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Enugu East,Uzo-Uwani,NA,0.99726025,0.99726025,0.637,0,-1,2018,-1
Enugu North,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Enugu South,Uzo-Uwani,NA,0.66936156,0.66936156,0.637,0,-1,2018,-1
Epe,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Esan Central,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Esan North East,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Esan South East,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Esan West,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Ese-Odo,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Esit Eket,Nsit Ubium,NA,0.092857142,0.092857142,0.637,0,-1,2018,-1
Essien Udim,Ngor-Okpala,NA,0.285066209,0.285066209,0.637,0,-1,2018,-1
Etche,Ngor-Okpala,NA,0.368385424,0.368385424,0.637,0,-1,2018,-1
Ethiope East,Isoko South,NA,0.158075112,0.158075112,0.637,0,-1,2018,-1
Ethiope West,Isoko South,NA,0.158075112,0.158075112,0.637,0,-1,2018,-1
Etim Ekpo,Isoko South,NA,0.158075112,0.158075112,0.637,0,-1,2018,-1
Etinan,Ngor-Okpala,NA,0.368385424,0.368385424,0.637,0,-1,2018,-1
Eti-Osa,Nsit Ubium,NA,0.387046089,0.387046089,0.637,0,-1,2018,-1
Etsako Central,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Etsako East,Owan East,NA,0.101340513,0.101340513,0.637,0,-1,2018,-1
Etsako West,Owan East,NA,0.104457062,0.104457062,0.637,0,-1,2018,-1
Etung,Obubra,NA,0.26,0.26,0.637,0,-1,2018,-1
Ewekoro,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Ezeagu,Uzo-Uwani,NA,0.564955964,0.564955964,0.637,0,-1,2018,-1
Ezinihitte,Ngor-Okpala,NA,0.505645858,0.505645858,0.637,0,-1,2018,-1
Ezza North,Owan East,NA,0.247619047,0.247619047,0.637,0,-1,2018,-1
Ezza South,Obubra,NA,0.622499743,0.622499743,0.637,0,-1,2018,-1
Fagge,Alkaleri,NA,0.304365819,0.304365819,0.637,0,-1,2018,-1
Fakai,Birnin Kebbi,NA,0.866666667,0.866666667,0.637,0,-1,2018,-1
Faskari,Giwa,NA,0.169660832,0.169660832,0.637,0,-1,2018,-1
Fika,Darazo,NA,0.123809524,0.123809524,0.637,0,-1,2018,-1
Fufore,Alkaleri,NA,0.181064148,0.181064148,0.637,0,-1,2018,-1
Funakaye,Alkaleri,NA,0.059090909,0.059090909,0.637,0,-1,2018,-1
Fune,Darazo,NA,0.041000609,0.041000609,0.637,0,-1,2018,-1
Funtua,Gwarzo,NA,0.223824311,0.223824311,0.637,0,-1,2018,-1
Gabasawa,Taura,NA,0.227406453,0.227406453,0.637,0,-1,2018,-1
Gada,Gawabawa,NA,0.138620877,0.138620877,0.637,0,-1,2018,-1
Gagarawa,Taura,NA,0.227406453,0.227406453,0.637,0,-1,2018,-1
Gamawa,Gwarzo,NA,0.223824311,0.223824311,0.637,0,-1,2018,-1
Ganaye,Alkaleri,NA,0.304365819,0.304365819,0.637,0,-1,2018,-1
Ganjuwa,Darazo,NA,0.132374108,0.132374108,0.637,0,-1,2018,-1
Garki,Babura,NA,0.866666667,0.866666667,0.637,0,-1,2018,-1
Garko,Gwarzo,NA,0.223824311,0.223824311,0.637,0,-1,2018,-1
Garum Mallam,Gwarzo,NA,0.2,0.2,0.637,0,-1,2018,-1
Gashaka,Oru West,NA,0.534400656,0.534400656,0.637,0,-1,2018,-1
Gassol,Keana,NA,0.111977379,0.111977379,0.637,0,-1,2018,-1
Gawabawa,Gawabawa,NA,0.138620877,0.138620877,0.637,0,-1,2018,-1
Gaya,Gwarzo,NA,0.216666667,0.216666667,0.637,0,-1,2018,-1
Gbako,Oke-Ero,NA,0.600000001,0.600000001,0.637,0,-1,2018,-1
Gboko,Keana,NA,0.182365732,0.182365732,0.637,0,-1,2018,-1
Gboyin,Obubra,NA,0.570053375,0.570053375,0.637,0,-1,2018,-1
Geidam,Babura,NA,0.454060567,0.454060567,0.637,0,-1,2018,-1
Gezawa,Gwarzo,NA,0.325,0.325,0.637,0,-1,2018,-1
Giade,Darazo,NA,0.185714286,0.185714286,0.637,0,-1,2018,-1
Gireri,Darazo,NA,0.105289757,0.105289757,0.637,0,-1,2018,-1
Giwa,Giwa,NA,0.169660832,0.169660832,0.637,0,-1,2018,-1
Gokana,Nsit Ubium,NA,0.236745016,0.236745016,0.637,0,-1,2018,-1
Gombe,Alkaleri,NA,0.151020422,0.151020422,0.637,0,-1,2018,-1
Gombi,Alkaleri,NA,0.27148585,0.27148585,0.637,0,-1,2018,-1
Goronyo,Gawabawa,NA,0.138620877,0.138620877,0.637,0,-1,2018,-1
Gubio,Gawabawa,NA,0.138620877,0.138620877,0.637,0,-1,2018,-1
Gudu,Gawabawa,NA,0.138620877,0.138620877,0.637,0,-1,2018,-1
Gujba,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Gulani,Alkaleri,NA,0.304365819,0.304365819,0.637,0,-1,2018,-1
Guma,Keana,NA,0.410103138,0.410103138,0.637,0,-1,2018,-1
Gumel,Babura,NA,0.325,0.325,0.637,0,-1,2018,-1
Gummi,Birnin Kebbi,NA,0.548932384,0.548932384,0.637,0,-1,2018,-1
Gurara,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Guri,Taura,NA,0.227406453,0.227406453,0.637,0,-1,2018,-1
Gusau,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Guyuk,Alkaleri,NA,0.624918265,0.624918265,0.637,0,-1,2018,-1
Guzamala,Babura,NA,0.454060567,0.454060567,0.637,0,-1,2018,-1
Gwagwalada,Keana,NA,0.087907694,0.087907694,0.637,0,-1,2018,-1
Gwale,Alkaleri,NA,0.597307971,0.597307971,0.637,0,-1,2018,-1
Gwandu,Birnin Kebbi,NA,0.688235295,0.688235295,0.637,0,-1,2018,-1
Gwaram,Takali,NA,0.290548352,0.290548352,0.637,0,-1,2018,-1
Gwarzo,Gwarzo,NA,0.52,0.52,0.637,0,-1,2018,-1
Gwer East,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Gwer West,Keana,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Gwiwa,Babura,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Gwoza,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Hadejia,Taura,NA,0.227406453,0.227406453,0.637,0,-1,2018,-1
Hawul,Darazo,NA,0.288000001,0.288000001,0.637,0,-1,2018,-1
Hong,Darazo,NA,0.148682399,0.148682399,0.637,0,-1,2018,-1
Ibadan North,Owan East,NA,0.323754826,0.323754826,0.637,0,-1,2018,-1
Ibadan North East,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Ibadan North West,Owan East,NA,0.153061332,0.153061332,0.637,0,-1,2018,-1
Ibadan South East,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Ibadan South West,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Ibaji,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Ibarapa Central,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Ibarapa East,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Ibarapa North,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Ibeju-Lekki,Uzo-Uwani,NA,0.65,0.65,0.637,0,-1,2018,-1
Ibeno,Nsit Ubium,NA,0.387046089,0.387046089,0.637,0,-1,2018,-1
Ibesikpo Asutan,Nsit Ubium,NA,0.304255314,0.304255314,0.637,0,-1,2018,-1
Ibi,Keana,NA,0.230343377,0.230343377,0.637,0,-1,2018,-1
Ibiono Ibom,Ngor-Okpala,NA,0.185036492,0.185036492,0.637,0,-1,2018,-1
Idah,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Idanre,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Ideato North,Oru West,NA,0.990093894,0.990093894,0.637,0,-1,2018,-1
Ideato South,Ngor-Okpala,NA,0.368385424,0.368385424,0.637,0,-1,2018,-1
Idemili North,Uzo-Uwani,NA,0.808834627,0.808834627,0.637,0,-1,2018,-1
Idemili South,Oru West,NA,0.39780482,0.39780482,0.637,0,-1,2018,-1
Ido,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Idosi-Osi,Oke-Ero,NA,0.114422374,0.114422374,0.637,0,-1,2018,-1
Ifako-Ijaye,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Ife Central,Akinyele,NA,0.688235157,0.688235157,0.637,0,-1,2018,-1
Ife East,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Ife North,Akinyele,NA,0.65,0.65,0.637,0,-1,2018,-1
Ife South,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Ifedayo,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Ifedore,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Ifelodun1,Oke-Ero,NA,0.181699723,0.181699723,0.637,0,-1,2018,-1
Ifelodun2,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Ifo,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Igabi,Soba,NA,0.026643097,0.026643097,0.637,0,-1,2018,-1
Igalamela-Odolu,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Igbo-Etiti,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Igbo-Eze North,Uzo-Uwani,NA,0.110992231,0.110992231,0.637,0,-1,2018,-1
Igbo-Eze South,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Igueben,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Ihiala,Oru West,NA,0.376999966,0.376999966,0.637,0,-1,2018,-1
Ihitte-Uboma,Ngor-Okpala,NA,0.368385424,0.368385424,0.637,0,-1,2018,-1
Ijebu East,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Ijebu North,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Ijebu North East,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Ijebu ode,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Ijero,Oke-Ero,NA,0.257232986,0.257232986,0.637,0,-1,2018,-1
Ijumu,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Ika,Ngor-Okpala,NA,0.368385424,0.368385424,0.637,0,-1,2018,-1
Ika North East,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Ika South,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Ikara,Soba,NA,0.026643097,0.026643097,0.637,0,-1,2018,-1
Ikeduru,Ngor-Okpala,NA,0.24166041,0.24166041,0.637,0,-1,2018,-1
Ikeja,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
