LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Ibadan North,Owan East,NA,0.298850609,0.298850609,0.588,0,-1,2018,-1
Ibadan North East,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Ibadan North West,Owan East,NA,0.141287383,0.141287383,0.588,0,-1,2018,-1
Ibadan South East,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Ibadan South West,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Ibaji,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Ibarapa Central,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Ibarapa East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Ibarapa North,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Ibeju-Lekki,Uzo-Uwani,NA,0.6,0.6,0.588,0,-1,2018,-1
Ibeno,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018,-1
Ibesikpo Asutan,Nsit Ubium,NA,0.280851059,0.280851059,0.588,0,-1,2018,-1
Ibi,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018,-1
Ibiono Ibom,Ngor-Okpala,NA,0.170802916,0.170802916,0.588,0,-1,2018,-1
Idah,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Idanre,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Ideato North,Oru West,NA,0.913932826,0.913932826,0.588,0,-1,2018,-1
Ideato South,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018,-1
Idemili North,Uzo-Uwani,NA,0.746616578,0.746616578,0.588,0,-1,2018,-1
Idemili South,Oru West,NA,0.36720445,0.36720445,0.588,0,-1,2018,-1
Ido,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Idosi-Osi,Oke-Ero,NA,0.105620653,0.105620653,0.588,0,-1,2018,-1
Ifako-Ijaye,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Ife Central,Akinyele,NA,0.635293991,0.635293991,0.588,0,-1,2018,-1
Ife East,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Ife North,Akinyele,NA,0.6,0.6,0.588,0,-1,2018,-1
Ife South,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Ifedayo,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Ifedore,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Ifelodun1,Oke-Ero,NA,0.167722822,0.167722822,0.588,0,-1,2018,-1
Ifelodun2,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Ifo,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Igabi,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018,-1
Igalamela-Odolu,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Igbo-Etiti,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Igbo-Eze North,Uzo-Uwani,NA,0.102454367,0.102454367,0.588,0,-1,2018,-1
Igbo-Eze South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Igueben,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Ihiala,Oru West,NA,0.347999969,0.347999969,0.588,0,-1,2018,-1
Ihitte-Uboma,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018,-1
Ijebu East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Ijebu North,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Ijebu North East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Ijebu ode,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
