adm1,LGA,smc_plan1,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Borno,Dikwa,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Dikwa,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Dikwa,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Dikwa,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Gubio,SMC,Gawabawa,august,2020,1,-1,1,0.6,5,223
Borno,Gubio,SMC,Gawabawa,august,2020,2,-1,1,0.6,5,253
Borno,Gubio,SMC,Gawabawa,august,2020,3,-1,1,0.6,5,283
Borno,Gubio,SMC,Gawabawa,august,2020,4,-1,1,0.6,5,313
Borno,Guzamala,SMC,Babura,may,2020,1,-1,1,0.6,5,131
Borno,Guzamala,SMC,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Guzamala,SMC,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Guzamala,SMC,Babura,may,2020,4,-1,1,0.6,5,221
Borno,Gwoza,SMC,Darazo,july,2020,1,-1,1,0.6,5,223
Borno,Gwoza,SMC,Darazo,july,2020,2,-1,1,0.6,5,251
Borno,Gwoza,SMC,Darazo,july,2020,3,-1,1,0.6,5,279
Borno,Gwoza,SMC,Darazo,july,2020,4,-1,1,0.6,5,307
Borno,Hawul,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Hawul,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Hawul,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Hawul,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Jere,SMC,Gawabawa,august,2020,1,-1,1,0.6,5,223
Borno,Jere,SMC,Gawabawa,august,2020,2,-1,1,0.6,5,253
Borno,Jere,SMC,Gawabawa,august,2020,3,-1,1,0.6,5,283
Borno,Jere,SMC,Gawabawa,august,2020,4,-1,1,0.6,5,313
Borno,Kaga,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Kaga,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Kaga,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Kaga,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Kala-Balge,SMC,Darazo,july,2020,1,-1,1,0.6,5,223
Borno,Kala-Balge,SMC,Darazo,july,2020,2,-1,1,0.6,5,251
Borno,Kala-Balge,SMC,Darazo,july,2020,3,-1,1,0.6,5,279
Borno,Kala-Balge,SMC,Darazo,july,2020,4,-1,1,0.6,5,307
Borno,Konduga,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Konduga,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Konduga,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Konduga,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Kukawa,SMC,Babura,may,2020,1,-1,1,0.6,5,131
Borno,Kukawa,SMC,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Kukawa,SMC,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Kukawa,SMC,Babura,may,2020,4,-1,1,0.6,5,221
Borno,Kwaya Kusar,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Borno,Kwaya Kusar,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Borno,Kwaya Kusar,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Borno,Kwaya Kusar,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Borno,Mafa,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Mafa,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Mafa,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Mafa,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Magumeri,SMC,Gawabawa,august,2020,1,-1,1,0.6,5,223
Borno,Magumeri,SMC,Gawabawa,august,2020,2,-1,1,0.6,5,253
Borno,Magumeri,SMC,Gawabawa,august,2020,3,-1,1,0.6,5,283
Borno,Magumeri,SMC,Gawabawa,august,2020,4,-1,1,0.6,5,313
Borno,Maiduguri,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Maiduguri,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Maiduguri,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Maiduguri,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Marte,SMC,Babura,may,2020,1,-1,1,0.6,5,131
Borno,Marte,SMC,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Marte,SMC,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Marte,SMC,Babura,may,2020,4,-1,1,0.6,5,221
Borno,Mobbar,SMC,Babura,may,2020,1,-1,1,0.6,5,131
Borno,Mobbar,SMC,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Mobbar,SMC,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Mobbar,SMC,Babura,may,2020,4,-1,1,0.6,5,221
Borno,Monguno,SMC,Babura,may,2020,1,-1,1,0.6,5,131
Borno,Monguno,SMC,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Monguno,SMC,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Monguno,SMC,Babura,may,2020,4,-1,1,0.6,5,221
Borno,Ngala,SMC,Taura,july,2020,1,-1,1,0.6,5,223
Borno,Ngala,SMC,Taura,july,2020,2,-1,1,0.6,5,251
Borno,Ngala,SMC,Taura,july,2020,3,-1,1,0.6,5,279
Borno,Ngala,SMC,Taura,july,2020,4,-1,1,0.6,5,307
Borno,Nganzai,SMC,Gawabawa,august,2020,1,-1,1,0.6,5,223
Borno,Nganzai,SMC,Gawabawa,august,2020,2,-1,1,0.6,5,253
Borno,Nganzai,SMC,Gawabawa,august,2020,3,-1,1,0.6,5,283
Borno,Nganzai,SMC,Gawabawa,august,2020,4,-1,1,0.6,5,313
Borno,Shani,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Borno,Shani,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Borno,Shani,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Borno,Shani,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Akko,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
Gombe,Akko,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Akko,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Akko,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Balanga,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
Gombe,Balanga,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Balanga,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Balanga,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Billiri,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
Gombe,Billiri,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Billiri,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Billiri,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
