"","X","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"138",138,"Nnewi North","Oru West",2023,"Nnewi North",0.278180051,0.248541245,0.168041609,0.239414883,2,"june","PBO",0.308642745,0.726310499,0.65,1257
"139",139,"Nnewi South","Oru West",2020,"Nnewi South",0.422799307,0.471428572,0.269132989,0.276383051,1,"june","PBO",0.303374646,0.725045144,0.65,162
"140",140,"Nnewi South","Oru West",2023,"Nnewi South",0.422799307,0.471428572,0.269132989,0.276383051,2,"june","PBO",0.303374646,0.725045144,0.65,1257
"141",141,"Ogbaru","Ahoada West",2020,"Ogbaru",0.380769231,0.293333334,0.4,0.242647059,1,"may","PBO",0.230996863,0.697383872,0.65,131
"142",142,"Ogbaru","Ahoada West",2023,"Ogbaru",0.380769231,0.293333334,0.4,0.242647059,2,"may","PBO",0.230996863,0.697383872,0.65,1226
"143",143,"Onitsha North","Uzo-Uwani",2020,"Onitsha North",0.033333333,0.246516892,0.17605553,0.032835821,1,"june","PBO",0.382531956,0.738396974,0.65,162
"144",144,"Onitsha North","Uzo-Uwani",2023,"Onitsha North",0.033333333,0.246516892,0.17605553,0.032835821,2,"june","PBO",0.382531956,0.738396974,0.65,1257
"145",145,"Onitsha South","Uzo-Uwani",2020,"Onitsha South",0.30413522,0.246516892,0.052380953,0.016666667,1,"june","PBO",0.368656397,0.736746223,0.65,162
"146",146,"Onitsha South","Uzo-Uwani",2023,"Onitsha South",0.30413522,0.246516892,0.052380953,0.016666667,2,"june","PBO",0.368656397,0.736746223,0.65,1257
"147",147,"Orumba North","Oru West",2020,"Orumba North",0.279590142,0.175396502,0.112307076,0.121717732,1,"june","PBO",0.403508225,0.74052015,0.65,162
"148",148,"Orumba North","Oru West",2023,"Orumba North",0.279590142,0.175396502,0.112307076,0.121717732,2,"june","PBO",0.403508225,0.74052015,0.65,1257
"149",149,"Orumba South","Oru West",2020,"Orumba South",0.278180051,0.248541245,0.168041609,0.239414883,1,"june","PBO",0.438379079,0.743276001,0.65,162
"150",150,"Orumba South","Oru West",2023,"Orumba South",0.278180051,0.248541245,0.168041609,0.239414883,2,"june","PBO",0.438379079,0.743276001,0.65,1257
"151",151,"Oyi","Uzo-Uwani",2020,"Oyi",0.249073814,0.066165409,0.037220542,0.111497007,1,"june","PBO",0.387377598,0.738924512,0.65,162
"152",152,"Oyi","Uzo-Uwani",2023,"Oyi",0.249073814,0.066165409,0.037220542,0.111497007,2,"june","PBO",0.387377598,0.738924512,0.65,1257
"153",153,"Alkaleri","Alkaleri",2021,"Alkaleri",0.50092676,0.43771484,0.337287523,0.503187651,1,"july","PBO",0.570092852,0.748797917,0.753454775,551
"154",154,"Alkaleri","Alkaleri",2024,"Alkaleri",0.50092676,0.43771484,0.337287523,0.503187651,2,"july","PBO",0.570092852,0.748797917,0.753454775,1646
"155",155,"Bauchi","Alkaleri",2021,"Bauchi",0.494952732,0.279971292,0.302735925,0.454261448,1,"july","PBO",0.627087591,0.749966427,0.816012104,551
"156",156,"Bauchi","Alkaleri",2024,"Bauchi",0.494952732,0.279971292,0.302735925,0.454261448,2,"july","PBO",0.627087591,0.749966427,0.816012104,1646
"157",157,"Bogoro","Alkaleri",2021,"Bogoro",0.532988189,0.41991247,0.372428961,0.547274324,1,"july","PBO",0.578959907,0.749010332,0.764438403,551
"158",158,"Bogoro","Alkaleri",2024,"Bogoro",0.532988189,0.41991247,0.372428961,0.547274324,2,"july","PBO",0.578959907,0.749010332,0.764438403,1646
"159",159,"Damban","Darazo",2021,"Damban",0.352830189,0.3575,0.310869566,0.571428571,1,"july","PBO",0.81015375,0.751849022,0.926817289,551
"160",160,"Damban","Darazo",2024,"Damban",0.352830189,0.3575,0.310869566,0.571428571,2,"july","PBO",0.81015375,0.751849022,0.926817289,1646
"161",161,"Darazo","Darazo",2021,"Darazo",0.419257304,0.367224602,0.390098352,0.574362438,1,"july","PBO",0.786253294,0.751697891,0.917634707,551
"162",162,"Darazo","Darazo",2024,"Darazo",0.419257304,0.367224602,0.390098352,0.574362438,2,"july","PBO",0.786253294,0.751697891,0.917634707,1646
"163",163,"Dass","Alkaleri",2021,"Dass",0.861111111,0.507692308,0.4,0.8,1,"july","PBO",0.466190501,0.744955755,0.65,551
"164",164,"Dass","Alkaleri",2024,"Dass",0.861111111,0.507692308,0.4,0.8,2,"july","PBO",0.466190501,0.744955755,0.65,1646
"165",165,"Gamawa","Gwarzo",2021,"Gamawa",0.533333334,0.275,0.366666666,0.698412699,1,"august","PBO",0.770682387,0.751588754,0.911009334,588
