"","State","LGA","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday"
"133","Bauchi","Kirfi","Alkaleri","july",2020,1,-1,1,0.6,5,186
"134","Bauchi","Kirfi","Alkaleri","july",2020,2,-1,1,0.6,5,216
"135","Bauchi","Kirfi","Alkaleri","july",2020,3,-1,1,0.6,5,246
"136","Bauchi","Kirfi","Alkaleri","july",2020,4,-1,1,0.6,5,276
"137","Bauchi","Misau","Darazo","july",2020,1,-1,1,0.6,5,186
"138","Bauchi","Misau","Darazo","july",2020,2,-1,1,0.6,5,216
"139","Bauchi","Misau","Darazo","july",2020,3,-1,1,0.6,5,246
"140","Bauchi","Misau","Darazo","july",2020,4,-1,1,0.6,5,276
"141","Bauchi","Ningi","Takali","september",2020,1,-1,1,0.6,5,250
"142","Bauchi","Ningi","Takali","september",2020,2,-1,1,0.6,5,280
"143","Bauchi","Ningi","Takali","september",2020,3,-1,1,0.6,5,310
"144","Bauchi","Ningi","Takali","september",2020,4,-1,1,0.6,5,340
"145","Bauchi","Shira","Takali","september",2020,1,-1,1,0.6,5,250
"146","Bauchi","Shira","Takali","september",2020,2,-1,1,0.6,5,280
"147","Bauchi","Shira","Takali","september",2020,3,-1,1,0.6,5,310
"148","Bauchi","Shira","Takali","september",2020,4,-1,1,0.6,5,340
"149","Bauchi","Tafawa-Balewa","Alkaleri","july",2020,1,-1,1,0.6,5,186
"150","Bauchi","Tafawa-Balewa","Alkaleri","july",2020,2,-1,1,0.6,5,216
"151","Bauchi","Tafawa-Balewa","Alkaleri","july",2020,3,-1,1,0.6,5,246
"152","Bauchi","Tafawa-Balewa","Alkaleri","july",2020,4,-1,1,0.6,5,276
"153","Bauchi","Toro","Giwa","august",2020,1,-1,1,0.6,5,223
"154","Bauchi","Toro","Giwa","august",2020,2,-1,1,0.6,5,253
"155","Bauchi","Toro","Giwa","august",2020,3,-1,1,0.6,5,283
"156","Bauchi","Toro","Giwa","august",2020,4,-1,1,0.6,5,313
"157","Bauchi","Warji","Takali","september",2020,1,-1,1,0.6,5,250
"158","Bauchi","Warji","Takali","september",2020,2,-1,1,0.6,5,280
"159","Bauchi","Warji","Takali","september",2020,3,-1,1,0.6,5,310
"160","Bauchi","Warji","Takali","september",2020,4,-1,1,0.6,5,340
"161","Bauchi","Zaki","Taura","july",2020,1,-1,1,0.6,5,186
"162","Bauchi","Zaki","Taura","july",2020,2,-1,1,0.6,5,216
"163","Bauchi","Zaki","Taura","july",2020,3,-1,1,0.6,5,246
"164","Bauchi","Zaki","Taura","july",2020,4,-1,1,0.6,5,276
"165","Benue","Agatu","Keana","august",2020,1,-1,1,0.6,5,223
"166","Benue","Agatu","Keana","august",2020,2,-1,1,0.6,5,253
"167","Benue","Agatu","Keana","august",2020,3,-1,1,0.6,5,283
"168","Benue","Agatu","Keana","august",2020,4,-1,1,0.6,5,313
"169","Benue","Apa","Keana","august",2020,1,-1,1,0.6,5,223
"170","Benue","Apa","Keana","august",2020,2,-1,1,0.6,5,253
"171","Benue","Apa","Keana","august",2020,3,-1,1,0.6,5,283
"172","Benue","Apa","Keana","august",2020,4,-1,1,0.6,5,313
"173","Benue","Buruku","Keana","august",2020,1,-1,1,0.6,5,223
"174","Benue","Buruku","Keana","august",2020,2,-1,1,0.6,5,253
"175","Benue","Buruku","Keana","august",2020,3,-1,1,0.6,5,283
"176","Benue","Buruku","Keana","august",2020,4,-1,1,0.6,5,313
"177","Benue","Gboko","Keana","august",2020,1,-1,1,0.6,5,223
"178","Benue","Gboko","Keana","august",2020,2,-1,1,0.6,5,253
"179","Benue","Gboko","Keana","august",2020,3,-1,1,0.6,5,283
"180","Benue","Gboko","Keana","august",2020,4,-1,1,0.6,5,313
"181","Benue","Guma","Keana","august",2020,1,-1,1,0.6,5,223
"182","Benue","Guma","Keana","august",2020,2,-1,1,0.6,5,253
"183","Benue","Guma","Keana","august",2020,3,-1,1,0.6,5,283
"184","Benue","Guma","Keana","august",2020,4,-1,1,0.6,5,313
"185","Benue","Gwer East","Oke-Ero","july",2020,1,-1,1,0.6,5,186
"186","Benue","Gwer East","Oke-Ero","july",2020,2,-1,1,0.6,5,216
"187","Benue","Gwer East","Oke-Ero","july",2020,3,-1,1,0.6,5,246
"188","Benue","Gwer East","Oke-Ero","july",2020,4,-1,1,0.6,5,276
"189","Benue","Gwer West","Keana","august",2020,1,-1,1,0.6,5,223
"190","Benue","Gwer West","Keana","august",2020,2,-1,1,0.6,5,253
"191","Benue","Gwer West","Keana","august",2020,3,-1,1,0.6,5,283
"192","Benue","Gwer West","Keana","august",2020,4,-1,1,0.6,5,313
"193","Benue","Konshisha","Oke-Ero","july",2020,1,-1,1,0.6,5,186
"194","Benue","Konshisha","Oke-Ero","july",2020,2,-1,1,0.6,5,216
"195","Benue","Konshisha","Oke-Ero","july",2020,3,-1,1,0.6,5,246
"196","Benue","Konshisha","Oke-Ero","july",2020,4,-1,1,0.6,5,276
"197","Benue","Kwande","Oke-Ero","july",2020,1,-1,1,0.6,5,186
"198","Benue","Kwande","Oke-Ero","july",2020,2,-1,1,0.6,5,216
"199","Benue","Kwande","Oke-Ero","july",2020,3,-1,1,0.6,5,246
"200","Benue","Kwande","Oke-Ero","july",2020,4,-1,1,0.6,5,276
"201","Benue","Logo","Keana","august",2020,1,-1,1,0.6,5,223
"202","Benue","Logo","Keana","august",2020,2,-1,1,0.6,5,253
"203","Benue","Logo","Keana","august",2020,3,-1,1,0.6,5,283
"204","Benue","Logo","Keana","august",2020,4,-1,1,0.6,5,313
"205","Benue","Makurdi","Keana","august",2020,1,-1,1,0.6,5,223
"206","Benue","Makurdi","Keana","august",2020,2,-1,1,0.6,5,253
"207","Benue","Makurdi","Keana","august",2020,3,-1,1,0.6,5,283
"208","Benue","Makurdi","Keana","august",2020,4,-1,1,0.6,5,313
"209","Benue","Oturkpo","Owan East","march",2020,1,-1,1,0.6,5,131
"210","Benue","Oturkpo","Owan East","march",2020,2,-1,1,0.6,5,161
"211","Benue","Oturkpo","Owan East","march",2020,3,-1,1,0.6,5,191
"212","Benue","Oturkpo","Owan East","march",2020,4,-1,1,0.6,5,221
"213","Benue","Tarka","Keana","august",2020,1,-1,1,0.6,5,223
"214","Benue","Tarka","Keana","august",2020,2,-1,1,0.6,5,253
"215","Benue","Tarka","Keana","august",2020,3,-1,1,0.6,5,283
"216","Benue","Tarka","Keana","august",2020,4,-1,1,0.6,5,313
"217","Benue","Ukum","Keana","august",2020,1,-1,1,0.6,5,223
"218","Benue","Ukum","Keana","august",2020,2,-1,1,0.6,5,253
"219","Benue","Ukum","Keana","august",2020,3,-1,1,0.6,5,283
"220","Benue","Ukum","Keana","august",2020,4,-1,1,0.6,5,313
"221","Benue","Ushongo","Oke-Ero","july",2020,1,-1,1,0.6,5,186
"222","Benue","Ushongo","Oke-Ero","july",2020,2,-1,1,0.6,5,216
"223","Benue","Ushongo","Oke-Ero","july",2020,3,-1,1,0.6,5,246
"224","Benue","Ushongo","Oke-Ero","july",2020,4,-1,1,0.6,5,276
"225","Benue","Vandeikya","Oke-Ero","july",2020,1,-1,1,0.6,5,186
"226","Benue","Vandeikya","Oke-Ero","july",2020,2,-1,1,0.6,5,216
"227","Benue","Vandeikya","Oke-Ero","july",2020,3,-1,1,0.6,5,246
"228","Benue","Vandeikya","Oke-Ero","july",2020,4,-1,1,0.6,5,276
"229","Borno","Abadam","Babura","may",2020,1,-1,1,0.6,5,131
"230","Borno","Abadam","Babura","may",2020,2,-1,1,0.6,5,161
"231","Borno","Abadam","Babura","may",2020,3,-1,1,0.6,5,191
"232","Borno","Abadam","Babura","may",2020,4,-1,1,0.6,5,221
"233","Borno","Askira-Uba","Darazo","july",2020,1,-1,1,0.6,5,186
"234","Borno","Askira-Uba","Darazo","july",2020,2,-1,1,0.6,5,216
"235","Borno","Askira-Uba","Darazo","july",2020,3,-1,1,0.6,5,246
"236","Borno","Askira-Uba","Darazo","july",2020,4,-1,1,0.6,5,276
"237","Borno","Bama","Darazo","july",2020,1,-1,1,0.6,5,223
"238","Borno","Bama","Darazo","july",2020,2,-1,1,0.6,5,251
"239","Borno","Bama","Darazo","july",2020,3,-1,1,0.6,5,279
"240","Borno","Bama","Darazo","july",2020,4,-1,1,0.6,5,307
"241","Borno","Bayo","Alkaleri","july",2020,1,-1,1,0.6,5,186
"242","Borno","Bayo","Alkaleri","july",2020,2,-1,1,0.6,5,216
"243","Borno","Bayo","Alkaleri","july",2020,3,-1,1,0.6,5,246
"244","Borno","Bayo","Alkaleri","july",2020,4,-1,1,0.6,5,276
"245","Borno","Biu","Darazo","july",2020,1,-1,1,0.6,5,186
"246","Borno","Biu","Darazo","july",2020,2,-1,1,0.6,5,216
"247","Borno","Biu","Darazo","july",2020,3,-1,1,0.6,5,246
"248","Borno","Biu","Darazo","july",2020,4,-1,1,0.6,5,276
"249","Borno","Chibok","Darazo","july",2020,1,-1,1,0.6,5,186
"250","Borno","Chibok","Darazo","july",2020,2,-1,1,0.6,5,216
"251","Borno","Chibok","Darazo","july",2020,3,-1,1,0.6,5,246
"252","Borno","Chibok","Darazo","july",2020,4,-1,1,0.6,5,276
"253","Borno","Damboa","Darazo","july",2020,1,-1,1,0.6,5,186
"254","Borno","Damboa","Darazo","july",2020,2,-1,1,0.6,5,216
"255","Borno","Damboa","Darazo","july",2020,3,-1,1,0.6,5,246
"256","Borno","Damboa","Darazo","july",2020,4,-1,1,0.6,5,276
"257","Borno","Dikwa","Darazo","july",2020,1,-1,1,0.6,5,186
"258","Borno","Dikwa","Darazo","july",2020,2,-1,1,0.6,5,216
"259","Borno","Dikwa","Darazo","july",2020,3,-1,1,0.6,5,246
"260","Borno","Dikwa","Darazo","july",2020,4,-1,1,0.6,5,276
"261","Borno","Gubio","Gawabawa","august",2020,1,-1,1,0.6,5,223
"262","Borno","Gubio","Gawabawa","august",2020,2,-1,1,0.6,5,253
"263","Borno","Gubio","Gawabawa","august",2020,3,-1,1,0.6,5,283
"264","Borno","Gubio","Gawabawa","august",2020,4,-1,1,0.6,5,313
"265","Borno","Guzamala","Babura","may",2020,1,-1,1,0.6,5,131
"266","Borno","Guzamala","Babura","may",2020,2,-1,1,0.6,5,161
"267","Borno","Guzamala","Babura","may",2020,3,-1,1,0.6,5,191
"268","Borno","Guzamala","Babura","may",2020,4,-1,1,0.6,5,221
"269","Borno","Gwoza","Darazo","july",2020,1,-1,1,0.6,5,223
"270","Borno","Gwoza","Darazo","july",2020,2,-1,1,0.6,5,251
"271","Borno","Gwoza","Darazo","july",2020,3,-1,1,0.6,5,279
"272","Borno","Gwoza","Darazo","july",2020,4,-1,1,0.6,5,307
"273","Borno","Hawul","Darazo","july",2020,1,-1,1,0.6,5,186
"274","Borno","Hawul","Darazo","july",2020,2,-1,1,0.6,5,216
"275","Borno","Hawul","Darazo","july",2020,3,-1,1,0.6,5,246
"276","Borno","Hawul","Darazo","july",2020,4,-1,1,0.6,5,276
"277","Borno","Jere","Gawabawa","august",2020,1,-1,1,0.6,5,223
"278","Borno","Jere","Gawabawa","august",2020,2,-1,1,0.6,5,253
"279","Borno","Jere","Gawabawa","august",2020,3,-1,1,0.6,5,283
"280","Borno","Jere","Gawabawa","august",2020,4,-1,1,0.6,5,313
"281","Borno","Kaga","Darazo","july",2020,1,-1,1,0.6,5,186
"282","Borno","Kaga","Darazo","july",2020,2,-1,1,0.6,5,216
"283","Borno","Kaga","Darazo","july",2020,3,-1,1,0.6,5,246
"284","Borno","Kaga","Darazo","july",2020,4,-1,1,0.6,5,276
"285","Borno","Kala-Balge","Darazo","july",2020,1,-1,1,0.6,5,223
"286","Borno","Kala-Balge","Darazo","july",2020,2,-1,1,0.6,5,251
"287","Borno","Kala-Balge","Darazo","july",2020,3,-1,1,0.6,5,279
"288","Borno","Kala-Balge","Darazo","july",2020,4,-1,1,0.6,5,307
"289","Borno","Konduga","Darazo","july",2020,1,-1,1,0.6,5,186
"290","Borno","Konduga","Darazo","july",2020,2,-1,1,0.6,5,216
"291","Borno","Konduga","Darazo","july",2020,3,-1,1,0.6,5,246
"292","Borno","Konduga","Darazo","july",2020,4,-1,1,0.6,5,276
"293","Borno","Kukawa","Babura","may",2020,1,-1,1,0.6,5,131
"294","Borno","Kukawa","Babura","may",2020,2,-1,1,0.6,5,161
"295","Borno","Kukawa","Babura","may",2020,3,-1,1,0.6,5,191
"296","Borno","Kukawa","Babura","may",2020,4,-1,1,0.6,5,221
"297","Borno","Kwaya Kusar","Alkaleri","july",2020,1,-1,1,0.6,5,186
"298","Borno","Kwaya Kusar","Alkaleri","july",2020,2,-1,1,0.6,5,216
"299","Borno","Kwaya Kusar","Alkaleri","july",2020,3,-1,1,0.6,5,246
"300","Borno","Kwaya Kusar","Alkaleri","july",2020,4,-1,1,0.6,5,276
"301","Borno","Mafa","Darazo","july",2020,1,-1,1,0.6,5,186
"302","Borno","Mafa","Darazo","july",2020,2,-1,1,0.6,5,216
"303","Borno","Mafa","Darazo","july",2020,3,-1,1,0.6,5,246
"304","Borno","Mafa","Darazo","july",2020,4,-1,1,0.6,5,276
"305","Borno","Magumeri","Gawabawa","august",2020,1,-1,1,0.6,5,223
"306","Borno","Magumeri","Gawabawa","august",2020,2,-1,1,0.6,5,253
"307","Borno","Magumeri","Gawabawa","august",2020,3,-1,1,0.6,5,283
"308","Borno","Magumeri","Gawabawa","august",2020,4,-1,1,0.6,5,313
"309","Borno","Maiduguri","Darazo","july",2020,1,-1,1,0.6,5,186
"310","Borno","Maiduguri","Darazo","july",2020,2,-1,1,0.6,5,216
"311","Borno","Maiduguri","Darazo","july",2020,3,-1,1,0.6,5,246
"312","Borno","Maiduguri","Darazo","july",2020,4,-1,1,0.6,5,276
"313","Borno","Marte","Babura","may",2020,1,-1,1,0.6,5,131
"314","Borno","Marte","Babura","may",2020,2,-1,1,0.6,5,161
"315","Borno","Marte","Babura","may",2020,3,-1,1,0.6,5,191
"316","Borno","Marte","Babura","may",2020,4,-1,1,0.6,5,221
"317","Borno","Mobbar","Babura","may",2020,1,-1,1,0.6,5,131
"318","Borno","Mobbar","Babura","may",2020,2,-1,1,0.6,5,161
"319","Borno","Mobbar","Babura","may",2020,3,-1,1,0.6,5,191
"320","Borno","Mobbar","Babura","may",2020,4,-1,1,0.6,5,221
"321","Borno","Monguno","Babura","may",2020,1,-1,1,0.6,5,131
"322","Borno","Monguno","Babura","may",2020,2,-1,1,0.6,5,161
"323","Borno","Monguno","Babura","may",2020,3,-1,1,0.6,5,191
"324","Borno","Monguno","Babura","may",2020,4,-1,1,0.6,5,221
