LGA,State,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Kazaure,Jigawa,Babura,may,131,2020,1,-1,0.8,0.2,5
Kazaure,Jigawa,Babura,may,161,2020,2,-1,0.8,0.2,5
Kazaure,Jigawa,Babura,may,191,2020,3,-1,0.8,0.2,5
Kazaure,Jigawa,Babura,may,221,2020,4,-1,0.8,0.2,5
Kiri Kasamma,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Kiri Kasamma,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Kiri Kasamma,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Kiri Kasamma,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
kiyawa,Jigawa,Takali,september,250,2020,1,-1,0.8,0.2,5
kiyawa,Jigawa,Takali,september,280,2020,2,-1,0.8,0.2,5
kiyawa,Jigawa,Takali,september,310,2020,3,-1,0.8,0.2,5
kiyawa,Jigawa,Takali,september,340,2020,4,-1,0.8,0.2,5
Maigatari,Jigawa,Babura,may,131,2020,1,-1,0.8,0.2,5
Maigatari,Jigawa,Babura,may,161,2020,2,-1,0.8,0.2,5
Maigatari,Jigawa,Babura,may,191,2020,3,-1,0.8,0.2,5
Maigatari,Jigawa,Babura,may,221,2020,4,-1,0.8,0.2,5
Malam Madori,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Malam Madori,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Malam Madori,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Malam Madori,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
Miga,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Miga,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Miga,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Miga,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
Ringim,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Ringim,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Ringim,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Ringim,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
Roni,Jigawa,Babura,may,131,2020,1,-1,0.8,0.2,5
Roni,Jigawa,Babura,may,161,2020,2,-1,0.8,0.2,5
Roni,Jigawa,Babura,may,191,2020,3,-1,0.8,0.2,5
Roni,Jigawa,Babura,may,221,2020,4,-1,0.8,0.2,5
Sule-Tankarkar,Jigawa,Babura,may,131,2020,1,-1,0.8,0.2,5
Sule-Tankarkar,Jigawa,Babura,may,161,2020,2,-1,0.8,0.2,5
Sule-Tankarkar,Jigawa,Babura,may,191,2020,3,-1,0.8,0.2,5
Sule-Tankarkar,Jigawa,Babura,may,221,2020,4,-1,0.8,0.2,5
Taura,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Taura,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Taura,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Taura,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
Yankwashi,Jigawa,Babura,may,131,2020,1,-1,0.8,0.2,5
