,adm1,adm2,year,llins_yn,llins_num,llin_month,mortality,Kill_rate
161,Bauchi,Bauchi,2014,1.0,,10.0,0.576844256,0.5928494999095072
162,Bauchi,Bogoro,2014,1.0,,10.0,0.47356087799999996,0.5182410035043435
163,Bauchi,Damban,2014,1.0,,10.0,0.675355264,0.6526700010262021
164,Bauchi,Darazo,2014,1.0,,10.0,0.643435161,0.6346131133666085
165,Bauchi,Dass,2014,1.0,,10.0,0.5867980770000001,0.5994343436138809
166,Bauchi,Gamawa,2014,1.0,,10.0,0.692599272,0.6618867809867728
167,Bauchi,Ganjuwa,2014,1.0,,10.0,0.601318851,0.60882876669238
168,Bauchi,Giade,2014,1.0,,10.0,0.7255836809999999,0.6784707392945888
169,Bauchi,Itas/Gadau,2014,1.0,,10.0,0.6945909,0.6629270088590818
170,Bauchi,Jama'are,2014,1.0,,10.0,0.6891556679999999,0.6600763366176341
171,Bauchi,Katagum,2014,1.0,,10.0,0.70043745,0.6659516896065061
172,Bauchi,Kirfi,2014,1.0,,10.0,0.509764138,0.5455930750993649
173,Bauchi,Misau,2014,1.0,,10.0,0.7154547259999999,0.6735233528182888
174,Bauchi,Ningi,2014,1.0,,10.0,0.602216809,0.6094013580851245
175,Bauchi,Shira,2014,1.0,,10.0,0.712051267,0.6718321754774204
176,Bauchi,Tafawa-Balewa,2014,1.0,,10.0,0.493529699,0.5334700693395393
177,Bauchi,Toro,2014,1.0,,10.0,0.500465005,0.5386785884611611
178,Bauchi,Warji,2014,1.0,,10.0,0.693917899,0.6625760617704793
179,Bauchi,Zaki,2014,1.0,,10.0,0.683905077,0.6572869564581456
180,Ekiti,Ado Ekiti,2014,1.0,,12.0,0.279943459,0.3611765212576584
181,Ekiti,Efon-Alayee,2014,1.0,,12.0,0.377530639,0.4413751521477773
182,Ekiti,Ekiti East,2014,1.0,,12.0,0.314152928,0.3891581476751034
183,Ekiti,Ekiti South West,2014,1.0,,12.0,0.302365506,0.3794789461373735
184,Ekiti,Ekiti West,2014,1.0,,12.0,0.360382695,0.4272682994352575
185,Ekiti,Emure,2014,1.0,,12.0,0.34918261,0.4180337267108128
186,Ekiti,Gboyin,2014,1.0,,12.0,0.299962022,0.3775094679905459
187,Ekiti,Idosi-Osi,2014,1.0,,12.0,0.313926104,0.3889716135442647
188,Ekiti,Ijero,2014,1.0,,12.0,0.368567071,0.4340075715260428
189,Ekiti,Ikere,2014,1.0,,12.0,0.318877503,0.3930455794089222
190,Ekiti,Ikole,2014,1.0,,12.0,0.278179536,0.35974439152806154
191,Ekiti,Ilemeji,2014,1.0,,12.0,0.248705864,0.3360316957154224
192,Ekiti,Irepodun/Ifelodun,2014,1.0,,12.0,0.302856898,0.3798817954123322
193,Ekiti,Ise/Orun,2014,1.0,,12.0,0.321546428,0.3952431778573966
194,Ekiti,Moba,2014,1.0,,12.0,0.310096088,0.3858234280192535
195,Ekiti,Oye,2014,1.0,,12.0,0.279065564,0.3604635985907109
196,Gombe,Akko,2014,1.0,,10.0,0.45169102899999997,0.5012024248851155
197,Gombe,Balanga,2014,1.0,,10.0,0.421138191,0.4768706659924202
198,Gombe,Billiri,2014,1.0,,10.0,0.45802648799999995,0.5061740678590957
199,Gombe,Dukku,2014,1.0,,10.0,0.584364954,0.5978355308509951
200,Gombe,Funakaye,2014,1.0,,10.0,0.599547729,0.607696523777879
201,Gombe,Gombe,2014,1.0,,10.0,0.492427289,0.5326381863149506
202,Gombe,Kaltungo,2014,1.0,,10.0,0.416355735,0.4730153213442272
203,Gombe,Kwami,2014,1.0,,10.0,0.49009291899999996,0.5308731409117953
204,Gombe,Nafada,2014,1.0,,10.0,0.648668371,0.6376619668043346
205,Gombe,Shomgom,2014,1.0,,10.0,0.39775540200000004,0.4579239310410051
206,Gombe,Yamaltu/Deba,2014,1.0,,10.0,0.510057667,0.5458100068824496
207,Jigawa,Auyo,2014,1.0,,10.0,0.590021725,0.6015417733861236
208,Jigawa,Babura,2014,1.0,,10.0,0.683227975,0.6569247001794021
209,Jigawa,Biriniwa,2014,1.0,,10.0,0.7020498940000001,0.6667782837123203
210,Jigawa,Birni Kudu,2014,1.0,,10.0,0.6226933570000001,0.6221901342923144
211,Jigawa,Buji,2014,1.0,,10.0,0.6139979320000001,0.6168224451550117
212,Jigawa,Dutse,2014,1.0,,10.0,0.667370908,0.6482745684806915
213,Jigawa,Gagarawa,2014,1.0,,10.0,0.717564691,0.6745645083317734
214,Jigawa,Garki,2014,1.0,,10.0,0.6751489509999999,0.6525574437131921
215,Jigawa,Gumel,2014,1.0,,10.0,0.729419523,0.6803109671788978
216,Jigawa,Guri,2014,1.0,,10.0,0.592840833,0.6033745655106295
217,Jigawa,Gwaram,2014,1.0,,10.0,0.621176504,0.621260532013351
218,Jigawa,Gwiwa,2014,1.0,,10.0,0.617802054,0.6191822559931893
219,Jigawa,Hadejia,2014,1.0,,10.0,0.606791258,0.6123030506244344
220,Jigawa,Jahun,2014,1.0,,10.0,0.6717567170000001,0.650699004357492
221,Jigawa,Kafin Hausa,2014,1.0,,10.0,0.614187054,0.6169401854538974
222,Jigawa,Kaugama,2014,1.0,,10.0,0.652548871,0.6399003774368509
223,Jigawa,Kazaure,2014,1.0,,10.0,0.625530389,0.6239211211498439
224,Jigawa,Kiri Kasamma,2014,1.0,,10.0,0.630469553,0.6269107411346653
225,Jigawa,kiyawa,2014,1.0,,10.0,0.6478902089999999,0.6372108020834625
226,Jigawa,Maigatari,2014,1.0,,10.0,0.704029095,0.6677884071166327
227,Jigawa,Malam Madori,2014,1.0,,10.0,0.6529206439999999,0.6401138287428139
228,Jigawa,Miga,2014,1.0,,10.0,0.6487703920000001,0.6377210600208452
229,Jigawa,Ringim,2014,1.0,,10.0,0.642187494,0.6338811217337945
230,Jigawa,Roni,2014,1.0,,10.0,0.604063673,0.6105759442056383
231,Jigawa,Sule-Tankarkar,2014,1.0,,10.0,0.705423719,0.6684972153999807
232,Jigawa,Taura,2014,1.0,,10.0,0.748886142,0.6893701276968063
233,Jigawa,Yankwashi,2014,1.0,,10.0,0.632799008,0.628310142569611
234,Nasarawa,Akwanga,2014,1.0,,10.0,0.36611576799999995,0.4319901333623107
235,Nasarawa,Awe,2014,1.0,,10.0,0.36607090200000003,0.4319531993591523
236,Nasarawa,Doma,2014,1.0,,10.0,0.42268104,0.47811200403378296
237,Nasarawa,Karu,2014,1.0,,10.0,0.38669992,0.448892689166463
238,Nasarawa,Keana,2014,1.0,,10.0,0.375372396,0.43960270039546095
239,Nasarawa,Keffi,2014,1.0,,10.0,0.42428285299999996,0.47939949459526887
240,Nasarawa,Kokona,2014,1.0,,10.0,0.361199625,0.42794139904768297
241,Nasarawa,Lafia,2014,1.0,,10.0,0.479212656,0.5225849271688618
242,Nasarawa,Nasarawa2,2014,1.0,,10.0,0.347888531,0.4169662143054556
243,Nasarawa,Nasarawa-Eggon,2014,1.0,,10.0,0.445430813,0.49626314666427535
244,Nasarawa,Obi2,2014,1.0,,10.0,0.504455216,0.5416554487681347
245,Nasarawa,Toto,2014,1.0,,10.0,0.34286629399999996,0.4128228336582633
246,Nasarawa,Wamba,2014,1.0,,10.0,0.35864370100000004,0.42583521894410786
247,Niger,Agaie,2014,1.0,,12.0,0.350087063,0.41877978561756296
248,Niger,Agwara,2014,1.0,,12.0,0.46589463799999997,0.5123086103062863
249,Niger,Bida,2014,1.0,,12.0,0.451253146,0.5008577845099846
250,Niger,Borgu,2014,1.0,,12.0,0.281950265,0.3628073759046446
251,Niger,Bosso,2014,1.0,,12.0,0.511425822,0.5468200507844349
