,State,LGA,area_sq_km
512,Kogi,Lokoja,3414.448645
513,Benue,Vandeikya,768.3494118
514,Rivers,Andoni,189.0788149
515,Kogi,Ijumu,917.2682479
516,Oyo,Ibarapa Central,457.4954744
517,Kano,Bichi,611.4247612
518,Borno,Konduga,5902.998946
519,Kano,Nasarawa1,19.06202141
520,Kano,Garko,459.6402498
521,Edo,Esan North East,346.8933158
522,Rivers,Ogba/Egbema/Ndoni,701.6293798
523,Rivers,Port-Harcourt,163.641914
524,Yobe,Nangere,1000.266495
525,Sokoto,Rabah,2660.904692
526,Osun,Odo-Otin,279.5374761
527,Osun,Aiyedade,1052.688979
528,Katsina,Bindawa,394.4290251
529,Kano,Ajingi,695.5394962
530,Jigawa,Buji,547.5043504
531,Taraba,Takum,1557.678437
532,Yobe,Jakusko,3917.613132
533,Gombe,Akko,2870.536752
534,Plateau,Qua'an Pan,2386.869344
535,Benue,Ohimini,633.8820238
536,Delta,Isoko North,486.5525169
537,Ogun,Ifo,488.1750934
538,Akwa,Ibiono Ibom,316.9617361
539,Delta,Ika North East,507.0755376
540,Kano,Tsanyawa,413.6673873
541,Niger,Lavun,3960.297093
542,Kebbi,Zuru,524.3731699
543,Osun,Ede South,231.4076734
544,Katsina,Kurfi,559.2766739
545,Kaduna,Kajuru,2239.238431
546,Kogi,Kogi,1537.139457
547,Jigawa,Gagarawa,725.776373
548,Kano,Sumaila,1193.551007
549,Adamawa,Madagali,499.793623
550,Rivers,Gokana,91.05750871
551,Jigawa,Garki,1300.675349
552,Anambra,Anambra East,381.1458833
553,Yobe,Yunusari,3888.749314
554,Kano,Gwale,23.86338274
555,Sokoto,Illela,1301.328524
556,Taraba,Ibi,2854.507084
557,Kwara,Pategi,2957.800708
558,Kano,Dambatta,801.8192153
559,Taraba,Zing,893.3479773
560,Bauchi,Ningi,5206.604391
561,Borno,Gwoza,2437.668979
562,Benue,Oturkpo,1341.190992
563,Ondo,Ese-Odo,722.4713794
564,Imo,Ehime-Mbano,150.7708381
565,Lagos,Ikeja,45.84590355
566,Kaduna,Birnin-Gwari,6295.228835
567,Yobe,Bade,819.0953975
568,Ekiti,Gboyin,421.1927184
569,Kano,Dawakin Kudu,352.5879493
570,Cross River,Calabar-Municipal,160.0466279
571,Imo,Owerri North,199.3268143
572,Benue,Ukum,1518.790728
573,Enugu,Enugu East,332.0929423
574,Kano,Gezawa,365.7286776
