LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday,coverage_high_access_per,coverage_low_access_per
Babura,Jigawa,2027,1,-1,1,0.934456929,5,7,2741,100,93.4
Babura,Jigawa,2027,2,-1,1,0.973782772,5,8,2769,100,97.4
Babura,Jigawa,2027,3,-1,1,0.975655431,5,9,2797,100,97.6
Babura,Jigawa,2027,4,-1,1,0.653558052,5,10,2825,100,65.4
Babura,Jigawa,2028,1,-1,1,0.934456929,5,7,3106,100,93.4
Babura,Jigawa,2028,2,-1,1,0.973782772,5,8,3134,100,97.4
Babura,Jigawa,2028,3,-1,1,0.975655431,5,9,3162,100,97.6
Babura,Jigawa,2028,4,-1,1,0.653558052,5,10,3190,100,65.4
Babura,Jigawa,2029,1,-1,1,0.934456929,5,7,3471,100,93.4
Babura,Jigawa,2029,2,-1,1,0.973782772,5,8,3499,100,97.4
Babura,Jigawa,2029,3,-1,1,0.975655431,5,9,3527,100,97.6
Babura,Jigawa,2029,4,-1,1,0.653558052,5,10,3555,100,65.4
Babura,Jigawa,2030,1,-1,1,0.934456929,5,7,3836,100,93.4
Babura,Jigawa,2030,2,-1,1,0.973782772,5,8,3864,100,97.4
Babura,Jigawa,2030,3,-1,1,0.975655431,5,9,3892,100,97.6
Babura,Jigawa,2030,4,-1,1,0.653558052,5,10,3920,100,65.4
Bade,Yobe,2020,1,-1,1,0.98019802,5,8,223,100,98.0
Bade,Yobe,2020,2,-1,1,0.961810467,5,9,251,100,96.2
Bade,Yobe,2020,3,-1,1,0.974540311,5,10,279,100,97.5
Bade,Yobe,2020,4,-1,1,0.463932107,5,11,307,100,46.4
Bade,Yobe,2021,1,-1,1,0.98019802,5,8,588,100,98.0
Bade,Yobe,2021,2,-1,1,0.961810467,5,9,616,100,96.2
Bade,Yobe,2021,3,-1,1,0.974540311,5,10,644,100,97.5
Bade,Yobe,2021,4,-1,1,0.463932107,5,11,672,100,46.4
Bade,Yobe,2022,1,-1,1,0.98019802,5,8,953,100,98.0
Bade,Yobe,2022,2,-1,1,0.961810467,5,9,981,100,96.2
Bade,Yobe,2022,3,-1,1,0.974540311,5,10,1009,100,97.5
Bade,Yobe,2022,4,-1,1,0.463932107,5,11,1037,100,46.4
Bade,Yobe,2023,1,-1,1,0.98019802,5,8,1318,100,98.0
Bade,Yobe,2023,2,-1,1,0.961810467,5,9,1346,100,96.2
Bade,Yobe,2023,3,-1,1,0.974540311,5,10,1374,100,97.5
Bade,Yobe,2023,4,-1,1,0.463932107,5,11,1402,100,46.4
Bade,Yobe,2024,1,-1,1,0.98019802,5,8,1683,100,98.0
Bade,Yobe,2024,2,-1,1,0.961810467,5,9,1711,100,96.2
Bade,Yobe,2024,3,-1,1,0.974540311,5,10,1739,100,97.5
Bade,Yobe,2024,4,-1,1,0.463932107,5,11,1767,100,46.4
Bade,Yobe,2025,1,-1,1,0.98019802,5,8,2048,100,98.0
Bade,Yobe,2025,2,-1,1,0.961810467,5,9,2076,100,96.2
Bade,Yobe,2025,3,-1,1,0.974540311,5,10,2104,100,97.5
Bade,Yobe,2025,4,-1,1,0.463932107,5,11,2132,100,46.4
Bade,Yobe,2026,1,-1,1,0.98019802,5,8,2413,100,98.0
Bade,Yobe,2026,2,-1,1,0.961810467,5,9,2441,100,96.2
Bade,Yobe,2026,3,-1,1,0.974540311,5,10,2469,100,97.5
Bade,Yobe,2026,4,-1,1,0.463932107,5,11,2497,100,46.4
Bade,Yobe,2027,1,-1,1,0.98019802,5,8,2778,100,98.0
