DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Guyuk,0.763227015,0.781613507,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Hong,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Lamurde,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Mayo-Belwa,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Numan,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Shelleng,0.650971525,0.725485762,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Itu,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Song,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432
Yola North,0.793291382,0.796645691,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Yola South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Abak,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Awka North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Eket,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Esit Eket,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Essien Udim,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291
Etim Ekpo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Etinan,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ibesikpo Asutan,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ibiono Ibom,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ika,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikono,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikot Abasi,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikot Ekpene,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ini,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Mkpat Enin,0.650207039,0.725103519,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nsit Atai,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nsit Ibom,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nsit Ubium,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Awka South,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923
Obot Akara,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Okobo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Onna,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oruk Anam,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ukanafun,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075
Uruan,0.787950235,0.793975118,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Urue-Offong-Oruko,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ayamelum,0.757760815,0.778880407,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Uyo,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383
Aguata,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204
Anambra East,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Anambra West,0.762859519,0.781429759,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Anaocha,1,1,1,1,1,1,1,1,1,1,1
Dunukofia,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ekwusigo,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333
Idemili North,0.768412659,0.78420633,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Idemili South,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016
Ihiala,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231
Njikoka,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nnewi North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nnewi South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogbaru,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Onitsha North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Onitsha South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Orumba North,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272
Orumba South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oyi,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654
Alkaleri,0.767200506,0.783600253,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Bauchi,0.666726632,0.733363316,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Bogoro,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Damban,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857
Darazo,0.792998605,0.796499302,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Dass,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gamawa,0.647619048,0.723809524,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Jama'are,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369
Ganjuwa,0.51734786,0.65867393,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Giade,0.655555556,0.727777778,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Itas-Gadau,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Katagum,0.644522552,0.722261276,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Kirfi,0.585507246,0.692753623,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Misau,0.707011639,0.75350582,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ningi,0.544776215,0.672388108,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ukum,0.658345301,0.729172651,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Shira,0.729992725,0.764996363,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Tafawa-Balewa,0.644775328,0.722387664,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Toro,0.603686173,0.701843086,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Warji,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Zaki,0.728636504,0.764318252,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Kolokuma-Opokuma,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nembe,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogbia,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Sagbama,0.557277803,0.678638902,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Yenegoa,0.649634535,0.724817267,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ado,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Agatu,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Apa,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Buruku,0.613333317,0.706666658,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gboko,0.684402767,0.742201383,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Guma,0.534748979,0.667374489,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gwer East,0.434885707,0.617442854,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gwer West,0.725,0.7625,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Katsina-Ala,0.678106166,0.739053083,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Konshisha,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Logo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Makurdi,0.711299618,0.755649809,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Obi1,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogbadibo,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ohimini,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oju,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375
Okpokwu,0.748148148,0.774074074,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oturkpo,0.700948001,0.750474001,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Tarka,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ushongo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Vandeikya,0.775902239,0.787951119,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Askira-Uba,0.761298384,0.780649192,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Enugu East,0.776156115,0.788078058,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Bayo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Biu,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Chibok,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Damboa,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Biase,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Dikwa,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gubio,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Jere,0.60955975,0.704779875,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Guzamala,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Hawul,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Kwaya Kusar,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Enugu North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Kaga,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Mafa,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Obudu,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Konduga,0.637037037,0.718518519,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Bomadi,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Magumeri,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Maiduguri,0.755647,0.7778235,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Shani,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Abi,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Marte,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nganzai,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Bekwara,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Calabar-Municipal,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391
Ikom,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Obubra,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Enugu South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Odukpani,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogoja,1,1,1,1,1,1,1,1,1,1,1
Yakurr,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogbomosho North,0.626334934,0.713167467,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Yala,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001,0.912000001
Aniocha North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Aniocha South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ibadan South West,0.712326662,0.756163331,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ethiope East,0.653550805,0.726775402,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ethiope West,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ika North East,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ika South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Isoko North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogbomosho South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Isoko South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ndokwa East,0.622222222,0.711111111,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ndokwa West,0.785185185,0.792592593,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Okpe,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oshimili North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oshimili South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Patani,0.482980945,0.641490473,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Sapele,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Udu,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ughelli North,0.706624806,0.753312403,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ughelli South,0.697852799,0.7489264,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ukwuani,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Uvwie,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476,0.958114476
Warri South,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717
Ohaozara,0.767017546,0.783508773,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Abakaliki,0.558271007,0.679135503,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Afikpo North,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186
Afikpo South,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597
Ebonyi,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ezza North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ezza South,0.721625865,0.760812932,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikwo,0.741667587,0.770833793,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ishielu,0.594069036,0.697034518,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ivo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Izzi,0.626995675,0.713497837,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ohaukwu,0.619607843,0.709803922,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Onicha,0.661095875,0.730547937,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Akoko-Edo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Egor,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Esan North East,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Esan Central,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Esan South East,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Esan West,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Etsako Central,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Etsako East,0.73122637,0.765613185,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Etsako West,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878
Igueben,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikpoba-Okha,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466
Aninri,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oredo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Orhionmwon,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ovia North East,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ovia South West,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Owan East,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Owan West,0.696983498,0.748491749,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Uhunmwonde,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ado Ekiti,0.596413736,0.698206868,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Efon-Alayee,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ekiti East,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ekiti South West,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Awgu,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ekiti West,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Emure,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gboyin,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Idosi-Osi,0.689108149,0.744554075,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ijero,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikere,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikole,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163
Ilemeji,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Irepodun-Ifelodun,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ise-Orun,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Moba,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oye,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ezeagu,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Igbo-Etiti,0.756867,0.7784335,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Igbo-Eze North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Igbo-Eze South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Isi-Uzo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nkanu East,0.663798064,0.731899032,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nkanu West,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nsukka,0.762224801,0.781112401,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oji-River,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Udenu,0.704208516,0.752104258,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Udi,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795
Uzo-Uwani,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ahiazu-Mbaise,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Abaji,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987
Bwari,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388
Gwagwalada,0.787273554,0.793636777,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Kuje,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
