,X,LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year 
21,21,Guyuk,Alkaleri,0.480706358,0.036003591,0.925409125,23,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
22,22,Hong,Darazo,0.114371076,0,0,2,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
23,23,Lamurde,Alkaleri,0.234127553,0,0,1,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
24,24,Mayo-Belwa,Alkaleri,0.545454545,0.545454545,0.545454545,12,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
25,25,Numan,Alkaleri,0.647058824,0.647058824,0.647058824,16,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
26,26,Shelleng,Darazo,0.340187947,0.092489872,0.587886022,17,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
27,27,Itu,Ngor-Okpala,0.666666667,0.666666667,0.666666667,5,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
28,28,Song,Darazo,0.305714286,0.292320005,0.319108568,15,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
29,29,Yola North,Alkaleri,0.148773002,0.135702094,0.16184391,10,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
30,30,Yola South,Alkaleri,0.25,0.25,0.25,1,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
31,31,Abak,Nsit Ubium,0.297727761,0,0,4,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
32,32,Awka North,Uzo-Uwani,0.666666667,0.666666667,0.666666667,3,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
33,33,Eket,Nsit Ubium,0.297727761,NA,NA,NA,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
34,34,Esit Eket,Nsit Ubium,0.071428571,0.071428571,0.071428571,17,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
35,35,Essien Udim,Ngor-Okpala,0.219281699,-0.017621507,0.456184905,10,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
36,36,Etim Ekpo,Ngor-Okpala,0.283373403,NA,NA,NA,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
37,37,Etinan,Nsit Ubium,0.297727761,0,0,2,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
38,38,Ibesikpo Asutan,Nsit Ubium,0.234042549,0.226393414,0.241691685,12,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
39,39,Ibiono Ibom,Ngor-Okpala,0.142335763,-0.144396642,0.429068168,9,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
40,40,Ika,Ngor-Okpala,0.283373403,NA,NA,NA,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
41,41,Ikono,Ngor-Okpala,0.5,0.5,0.5,7,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
42,42,Ikot Abasi,Nsit Ubium,0.5,0.5,0.5,7,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
43,43,Ikot Ekpene,Ngor-Okpala,0.163310644,-0.141504797,0.468126085,4,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
