,LGA,Rep_DS,State,simday,duration,year,U5_coverage_m,U5_coverage_l,U5_coverage,adult_coverage_m,adult_coverage_l,adult_coverage,severe_cases
95,Batagarawa,Rimi,Katsina,0,1095,2010,0.096584862,0.052429,0.161449,0.096584862,0.052429,0.161449,0.49
96,Batsari,Rimi,Katsina,0,1095,2010,0.096584862,0.052429,0.161449,0.096584862,0.052429,0.161449,0.49
97,Bauchi,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.048633,0.297911,0.140374283,0.048633,0.297911,0.49
98,Baure,Babura,Jigawa,0,1095,2010,0.053961815,0.02454,0.102781,0.053961815,0.02454,0.102781,0.49
99,Bayo,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.048633,0.297911,0.140374283,0.048633,0.297911,0.49
100,Bebeji,Gwarzo,Kano,0,1095,2010,0.020151372,0.007362,0.044545,0.020151372,0.007362,0.044545,0.49
101,Bekwara,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
102,Bende,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.014185,0.082396,0.038064811,0.014185,0.082396,0.49
103,Biase,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.014185,0.082396,0.038064811,0.014185,0.082396,0.49
104,Bichi,Gwarzo,Kano,0,1095,2010,0.020151372,0.007362,0.044545,0.020151372,0.007362,0.044545,0.49
105,Bida,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
106,Billiri,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.048633,0.297911,0.140374283,0.048633,0.297911,0.49
107,Bindawa,Rimi,Katsina,0,1095,2010,0.096584862,0.052429,0.161449,0.096584862,0.052429,0.161449,0.49
108,Binji,Gawabawa,Sokoto,0,1095,2010,0,0,0,0,0,0,0.49
109,Biriniwa,Taura,Jigawa,0,1095,2010,0.066097954,0.029,0.128142,0.066097954,0.029,0.128142,0.49
110,Birni Kudu,Takali,Kano,0,1095,2010,0.041618192,0.017351,0.084126,0.041618192,0.017351,0.084126,0.49
111,Birnin Kebbi,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,5.50E-05,0.033146,0.005035576,5.50E-05,0.033146,0.49
112,Birnin Magaji,Rimi,Katsina,0,1095,2010,0.096584862,0.052429,0.161449,0.096584862,0.052429,0.161449,0.49
113,Birnin-Gwari,Giwa,Kaduna,0,1095,2010,0.018010707,0.002239,0.064588,0.018010707,0.002239,0.064588,0.49
114,Biu,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
115,Bodinga,Gawabawa,Sokoto,0,1095,2010,0,0,0,0,0,0,0.49
116,Bogoro,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.048633,0.297911,0.140374283,0.048633,0.297911,0.49
117,Boki,Obubra,Cross River,0,1095,2010,0,0,0,0,0,0,0.49
118,Bokkos,Giwa,Kaduna,0,1095,2010,0.018010707,0.002239,0.064588,0.018010707,0.002239,0.064588,0.49
119,Boluwaduro,Akinyele,Oyo,0,1095,2010,0.067262581,0.017876,0.16989,0.067262581,0.017876,0.16989,0.49
120,Bomadi,Isoko South,Delta,0,1095,2010,0.102375399,0.051413,0.179891,0.102375399,0.051413,0.179891,0.49
121,Bonny,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.049395,0.157392,0.092807342,0.049395,0.157392,0.49
122,Borgu,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
123,Boripe,Akinyele,Oyo,0,1095,2010,0.067262581,0.017876,0.16989,0.067262581,0.017876,0.16989,0.49
