,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
306,Ifo,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
307,Igabi,Soba,Kaduna,0,1095,2010,0.034855,0.034855
308,Igalamela-Odolu,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
309,Igbo-Etiti,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
310,Igbo-Eze North,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
311,Igbo-Eze South,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
312,Igueben,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
313,Ihiala,Oru West,Imo,0,1095,2010,0.101985,0.101985
314,Ihitte-Uboma,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
315,Ijebu East,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
316,Ijebu North,Owan East,Edo,0,1095,2010,0.040692,0.040692
317,Ijebu North East,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
318,Ijebu ode,Owan East,Edo,0,1095,2010,0.040692,0.040692
319,Ijero,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
320,Ijumu,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
321,Ika,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
322,Ika North East,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
323,Ika South,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
324,Ikara,Soba,Kaduna,0,1095,2010,0.034855,0.034855
325,Ikeduru,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
326,Ikeja,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
327,Ikenne,Owan East,Edo,0,1095,2010,0.040692,0.040692
328,Ikere,Owan East,Edo,0,1095,2010,0.040692,0.040692
329,Ikole,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
330,Ikom,Obubra,Cross River,0,1095,2010,0,0
331,Ikono,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
332,Ikorodu,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
333,Ikot Abasi,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
334,Ikot Ekpene,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
335,Ikpoba-Okha,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
336,Ikwerre,Oru West,Imo,0,1095,2010,0.101985,0.101985
337,Ikwo,Obubra,Cross River,0,1095,2010,0,0
338,Ikwuano,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
339,Ila,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
340,Ilaje,Owan East,Edo,0,1095,2010,0.040692,0.040692
341,Ile-Oluji-Okeigbo,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
342,Ilemeji,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
343,Ilesha East,Owan East,Edo,0,1095,2010,0.040692,0.040692
344,Ilesha West,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
345,Illela,Gawabawa,Sokoto,0,1095,2010,0,0
346,Ilorin East,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
347,Ilorin South,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
348,Ilorin West,Owan East,Edo,0,1095,2010,0.040692,0.040692
349,Imeko-Afon,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
350,Ingawa,Rimi,Katsina,0,1095,2010,0.052429,0.052429
351,Ini,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
352,Ipokia,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
353,Irele,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
354,Irepo,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
355,Irepodun-Ifelodun,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
356,Irepodun1,Owan East,Edo,0,1095,2010,0.040692,0.040692
357,Irepodun2,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
358,Irewole,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
359,Isa,Rimi,Katsina,0,1095,2010,0.052429,0.052429
360,Ise-Orun,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
361,Iseyin,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
362,Ishielu,Owan East,Edo,0,1095,2010,0.040692,0.040692
