,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
119,Boluwaduro,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
120,Bomadi,Isoko South,Delta,0,1095,2010,0.179891,0.179891
121,Bonny,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
122,Borgu,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
123,Boripe,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
124,Bosso,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
125,Brass,Ahoada West,Rivers,0,1095,2010,0.38041,0.38041
126,Buji,Takali,Kano,0,1095,2010,0.084126,0.084126
127,Bukkuyum,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
128,Bungudu,Takali,Kano,0,1095,2010,0.084126,0.084126
129,Bunkure,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
130,Bunza,Birnin Kebbi,Kebbi,0,1095,2010,0.033146,0.033146
131,Bursari,Taura,Jigawa,0,1095,2010,0.128142,0.128142
132,Buruku,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
133,Burutu,Isoko South,Delta,0,1095,2010,0.179891,0.179891
134,Bwari,Giwa,Kaduna,0,1095,2010,0.064588,0.064588
135,Calabar South,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
136,Calabar-Municipal,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
137,Chanchaga,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
138,Charanchi,Rimi,Katsina,0,1095,2010,0.161449,0.161449
139,Chibok,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
140,Chikun,Soba,Kaduna,0,1095,2010,0.144206,0.144206
141,Dala,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
142,Damaturu,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
143,Damban,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
144,Dambatta,Babura,Jigawa,0,1095,2010,0.102781,0.102781
145,Damboa,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
146,Dan Musa,Rimi,Katsina,0,1095,2010,0.161449,0.161449
147,Dandi,Birnin Kebbi,Kebbi,0,1095,2010,0.033146,0.033146
148,Dandume,Giwa,Kaduna,0,1095,2010,0.064588,0.064588
149,Dange-Shnsi,Gawabawa,Sokoto,0,1095,2010,0,0
150,Danja,Giwa,Kaduna,0,1095,2010,0.064588,0.064588
151,Darazo,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
152,Dass,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
153,Daura,Babura,Jigawa,0,1095,2010,0.102781,0.102781
154,Dawakin Kudu,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
155,Dawakin Tofa,Taura,Jigawa,0,1095,2010,0.128142,0.128142
156,Degema,Ahoada West,Rivers,0,1095,2010,0.38041,0.38041
157,Dekina,Owan East,Edo,0,1095,2010,0.20155,0.20155
158,Demsa,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
159,Dikwa,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
160,Doguwa,Giwa,Kaduna,0,1095,2010,0.064588,0.064588
161,Doma,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
162,Donga,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
163,Dukku,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
164,Dunukofia,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
165,Dutse,Takali,Kano,0,1095,2010,0.084126,0.084126
166,Dutsi,Rimi,Katsina,0,1095,2010,0.161449,0.161449
167,Dutsin-Ma,Rimi,Katsina,0,1095,2010,0.161449,0.161449
168,Eastern Obolo,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
169,Ebonyi,Owan East,Edo,0,1095,2010,0.20155,0.20155
170,Edati,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
171,Ede North,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
172,Ede South,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
173,Edu,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
174,Efon-Alayee,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
175,Egbado North,Owan East,Edo,0,1095,2010,0.20155,0.20155
176,Egbado South,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
177,Egbeda,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
178,Egbedore,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
179,Egor,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
180,Ehime-Mbano,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
181,Ejigbo,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
182,Ekeremor,Ahoada West,Rivers,0,1095,2010,0.38041,0.38041
183,Eket,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
184,Ekiti,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
185,Ekiti East,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
186,Ekiti South West,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
187,Ekiti West,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
