LGA,Rep_DS,State,,,U5_coverage,adult_coverage,simday,duration,year
Ekwusigo,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Eleme,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Emohua,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Emure,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Enugu East,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Enugu North,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Enugu South,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Epe,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Esan Central,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Esan North East,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Esan South East,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Esan West,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ese-Odo,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Esit Eket,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Essien Udim,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Etche,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ethiope East,Isoko South,Delta,,,0.102375399,0.102375399,0,1095,2010
Ethiope West,Isoko South,Delta,,,0.102375399,0.102375399,0,1095,2010
Eti-Osa,Isoko South,Delta,,,0.102375399,0.102375399,0,1095,2010
Etim Ekpo,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Etinan,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Etsako Central,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Etsako East,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Etsako West,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Etung,Obubra,Cross River,,,0,0,0,1095,2010
Ewekoro,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ezeagu,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ezinihitte,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ezza North,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ezza South,Obubra,Cross River,,,0,0,0,1095,2010
Fagge,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Fakai,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Faskari,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Fika,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Fufore,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Funakaye,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Fune,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Funtua,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Gabasawa,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Gada,Gawabawa,Sokoto,,,0,0,0,1095,2010
Gagarawa,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Gamawa,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Ganaye,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Ganjuwa,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Garki,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Garko,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Garum Mallam,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Gashaka,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Gassol,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Gawabawa,Gawabawa,Sokoto,,,0,0,0,1095,2010
Gaya,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Gbako,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Gboko,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Gboyin,Obubra,Cross River,,,0,0,0,1095,2010
Geidam,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Gezawa,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Giade,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Gireri,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Giwa,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Gokana,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Gombe,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Gombi,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Goronyo,Gawabawa,Sokoto,,,0,0,0,1095,2010
Gubio,Gawabawa,Sokoto,,,0,0,0,1095,2010
Gudu,Gawabawa,Sokoto,,,0,0,0,1095,2010
Gujba,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Gulani,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Guma,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Gumel,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Gummi,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Gurara,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Guri,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Gusau,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Guyuk,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
