,LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,year
65,Arochukwu,Ngor-Okpala,0.142857143,0.142857143,0.142857143,4,0.17073341,0.050004489,0.291462331,67,2015
66,Asa,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
67,Asari-Toru,Ahoada West,0.247032288,NA,NA,NA,0.247032288,0.152126062,0.341938514,92,2015
68,Askira/Uba,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
69,Atakumosa East,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
70,Atakumosa West,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
71,Atiba,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
72,Atigbo,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
73,Augie,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
74,Auyo,Taura,0.157894737,0.157894737,0.157894737,27,0.13431021,0.058467978,0.210152443,151,2015
75,Awe,Keana,0.1311888,0,0,9,0.1311888,0.041604488,0.220773112,116,2015
76,Awgu,Oru West,0.366720487,NA,NA,NA,0.366720487,0.212880315,0.520560659,59,2015
77,Awka North,Uzo-Uwani,0.25,0.25,0.25,6,0.190437475,0.111596475,0.269278475,115,2015
78,Awka South,Uzo-Uwani,0.270773628,0.246685493,0.294861764,16,0.190437475,0.111596475,0.269278475,115,2015
79,Ayamelum,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
80,Babura,Babura,0.1875,0.1875,0.1875,18,0.138863542,0.087708523,0.190018562,94,2015
81,Badagry,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
82,Bade,Taura,0.352941176,0.352941176,0.352941176,13,0.13431021,0.058467978,0.210152443,151,2015
83,Bagudo,Birnin Kebbi,0.071887998,0,0,23,0.071887998,-0.033892332,0.177668327,104,2015
84,Bagwai,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
85,Bakassi,Obubra,0.249253657,NA,NA,NA,0.249253657,0.064518084,0.43398923,49,2015
86,Bakori,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
87,Bakura,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
88,Balanga,Alkaleri,0.145645987,0,0,5,0.145645987,0.087804352,0.203487623,232,2015
89,Bali,Keana,0.066666667,0.066666667,0.066666667,7,0.1311888,0.041604488,0.220773112,116,2015
90,Bama,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
91,Barikin Ladi,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
92,Baruten,Oke-Ero,0.125,0.076578513,0.173421487,16,0.114190056,0.051105035,0.177275077,187,2015
93,Bassa1,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
94,Bassa2,Soba,0.571428571,0.571428571,0.571428571,4,0.068409273,0.008353962,0.128464584,98,2015
95,Batagarawa,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
96,Batsari,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
97,Bauchi,Alkaleri,0.237836556,0.212323572,0.263349539,26,0.145645987,0.087804352,0.203487623,232,2015
98,Baure,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
99,Bayo,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
100,Bebeji,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
101,Bekwara,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
102,Bende,Ngor-Okpala,0.17073341,0,0,1,0.17073341,0.050004489,0.291462331,67,2015
103,Biase,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
104,Bichi,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
105,Bida,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
106,Billiri,Alkaleri,0.145645987,0,0,3,0.145645987,0.087804352,0.203487623,232,2015
107,Bindawa,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
108,Binji,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
109,Biriniwa,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
110,Birni Kudu,Takali,0.074490416,NA,NA,NA,0.074490416,0.033950387,0.115030445,82,2015
111,Birnin Kebbi,Birnin Kebbi,0.071887998,0,0,5,0.071887998,-0.033892332,0.177668327,104,2015
112,Birnin Magaji,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
113,Birnin-Gwari,Giwa,0.129248867,NA,NA,NA,0.129248867,-0.003994392,0.262492125,82,2015
114,Biu,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
115,Bodinga,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
116,Bogoro,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
117,Boki,Obubra,0.249253657,NA,NA,NA,0.249253657,0.064518084,0.43398923,49,2015
118,Bokkos,Giwa,0.129248867,NA,NA,NA,0.129248867,-0.003994392,0.262492125,82,2015
119,Boluwaduro,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
120,Bomadi,Isoko South,0.01218479,NA,NA,NA,0.01218479,-0.009203428,0.033573008,50,2015
121,Bonny,Nsit Ubium,0.094423463,0,0,5,0.094423463,0.021527921,0.167319005,92,2015
122,Borgu,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
123,Boripe,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
124,Bosso,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
125,Brass,Ahoada West,0.247032288,NA,NA,NA,0.247032288,0.152126062,0.341938514,92,2015
126,Buji,Takali,0.074490416,NA,NA,NA,0.074490416,0.033950387,0.115030445,82,2015
127,Bukkuyum,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
128,Bungudu,Takali,0.074490416,0,0,18,0.074490416,0.033950387,0.115030445,82,2015
129,Bunkure,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
130,Bunza,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
131,Bursari,Taura,0.05,0.05,0.05,15,0.13431021,0.058467978,0.210152443,151,2015
132,Buruku,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
133,Burutu,Isoko South,0.01218479,0,0,4,0.01218479,-0.009203428,0.033573008,50,2015
134,Bwari,Giwa,0.129248867,NA,NA,NA,0.129248867,-0.003994392,0.262492125,82,2015
135,Calabar South,Nsit Ubium,0.094423463,0,0,2,0.094423463,0.021527921,0.167319005,92,2015
136,Calabar-Municipal,Nsit Ubium,0.25,0.25,0.25,3,0.094423463,0.021527921,0.167319005,92,2015
137,Chanchaga,Keana,0.5,0.5,0.5,7,0.1311888,0.041604488,0.220773112,116,2015
138,Charanchi,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
139,Chibok,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
140,Chikun,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
141,Dala,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
142,Damaturu,Darazo,0.142857143,0.142857143,0.142857143,17,0.18452352,0.125860196,0.243186843,184,2015
143,Damban,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
144,Dambatta,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
145,Damboa,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
146,Dan Musa,Rimi,0.041666667,0.0312712,0.052062133,101,0.168258146,0.051240905,0.285275387,247,2015
147,Dandi,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
148,Dandume,Giwa,0.129248867,NA,NA,NA,0.129248867,-0.003994392,0.262492125,82,2015
149,Dange-Shnsi,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
150,Danja,Giwa,0.129248867,NA,NA,NA,0.129248867,-0.003994392,0.262492125,82,2015
151,Darazo,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
152,Dass,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
153,Daura,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
154,Dawakin Kudu,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
155,Dawakin Tofa,Taura,0.13431021,0,0,23,0.13431021,0.058467978,0.210152443,151,2015
156,Degema,Ahoada West,0.75,0.75,0.75,6,0.247032288,0.152126062,0.341938514,92,2015
157,Dekina,Owan East,0.264976843,0,0,10,0.264976843,0.182414224,0.347539461,148,2015
158,Demsa,Alkaleri,0.166666667,0.166666667,0.166666667,3,0.145645987,0.087804352,0.203487623,232,2015
159,Dikwa,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
160,Doguwa,Giwa,0.129248867,NA,NA,NA,0.129248867,-0.003994392,0.262492125,82,2015
161,Doma,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
162,Donga,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
163,Dukku,Darazo,0.058823529,0.058823529,0.058823529,9,0.18452352,0.125860196,0.243186843,184,2015
164,Dunukofia,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
165,Dutse,Takali,0.214285714,0.214285714,0.214285714,6,0.074490416,0.033950387,0.115030445,82,2015
166,Dutsi,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
167,Dutsin-Ma,Rimi,0.166666667,0.166666667,0.166666667,11,0.168258146,0.051240905,0.285275387,247,2015
168,Eastern Obolo,Nsit Ubium,0.094423463,NA,NA,NA,0.094423463,0.021527921,0.167319005,92,2015
169,Ebonyi,Owan East,0.333333333,0.333333333,0.333333333,4,0.264976843,0.182414224,0.347539461,148,2015
170,Edati,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
171,Ede North,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
172,Ede South,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
173,Edu,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
174,Efon-Alayee,Oke-Ero,0.114190056,0,0,3,0.114190056,0.051105035,0.177275077,187,2015
175,Egbado North,Owan East,0.264976843,0,0,4,0.264976843,0.182414224,0.347539461,148,2015
176,Egbado South,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
177,Egbeda,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
178,Egbedore,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
179,Egor,Uzo-Uwani,0.5,0.5,0.5,2,0.190437475,0.111596475,0.269278475,115,2015
180,Ehime-Mbano,Ngor-Okpala,0.5,0.5,0.5,6,0.17073341,0.050004489,0.291462331,67,2015
181,Ejigbo,Akinyele,0.080893909,-0.034499109,0.196286928,18,0.079747826,-0.004877252,0.164372905,66,2015
182,Ekeremor,Ahoada West,0.247032288,0,0,5,0.247032288,0.152126062,0.341938514,92,2015
183,Eket,Nsit Ubium,0.094423463,0,0,9,0.094423463,0.021527921,0.167319005,92,2015
184,Ekiti,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
185,Ekiti East,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
186,Ekiti South West,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
187,Ekiti West,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
188,Ekwusigo,Oru West,0.366720487,NA,NA,NA,0.366720487,0.212880315,0.520560659,59,2015
189,Eleme,Ahoada West,0.247032288,NA,NA,NA,0.247032288,0.152126062,0.341938514,92,2015
190,Emohua,Ahoada West,0.25,0.25,0.25,6,0.247032288,0.152126062,0.341938514,92,2015
191,Emure,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
192,Enugu East,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
193,Enugu North,Uzo-Uwani,0.272727273,0.272727273,0.272727273,6,0.190437475,0.111596475,0.269278475,115,2015
194,Enugu South,Uzo-Uwani,0.190437475,0,0,2,0.190437475,0.111596475,0.269278475,115,2015
195,Epe,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
196,Esan Central,Owan East,0.264976843,1,1,1,0.264976843,0.182414224,0.347539461,148,2015
197,Esan North East,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
198,Esan South East,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
199,Esan West,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
200,Ese-Odo,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
201,Esit Eket,Nsit Ubium,0.071428571,0.071428571,0.071428571,14,0.094423463,0.021527921,0.167319005,92,2015
202,Essien Udim,Ngor-Okpala,0.17073341,0,0,5,0.17073341,0.050004489,0.291462331,67,2015
203,Etche,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
204,Ethiope East,Isoko South,0.01218479,NA,NA,NA,0.01218479,-0.009203428,0.033573008,50,2015
205,Ethiope West,Isoko South,0.01218479,0,0,9,0.01218479,-0.009203428,0.033573008,50,2015
206,Eti-Osa,Isoko South,0.01218479,NA,NA,NA,0.01218479,-0.009203428,0.033573008,50,2015
207,Etim Ekpo,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
208,Etinan,Nsit Ubium,0.094423463,NA,NA,NA,0.094423463,0.021527921,0.167319005,92,2015
209,Etsako Central,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
210,Etsako East,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
211,Etsako West,Owan East,0.666666667,0.666666667,0.666666667,2,0.264976843,0.182414224,0.347539461,148,2015
212,Etung,Obubra,0.249253657,1,1,3,0.249253657,0.064518084,0.43398923,49,2015
213,Ewekoro,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
214,Ezeagu,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
215,Ezinihitte,Ngor-Okpala,0.666666667,0.666666667,0.666666667,4,0.17073341,0.050004489,0.291462331,67,2015
216,Ezza North,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
217,Ezza South,Obubra,0.249253657,NA,NA,NA,0.249253657,0.064518084,0.43398923,49,2015
218,Fagge,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
219,Fakai,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
220,Faskari,Giwa,0.066666667,0.066666667,0.066666667,29,0.129248867,-0.003994392,0.262492125,82,2015
221,Fika,Darazo,0.18452352,0,0,13,0.18452352,0.125860196,0.243186843,184,2015
222,Fufore,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
223,Funakaye,Alkaleri,0.145645987,0,0,18,0.145645987,0.087804352,0.203487623,232,2015
224,Fune,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
225,Funtua,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
226,Gabasawa,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
