LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year
Kwaya Kusar,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Enugu North,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Kaga,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Mafa,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Obudu,Obubra,0.050301814,NA,NA,NA,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Konduga,Darazo,0.013271123,0,0,7,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Bomadi,Isoko South,0.136199054,1,1,1,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Magumeri,Gawabawa,0.073810029,0,0,2,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Maiduguri,Darazo,0.013271123,0,0,68,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Shani,Alkaleri,0.053619382,0,0,1,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Abi,Obubra,0.050301814,NA,NA,NA,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Marte,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Nganzai,Gawabawa,0.073810029,NA,NA,NA,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Bekwara,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Calabar-Municipal,Nsit Ubium,0.116736022,0,0,2,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Ikom,Obubra,0.050301814,0,0,5,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Obubra,Obubra,0.050301814,0,0,9,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Enugu South,Uzo-Uwani,0.072215691,0,0,1,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Odukpani,Ngor-Okpala,0.040385726,0,0,14,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ogoja,Obubra,0.050301814,NA,NA,NA,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Yakurr,Obubra,0.050301814,0,0,11,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Ogbomosho North,Akinyele,0.041444389,0,0,2,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Yala,Oke-Ero,0.025245447,-0.033860735,0.084351629,35,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Aniocha North,Uzo-Uwani,0.276777493,-0.065723501,0.619278488,3,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Aniocha South,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ibadan South West,Owan East,0.044332263,0,0,3,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ethiope East,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Ethiope West,Isoko South,0.136199054,0,0,1,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Ika North East,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ika South,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Isoko North,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Ogbomosho South,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Isoko South,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Ndokwa East,Ahoada West,0.179282178,NA,NA,NA,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Ndokwa West,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Okpe,Isoko South,0.136199054,0,0,1,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Oshimili North,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Oshimili South,Uzo-Uwani,0.072215691,0,0,3,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Patani,Isoko South,0.136199054,0,0,3,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Sapele,Isoko South,0.136199054,0,0,4,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Udu,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
