LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year
Bida,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Bosso,Keana,0.329624495,0.206021846,0.453227144,7,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Edati,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Gbako,Oke-Ero,0.109211148,0,0,5,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Gurara,Oke-Ero,0.111111111,0.111111111,0.111111111,10,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Katcha,Oke-Ero,0.25,0.25,0.25,4,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Kontagora,Oke-Ero,0.203929338,-0.001677424,0.4095361,6,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Lapai,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Lavun,Oke-Ero,0.6,0.6,0.6,11,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Magama,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Mariga,Oke-Ero,0.109211148,0,0,4,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Mashegu,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Pailoro,Oke-Ero,0.5,0.5,0.5,9,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Lagelu,Akinyele,0.041444389,0,0,1,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Mokwa,Oke-Ero,0.109211148,0,0,2,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Muya,Giwa,0,NA,NA,NA,0,0,0,77,1095,730,2013
Abeokuta South,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ijebu North,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Rafi,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Rijau,Alkaleri,0.053619382,0,0,5,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Ado-Odo/Ota,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ijebu North East,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Shiroro,Oke-Ero,0.109211148,0,0,2,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Suleja,Giwa,0,0,0,1,0,0,0,77,1095,730,2013
Tafa,Oke-Ero,0.109211148,0,0,4,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Wushishi,Oke-Ero,0.25,0.25,0.25,5,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Abeokuta North,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Egbado South,Uzo-Uwani,0.072215691,0,0,3,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ewekoro,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ifo,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ijebu East,Oke-Ero,0.109211148,0,0,2,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ijebu ode,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ikenne,Owan East,0.044332263,0,0,2,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Obafemi-Owode,Owan East,0.044332263,0,0,1,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Odeda,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Odogbolu,Owan East,0.044332263,0,0,4,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ogun waterside,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Remo North,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Shagamu,Uzo-Uwani,0.072215691,0,0,1,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Akoko North East,Oke-Ero,0.109211148,0,0,3,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Akoko North West,Oke-Ero,0.109211148,0,0,0,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Akoko South East,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Akoko South West,Oke-Ero,0.109211148,0,0,1,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Akure North,Owan East,0.044332263,0,0,3,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ifedayo,Oke-Ero,0.109211148,0,0,3,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Akure South,Owan East,0.044332263,0,0,2,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ese-Odo,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Idanre,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ifedore,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ile-Oluji-Okeigbo,Akinyele,0.041444389,0,0,3,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Irele,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Odigbo,Akinyele,0.041444389,0,0,14,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ifelodun2,Akinyele,0.041444389,1,1,1,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Okitipupa,Owan East,0.044332263,0,0,2,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ondo East,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ondo West,Akinyele,0.041444389,0,0,1,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ose,Owan East,0.044332263,0,0,5,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Owo,Owan East,0.044332263,0,0,6,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Aiyedade,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Aiyedire,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Atakumosa East,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Orolu,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Atakumosa West,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Boluwaduro,Akinyele,0.041444389,0,0,0,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Boripe,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ede North,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ede South,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Egbedore,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ejigbo,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ife Central,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ife East,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ife North,Akinyele,0.061400361,-0.094839406,0.217640129,9,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ife South,Akinyele,0.385357288,-0.118557545,0.889272122,2,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ila,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ilesha East,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ilesha West,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Irepodun2,Akinyele,0.179857874,0.126934611,0.232781136,4,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Irewole,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Isokan,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Iwo,Akinyele,0.333333333,0.333333333,0.333333333,2,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Osogbo,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Obokun,Akinyele,0.041444389,0,0,1,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Odo-Otin,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ola-oluwa,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Olorunda,Akinyele,0.041444389,0,0,5,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Oriade,Oke-Ero,0.109211148,0,0,2,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ibadan South East,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Afijio,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Akinyele,Akinyele,0.041444389,0,0,15,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Atiba,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Egbeda,Akinyele,0.041444389,0,0,5,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ibadan North,Owan East,0.044332263,0,0,8,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ibadan North East,Owan East,0.044332263,0,0,6,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ibadan North West,Owan East,0.044332263,0,0,5,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ibarapa Central,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Ibarapa East,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ibarapa North,Oke-Ero,0.109211148,0,0,8,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ido,Akinyele,0.041444389,0,0,2,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Irepo,Oke-Ero,0.109211148,0,0,3,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ogo Oluwa,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Olorunsogo,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Oluyole,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ona-Ara,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Orelope,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ori Ire,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Oyo West,Akinyele,0.041444389,0,0,6,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Saki East,Oke-Ero,0.109211148,0,0,6,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Saki West,Akinyele,0.041444389,0,0,3,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Surulere2,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Barikin Ladi,Soba,0.030472784,0,0,1,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Bassa2,Soba,0.030472784,0,0,2,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Bokkos,Giwa,0,NA,NA,NA,0,0,0,77,1095,730,2013
Jos East,Soba,0.030472784,0,0,2,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Jos North,Soba,0.192381244,-0.119989909,0.504752396,5,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Jos South,Soba,0.030472784,0,0,0,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Kanam,Alkaleri,0.053619382,0,0,12,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Kanke,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Langtang North,Alkaleri,0.053619382,0,0,8,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Langtang South,Keana,0.05092044,0,0,3,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Mangu,Darazo,0.013271123,0,0,13,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Mikang,Alkaleri,0.053619382,0,0,7,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Abua/Odual,Ahoada West,0.285714286,0.285714286,0.285714286,5,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Pankshin,Alkaleri,0.053619382,0,0,4,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Qua'an Pan,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Riyom,Soba,0.030472784,NA,NA,NA,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Shendam,Keana,0.05092044,0,0,1,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Wase,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Ahoada East,Ahoada West,0.090909091,0.090909091,0.090909091,10,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Ahoada West,Ahoada West,0.373092363,0.14556683,0.600617896,19,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Andoni,Nsit Ubium,0.116736022,0,0,1,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Asari-Toru,Ahoada West,0.333333333,0.333333333,0.333333333,2,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Bonny,Nsit Ubium,0.093590954,-0.012015683,0.19919759,30,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Eleme,Ahoada West,0.083068315,0.001652358,0.164484273,27,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Emohua,Ahoada West,0.111111111,0.111111111,0.111111111,12,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Etche,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Gokana,Nsit Ubium,0.22480021,0.11520345,0.33439697,19,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Ikwerre,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Khana,Nsit Ubium,0.116736022,0,0,2,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Obia/Akpor,Ahoada West,0.249274161,0.188069046,0.310479276,29,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Ogba/Egbema/Ndoni,Ahoada West,0.179282178,NA,NA,NA,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Ogu/Bolo,Nsit Ubium,0.116736022,NA,NA,NA,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Okrika,Nsit Ubium,0.116736022,NA,NA,NA,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Omumma,Ngor-Okpala,0.5,0.5,0.5,1,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Opobo/Nkoro,Nsit Ubium,0.116736022,NA,NA,NA,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Oyigbo,Nsit Ubium,0.375,0.375,0.375,17,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Port-Harcourt,Ahoada West,0.085606364,-0.014630466,0.185843194,10,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Tai,Nsit Ubium,0.116736022,NA,NA,NA,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Binji,Gawabawa,0.073810029,NA,NA,NA,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Bodinga,Gawabawa,0.073810029,0,0,9,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Dange-Shnsi,Gawabawa,0.073810029,0,0,4,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Akuku Toru,Ahoada West,0.25,0.25,0.25,8,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Goronyo,Gawabawa,0.073810029,NA,NA,NA,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Gawabawa,Gawabawa,0.073810029,0,0,1,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Illela,Gawabawa,0.073810029,0,0,2,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Isa,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Kebbe,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Kware,Gawabawa,0.073810029,NA,NA,NA,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Rabah,Gawabawa,0.073810029,NA,NA,NA,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Shagari,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Mubi South,Darazo,0.013271123,0,0,14,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Silame,Gawabawa,0.073810029,0,0,6,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Sokoto North,Gawabawa,0.267553088,0.03349607,0.501610105,11,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Sokoto South,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Tambuwal,Birnin Kebbi,0.160741194,-0.078659214,0.400141603,2,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Tureta,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Wamako,Gawabawa,0.073810029,0,0,4,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Wurno,Gawabawa,0.073810029,0,0,7,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Yabo,Gawabawa,0.073810029,NA,NA,NA,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Ardo-Kola,Keana,0.05092044,0,0,4,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Gassol,Keana,0.05092044,0,0,4,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Bali,Keana,0.05092044,0,0,30,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Donga,Keana,0.05092044,0,0,6,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Ibi,Keana,0.05092044,0,0,5,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Jalingo,Keana,0.05092044,0,0,1,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Yorro,Alkaleri,0.053619382,0,0,5,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Potiskum,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Karin-Lamido,Alkaleri,0.015206161,-0.013019884,0.043432205,41,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Lau,Alkaleri,0.053619382,0,0,2,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Wukari,Keana,0.05092044,0,0,4,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Zing,Alkaleri,0.053619382,0,0,8,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Bade,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Nguru,Taura,0.161180182,0.112263596,0.210096768,26,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Bursari,Taura,0.052631579,0.052631579,0.052631579,14,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Damaturu,Darazo,0.013271123,0,0,10,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Fika,Darazo,0.013271123,0,0,10,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Gujba,Darazo,0.096210254,0.016750291,0.175670217,10,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Fune,Darazo,0.067625114,-0.00831035,0.143560578,11,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Gulani,Alkaleri,0.045454545,0.045454545,0.045454545,47,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Geidam,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Nangere,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Jakusko,Taura,0.096990082,0.0014926,0.192487564,54,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Karasuwa,Taura,0.12113064,0.036111683,0.206149598,34,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Tarmua,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Anka,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Bakura,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Birnin Magaji,Rimi,0.073611031,0,0,11,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Bukkuyum,Alkaleri,0.053619382,0,0,3,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Bungudu,Takali,0.051157313,0,0,19,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Gummi,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Ipokia,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Gusau,Darazo,0.013271123,0,0,16,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Kaura-Namoda,Rimi,0.073611031,0,0,9,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Maradun,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Tsafe,Takali,0.051157313,NA,NA,NA,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Maru,Giwa,0,0,0,13,0,0,0,77,1095,730,2013
Shinkafi,Rimi,0.073611031,0,0,1,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Talata Mafara,Darazo,0.013271123,1,1,1,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Zurmi,Rimi,0.073611031,0,0,18,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Mbo,Nsit Ubium,0.116736022,0,0,8,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Oron,Nsit Ubium,0.116736022,0,0,3,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Udung Uko,Nsit Ubium,0.116736022,NA,NA,NA,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Calabar South,Nsit Ubium,0.116736022,0,0,1,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Ibeno,Nsit Ubium,0.116736022,NA,NA,NA,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Eastern Obolo,Nsit Ubium,0.116736022,NA,NA,NA,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Degema,Ahoada West,0.179282178,NA,NA,NA,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Brass,Ahoada West,0.179282178,0,0,1,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Southern Ijaw,Ahoada West,0.179282178,0,0,1,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Ekeremor,Ahoada West,0.179282178,0,0,1,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Burutu,Isoko South,0.136199054,0,0,8,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Warri South West,Isoko South,0.136199054,0,0,1,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Warri North,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ilaje,Owan East,0.044332263,0,0,7,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ibeju/Lekki,Uzo-Uwani,0.072215691,0,0,2,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Amuwo-Odofin,Isoko South,0.136199054,1,1,3,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Badagry,Uzo-Uwani,0.072215691,0,0,12,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Egbado North,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Imeko-Afon,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Iwajowa,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Atigbo,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Baruten,Oke-Ero,0.109211148,0,0,1,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Borgu,Oke-Ero,0.109211148,0,0,10,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Bagudo,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Dandi,Birnin Kebbi,0.159709946,0,0,1,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Arewa-Dandi,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Gudu,Gawabawa,0.073810029,NA,NA,NA,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Tangaza,Gawabawa,0.057720348,-0.012602065,0.128042762,13,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Gada,Gawabawa,0.073810029,1,1,1,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Sabon Birni,Gawabawa,0.073810029,NA,NA,NA,0.073810029,0.013935005,0.133685052,64,1095,730,2013
kaita,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Jibia,Rimi,0.5,0.5,0.5,2,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Mashi,Rimi,0.073611031,0,0,4,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Mai'Adua,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Zango,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Baure,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Sule-Tankarkar,Babura,0.140640953,0.022218649,0.259063257,22,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Maigatari,Babura,0.051908626,-0.026558323,0.130375574,8,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Ussa,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Machina,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Yusufari,Taura,0.13675998,0.112542395,0.160977566,40,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Shomolu,Isoko South,0.25,0.25,0.25,6,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Yunusari,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Monguno,Babura,0.045372476,0,0,5,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Mobbar,Babura,0.045372476,0,0,2,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
