,.id,LGA,repDS,State,GPZ,U5_coverage,adult_coverage,se,,year,simday,duration,severe_cases
35,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Essien Udim,Ngor-Okpala,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
36,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Etim Ekpo,Ngor-Okpala,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
37,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Etinan,Nsit Ubium,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
38,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Ibesikpo Asutan,Nsit Ubium,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
39,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Ibiono Ibom,Ngor-Okpala,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
40,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Ika,Ngor-Okpala,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
41,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Ikono,Ngor-Okpala,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
42,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Ikot Abasi,Nsit Ubium,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
43,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Ikot Ekpene,Ngor-Okpala,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
44,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Ini,Ngor-Okpala,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
45,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Mkpat Enin,Nsit Ubium,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
