,LGA,repDS,State,year,comboACT,U5_coverage,adult_coverage,simday,duration,severe_cases
99,Nembe,Ahoada West,Bayelsa,2010,0.148861683,0.148861683,0.148861683,0,1095,0.49
100,Ogbia,Ahoada West,Bayelsa,2010,0.190837015,0.190837015,0.190837015,0,1095,0.49
101,Sagbama,Ahoada West,Bayelsa,2010,0.199435819,0.199435819,0.199435819,0,1095,0.49
102,Yenegoa,Isoko South,Bayelsa,2010,0.087014554,0.087014554,0.087014554,0,1095,0.49
103,Ado,Akinyele,Benue,2010,0.090193615,0.090193615,0.090193615,0,1095,0.49
104,Agatu,Keana,Benue,2010,0.111531059,0.111531059,0.111531059,0,1095,0.49
105,Apa,Keana,Benue,2010,0.107906801,0.107906801,0.107906801,0,1095,0.49
106,Buruku,Keana,Benue,2010,0.104754,0.104754,0.104754,0,1095,0.49
107,Gboko,Keana,Benue,2010,0.09937147,0.09937147,0.09937147,0,1095,0.49
108,Guma,Keana,Benue,2010,0.123967936,0.123967936,0.123967936,0,1095,0.49
109,Gwer East,Oke-Ero,Benue,2010,0.127620532,0.127620532,0.127620532,0,1095,0.49
110,Gwer West,Keana,Benue,2010,0.10230164,0.10230164,0.10230164,0,1095,0.49
111,Katsina-Ala,Keana,Benue,2010,0.11554429,0.11554429,0.11554429,0,1095,0.49
112,Konshisha,Oke-Ero,Benue,2010,0.112093389,0.112093389,0.112093389,0,1095,0.49
113,Logo,Keana,Benue,2010,0.106506188,0.106506188,0.106506188,0,1095,0.49
114,Makurdi,Keana,Benue,2010,0.060868274,0.060868274,0.060868274,0,1095,0.49
115,Obi1,Keana,Benue,2010,0.104404606,0.104404606,0.104404606,0,1095,0.49
116,Ogbadibo,Owan East,Benue,2010,0.15368052,0.15368052,0.15368052,0,1095,0.49
117,Ohimini,Akinyele,Benue,2010,0.113008667,0.113008667,0.113008667,0,1095,0.49
118,Oju,Oke-Ero,Benue,2010,0.094540194,0.094540194,0.094540194,0,1095,0.49
119,Okpokwu,Akinyele,Benue,2010,0.123399025,0.123399025,0.123399025,0,1095,0.49
120,Oturkpo,Owan East,Benue,2010,0.109013448,0.109013448,0.109013448,0,1095,0.49
121,Tarka,Keana,Benue,2010,0.113301658,0.113301658,0.113301658,0,1095,0.49
122,Ushongo,Oke-Ero,Benue,2010,0.105969074,0.105969074,0.105969074,0,1095,0.49
123,Vandeikya,Oke-Ero,Benue,2010,0.090494287,0.090494287,0.090494287,0,1095,0.49
