LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,scenario
Bebeji,Gwarzo,0.172172547,0.172172547,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bekwara,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bende,Ngor-Okpala,0.175925804,0.175925804,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Biase,Ngor-Okpala,0.588028311,0.588028311,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bichi,Gwarzo,0.172172547,0.172172547,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bida,Oke-Ero,0.5,0.5,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Billiri,Alkaleri,0.333333333,0.333333333,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bindawa,Rimi,0.1,0.1,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Binji,Gawabawa,0.25,0.25,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Biriniwa,Taura,0.166666667,0.166666667,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Birni Kudu,Takali,0.223983083,0.223983083,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Birnin Kebbi,Birnin Kebbi,0.572939706,0.572939706,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Birnin Magaji,Rimi,0.209995572,0.209995572,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Birnin-Gwari,Giwa,0.130508332,0.130508332,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Biu,Darazo,0.5,0.5,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bodinga,Gawabawa,0.106631444,0.106631444,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bogoro,Alkaleri,0.234127553,0.234127553,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Boki,Obubra,0.25,0.25,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bokkos,Giwa,0.130508332,0.130508332,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Boluwaduro,Akinyele,0.154926235,0.154926235,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bomadi,Isoko South,0.12159624,0.12159624,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bonny,Nsit Ubium,0.596547236,0.596547236,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Borgu,Oke-Ero,0.285714286,0.285714286,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Boripe,Akinyele,0.333333333,0.333333333,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bosso,Keana,0.216058677,0.216058677,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Brass,Ahoada West,0.514466613,0.514466613,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Buji,Takali,0.178754999,0.178754999,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bukkuyum,Alkaleri,0.234127553,0.234127553,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bungudu,Takali,0.297222393,0.297222393,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bunkure,Gwarzo,0.172172547,0.172172547,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bunza,Birnin Kebbi,0.42225568,0.42225568,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bursari,Taura,0.125,0.125,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Buruku,Keana,0.200000038,0.200000038,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Burutu,Isoko South,0.12159624,0.12159624,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bwari,Giwa,0.154268943,0.154268943,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Calabar South,Nsit Ubium,0.297727761,0.297727761,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Calabar-Municipal,Nsit Ubium,0.299739676,0.299739676,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Chanchaga,Keana,0.388965514,0.388965514,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Charanchi,Rimi,0.105263158,0.105263158,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Chibok,Darazo,0.114371076,0.114371076,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Chikun,Soba,0.02049469,0.02049469,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dala,Alkaleri,0.850046207,0.850046207,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Damaturu,Darazo,0.114371076,0.114371076,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Damban,Darazo,0.333333333,0.333333333,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dambatta,Babura,0.333333333,0.333333333,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Damboa,Darazo,0.114371076,0.114371076,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dan Musa,Rimi,0.209995572,0.209995572,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
