,LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round,beta_model_params,scale_values,scenario 
55,Asari-Toru,Ahoada West,0.63085074,0.63085074,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
56,Brass,Ahoada West,0.531553343,0.531553343,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
57,Brass,Ahoada West,0.548640072,0.548640072,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
58,Brass,Ahoada West,0.565726802,0.565726802,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
59,Brass,Ahoada West,0.582813532,0.582813532,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
60,Brass,Ahoada West,0.599900261,0.599900261,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
61,Brass,Ahoada West,0.616986991,0.616986991,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
62,Brass,Ahoada West,0.634073721,0.634073721,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
63,Brass,Ahoada West,0.651160451,0.651160451,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
64,Brass,Ahoada West,0.66824718,0.66824718,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
65,Brass,Ahoada West,0.68533391,0.68533391,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
66,Brass,Ahoada West,0.70242064,0.70242064,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
67,Degema,Ahoada West,0.26708673,0.26708673,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
68,Degema,Ahoada West,0.284173459,0.284173459,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
69,Degema,Ahoada West,0.301260189,0.301260189,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
70,Degema,Ahoada West,0.318346919,0.318346919,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
71,Degema,Ahoada West,0.335433648,0.335433648,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
72,Degema,Ahoada West,0.352520378,0.352520378,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
73,Degema,Ahoada West,0.369607108,0.369607108,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
74,Degema,Ahoada West,0.386693838,0.386693838,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
75,Degema,Ahoada West,0.403780567,0.403780567,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
76,Degema,Ahoada West,0.420867297,0.420867297,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
77,Degema,Ahoada West,0.437954027,0.437954027,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
78,Ekeremor,Ahoada West,0.223015154,0.223015154,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
79,Ekeremor,Ahoada West,0.240101883,0.240101883,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
80,Ekeremor,Ahoada West,0.257188613,0.257188613,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
81,Ekeremor,Ahoada West,0.274275343,0.274275343,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
82,Ekeremor,Ahoada West,0.291362072,0.291362072,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
83,Ekeremor,Ahoada West,0.308448802,0.308448802,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
84,Ekeremor,Ahoada West,0.325535532,0.325535532,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
85,Ekeremor,Ahoada West,0.342622262,0.342622262,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
86,Ekeremor,Ahoada West,0.359708991,0.359708991,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
87,Ekeremor,Ahoada West,0.376795721,0.376795721,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
88,Ekeremor,Ahoada West,0.393882451,0.393882451,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
89,Eleme,Ahoada West,0.168780243,0.168780243,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
90,Eleme,Ahoada West,0.185866972,0.185866972,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
91,Eleme,Ahoada West,0.202953702,0.202953702,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
92,Eleme,Ahoada West,0.220040432,0.220040432,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
93,Eleme,Ahoada West,0.237127161,0.237127161,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
