"","LGA","Rep_DS","State","U5_coverage","adult_coverage","simday","duration","year","round","severe_cases","scale_m","scale_values"
"95","Abi","Obubra",NA,0.628274887343869,0.628274887343869,2261,365,2026,7,0.8,8,0.483113594343869
"96","Abi","Obubra",NA,0.688664086636853,0.688664086636853,2626,365,2027,8,0.8,9,0.543502793636853
"97","Abi","Obubra",NA,0.749053285929836,0.749053285929836,2991,365,2028,9,0.8,10,0.603891992929836
"98","Abi","Obubra",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.66428119222282
"99","Abi","Obubra",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.724670391515803
"100","Aboh-Mbaise","Ngor-Okpala",NA,0.481242401786297,0.481242401786297,71,365,2020,1,0.596242401786297,2,0.106242401786297
"101","Aboh-Mbaise","Ngor-Okpala",NA,0.534363602679445,0.534363602679445,436,365,2021,2,0.649363602679445,3,0.159363602679445
"102","Aboh-Mbaise","Ngor-Okpala",NA,0.587484803572593,0.587484803572593,801,365,2022,3,0.702484803572593,4,0.212484803572593
"103","Aboh-Mbaise","Ngor-Okpala",NA,0.640606004465742,0.640606004465742,1166,365,2023,4,0.755606004465742,5,0.265606004465742
"104","Aboh-Mbaise","Ngor-Okpala",NA,0.69372720535889,0.69372720535889,1531,365,2024,5,0.8,6,0.31872720535889
"105","Aboh-Mbaise","Ngor-Okpala",NA,0.746848406252038,0.746848406252038,1896,365,2025,6,0.8,7,0.371848406252038
"106","Aboh-Mbaise","Ngor-Okpala",NA,0.799969607145187,0.799969607145187,2261,365,2026,7,0.8,8,0.424969607145187
"107","Aboh-Mbaise","Ngor-Okpala",NA,0.8,0.8,2626,365,2027,8,0.8,9,0.478090808038335
"108","Aboh-Mbaise","Ngor-Okpala",NA,0.8,0.8,2991,365,2028,9,0.8,10,0.531212008931483
"109","Aboh-Mbaise","Ngor-Okpala",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.584333209824632
"110","Aboh-Mbaise","Ngor-Okpala",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.63745441071778
"111","Abua-Odual","Ahoada West",NA,0.141534089176315,0.141534089176315,71,365,2020,1,0.527028172176315,2,0.0370281721763151
