"","adm1","LGA","smc_plan1","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday"
"8860","Kano","Ajingi","SMC","Taura","july",2030,4,-1,1,0.6,5,3926
"221","Kano","Albasu","SMC","Takali","september",2020,1,-1,1,0.6,5,250
"222","Kano","Albasu","SMC","Takali","september",2020,2,-1,1,0.6,5,280
"223","Kano","Albasu","SMC","Takali","september",2020,3,-1,1,0.6,5,310
"224","Kano","Albasu","SMC","Takali","september",2020,4,-1,1,0.6,5,340
"1085","Kano","Albasu","SMC","Takali","september",2021,1,-1,1,0.6,5,615
"1086","Kano","Albasu","SMC","Takali","september",2021,2,-1,1,0.6,5,645
"1087","Kano","Albasu","SMC","Takali","september",2021,3,-1,1,0.6,5,675
"1088","Kano","Albasu","SMC","Takali","september",2021,4,-1,1,0.6,5,705
"1949","Kano","Albasu","SMC","Takali","september",2022,1,-1,1,0.6,5,980
"1950","Kano","Albasu","SMC","Takali","september",2022,2,-1,1,0.6,5,1010
"1951","Kano","Albasu","SMC","Takali","september",2022,3,-1,1,0.6,5,1040
"1952","Kano","Albasu","SMC","Takali","september",2022,4,-1,1,0.6,5,1070
"2813","Kano","Albasu","SMC","Takali","september",2023,1,-1,1,0.6,5,1345
"2814","Kano","Albasu","SMC","Takali","september",2023,2,-1,1,0.6,5,1375
"2815","Kano","Albasu","SMC","Takali","september",2023,3,-1,1,0.6,5,1405
"2816","Kano","Albasu","SMC","Takali","september",2023,4,-1,1,0.6,5,1435
"3677","Kano","Albasu","SMC","Takali","september",2024,1,-1,1,0.6,5,1710
"3678","Kano","Albasu","SMC","Takali","september",2024,2,-1,1,0.6,5,1740
"3679","Kano","Albasu","SMC","Takali","september",2024,3,-1,1,0.6,5,1770
"3680","Kano","Albasu","SMC","Takali","september",2024,4,-1,1,0.6,5,1800
"4541","Kano","Albasu","SMC","Takali","september",2025,1,-1,1,0.6,5,2075
"4542","Kano","Albasu","SMC","Takali","september",2025,2,-1,1,0.6,5,2105
"4543","Kano","Albasu","SMC","Takali","september",2025,3,-1,1,0.6,5,2135
"4544","Kano","Albasu","SMC","Takali","september",2025,4,-1,1,0.6,5,2165
"5405","Kano","Albasu","SMC","Takali","september",2026,1,-1,1,0.6,5,2440
"5406","Kano","Albasu","SMC","Takali","september",2026,2,-1,1,0.6,5,2470
"5407","Kano","Albasu","SMC","Takali","september",2026,3,-1,1,0.6,5,2500
"5408","Kano","Albasu","SMC","Takali","september",2026,4,-1,1,0.6,5,2530
"6269","Kano","Albasu","SMC","Takali","september",2027,1,-1,1,0.6,5,2805
"6270","Kano","Albasu","SMC","Takali","september",2027,2,-1,1,0.6,5,2835
"6271","Kano","Albasu","SMC","Takali","september",2027,3,-1,1,0.6,5,2865
"6272","Kano","Albasu","SMC","Takali","september",2027,4,-1,1,0.6,5,2895
"7133","Kano","Albasu","SMC","Takali","september",2028,1,-1,1,0.6,5,3170
"7134","Kano","Albasu","SMC","Takali","september",2028,2,-1,1,0.6,5,3200
"7135","Kano","Albasu","SMC","Takali","september",2028,3,-1,1,0.6,5,3230
"7136","Kano","Albasu","SMC","Takali","september",2028,4,-1,1,0.6,5,3260
"7997","Kano","Albasu","SMC","Takali","september",2029,1,-1,1,0.6,5,3535
"7998","Kano","Albasu","SMC","Takali","september",2029,2,-1,1,0.6,5,3565
"7999","Kano","Albasu","SMC","Takali","september",2029,3,-1,1,0.6,5,3595
"8000","Kano","Albasu","SMC","Takali","september",2029,4,-1,1,0.6,5,3625
"8861","Kano","Albasu","SMC","Takali","september",2030,1,-1,1,0.6,5,3900
"8862","Kano","Albasu","SMC","Takali","september",2030,2,-1,1,0.6,5,3930
"8863","Kano","Albasu","SMC","Takali","september",2030,3,-1,1,0.6,5,3960
"8864","Kano","Albasu","SMC","Takali","september",2030,4,-1,1,0.6,5,3990
"529","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2020,1,-1,1,0.6,5,223
"530","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2020,2,-1,1,0.6,5,253
"531","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2020,3,-1,1,0.6,5,283
"532","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2020,4,-1,1,0.6,5,313
"1393","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2021,1,-1,1,0.6,5,588
"1394","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2021,2,-1,1,0.6,5,618
"1395","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2021,3,-1,1,0.6,5,648
"1396","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2021,4,-1,1,0.6,5,678
"2257","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2022,1,-1,1,0.6,5,953
"2258","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2022,2,-1,1,0.6,5,983
"2259","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2022,3,-1,1,0.6,5,1013
"2260","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2022,4,-1,1,0.6,5,1043
"3121","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2023,1,-1,1,0.6,5,1318
"3122","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2023,2,-1,1,0.6,5,1348
"3123","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2023,3,-1,1,0.6,5,1378
"3124","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2023,4,-1,1,0.6,5,1408
"3985","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2024,1,-1,1,0.6,5,1683
"3986","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2024,2,-1,1,0.6,5,1713
"3987","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2024,3,-1,1,0.6,5,1743
"3988","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2024,4,-1,1,0.6,5,1773
"4849","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2025,1,-1,1,0.6,5,2048
"4850","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2025,2,-1,1,0.6,5,2078
"4851","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2025,3,-1,1,0.6,5,2108
"4852","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2025,4,-1,1,0.6,5,2138
"5713","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2026,1,-1,1,0.6,5,2413
"5714","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2026,2,-1,1,0.6,5,2443
"5715","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2026,3,-1,1,0.6,5,2473
"5716","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2026,4,-1,1,0.6,5,2503
"6577","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2027,1,-1,1,0.6,5,2778
"6578","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2027,2,-1,1,0.6,5,2808
"6579","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2027,3,-1,1,0.6,5,2838
"6580","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2027,4,-1,1,0.6,5,2868
"7441","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2028,1,-1,1,0.6,5,3143
"7442","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2028,2,-1,1,0.6,5,3173
"7443","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2028,3,-1,1,0.6,5,3203
"7444","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2028,4,-1,1,0.6,5,3233
"8305","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2029,1,-1,1,0.6,5,3508
"8306","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2029,2,-1,1,0.6,5,3538
"8307","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2029,3,-1,1,0.6,5,3568
"8308","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2029,4,-1,1,0.6,5,3598
"9169","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2030,1,-1,1,0.6,5,3873
"9170","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2030,2,-1,1,0.6,5,3903
"9171","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2030,3,-1,1,0.6,5,3933
"9172","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2030,4,-1,1,0.6,5,3963
"809","Zamfara","Anka","SMC","Darazo","july",2020,1,-1,1,0.854974705,5,186
"810","Zamfara","Anka","SMC","Darazo","july",2020,2,-1,1,0.927487352,5,214
"811","Zamfara","Anka","SMC","Darazo","july",2020,3,-1,1,0.937605396,5,242
"812","Zamfara","Anka","SMC","Darazo","july",2020,4,-1,1,0.6,5,270
"1673","Zamfara","Anka","SMC","Darazo","july",2021,1,-1,1,0.854974705,5,551
"1674","Zamfara","Anka","SMC","Darazo","july",2021,2,-1,1,0.927487352,5,579
"1675","Zamfara","Anka","SMC","Darazo","july",2021,3,-1,1,0.937605396,5,607
"1676","Zamfara","Anka","SMC","Darazo","july",2021,4,-1,1,0.6,5,635
"2537","Zamfara","Anka","SMC","Darazo","july",2022,1,-1,1,0.854974705,5,916
"2538","Zamfara","Anka","SMC","Darazo","july",2022,2,-1,1,0.927487352,5,944
"2539","Zamfara","Anka","SMC","Darazo","july",2022,3,-1,1,0.937605396,5,972
"2540","Zamfara","Anka","SMC","Darazo","july",2022,4,-1,1,0.6,5,1000
"3401","Zamfara","Anka","SMC","Darazo","july",2023,1,-1,1,0.854974705,5,1281
"3402","Zamfara","Anka","SMC","Darazo","july",2023,2,-1,1,0.927487352,5,1309
"3403","Zamfara","Anka","SMC","Darazo","july",2023,3,-1,1,0.937605396,5,1337
"3404","Zamfara","Anka","SMC","Darazo","july",2023,4,-1,1,0.6,5,1365
"4265","Zamfara","Anka","SMC","Darazo","july",2024,1,-1,1,0.854974705,5,1646
"4266","Zamfara","Anka","SMC","Darazo","july",2024,2,-1,1,0.927487352,5,1674
"4267","Zamfara","Anka","SMC","Darazo","july",2024,3,-1,1,0.937605396,5,1702
"4268","Zamfara","Anka","SMC","Darazo","july",2024,4,-1,1,0.6,5,1730
"5129","Zamfara","Anka","SMC","Darazo","july",2025,1,-1,1,0.854974705,5,2011
"5130","Zamfara","Anka","SMC","Darazo","july",2025,2,-1,1,0.927487352,5,2039
"5131","Zamfara","Anka","SMC","Darazo","july",2025,3,-1,1,0.937605396,5,2067
"5132","Zamfara","Anka","SMC","Darazo","july",2025,4,-1,1,0.6,5,2095
"5993","Zamfara","Anka","SMC","Darazo","july",2026,1,-1,1,0.854974705,5,2376
"5994","Zamfara","Anka","SMC","Darazo","july",2026,2,-1,1,0.927487352,5,2404
"5995","Zamfara","Anka","SMC","Darazo","july",2026,3,-1,1,0.937605396,5,2432
"5996","Zamfara","Anka","SMC","Darazo","july",2026,4,-1,1,0.6,5,2460
"6857","Zamfara","Anka","SMC","Darazo","july",2027,1,-1,1,0.854974705,5,2741
"6858","Zamfara","Anka","SMC","Darazo","july",2027,2,-1,1,0.927487352,5,2769
"6859","Zamfara","Anka","SMC","Darazo","july",2027,3,-1,1,0.937605396,5,2797
"6860","Zamfara","Anka","SMC","Darazo","july",2027,4,-1,1,0.6,5,2825
"7721","Zamfara","Anka","SMC","Darazo","july",2028,1,-1,1,0.854974705,5,3106
"7722","Zamfara","Anka","SMC","Darazo","july",2028,2,-1,1,0.927487352,5,3134
"7723","Zamfara","Anka","SMC","Darazo","july",2028,3,-1,1,0.937605396,5,3162
"7724","Zamfara","Anka","SMC","Darazo","july",2028,4,-1,1,0.6,5,3190
"8585","Zamfara","Anka","SMC","Darazo","july",2029,1,-1,1,0.854974705,5,3471
"8586","Zamfara","Anka","SMC","Darazo","july",2029,2,-1,1,0.927487352,5,3499
"8587","Zamfara","Anka","SMC","Darazo","july",2029,3,-1,1,0.937605396,5,3527
"8588","Zamfara","Anka","SMC","Darazo","july",2029,4,-1,1,0.6,5,3555
"9449","Zamfara","Anka","SMC","Darazo","july",2030,1,-1,1,0.854974705,5,3836
"9450","Zamfara","Anka","SMC","Darazo","july",2030,2,-1,1,0.927487352,5,3864
"9451","Zamfara","Anka","SMC","Darazo","july",2030,3,-1,1,0.937605396,5,3892
"9452","Zamfara","Anka","SMC","Darazo","july",2030,4,-1,1,0.6,5,3920
"705","Taraba","Ardo-Kola","SMC","Keana","august",2020,1,-1,1,0.6,5,223
"706","Taraba","Ardo-Kola","SMC","Keana","august",2020,2,-1,1,0.6,5,253
"707","Taraba","Ardo-Kola","SMC","Keana","august",2020,3,-1,1,0.6,5,283
"708","Taraba","Ardo-Kola","SMC","Keana","august",2020,4,-1,1,0.6,5,313
"1569","Taraba","Ardo-Kola","SMC","Keana","august",2021,1,-1,1,0.6,5,588
"1570","Taraba","Ardo-Kola","SMC","Keana","august",2021,2,-1,1,0.6,5,618
"1571","Taraba","Ardo-Kola","SMC","Keana","august",2021,3,-1,1,0.6,5,648
"1572","Taraba","Ardo-Kola","SMC","Keana","august",2021,4,-1,1,0.6,5,678
"2433","Taraba","Ardo-Kola","SMC","Keana","august",2022,1,-1,1,0.6,5,953
"2434","Taraba","Ardo-Kola","SMC","Keana","august",2022,2,-1,1,0.6,5,983
"2435","Taraba","Ardo-Kola","SMC","Keana","august",2022,3,-1,1,0.6,5,1013
"2436","Taraba","Ardo-Kola","SMC","Keana","august",2022,4,-1,1,0.6,5,1043
"3297","Taraba","Ardo-Kola","SMC","Keana","august",2023,1,-1,1,0.6,5,1318
"3298","Taraba","Ardo-Kola","SMC","Keana","august",2023,2,-1,1,0.6,5,1348
"3299","Taraba","Ardo-Kola","SMC","Keana","august",2023,3,-1,1,0.6,5,1378
"3300","Taraba","Ardo-Kola","SMC","Keana","august",2023,4,-1,1,0.6,5,1408
"4161","Taraba","Ardo-Kola","SMC","Keana","august",2024,1,-1,1,0.6,5,1683
"4162","Taraba","Ardo-Kola","SMC","Keana","august",2024,2,-1,1,0.6,5,1713
"4163","Taraba","Ardo-Kola","SMC","Keana","august",2024,3,-1,1,0.6,5,1743
"4164","Taraba","Ardo-Kola","SMC","Keana","august",2024,4,-1,1,0.6,5,1773
"5025","Taraba","Ardo-Kola","SMC","Keana","august",2025,1,-1,1,0.6,5,2048
"5026","Taraba","Ardo-Kola","SMC","Keana","august",2025,2,-1,1,0.6,5,2078
"5027","Taraba","Ardo-Kola","SMC","Keana","august",2025,3,-1,1,0.6,5,2108
"5028","Taraba","Ardo-Kola","SMC","Keana","august",2025,4,-1,1,0.6,5,2138
"5889","Taraba","Ardo-Kola","SMC","Keana","august",2026,1,-1,1,0.6,5,2413
"5890","Taraba","Ardo-Kola","SMC","Keana","august",2026,2,-1,1,0.6,5,2443
"5891","Taraba","Ardo-Kola","SMC","Keana","august",2026,3,-1,1,0.6,5,2473
"5892","Taraba","Ardo-Kola","SMC","Keana","august",2026,4,-1,1,0.6,5,2503
"6753","Taraba","Ardo-Kola","SMC","Keana","august",2027,1,-1,1,0.6,5,2778
"6754","Taraba","Ardo-Kola","SMC","Keana","august",2027,2,-1,1,0.6,5,2808
"6755","Taraba","Ardo-Kola","SMC","Keana","august",2027,3,-1,1,0.6,5,2838
"6756","Taraba","Ardo-Kola","SMC","Keana","august",2027,4,-1,1,0.6,5,2868
"7617","Taraba","Ardo-Kola","SMC","Keana","august",2028,1,-1,1,0.6,5,3143
"7618","Taraba","Ardo-Kola","SMC","Keana","august",2028,2,-1,1,0.6,5,3173
"7619","Taraba","Ardo-Kola","SMC","Keana","august",2028,3,-1,1,0.6,5,3203
"7620","Taraba","Ardo-Kola","SMC","Keana","august",2028,4,-1,1,0.6,5,3233
"8481","Taraba","Ardo-Kola","SMC","Keana","august",2029,1,-1,1,0.6,5,3508
"8482","Taraba","Ardo-Kola","SMC","Keana","august",2029,2,-1,1,0.6,5,3538
"8483","Taraba","Ardo-Kola","SMC","Keana","august",2029,3,-1,1,0.6,5,3568
"8484","Taraba","Ardo-Kola","SMC","Keana","august",2029,4,-1,1,0.6,5,3598
"9345","Taraba","Ardo-Kola","SMC","Keana","august",2030,1,-1,1,0.6,5,3873
"9346","Taraba","Ardo-Kola","SMC","Keana","august",2030,2,-1,1,0.6,5,3903
"9347","Taraba","Ardo-Kola","SMC","Keana","august",2030,3,-1,1,0.6,5,3933
"9348","Taraba","Ardo-Kola","SMC","Keana","august",2030,4,-1,1,0.6,5,3963
"533","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2020,1,-1,1,0.6,5,223
"534","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2020,2,-1,1,0.6,5,253
"535","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2020,3,-1,1,0.6,5,283
"536","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2020,4,-1,1,0.6,5,313
"1397","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2021,1,-1,1,0.6,5,588
"1398","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2021,2,-1,1,0.6,5,618
"1399","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2021,3,-1,1,0.6,5,648
"1400","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2021,4,-1,1,0.6,5,678
"2261","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2022,1,-1,1,0.6,5,953
"2262","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2022,2,-1,1,0.6,5,983
"2263","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2022,3,-1,1,0.6,5,1013
"2264","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2022,4,-1,1,0.6,5,1043
"3125","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2023,1,-1,1,0.6,5,1318
"3126","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2023,2,-1,1,0.6,5,1348
"3127","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2023,3,-1,1,0.6,5,1378
"3128","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2023,4,-1,1,0.6,5,1408
"3989","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2024,1,-1,1,0.6,5,1683
"3990","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2024,2,-1,1,0.6,5,1713
"3991","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2024,3,-1,1,0.6,5,1743
"3992","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2024,4,-1,1,0.6,5,1773
"4853","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2025,1,-1,1,0.6,5,2048
"4854","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2025,2,-1,1,0.6,5,2078
"4855","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2025,3,-1,1,0.6,5,2108
"4856","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2025,4,-1,1,0.6,5,2138
"5717","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2026,1,-1,1,0.6,5,2413
"5718","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2026,2,-1,1,0.6,5,2443
"5719","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2026,3,-1,1,0.6,5,2473
"5720","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2026,4,-1,1,0.6,5,2503
"6581","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2027,1,-1,1,0.6,5,2778
"6582","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2027,2,-1,1,0.6,5,2808
"6583","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2027,3,-1,1,0.6,5,2838
"6584","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2027,4,-1,1,0.6,5,2868
"7445","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2028,1,-1,1,0.6,5,3143
"7446","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2028,2,-1,1,0.6,5,3173
"7447","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2028,3,-1,1,0.6,5,3203
"7448","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2028,4,-1,1,0.6,5,3233
"8309","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2029,1,-1,1,0.6,5,3508
"8310","Kebbi","Arewa-Dandi","SMC","Birnin Kebbi","august",2029,2,-1,1,0.6,5,3538
