"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"779","Jega","Birnin Kebbi",2021,"Jega",0.934417004,0.8,0.737410615,0.915591009,0.700200915,0.665830158,0.53,1,"august",588
"7791","Jega","Birnin Kebbi",2024,"Jega",0.934417004,0.8,0.737410615,0.915591009,0.700200915,0.665830158,0.53,2,"august",1683
"7792","Jega","Birnin Kebbi",2027,"Jega",0.934417004,0.8,0.737410615,0.915591009,0.700200915,0.665830158,0.53,3,"august",2778
"7793","Jega","Birnin Kebbi",2030,"Jega",0.934417004,0.8,0.737410615,0.915591009,0.700200915,0.665830158,0.53,4,"august",3873
"655","Jema'a","Soba",2022,"Jema'a",0.671794867,0.468834255,0.450138653,0.623622566,0.50980792,0.545625437,0.53,1,"july",916
"6551","Jema'a","Soba",2025,"Jema'a",0.671794867,0.468834255,0.450138653,0.623622566,0.50980792,0.545625437,0.53,2,"july",2011
"6552","Jema'a","Soba",2028,"Jema'a",0.671794867,0.468834255,0.450138653,0.623622566,0.50980792,0.545625437,0.53,3,"july",3106
"265","Jere","Gawabawa",2020,"Jere",0.711039422,0.594532061,0.408201451,0.582382438,0.753750697,0.691561556,0.53,1,"august",223
"2651","Jere","Gawabawa",2023,"Jere",0.711039422,0.594532061,0.408201451,0.582382438,0.753750697,0.691561556,0.53,2,"august",1318
"2652","Jere","Gawabawa",2026,"Jere",0.711039422,0.594532061,0.408201451,0.582382438,0.753750697,0.691561556,0.53,3,"august",2413
"2653","Jere","Gawabawa",2029,"Jere",0.711039422,0.594532061,0.408201451,0.582382438,0.753750697,0.691561556,0.53,4,"august",3508
"781","Jibia","Rimi",2021,"Jibia",0.854166667,0.826086957,0.8,0.8,0.628110182,0.625486443,0.53,1,"march",435
"7811","Jibia","Rimi",2024,"Jibia",0.854166667,0.826086957,0.8,0.8,0.628110182,0.625486443,0.53,2,"march",1530
"7812","Jibia","Rimi",2027,"Jibia",0.854166667,0.826086957,0.8,0.8,0.628110182,0.625486443,0.53,3,"march",2625
"7813","Jibia","Rimi",2030,"Jibia",0.854166667,0.826086957,0.8,0.8,0.628110182,0.625486443,0.53,4,"march",3720
"1207","Jos East","Soba",2020,"Jos East",0.790909091,0.477777778,0.422222222,0.628571429,0.522538958,0.554956846,0.53,1,"july",186
"12071","Jos East","Soba",2023,"Jos East",0.790909091,0.477777778,0.422222222,0.628571429,0.522538958,0.554956846,0.53,2,"july",1281
"12072","Jos East","Soba",2026,"Jos East",0.790909091,0.477777778,0.422222222,0.628571429,0.522538958,0.554956846,0.53,3,"july",2376
"12073","Jos East","Soba",2029,"Jos East",0.790909091,0.477777778,0.422222222,0.628571429,0.522538958,0.554956846,0.53,4,"july",3471
"1209","Jos North","Soba",2020,"Jos North",0.722537509,0.521151837,0.428652788,0.602190017,0.493441356,0.533403445,0.53,1,"july",186
"12091","Jos North","Soba",2023,"Jos North",0.722537509,0.521151837,0.428652788,0.602190017,0.493441356,0.533403445,0.53,2,"july",1281
"12092","Jos North","Soba",2026,"Jos North",0.722537509,0.521151837,0.428652788,0.602190017,0.493441356,0.533403445,0.53,3,"july",2376
"12093","Jos North","Soba",2029,"Jos North",0.722537509,0.521151837,0.428652788,0.602190017,0.493441356,0.533403445,0.53,4,"july",3471
"1211","Jos South","Soba",2020,"Jos South",0.723737199,0.457313895,0.443586588,0.523798926,0.463767002,0.510654246,0.53,1,"july",186
"12111","Jos South","Soba",2023,"Jos South",0.723737199,0.457313895,0.443586588,0.523798926,0.463767002,0.510654246,0.53,2,"july",1281
"12112","Jos South","Soba",2026,"Jos South",0.723737199,0.457313895,0.443586588,0.523798926,0.463767002,0.510654246,0.53,3,"july",2376
"12113","Jos South","Soba",2029,"Jos South",0.723737199,0.457313895,0.443586588,0.523798926,0.463767002,0.510654246,0.53,4,"july",3471
"881","Kabba-Bunu","Oke-Ero",2020,"Kabba/Bunu",0.735581734,0.561650218,0.634111405,0.7,0.319779497,0.393788165,0.53,1,"july",186
"8811","Kabba-Bunu","Oke-Ero",2023,"Kabba/Bunu",0.735581734,0.561650218,0.634111405,0.7,0.319779497,0.393788165,0.53,2,"july",1281
"8812","Kabba-Bunu","Oke-Ero",2026,"Kabba/Bunu",0.735581734,0.561650218,0.634111405,0.7,0.319779497,0.393788165,0.53,3,"july",2376
"8813","Kabba-Bunu","Oke-Ero",2029,"Kabba/Bunu",0.735581734,0.561650218,0.634111405,0.7,0.319779497,0.393788165,0.53,4,"july",3471
"719","Kabo","Gwarzo",2022,"Kabo",0.8,0.8,0.744107839,0.8,0.81249578,0.71581337,0.53,1,"august",953
"7191","Kabo","Gwarzo",2025,"Kabo",0.8,0.8,0.744107839,0.8,0.81249578,0.71581337,0.53,2,"august",2048
"7192","Kabo","Gwarzo",2028,"Kabo",0.8,0.8,0.744107839,0.8,0.81249578,0.71581337,0.53,3,"august",3143
"657","Kachia","Ngor-Okpala",2022,"Kachia",0.692198246,0.673976046,0.57721268,0.582450653,0.53616272,0.564762281,0.53,1,"june",892
"6571","Kachia","Ngor-Okpala",2025,"Kachia",0.692198246,0.673976046,0.57721268,0.582450653,0.53616272,0.564762281,0.53,2,"june",1987
"6572","Kachia","Ngor-Okpala",2028,"Kachia",0.692198246,0.673976046,0.57721268,0.582450653,0.53616272,0.564762281,0.53,3,"june",3082
"659","Kaduna North","Soba",2022,"Kaduna North",0.418632612,0.454940711,0.359292034,0.289167459,0.657446265,0.642698146,0.53,1,"july",916
"6591","Kaduna North","Soba",2025,"Kaduna North",0.418632612,0.454940711,0.359292034,0.289167459,0.657446265,0.642698146,0.53,2,"july",2011
"6592","Kaduna North","Soba",2028,"Kaduna North",0.418632612,0.454940711,0.359292034,0.289167459,0.657446265,0.642698146,0.53,3,"july",3106
"685","Kaduna South","Soba",2022,"Kaduna South",0.676059913,0.731677658,0.635082141,0.580913205,0.679569503,0.654957316,0.53,1,"july",916
"6851","Kaduna South","Soba",2025,"Kaduna South",0.676059913,0.731677658,0.635082141,0.580913205,0.679569503,0.654957316,0.53,2,"july",2011
"6852","Kaduna South","Soba",2028,"Kaduna South",0.676059913,0.731677658,0.635082141,0.580913205,0.679569503,0.654957316,0.53,3,"july",3106
"783","Kafin Hausa","Taura",2021,"Kafin Hausa",0.950194866,0.840231475,0.908210855,0.972138948,0.673182764,0.651482047,0.53,1,"july",551
"7831","Kafin Hausa","Taura",2024,"Kafin Hausa",0.950194866,0.840231475,0.908210855,0.972138948,0.673182764,0.651482047,0.53,2,"july",1646
"7832","Kafin Hausa","Taura",2027,"Kafin Hausa",0.950194866,0.840231475,0.908210855,0.972138948,0.673182764,0.651482047,0.53,3,"july",2741
"7833","Kafin Hausa","Taura",2030,"Kafin Hausa",0.950194866,0.840231475,0.908210855,0.972138948,0.673182764,0.651482047,0.53,4,"july",3836
"785","Kafur","Gwarzo",2021,"Kafur",0.8,0.8,0.8,0.8,0.742026184,0.686230808,0.53,1,"august",588
"7851","Kafur","Gwarzo",2024,"Kafur",0.8,0.8,0.8,0.8,0.742026184,0.686230808,0.53,2,"august",1683
"7852","Kafur","Gwarzo",2027,"Kafur",0.8,0.8,0.8,0.8,0.742026184,0.686230808,0.53,3,"august",2778
"7853","Kafur","Gwarzo",2030,"Kafur",0.8,0.8,0.8,0.8,0.742026184,0.686230808,0.53,4,"august",3873
"275","Kaga","Darazo",2020,"Kaga",0.588888889,0.518181818,0.433333333,0.585964912,0.674887541,0.65241475,0.53,1,"july",186
"2751","Kaga","Darazo",2023,"Kaga",0.588888889,0.518181818,0.433333333,0.585964912,0.674887541,0.65241475,0.53,2,"july",1281
"2752","Kaga","Darazo",2026,"Kaga",0.588888889,0.518181818,0.433333333,0.585964912,0.674887541,0.65241475,0.53,3,"july",2376
"2753","Kaga","Darazo",2029,"Kaga",0.588888889,0.518181818,0.433333333,0.585964912,0.674887541,0.65241475,0.53,4,"july",3471
"663","Kagarko","Oke-Ero",2022,"Kagarko",0.869565217,0.533333333,0.552941176,0.7,0.616828924,0.618580297,0.53,1,"july",916
"6631","Kagarko","Oke-Ero",2025,"Kagarko",0.869565217,0.533333333,0.552941176,0.7,0.616828924,0.618580297,0.53,2,"july",2011
"6632","Kagarko","Oke-Ero",2028,"Kagarko",0.869565217,0.533333333,0.552941176,0.7,0.616828924,0.618580297,0.53,3,"july",3106
"915","Kaiama","Oke-Ero",2020,"Kaiama",0.8,0.79375,0.547826087,0.8,0.409404988,0.467392893,0.53,1,"july",186
"9151","Kaiama","Oke-Ero",2023,"Kaiama",0.8,0.79375,0.547826087,0.8,0.409404988,0.467392893,0.53,2,"july",1281
"9152","Kaiama","Oke-Ero",2026,"Kaiama",0.8,0.79375,0.547826087,0.8,0.409404988,0.467392893,0.53,3,"july",2376
"9153","Kaiama","Oke-Ero",2029,"Kaiama",0.8,0.79375,0.547826087,0.8,0.409404988,0.467392893,0.53,4,"july",3471
"787","Kaita","Rimi",2021,"kaita",0.882352941,0.718518519,0.729411765,0.8,0.68725966,0.659073113,0.53,1,"march",435
"7871","Kaita","Rimi",2024,"kaita",0.882352941,0.718518519,0.729411765,0.8,0.68725966,0.659073113,0.53,2,"march",1530
"7872","Kaita","Rimi",2027,"kaita",0.882352941,0.718518519,0.729411765,0.8,0.68725966,0.659073113,0.53,3,"march",2625
"7873","Kaita","Rimi",2030,"kaita",0.882352941,0.718518519,0.729411765,0.8,0.68725966,0.659073113,0.53,4,"march",3720
"923","Kajola","Akinyele",2020,"Kajola",0.596945104,0.3752945,0.456845889,0.599760373,0.406200649,0.464793778,0.53,1,"may",131
"9231","Kajola","Akinyele",2023,"Kajola",0.596945104,0.3752945,0.456845889,0.599760373,0.406200649,0.464793778,0.53,2,"may",1226
"9232","Kajola","Akinyele",2026,"Kajola",0.596945104,0.3752945,0.456845889,0.599760373,0.406200649,0.464793778,0.53,3,"may",2321
"9233","Kajola","Akinyele",2029,"Kajola",0.596945104,0.3752945,0.456845889,0.599760373,0.406200649,0.464793778,0.53,4,"may",3416
"639","Kajuru","Soba",2022,"Kajuru",0.928571429,0.8,0.68,0.8,0.492999945,0.533070449,0.53,1,"july",916
