LGA,CM_rate_under5_uncomplicated_baseline,CM_rate_over5_uncomplicated_baseline,CM_rate_severe_malaria_baseline,CM_rate_under5_uncomplicated_2020,CM_rate_over5_uncomplicated_2020,CM_rate_severe_malaria_2020,CM_rate_under5_uncomplicated_2021,CM_rate_over5_uncomplicated_2021,CM_rate_severe_malaria_2021,CM_rate_under5_uncomplicated_2022,CM_rate_over5_uncomplicated_2022,CM_rate_severe_malaria_2022,CM_rate_under5_uncomplicated_2023,CM_rate_over5_uncomplicated_2023,CM_rate_severe_malaria_2023,CM_rate_under5_uncomplicated_2024,CM_rate_over5_uncomplicated_2024,CM_rate_severe_malaria_2024,CM_rate_under5_uncomplicated_2025,CM_rate_over5_uncomplicated_2025,CM_rate_severe_malaria_2025,CM_rate_under5_uncomplicated_2026,CM_rate_over5_uncomplicated_2026,CM_rate_severe_malaria_2026,CM_rate_under5_uncomplicated_2027,CM_rate_over5_uncomplicated_2027,CM_rate_severe_malaria_2027,CM_rate_under5_uncomplicated_2028,CM_rate_over5_uncomplicated_2028,CM_rate_severe_malaria_2028,CM_rate_under5_uncomplicated_2029,CM_rate_over5_uncomplicated_2029,CM_rate_severe_malaria_2029,CM_rate_under5_uncomplicated_2030,CM_rate_over5_uncomplicated_2030,CM_rate_severe_malaria_2030,ITN_under5_baseline,ITN_6to9_baseline,ITN_10to18_baseline,ITN_over18_baseline,ITN_under5_2020,ITN_6to9_2020,ITN_10to18_2020,ITN_over18_2020,ITN_under5_2021,ITN_6to9_2021,ITN_10to18_2021,ITN_over18_2021,ITN_under5_2022,ITN_6to9_2022,ITN_10to18_2022,ITN_over18_2022,ITN_under5_2023,ITN_6to9_2023,ITN_10to18_2023,ITN_over18_2023,ITN_under5_2024,ITN_6to9_2024,ITN_10to18_2024,ITN_over18_2024,ITN_under5_2025,ITN_6to9_2025,ITN_10to18_2025,ITN_over18_2025,ITN_under5_2026,ITN_6to9_2026,ITN_10to18_2026,ITN_over18_2026,ITN_under5_2027,ITN_6to9_2027,ITN_10to18_2027,ITN_over18_2027,ITN_under5_2028,ITN_6to9_2028,ITN_10to18_2028,ITN_over18_2028,ITN_under5_2029,ITN_6to9_2029,ITN_10to18_2029,ITN_over18_2029,ITN_under5_2030,ITN_6to9_2030,ITN_10to18_2030,ITN_over18_2030,SMC_coverage_baseline,SMC_coverage_2020,SMC_coverage_2021,SMC_coverage_2022,SMC_coverage_2023,SMC_coverage_2024,SMC_coverage_2025,SMC_coverage_2026,SMC_coverage_2027,SMC_coverage_2028,SMC_coverage_2029,SMC_coverage_2030
Agatu,0.177187213,0.177187213,0.49,0.381395476,0.381395476,0.539,0.582042276,0.582042276,0.637,0.5967842520000001,0.5967842520000001,0.735,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.833333333,0.655172414,0.705882353,0.8,0.833333333,0.8,0.8,,,,,,,,,0.8,0.833333333,0.8,0.8,,,,,,,,,0.8,0.833333333,0.8,0.8,,,,,,,,,0.8,0.833333333,0.8,0.8,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Agege,0.420192485,0.420192485,0.49,0.441202109,0.441202109,0.539,0.449605959,0.449605959,0.637,0.458009809,0.458009809,0.735,0.47061558299999995,0.47061558299999995,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.236100835,0.25768668100000003,0.050976405,0.178004623,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Aguata,0.435107986,0.435107986,0.49,0.456863385,0.456863385,0.539,0.465565545,0.465565545,0.637,0.474267705,0.474267705,0.735,0.487320944,0.487320944,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.255850471,0.38703447399999996,0.239642794,0.23766618899999997,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Agwara,0.42225568,0.42225568,0.49,0.44336846399999996,0.44336846399999996,0.539,0.451813578,0.451813578,0.637,0.460258691,0.460258691,0.735,0.47292636200000004,0.47292636200000004,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.789226475,0.614967322,0.534978419,0.78771905,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ahiazu-Mbaise,0.283373403,0.283373403,0.49,0.297542073,0.297542073,0.539,0.303209541,0.303209541,0.637,0.308877009,0.308877009,0.735,0.317378211,0.317378211,0.8,0.566746806,0.566746806,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.090909091,0.428571429,0.076923077,0.214285714,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Ahoada East,0.300663225,0.300663225,0.49,0.315696386,0.315696386,0.539,0.32170965100000004,0.32170965100000004,0.637,0.327722915,0.327722915,0.735,0.336742812,0.336742812,0.8,0.60132645,0.60132645,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.117816091,0.263960478,0.045255473,0.06818774400000001,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Ahoada West,0.333333333,0.333333333,0.49,0.35,0.35,0.539,0.356666666,0.356666666,0.637,0.363333333,0.363333333,0.735,0.373333333,0.373333333,0.8,0.666666666,0.666666666,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.111111111,0.263960478,0.229098821,0.2,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Aiyedade,0.154926235,0.154926235,0.49,0.325345094,0.325345094,0.539,0.8,0.8,0.637,0.8,0.8,0.735,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.384615385,0.375,0.41666666700000005,0.27777777800000003,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Aiyedire,0.154926235,0.154926235,0.49,0.325345094,0.325345094,0.539,0.8,0.8,0.637,0.8,0.8,0.735,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.43481825,0.39203099700000005,0.310573478,0.377487976,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Ajaokuta,0.278942779,0.278942779,0.49,0.292889918,0.292889918,0.539,0.298468774,0.298468774,0.637,0.304047629,0.304047629,0.735,0.312415912,0.312415912,0.8,0.557885558,0.557885558,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.41666666700000005,0.40740740700000005,0.41304347799999996,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
