LGA,State,IPTyn,ipti_cov_mean,ipti_cov_cil,ipti_cov_ciu,IPTicov
Dange-Shnsi,Sokoto,0,0.066666667,0.066666667,0.066666667,0.066666667
Danja,Katsina,0,0.527777778,0.527777778,0.527777778,0.527777778
Darazo,Bauchi,0,0.332803353,0.132838704,0.532768002,0.332803353
Dass,Bauchi,0,0.764705882,0.764705882,0.764705882,0.764705882
Daura,Katsina,0,0.279503948,0.048702052,0.510305844,0.279503948
Dawakin Kudu,Kano,0,0.333333333,0.333333333,0.333333333,0.333333333
Dawakin Tofa,Kano,0,0.450980392,0.450980392,0.450980392,0.450980392
Degema,Rivers,1,0.666666667,0.666666667,0.666666667,0.666666667
Dekina,Kogi,0,0.479707579,0.325929309,0.63348585,0.479707579
Demsa,Adamawa,0,0.786231892,0.72809987,0.844363914,0.786231892
Dikwa,Borno,0,0.350956886,0.255676918,0.446236854,0.350956886
Doguwa,Kano,0,0.303921569,0.303921569,0.303921569,0.303921569
Doma,Nasarawa,0,0.572917341,0.498529768,0.647304915,0.572917341
Donga,Taraba,0,0.236584375,0.036578754,0.436589996,0.236584375
Dukku,Gombe,0,0.017453775,-0.014320888,0.049228438,0.017453775
Dunukofia,Anambra,1,0.727000947,0.676593677,0.777408217,0.727000947
Dutse,Jigawa,0,0.324325534,0.293906471,0.354744596,0.324325534
Dutsi,Katsina,0,0.333333333,0.333333333,0.333333333,0.333333333
Dutsin-Ma,Katsina,0,0.290618008,0.228177859,0.353058157,0.290618008
Eastern Obolo,Akwa lbom,1,0.481481481,0.481481481,0.481481481,0.481481481
Ebonyi,Ebonyi,1,0.681860761,0.644934321,0.7187872,0.681860761
Edati,Niger,0,0.666666667,0.666666667,0.666666667,0.666666667
Ede North,Osun,1,0.690059784,0.627073618,0.753045949,0.690059784
Ede South,Osun,1,0.690059784,0.627073618,0.753045949,0.690059784
Edu,Kwara,0,0.654115821,0.439542264,0.868689378,0.654115821
Efon-Alayee,Ekiti,1,0.666666667,0.614320366,0.719012968,0.666666667
