LGA,State,IPTyn,ipti_cov_mean,ipti_cov_cil,ipti_cov_ciu,IPTicov
Wudil,Kano,0,0.316191347,0.209677933,0.422704762,0.316191347
Wukari,Taraba,0,0.467432261,0.313480582,0.62138394,0.467432261
Wurno,Sokoto,0,0,0,0,0
Wushishi,Niger,0,0.327244555,0.247438546,0.407050563,0.327244555
Yabo,Sokoto,0,0.083333333,0.083333333,0.083333333,0.083333333
Yagba East,Kogi,0,0.733333333,0.733333333,0.733333333,0.733333333
Yagba West,Kogi,0,0.666666667,0.666666667,0.666666667,0.666666667
Yakurr,Cross River,1,0.846205926,0.687369991,1.005041861,0.846205926
Yala,Cross River,0,0.866321689,0.758723113,0.973920265,0.866321689
Yamaltu/Deba,Gombe,0,0.140764046,0.052477914,0.229050179,0.140764046
Yankwashi,Jigawa,0,0.408984095,0.152818821,0.665149369,0.408984095
Yauri,Kebbi,0,0.196038827,0.116915451,0.275162204,0.196038827
Yenegoa,Bayelsa,1,0.604323877,0.512687863,0.695959891,0.604323877
Yola North,Adamawa,0,0.333587704,0.072944746,0.594230662,0.333587704
Yola South,Adamawa,0,0.818181818,0.818181818,0.818181818,0.818181818
Yorro,Taraba,0,0.738636281,0.544714712,0.932557849,0.738636281
Yunusari,Yobe,0,0.299900131,0.230926988,0.368873274,0.299900131
Yusufari,Yobe,0,0.333333333,0.333333333,0.333333333,0.333333333
Zaki,Bauchi,0,0.370792227,0.29189233,0.449692124,0.370792227
Zango,Katsina,0,0.708333333,0.708333333,0.708333333,0.708333333
Zango-Kataf,Kaduna,0,0.487699872,0.368550057,0.606849687,0.487699872
Zaria,Kaduna,0,0.333419253,0.174452915,0.49238559,0.333419253
Zing,Taraba,0,0.333333333,0.333333333,0.333333333,0.333333333
Zurmi,Zamfara,0,0.162604431,0.03504333,0.290165532,0.162604431
Zuru,Kebbi,0,0.066666667,0.066666667,0.066666667,0.066666667
