"","LGA","kill_rate","round","simday","scenario","year"
"2189","Oguta",30.8468253,3,2352,"Scenario 1(Business as Usual)",2026
"2190","Oguta",30.8468253,4,3447,"Scenario 1(Business as Usual)",2029
"2191","Ohafia",48.6514324,1,162,"Scenario 1(Business as Usual)",2020
"2192","Ohafia",48.6514324,2,1257,"Scenario 1(Business as Usual)",2023
"2193","Ohafia",48.6514324,3,2352,"Scenario 1(Business as Usual)",2026
"2194","Ohafia",48.6514324,4,3447,"Scenario 1(Business as Usual)",2029
"2195","Ohaji-Egbema",32.1773866,1,162,"Scenario 1(Business as Usual)",2020
"2196","Ohaji-Egbema",32.1773866,2,1257,"Scenario 1(Business as Usual)",2023
"2197","Ohaji-Egbema",32.1773866,3,2352,"Scenario 1(Business as Usual)",2026
"2198","Ohaji-Egbema",32.1773866,4,3447,"Scenario 1(Business as Usual)",2029
"2199","Ohaozara",47.8301408,1,162,"Scenario 1(Business as Usual)",2020
"2200","Ohaozara",47.8301408,2,1257,"Scenario 1(Business as Usual)",2023
"2201","Ohaozara",47.8301408,3,2352,"Scenario 1(Business as Usual)",2026
"2202","Ohaozara",47.8301408,4,3447,"Scenario 1(Business as Usual)",2029
"2203","Ohaukwu",46.0090005,1,70,"Scenario 1(Business as Usual)",2020
"2204","Ohaukwu",46.0090005,2,1165,"Scenario 1(Business as Usual)",2023
"2205","Ohaukwu",46.0090005,3,2260,"Scenario 1(Business as Usual)",2026
"2206","Ohaukwu",46.0090005,4,3355,"Scenario 1(Business as Usual)",2029
"2207","Ohimini",41.8374369,1,131,"Scenario 1(Business as Usual)",2020
"2208","Ohimini",41.8374369,2,1226,"Scenario 1(Business as Usual)",2023
"2209","Ohimini",41.8374369,3,2321,"Scenario 1(Business as Usual)",2026
"2210","Ohimini",41.8374369,4,3416,"Scenario 1(Business as Usual)",2029
"2211","Oji-River",46.5835335,1,162,"Scenario 1(Business as Usual)",2020
"2212","Oji-River",46.5835335,2,1257,"Scenario 1(Business as Usual)",2023
"2213","Oji-River",46.5835335,3,2352,"Scenario 1(Business as Usual)",2026
"2214","Oji-River",46.5835335,4,3447,"Scenario 1(Business as Usual)",2029
"2215","Ojo",48.8266396,1,162,"Scenario 1(Business as Usual)",2020
"2216","Ojo",48.8266396,2,1257,"Scenario 1(Business as Usual)",2023
"2217","Ojo",48.8266396,3,2352,"Scenario 1(Business as Usual)",2026
"2218","Ojo",48.8266396,4,3447,"Scenario 1(Business as Usual)",2029
"2219","Oju",46.7648858,1,186,"Scenario 1(Business as Usual)",2020
"2220","Oju",46.7648858,2,1281,"Scenario 1(Business as Usual)",2023
"2221","Oju",46.7648858,3,2376,"Scenario 1(Business as Usual)",2026
"2222","Oju",46.7648858,4,3471,"Scenario 1(Business as Usual)",2029
"2223","Oke-Ero",40.0631968,1,186,"Scenario 1(Business as Usual)",2020
"2224","Oke-Ero",40.0631968,2,1281,"Scenario 1(Business as Usual)",2023
"2225","Oke-Ero",40.0631968,3,2376,"Scenario 1(Business as Usual)",2026
"2226","Oke-Ero",40.0631968,4,3471,"Scenario 1(Business as Usual)",2029
"2227","Okehi",37.1839834,1,70,"Scenario 1(Business as Usual)",2020
"2228","Okehi",37.1839834,2,1165,"Scenario 1(Business as Usual)",2023
"2229","Okehi",37.1839834,3,2260,"Scenario 1(Business as Usual)",2026
"2230","Okehi",37.1839834,4,3355,"Scenario 1(Business as Usual)",2029
"2231","Okene",35.7715363,1,70,"Scenario 1(Business as Usual)",2020
"2232","Okene",35.7715363,2,1165,"Scenario 1(Business as Usual)",2023
"2233","Okene",35.7715363,3,2260,"Scenario 1(Business as Usual)",2026
"2234","Okene",35.7715363,4,3355,"Scenario 1(Business as Usual)",2029
"2235","Okigwe",50.8750791,1,162,"Scenario 1(Business as Usual)",2020
"2236","Okigwe",50.8750791,2,1257,"Scenario 1(Business as Usual)",2023
"2237","Okigwe",50.8750791,3,2352,"Scenario 1(Business as Usual)",2026
"2238","Okigwe",50.8750791,4,3447,"Scenario 1(Business as Usual)",2029
"2239","Okitipupa",45.9942251,1,70,"Scenario 1(Business as Usual)",2020
"2240","Okitipupa",45.9942251,2,1165,"Scenario 1(Business as Usual)",2023
"2241","Okitipupa",45.9942251,3,2260,"Scenario 1(Business as Usual)",2026
"2242","Okitipupa",45.9942251,4,3355,"Scenario 1(Business as Usual)",2029
"2243","Okobo",35.2520839,1,527,"Scenario 1(Business as Usual)",2021
"2244","Okobo",35.2520839,2,1622,"Scenario 1(Business as Usual)",2024
"2245","Okobo",35.2520839,3,2717,"Scenario 1(Business as Usual)",2027
"2246","Okobo",35.2520839,4,3812,"Scenario 1(Business as Usual)",2030
"2247","Okpe",28.0610706,1,892,"Scenario 1(Business as Usual)",2022
"2248","Okpe",28.0610706,2,1987,"Scenario 1(Business as Usual)",2025
"2249","Okpe",28.0610706,3,3082,"Scenario 1(Business as Usual)",2028
"2250","Okpokwu",41.6399046,1,131,"Scenario 1(Business as Usual)",2020
