LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,scenario
Bassa2,Soba,2.049469,2.049469,0,-1,2020,Scenario 1 (Business as Usual)
Batagarawa,Rimi,37.3076926,37.3076926,0,-1,2020,Scenario 1 (Business as Usual)
Batsari,Rimi,33.3333333,33.3333333,0,-1,2020,Scenario 1 (Business as Usual)
Bauchi,Alkaleri,2.7077492,2.7077492,0,-1,2020,Scenario 1 (Business as Usual)
Baure,Babura,35.7142857,35.7142857,0,-1,2020,Scenario 1 (Business as Usual)
Bayo,Alkaleri,50,50,0,-1,2020,Scenario 1 (Business as Usual)
Bebeji,Gwarzo,17.2172547,17.2172547,0,-1,2020,Scenario 1 (Business as Usual)
Bekwara,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Bende,Ngor-Okpala,17.5925804,17.5925804,0,-1,2020,Scenario 1 (Business as Usual)
Biase,Ngor-Okpala,58.8028311,58.8028311,0,-1,2020,Scenario 1 (Business as Usual)
Bichi,Gwarzo,17.2172547,17.2172547,0,-1,2020,Scenario 1 (Business as Usual)
Bida,Oke-Ero,50,50,0,-1,2020,Scenario 1 (Business as Usual)
Billiri,Alkaleri,33.3333333,33.3333333,0,-1,2020,Scenario 1 (Business as Usual)
Bindawa,Rimi,10,10,0,-1,2020,Scenario 1 (Business as Usual)
Binji,Gawabawa,25,25,0,-1,2020,Scenario 1 (Business as Usual)
Biriniwa,Taura,16.6666667,16.6666667,0,-1,2020,Scenario 1 (Business as Usual)
Birni Kudu,Takali,22.3983083,22.3983083,0,-1,2020,Scenario 1 (Business as Usual)
Birnin Kebbi,Birnin Kebbi,57.2939706,57.2939706,0,-1,2020,Scenario 1 (Business as Usual)
Birnin Magaji,Rimi,20.9995572,20.9995572,0,-1,2020,Scenario 1 (Business as Usual)
Birnin-Gwari,Giwa,13.0508332,13.0508332,0,-1,2020,Scenario 1 (Business as Usual)
Biu,Darazo,50,50,0,-1,2020,Scenario 1 (Business as Usual)
Bodinga,Gawabawa,10.6631444,10.6631444,0,-1,2020,Scenario 1 (Business as Usual)
Bogoro,Alkaleri,23.4127553,23.4127553,0,-1,2020,Scenario 1 (Business as Usual)
Boki,Obubra,25,25,0,-1,2020,Scenario 1 (Business as Usual)
Bokkos,Giwa,13.0508332,13.0508332,0,-1,2020,Scenario 1 (Business as Usual)
Boluwaduro,Akinyele,15.4926235,15.4926235,0,-1,2020,Scenario 1 (Business as Usual)
Bomadi,Isoko South,12.159624,12.159624,0,-1,2020,Scenario 1 (Business as Usual)
Bonny,Nsit Ubium,59.6547236,59.6547236,0,-1,2020,Scenario 1 (Business as Usual)
Borgu,Oke-Ero,28.5714286,28.5714286,0,-1,2020,Scenario 1 (Business as Usual)
Boripe,Akinyele,33.3333333,33.3333333,0,-1,2020,Scenario 1 (Business as Usual)
Bosso,Keana,21.6058677,21.6058677,0,-1,2020,Scenario 1 (Business as Usual)
Brass,Ahoada West,51.4466613,51.4466613,0,-1,2020,Scenario 1 (Business as Usual)
Buji,Takali,17.8754999,17.8754999,0,-1,2020,Scenario 1 (Business as Usual)
Bukkuyum,Alkaleri,23.4127553,23.4127553,0,-1,2020,Scenario 1 (Business as Usual)
Bungudu,Takali,29.7222393,29.7222393,0,-1,2020,Scenario 1 (Business as Usual)
Bunkure,Gwarzo,17.2172547,17.2172547,0,-1,2020,Scenario 1 (Business as Usual)
Bunza,Birnin Kebbi,42.225568,42.225568,0,-1,2020,Scenario 1 (Business as Usual)
Bursari,Taura,12.5,12.5,0,-1,2020,Scenario 1 (Business as Usual)
Buruku,Keana,20.0000038,20.0000038,0,-1,2020,Scenario 1 (Business as Usual)
Burutu,Isoko South,12.159624,12.159624,0,-1,2020,Scenario 1 (Business as Usual)
Bwari,Giwa,15.4268943,15.4268943,0,-1,2020,Scenario 1 (Business as Usual)
Calabar South,Nsit Ubium,29.7727761,29.7727761,0,-1,2020,Scenario 1 (Business as Usual)
Calabar-Municipal,Nsit Ubium,29.9739676,29.9739676,0,-1,2020,Scenario 1 (Business as Usual)
Chanchaga,Keana,38.8965514,38.8965514,0,-1,2020,Scenario 1 (Business as Usual)
Charanchi,Rimi,10.5263158,10.5263158,0,-1,2020,Scenario 1 (Business as Usual)
Chibok,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Chikun,Soba,2.049469,2.049469,0,-1,2020,Scenario 1 (Business as Usual)
Dala,Alkaleri,85.0046207,85.0046207,0,-1,2020,Scenario 1 (Business as Usual)
Damaturu,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Damban,Darazo,33.3333333,33.3333333,0,-1,2020,Scenario 1 (Business as Usual)
Dambatta,Babura,33.3333333,33.3333333,0,-1,2020,Scenario 1 (Business as Usual)
Damboa,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Dan Musa,Rimi,20.9995572,20.9995572,0,-1,2020,Scenario 1 (Business as Usual)
Dandi,Birnin Kebbi,34.910543,34.910543,0,-1,2020,Scenario 1 (Business as Usual)
Dandume,Giwa,13.0508332,13.0508332,0,-1,2020,Scenario 1 (Business as Usual)
Dange-Shnsi,Gawabawa,12.5,12.5,0,-1,2020,Scenario 1 (Business as Usual)
Danja,Giwa,13.0508332,13.0508332,0,-1,2020,Scenario 1 (Business as Usual)
Darazo,Darazo,16.1152612,16.1152612,0,-1,2020,Scenario 1 (Business as Usual)
Dass,Alkaleri,23.4127553,23.4127553,0,-1,2020,Scenario 1 (Business as Usual)
Daura,Babura,20.2230441,20.2230441,0,-1,2020,Scenario 1 (Business as Usual)
Dawakin Kudu,Gwarzo,27.2727273,27.2727273,0,-1,2020,Scenario 1 (Business as Usual)
Dawakin Tofa,Taura,18.1818182,18.1818182,0,-1,2020,Scenario 1 (Business as Usual)
Degema,Ahoada West,25,25,0,-1,2020,Scenario 1 (Business as Usual)
Dekina,Owan East,19.0297763,19.0297763,0,-1,2020,Scenario 1 (Business as Usual)
Demsa,Alkaleri,70.1986849,70.1986849,0,-1,2020,Scenario 1 (Business as Usual)
Dikwa,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Doguwa,Giwa,13.0434783,13.0434783,0,-1,2020,Scenario 1 (Business as Usual)
Doma,Keana,17.7187213,17.7187213,0,-1,2020,Scenario 1 (Business as Usual)
Donga,Keana,28.4919607,28.4919607,0,-1,2020,Scenario 1 (Business as Usual)
Dukku,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Dunukofia,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Dutse,Takali,14.8488039,14.8488039,0,-1,2020,Scenario 1 (Business as Usual)
Dutsi,Rimi,23.0769231,23.0769231,0,-1,2020,Scenario 1 (Business as Usual)
Dutsin-Ma,Rimi,20.9995572,20.9995572,0,-1,2020,Scenario 1 (Business as Usual)
Eastern Obolo,Nsit Ubium,60,60,0,-1,2020,Scenario 1 (Business as Usual)
Ebonyi,Owan East,27.8942779,27.8942779,0,-1,2020,Scenario 1 (Business as Usual)
Edati,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Ede North,Akinyele,15.4926235,15.4926235,0,-1,2020,Scenario 1 (Business as Usual)
Ede South,Akinyele,15.4926235,15.4926235,0,-1,2020,Scenario 1 (Business as Usual)
Edu,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Efon-Alayee,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Egbado North,Owan East,27.8942779,27.8942779,0,-1,2020,Scenario 1 (Business as Usual)
Egbado South,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Egbeda,Akinyele,10.7316809,10.7316809,0,-1,2020,Scenario 1 (Business as Usual)
Egbedore,Akinyele,54.187193,54.187193,0,-1,2020,Scenario 1 (Business as Usual)
Egor,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Ehime-Mbano,Ngor-Okpala,59.1374486,59.1374486,0,-1,2020,Scenario 1 (Business as Usual)
Ejigbo,Akinyele,21.5907256,21.5907256,0,-1,2020,Scenario 1 (Business as Usual)
Ekeremor,Ahoada West,20.5928424,20.5928424,0,-1,2020,Scenario 1 (Business as Usual)
Eket,Nsit Ubium,29.7727761,29.7727761,0,-1,2020,Scenario 1 (Business as Usual)
Ekiti,Oke-Ero,74.4393955,74.4393955,0,-1,2020,Scenario 1 (Business as Usual)
Ekiti East,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Ekiti South West,Oke-Ero,46.2500057,46.2500057,0,-1,2020,Scenario 1 (Business as Usual)
Ekiti West,Oke-Ero,16.2213602,16.2213602,0,-1,2020,Scenario 1 (Business as Usual)
Ekwusigo,Oru West,75,75,0,-1,2020,Scenario 1 (Business as Usual)
Eleme,Ahoada West,15.1693513,15.1693513,0,-1,2020,Scenario 1 (Business as Usual)
Emohua,Ahoada West,16.6666667,16.6666667,0,-1,2020,Scenario 1 (Business as Usual)
Emure,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Enugu East,Uzo-Uwani,76.7123269,76.7123269,0,-1,2020,Scenario 1 (Business as Usual)
Enugu North,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Enugu South,Uzo-Uwani,51.4893508,51.4893508,0,-1,2020,Scenario 1 (Business as Usual)
Epe,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Esan Central,Owan East,27.8942779,27.8942779,0,-1,2020,Scenario 1 (Business as Usual)
Esan North East,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Esan South East,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Esan West,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Ese-Odo,Owan East,27.8942779,27.8942779,0,-1,2020,Scenario 1 (Business as Usual)
Esit Eket,Nsit Ubium,7.1428571,7.1428571,0,-1,2020,Scenario 1 (Business as Usual)
Essien Udim,Ngor-Okpala,21.9281699,21.9281699,0,-1,2020,Scenario 1 (Business as Usual)
Etche,Ngor-Okpala,28.3373403,28.3373403,0,-1,2020,Scenario 1 (Business as Usual)
Ethiope East,Isoko South,12.159624,12.159624,0,-1,2020,Scenario 1 (Business as Usual)
Ethiope West,Isoko South,12.159624,12.159624,0,-1,2020,Scenario 1 (Business as Usual)
Etim Ekpo,Isoko South,12.159624,12.159624,0,-1,2020,Scenario 1 (Business as Usual)
Etinan,Ngor-Okpala,28.3373403,28.3373403,0,-1,2020,Scenario 1 (Business as Usual)
Eti-Osa,Nsit Ubium,29.7727761,29.7727761,0,-1,2020,Scenario 1 (Business as Usual)
Etsako Central,Owan East,27.8942779,27.8942779,0,-1,2020,Scenario 1 (Business as Usual)
Etsako East,Owan East,7.7954241,7.7954241,0,-1,2020,Scenario 1 (Business as Usual)
Etsako West,Owan East,8.0351586,8.0351586,0,-1,2020,Scenario 1 (Business as Usual)
Etung,Obubra,20,20,0,-1,2020,Scenario 1 (Business as Usual)
Ewekoro,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Ezeagu,Uzo-Uwani,43.4581511,43.4581511,0,-1,2020,Scenario 1 (Business as Usual)
Ezinihitte,Ngor-Okpala,38.8958352,38.8958352,0,-1,2020,Scenario 1 (Business as Usual)
Ezza North,Owan East,19.047619,19.047619,0,-1,2020,Scenario 1 (Business as Usual)
Ezza South,Obubra,47.8845956,47.8845956,0,-1,2020,Scenario 1 (Business as Usual)
Fagge,Alkaleri,23.4127553,23.4127553,0,-1,2020,Scenario 1 (Business as Usual)
Fakai,Birnin Kebbi,66.6666667,66.6666667,0,-1,2020,Scenario 1 (Business as Usual)
Faskari,Giwa,13.0508332,13.0508332,0,-1,2020,Scenario 1 (Business as Usual)
Fika,Darazo,9.5238095,9.5238095,0,-1,2020,Scenario 1 (Business as Usual)
Fufore,Alkaleri,13.9280114,13.9280114,0,-1,2020,Scenario 1 (Business as Usual)
Funakaye,Alkaleri,4.5454545,4.5454545,0,-1,2020,Scenario 1 (Business as Usual)
Fune,Darazo,3.153893,3.153893,0,-1,2020,Scenario 1 (Business as Usual)
