"","LGA","kill_rate","round","simday","scenario","year"
"74","Afikpo South",74.3859597,2,1257,"Scenario 4(Improved coverage)",2023
"75","Afikpo South",74.3859597,3,2352,"Scenario 4(Improved coverage)",2026
"76","Afikpo South",74.3859597,4,3447,"Scenario 4(Improved coverage)",2029
"77","Agaie",74.5121348,1,916,"Scenario 4(Improved coverage)",2022
"78","Agaie",74.5121348,2,2011,"Scenario 4(Improved coverage)",2025
"79","Agaie",74.5121348,3,3106,"Scenario 4(Improved coverage)",2028
"80","Agatu",74.3418762,1,223,"Scenario 4(Improved coverage)",2020
"81","Agatu",74.3418762,2,1318,"Scenario 4(Improved coverage)",2023
"82","Agatu",74.3418762,3,2413,"Scenario 4(Improved coverage)",2026
"83","Agatu",74.3418762,4,3508,"Scenario 4(Improved coverage)",2029
"84","Agege",49.666464,1,162,"Scenario 4(Improved coverage)",2020
"85","Agege",49.666464,2,1257,"Scenario 4(Improved coverage)",2023
"86","Agege",49.666464,3,2352,"Scenario 4(Improved coverage)",2026
"87","Agege",49.666464,4,3447,"Scenario 4(Improved coverage)",2029
"88","Aguata",74.4268911,1,162,"Scenario 4(Improved coverage)",2020
"89","Aguata",74.4268911,2,1257,"Scenario 4(Improved coverage)",2023
"90","Aguata",74.4268911,3,2352,"Scenario 4(Improved coverage)",2026
"91","Aguata",74.4268911,4,3447,"Scenario 4(Improved coverage)",2029
"92","Agwara",74.7067471,1,953,"Scenario 4(Improved coverage)",2022
"93","Agwara",74.7067471,2,2048,"Scenario 4(Improved coverage)",2025
"94","Agwara",74.7067471,3,3143,"Scenario 4(Improved coverage)",2028
"95","Ahiazu-Mbaise",74.4039224,1,162,"Scenario 4(Improved coverage)",2020
"96","Ahiazu-Mbaise",74.4039224,2,1257,"Scenario 4(Improved coverage)",2023
"97","Ahiazu-Mbaise",74.4039224,3,2352,"Scenario 4(Improved coverage)",2026
"98","Ahiazu-Mbaise",74.4039224,4,3447,"Scenario 4(Improved coverage)",2029
"99","Ahoada East",68.5335866,1,131,"Scenario 4(Improved coverage)",2020
"100","Ahoada East",68.5335866,2,1226,"Scenario 4(Improved coverage)",2023
"101","Ahoada East",68.5335866,3,2321,"Scenario 4(Improved coverage)",2026
"102","Ahoada East",68.5335866,4,3416,"Scenario 4(Improved coverage)",2029
"103","Ahoada West",68.5818488,1,131,"Scenario 4(Improved coverage)",2020
"104","Ahoada West",68.5818488,2,1226,"Scenario 4(Improved coverage)",2023
"105","Ahoada West",68.5818488,3,2321,"Scenario 4(Improved coverage)",2026
"106","Ahoada West",68.5818488,4,3416,"Scenario 4(Improved coverage)",2029
"107","Aiyedade",74.0327343,1,131,"Scenario 4(Improved coverage)",2020
"108","Aiyedade",74.0327343,2,1226,"Scenario 4(Improved coverage)",2023
"109","Aiyedade",74.0327343,3,2321,"Scenario 4(Improved coverage)",2026
"110","Aiyedade",74.0327343,4,3416,"Scenario 4(Improved coverage)",2029
"111","Aiyedire",74.3440107,1,131,"Scenario 4(Improved coverage)",2020
"112","Aiyedire",74.3440107,2,1226,"Scenario 4(Improved coverage)",2023
"113","Aiyedire",74.3440107,3,2321,"Scenario 4(Improved coverage)",2026
"114","Aiyedire",74.3440107,4,3416,"Scenario 4(Improved coverage)",2029
"115","Ajaokuta",72.9055954,1,70,"Scenario 4(Improved coverage)",2020
"116","Ajaokuta",72.9055954,2,1165,"Scenario 4(Improved coverage)",2023
"117","Ajaokuta",72.9055954,3,2260,"Scenario 4(Improved coverage)",2026
"118","Ajaokuta",72.9055954,4,3355,"Scenario 4(Improved coverage)",2029
"119","Ajeromi-Ifelodun",49.3901179,1,162,"Scenario 4(Improved coverage)",2020
"120","Ajeromi-Ifelodun",49.3901179,2,1257,"Scenario 4(Improved coverage)",2023
"121","Ajeromi-Ifelodun",49.3901179,3,2352,"Scenario 4(Improved coverage)",2026
"122","Ajeromi-Ifelodun",49.3901179,4,3447,"Scenario 4(Improved coverage)",2029
"123","Ajingi",75.1602855,1,916,"Scenario 4(Improved coverage)",2022
"124","Ajingi",75.1602855,2,2011,"Scenario 4(Improved coverage)",2025
"125","Ajingi",75.1602855,3,3106,"Scenario 4(Improved coverage)",2028
"126","Akamkpa",74.5329937,1,527,"Scenario 4(Improved coverage)",2021
"127","Akamkpa",74.5329937,2,1622,"Scenario 4(Improved coverage)",2024
"128","Akamkpa",74.5329937,3,2717,"Scenario 4(Improved coverage)",2027
"129","Akamkpa",74.5329937,4,3812,"Scenario 4(Improved coverage)",2030
"130","Akinyele",42.1435221,1,131,"Scenario 4(Improved coverage)",2020
"131","Akinyele",42.1435221,2,1226,"Scenario 4(Improved coverage)",2023
"132","Akinyele",42.1435221,3,2321,"Scenario 4(Improved coverage)",2026
"133","Akinyele",42.1435221,4,3416,"Scenario 4(Improved coverage)",2029
"134","Akko",74.2713325,1,551,"Scenario 4(Improved coverage)",2021
"135","Akko",74.2713325,2,1646,"Scenario 4(Improved coverage)",2024
"136","Akko",74.2713325,3,2741,"Scenario 4(Improved coverage)",2027
"137","Akko",74.2713325,4,3836,"Scenario 4(Improved coverage)",2030
"138","Akoko-Edo",72.5405618,1,70,"Scenario 4(Improved coverage)",2020
"139","Akoko-Edo",72.5405618,2,1165,"Scenario 4(Improved coverage)",2023
"140","Akoko-Edo",72.5405618,3,2260,"Scenario 4(Improved coverage)",2026
"141","Akoko-Edo",72.5405618,4,3355,"Scenario 4(Improved coverage)",2029
"142","Akoko North East",73.3614536,1,186,"Scenario 4(Improved coverage)",2020
"143","Akoko North East",73.3614536,2,1281,"Scenario 4(Improved coverage)",2023
"144","Akoko North East",73.3614536,3,2376,"Scenario 4(Improved coverage)",2026
"145","Akoko North East",73.3614536,4,3471,"Scenario 4(Improved coverage)",2029
"146","Akoko North West",72.8126692,1,186,"Scenario 4(Improved coverage)",2020
"147","Akoko North West",72.8126692,2,1281,"Scenario 4(Improved coverage)",2023
"148","Akoko North West",72.8126692,3,2376,"Scenario 4(Improved coverage)",2026
"149","Akoko North West",72.8126692,4,3471,"Scenario 4(Improved coverage)",2029
"150","Akoko South East",73.3690227,1,186,"Scenario 4(Improved coverage)",2020
"151","Akoko South East",73.3690227,2,1281,"Scenario 4(Improved coverage)",2023
"152","Akoko South East",73.3690227,3,2376,"Scenario 4(Improved coverage)",2026
"153","Akoko South East",73.3690227,4,3471,"Scenario 4(Improved coverage)",2029
"154","Akoko South West",73.092257,1,186,"Scenario 4(Improved coverage)",2020
"155","Akoko South West",73.092257,2,1281,"Scenario 4(Improved coverage)",2023
"156","Akoko South West",73.092257,3,2376,"Scenario 4(Improved coverage)",2026
"157","Akoko South West",73.092257,4,3471,"Scenario 4(Improved coverage)",2029
"158","Akpabuyo",74.1699347,1,527,"Scenario 4(Improved coverage)",2021
"159","Akpabuyo",74.1699347,2,1622,"Scenario 4(Improved coverage)",2024
"160","Akpabuyo",74.1699347,3,2717,"Scenario 4(Improved coverage)",2027
"161","Akpabuyo",74.1699347,4,3812,"Scenario 4(Improved coverage)",2030
"162","Akuku Toru",72.608356,1,131,"Scenario 4(Improved coverage)",2020
"163","Akuku Toru",72.608356,2,1226,"Scenario 4(Improved coverage)",2023
"164","Akuku Toru",72.608356,3,2321,"Scenario 4(Improved coverage)",2026
"165","Akuku Toru",72.608356,4,3416,"Scenario 4(Improved coverage)",2029
"166","Akure North",73.2039367,1,70,"Scenario 4(Improved coverage)",2020
"167","Akure North",73.2039367,2,1165,"Scenario 4(Improved coverage)",2023
"168","Akure North",73.2039367,3,2260,"Scenario 4(Improved coverage)",2026
"169","Akure North",73.2039367,4,3355,"Scenario 4(Improved coverage)",2029
"170","Akure South",72.4089439,1,70,"Scenario 4(Improved coverage)",2020
"171","Akure South",72.4089439,2,1165,"Scenario 4(Improved coverage)",2023
"172","Akure South",72.4089439,3,2260,"Scenario 4(Improved coverage)",2026
"173","Akure South",72.4089439,4,3355,"Scenario 4(Improved coverage)",2029
"174","Akwanga",74.6909746,1,551,"Scenario 4(Improved coverage)",2021
"175","Akwanga",74.6909746,2,1646,"Scenario 4(Improved coverage)",2024
"176","Akwanga",74.6909746,3,2741,"Scenario 4(Improved coverage)",2027
"177","Akwanga",74.6909746,4,3836,"Scenario 4(Improved coverage)",2030
"178","Albasu",75.1755177,1,980,"Scenario 4(Improved coverage)",2022
"179","Albasu",75.1755177,2,2075,"Scenario 4(Improved coverage)",2025
"180","Albasu",75.1755177,3,3170,"Scenario 4(Improved coverage)",2028
"181","Aleiro",75.101499,1,588,"Scenario 4(Improved coverage)",2021
"182","Aleiro",75.101499,2,1683,"Scenario 4(Improved coverage)",2024
"183","Aleiro",75.101499,3,2778,"Scenario 4(Improved coverage)",2027
"184","Aleiro",75.101499,4,3873,"Scenario 4(Improved coverage)",2030
"185","Alimosho",48.5561977,1,162,"Scenario 4(Improved coverage)",2020
"186","Alimosho",48.5561977,2,1257,"Scenario 4(Improved coverage)",2023
"187","Alimosho",48.5561977,3,2352,"Scenario 4(Improved coverage)",2026
"188","Alimosho",48.5561977,4,3447,"Scenario 4(Improved coverage)",2029
"189","Alkaleri",74.8797917,1,551,"Scenario 4(Improved coverage)",2021
"190","Alkaleri",74.8797917,2,1646,"Scenario 4(Improved coverage)",2024
"191","Alkaleri",74.8797917,3,2741,"Scenario 4(Improved coverage)",2027
"192","Alkaleri",74.8797917,4,3836,"Scenario 4(Improved coverage)",2030
"193","Amuwo-Odofin",47.1534679,1,162,"Scenario 4(Improved coverage)",2020
"194","Amuwo-Odofin",47.1534679,2,1257,"Scenario 4(Improved coverage)",2023
"195","Amuwo-Odofin",47.1534679,3,2352,"Scenario 4(Improved coverage)",2026
"196","Amuwo-Odofin",47.1534679,4,3447,"Scenario 4(Improved coverage)",2029
"197","Anambra East",73.7607983,1,162,"Scenario 4(Improved coverage)",2020
"198","Anambra East",73.7607983,2,1257,"Scenario 4(Improved coverage)",2023
"199","Anambra East",73.7607983,3,2352,"Scenario 4(Improved coverage)",2026
"200","Anambra East",73.7607983,4,3447,"Scenario 4(Improved coverage)",2029
"201","Anambra West",73.9382126,1,162,"Scenario 4(Improved coverage)",2020
"202","Anambra West",73.9382126,2,1257,"Scenario 4(Improved coverage)",2023
"203","Anambra West",73.9382126,3,2352,"Scenario 4(Improved coverage)",2026
"204","Anambra West",73.9382126,4,3447,"Scenario 4(Improved coverage)",2029
"205","Anaocha",74.1948071,1,162,"Scenario 4(Improved coverage)",2020
"206","Anaocha",74.1948071,2,1257,"Scenario 4(Improved coverage)",2023
"207","Anaocha",74.1948071,3,2352,"Scenario 4(Improved coverage)",2026
"208","Anaocha",74.1948071,4,3447,"Scenario 4(Improved coverage)",2029
"209","Andoni",66.524829,1,162,"Scenario 4(Improved coverage)",2020
"210","Andoni",66.524829,2,1257,"Scenario 4(Improved coverage)",2023
"211","Andoni",66.524829,3,2352,"Scenario 4(Improved coverage)",2026
"212","Andoni",66.524829,4,3447,"Scenario 4(Improved coverage)",2029
"213","Aninri",74.2719962,1,162,"Scenario 4(Improved coverage)",2020
"214","Aninri",74.2719962,2,1257,"Scenario 4(Improved coverage)",2023
"215","Aninri",74.2719962,3,2352,"Scenario 4(Improved coverage)",2026
"216","Aninri",74.2719962,4,3447,"Scenario 4(Improved coverage)",2029
"217","Aniocha North",73.6840485,1,892,"Scenario 4(Improved coverage)",2022
"218","Aniocha North",73.6840485,2,1987,"Scenario 4(Improved coverage)",2025
"219","Aniocha North",73.6840485,3,3082,"Scenario 4(Improved coverage)",2028
"220","Aniocha South",72.6989078,1,892,"Scenario 4(Improved coverage)",2022
"221","Aniocha South",72.6989078,2,1987,"Scenario 4(Improved coverage)",2025
"222","Aniocha South",72.6989078,3,3082,"Scenario 4(Improved coverage)",2028
"223","Anka",75.0911845,1,186,"Scenario 4(Improved coverage)",2020
"224","Anka",75.0911845,2,1281,"Scenario 4(Improved coverage)",2023
"225","Anka",75.0911845,3,2376,"Scenario 4(Improved coverage)",2026
"226","Anka",75.0911845,4,3471,"Scenario 4(Improved coverage)",2029
"227","Ankpa",73.8392834,1,70,"Scenario 4(Improved coverage)",2020
"228","Ankpa",73.8392834,2,1165,"Scenario 4(Improved coverage)",2023
"229","Ankpa",73.8392834,3,2260,"Scenario 4(Improved coverage)",2026
"230","Ankpa",73.8392834,4,3355,"Scenario 4(Improved coverage)",2029
"231","Apa",74.3230654,1,223,"Scenario 4(Improved coverage)",2020
"232","Apa",74.3230654,2,1318,"Scenario 4(Improved coverage)",2023
"233","Apa",74.3230654,3,2413,"Scenario 4(Improved coverage)",2026
"234","Apa",74.3230654,4,3508,"Scenario 4(Improved coverage)",2029
"235","Apapa",51.1279973,1,162,"Scenario 4(Improved coverage)",2020
"236","Apapa",51.1279973,2,1257,"Scenario 4(Improved coverage)",2023
"237","Apapa",51.1279973,3,2352,"Scenario 4(Improved coverage)",2026
"238","Apapa",51.1279973,4,3447,"Scenario 4(Improved coverage)",2029
"239","Ardo-Kola",74.0777629,1,953,"Scenario 4(Improved coverage)",2022
"240","Ardo-Kola",74.0777629,2,2048,"Scenario 4(Improved coverage)",2025
"241","Ardo-Kola",74.0777629,3,3143,"Scenario 4(Improved coverage)",2028
"242","Arewa-Dandi",75.1317764,1,588,"Scenario 4(Improved coverage)",2021
"243","Arewa-Dandi",75.1317764,2,1683,"Scenario 4(Improved coverage)",2024
"244","Arewa-Dandi",75.1317764,3,2778,"Scenario 4(Improved coverage)",2027
"245","Arewa-Dandi",75.1317764,4,3873,"Scenario 4(Improved coverage)",2030
"246","Argungu",75.1426969,1,588,"Scenario 4(Improved coverage)",2021
"247","Argungu",75.1426969,2,1683,"Scenario 4(Improved coverage)",2024
"248","Argungu",75.1426969,3,2778,"Scenario 4(Improved coverage)",2027
"249","Argungu",75.1426969,4,3873,"Scenario 4(Improved coverage)",2030
"250","Arochukwu",74.2819598,1,162,"Scenario 4(Improved coverage)",2020
"251","Arochukwu",74.2819598,2,1257,"Scenario 4(Improved coverage)",2023
"252","Arochukwu",74.2819598,3,2352,"Scenario 4(Improved coverage)",2026
"253","Arochukwu",74.2819598,4,3447,"Scenario 4(Improved coverage)",2029
"254","Asa",72.2584104,1,186,"Scenario 4(Improved coverage)",2020
"255","Asa",72.2584104,2,1281,"Scenario 4(Improved coverage)",2023
"256","Asa",72.2584104,3,2376,"Scenario 4(Improved coverage)",2026
"257","Asa",72.2584104,4,3471,"Scenario 4(Improved coverage)",2029
"258","Asari-Toru",69.7447259,1,131,"Scenario 4(Improved coverage)",2020
"259","Asari-Toru",69.7447259,2,1226,"Scenario 4(Improved coverage)",2023
"260","Asari-Toru",69.7447259,3,2321,"Scenario 4(Improved coverage)",2026
"261","Asari-Toru",69.7447259,4,3416,"Scenario 4(Improved coverage)",2029
"262","Askira-Uba",75.0555793,1,186,"Scenario 4(Improved coverage)",2020
"263","Askira-Uba",75.0555793,2,1281,"Scenario 4(Improved coverage)",2023
"264","Askira-Uba",75.0555793,3,2376,"Scenario 4(Improved coverage)",2026
"265","Askira-Uba",75.0555793,4,3471,"Scenario 4(Improved coverage)",2029
"266","Atakumosa East",74.3293664,1,186,"Scenario 4(Improved coverage)",2020
"267","Atakumosa East",74.3293664,2,1281,"Scenario 4(Improved coverage)",2023
"268","Atakumosa East",74.3293664,3,2376,"Scenario 4(Improved coverage)",2026
"269","Atakumosa East",74.3293664,4,3471,"Scenario 4(Improved coverage)",2029
"270","Atakumosa West",74.3485314,1,131,"Scenario 4(Improved coverage)",2020
"271","Atakumosa West",74.3485314,2,1226,"Scenario 4(Improved coverage)",2023
"272","Atakumosa West",74.3485314,3,2321,"Scenario 4(Improved coverage)",2026
"273","Atakumosa West",74.3485314,4,3416,"Scenario 4(Improved coverage)",2029
"274","Atiba",73.8512057,1,131,"Scenario 4(Improved coverage)",2020
"275","Atiba",73.8512057,2,1226,"Scenario 4(Improved coverage)",2023
"276","Atiba",73.8512057,3,2321,"Scenario 4(Improved coverage)",2026
"277","Atiba",73.8512057,4,3416,"Scenario 4(Improved coverage)",2029
"278","Atigbo",74.2743327,1,186,"Scenario 4(Improved coverage)",2020
"279","Atigbo",74.2743327,2,1281,"Scenario 4(Improved coverage)",2023
"280","Atigbo",74.2743327,3,2376,"Scenario 4(Improved coverage)",2026
"281","Atigbo",74.2743327,4,3471,"Scenario 4(Improved coverage)",2029
"282","Augie",75.1408959,1,588,"Scenario 4(Improved coverage)",2021
"283","Augie",75.1408959,2,1683,"Scenario 4(Improved coverage)",2024
"284","Augie",75.1408959,3,2778,"Scenario 4(Improved coverage)",2027
"285","Augie",75.1408959,4,3873,"Scenario 4(Improved coverage)",2030
"286","Auyo",75.0685407,1,551,"Scenario 4(Improved coverage)",2021
"287","Auyo",75.0685407,2,1646,"Scenario 4(Improved coverage)",2024
"288","Auyo",75.0685407,3,2741,"Scenario 4(Improved coverage)",2027
"289","Auyo",75.0685407,4,3836,"Scenario 4(Improved coverage)",2030
"290","Awe",74.86536,1,588,"Scenario 4(Improved coverage)",2021
"291","Awe",74.86536,2,1683,"Scenario 4(Improved coverage)",2024
"292","Awe",74.86536,3,2778,"Scenario 4(Improved coverage)",2027
"293","Awe",74.86536,4,3873,"Scenario 4(Improved coverage)",2030
"294","Awgu",74.2576398,1,162,"Scenario 4(Improved coverage)",2020
"295","Awgu",74.2576398,2,1257,"Scenario 4(Improved coverage)",2023
"296","Awgu",74.2576398,3,2352,"Scenario 4(Improved coverage)",2026
"297","Awgu",74.2576398,4,3447,"Scenario 4(Improved coverage)",2029
"298","Awka North",73.9012279,1,162,"Scenario 4(Improved coverage)",2020
"299","Awka North",73.9012279,2,1257,"Scenario 4(Improved coverage)",2023
"300","Awka North",73.9012279,3,2352,"Scenario 4(Improved coverage)",2026
"301","Awka North",73.9012279,4,3447,"Scenario 4(Improved coverage)",2029
"302","Awka South",74.281757,1,162,"Scenario 4(Improved coverage)",2020
"303","Awka South",74.281757,2,1257,"Scenario 4(Improved coverage)",2023
"304","Awka South",74.281757,3,2352,"Scenario 4(Improved coverage)",2026
"305","Awka South",74.281757,4,3447,"Scenario 4(Improved coverage)",2029
"306","Ayamelum",74.3147601,1,162,"Scenario 4(Improved coverage)",2020
"307","Ayamelum",74.3147601,2,1257,"Scenario 4(Improved coverage)",2023
"308","Ayamelum",74.3147601,3,2352,"Scenario 4(Improved coverage)",2026
"309","Ayamelum",74.3147601,4,3447,"Scenario 4(Improved coverage)",2029
"310","Babura",75.1464979,1,496,"Scenario 4(Improved coverage)",2021
"311","Babura",75.1464979,2,1591,"Scenario 4(Improved coverage)",2024
"312","Babura",75.1464979,3,2686,"Scenario 4(Improved coverage)",2027
"313","Babura",75.1464979,4,3781,"Scenario 4(Improved coverage)",2030
"314","Badagry",74.2421971,1,162,"Scenario 4(Improved coverage)",2020
"315","Badagry",74.2421971,2,1257,"Scenario 4(Improved coverage)",2023
"316","Badagry",74.2421971,3,2352,"Scenario 4(Improved coverage)",2026
"317","Badagry",74.2421971,4,3447,"Scenario 4(Improved coverage)",2029
"318","Bade",75.1121178,1,916,"Scenario 4(Improved coverage)",2022
"319","Bade",75.1121178,2,2011,"Scenario 4(Improved coverage)",2025
"320","Bade",75.1121178,3,3106,"Scenario 4(Improved coverage)",2028
"321","Bagudo",74.8095956,1,588,"Scenario 4(Improved coverage)",2021
"322","Bagudo",74.8095956,2,1683,"Scenario 4(Improved coverage)",2024
"323","Bagudo",74.8095956,3,2778,"Scenario 4(Improved coverage)",2027
"324","Bagudo",74.8095956,4,3873,"Scenario 4(Improved coverage)",2030
"325","Bagwai",75.18156,1,861,"Scenario 4(Improved coverage)",2022
"326","Bagwai",75.18156,2,1956,"Scenario 4(Improved coverage)",2025
"327","Bagwai",75.18156,3,3051,"Scenario 4(Improved coverage)",2028
"328","Bakassi",71.4834808,1,527,"Scenario 4(Improved coverage)",2021
"329","Bakassi",71.4834808,2,1622,"Scenario 4(Improved coverage)",2024
"330","Bakassi",71.4834808,3,2717,"Scenario 4(Improved coverage)",2027
"331","Bakassi",71.4834808,4,3812,"Scenario 4(Improved coverage)",2030
"332","Bakori",75.0608361,1,588,"Scenario 4(Improved coverage)",2021
"333","Bakori",75.0608361,2,1683,"Scenario 4(Improved coverage)",2024
"334","Bakori",75.0608361,3,2778,"Scenario 4(Improved coverage)",2027
"335","Bakori",75.0608361,4,3873,"Scenario 4(Improved coverage)",2030
"336","Bakura",75.1270604,1,186,"Scenario 4(Improved coverage)",2020
"337","Bakura",75.1270604,2,1281,"Scenario 4(Improved coverage)",2023
"338","Bakura",75.1270604,3,2376,"Scenario 4(Improved coverage)",2026
"339","Bakura",75.1270604,4,3471,"Scenario 4(Improved coverage)",2029
"340","Balanga",74.9939303,1,551,"Scenario 4(Improved coverage)",2021
"341","Balanga",74.9939303,2,1646,"Scenario 4(Improved coverage)",2024
"342","Balanga",74.9939303,3,2741,"Scenario 4(Improved coverage)",2027
"343","Balanga",74.9939303,4,3836,"Scenario 4(Improved coverage)",2030
"344","Bali",74.6719166,1,953,"Scenario 4(Improved coverage)",2022
"345","Bali",74.6719166,2,2048,"Scenario 4(Improved coverage)",2025
"346","Bali",74.6719166,3,3143,"Scenario 4(Improved coverage)",2028
"347","Bama",75.1041993,1,186,"Scenario 4(Improved coverage)",2020
"348","Bama",75.1041993,2,1281,"Scenario 4(Improved coverage)",2023
"349","Bama",75.1041993,3,2376,"Scenario 4(Improved coverage)",2026
"350","Bama",75.1041993,4,3471,"Scenario 4(Improved coverage)",2029
"351","Barikin Ladi",74.3171913,1,186,"Scenario 4(Improved coverage)",2020
"352","Barikin Ladi",74.3171913,2,1281,"Scenario 4(Improved coverage)",2023
"353","Barikin Ladi",74.3171913,3,2376,"Scenario 4(Improved coverage)",2026
"354","Barikin Ladi",74.3171913,4,3471,"Scenario 4(Improved coverage)",2029
"355","Baruten",73.3831934,1,186,"Scenario 4(Improved coverage)",2020
"356","Baruten",73.3831934,2,1281,"Scenario 4(Improved coverage)",2023
"357","Baruten",73.3831934,3,2376,"Scenario 4(Improved coverage)",2026
