"","scenario","year","death_rate_mean_all_ages","death_rate_mean_all_ages_max","death_rate_mean_all_ages_min","death_rate_mean_U5","death_rate_mean_U5_max","death_rate_mean_U5_min","incidence_all_ages","incidence_all_ages_max","incidence_all_ages_min","incidence_U5","incidence_U5_max","incidence_U5_min","PfPR_all_ages","PfPR_all_ages_max","PfPR_all_ages_min","PfPR_U5","PfPR_U5_max","PfPR_U5_min"
"25","NGA projection scenario 2",2022,0.379904763460516,0.398405451952566,0.361420730819218,1.33515298026673,1.42171324550848,1.28939467395621,810.032547225965,815.077924529048,806.525045970204,1218.76218462382,1228.00113360202,1213.68156458237,0.140286376184902,0.141279736436406,0.139414594504057,0.111590541452917,0.111918023145141,0.110977234235663
"26","NGA projection scenario 2",2023,0.3108640930951,0.326164818475835,0.300042056990219,1.03271854529009,1.12302269045057,0.989360424232252,713.435271547379,720.694641233301,709.282145687019,1050.32403485235,1056.94147024725,1045.64901462113,0.118612484588248,0.119721316928723,0.118103058001834,0.0896401366786197,0.0901359563532636,0.0892192671655872
"27","NGA projection scenario 2",2024,0.271695661020033,0.279607505872297,0.26255328883673,0.827622808944501,0.866356133680529,0.750365816423818,636.111478519815,642.18879767085,632.090988194226,891.63608148711,902.10894461773,880.175738675422,0.0987904874423379,0.099837114199231,0.0980959626597274,0.0679403921773981,0.0688604449185214,0.0668785895249828
"28","NGA projection scenario 2",2025,0.272957974780915,0.28126273314696,0.265191119790149,0.828724423139786,0.859216692227058,0.80446079595976,681.719529542216,688.904766263474,677.496350697878,937.20657503513,942.825900330638,932.408039580014,0.0984877720356735,0.0994893674990572,0.0977800652594429,0.0648684840811719,0.0652675831141764,0.0642073329692051
"29","NGA projection scenario 2",2026,0.248931003761886,0.255892107432662,0.244813359102106,0.726997625211058,0.784473597624777,0.695075252200677,606.628270852947,614.105964694888,600.680953553597,820.9640347382,830.130251854843,809.519319893268,0.0834850928007034,0.0845541876426942,0.0828710311978213,0.0525461619896962,0.0530463239137337,0.051779303149829
"30","NGA projection scenario 2",2027,0.20704686701792,0.214623395795327,0.204556492729907,0.573542357427297,0.601495199806123,0.542533688622975,519.049216328438,527.275376768986,511.235254908205,664.549053995216,675.710537228247,656.152098932826,0.0664713405101392,0.0676539490187357,0.0655244571311516,0.0385589300365135,0.0391354753437773,0.0379115715158029
"31","NGA projection scenario 2",2028,0.221098052223006,0.233842377513101,0.20921303677138,0.591820837152645,0.641879573344619,0.551517396149114,589.633844071875,597.800711371173,582.260495488293,729.998513732901,736.628462434472,722.167535496403,0.0701730205531707,0.0709979579176049,0.0695797139449057,0.0394611297579215,0.0396914647475056,0.0390559092005946
"32","NGA projection scenario 2",2029,0.223517340489093,0.230584562708439,0.217333247382895,0.596793172198766,0.634273923878182,0.565462126681939,586.080568286639,591.677369586714,581.526267114695,720.162594013908,726.255003753341,714.696023558472,0.0676767368262489,0.0681723454540672,0.0672126494292773,0.0387816418810355,0.0389405799404946,0.0384553607361936
"33","NGA projection scenario 2",2030,0.219579155422308,0.233209009278694,0.210759425787792,0.550395579306498,0.605583238215632,0.496900352912759,585.2833319694,593.070469656738,579.777424281068,663.115626927638,672.005057367836,657.674239223906,0.0645023902712193,0.0651788595993883,0.0640144874437162,0.0354695909395027,0.0358746486318466,0.0347078800826744
"34","NGA projection scenario 3",2019,0.764890697537404,0.764890697537404,0.764890697537404,3.32454107376429,3.32454107376429,3.32454107376429,1115.46426160056,1115.46426160056,1115.46426160056,1949.04454183748,1949.04454183748,1949.04454183748,0.238204327221175,0.238204327221175,0.238204327221175,0.2384632225484,0.2384632225484,0.2384632225484
"35","NGA projection scenario 3",2020,0.690183837498987,0.735851671587204,0.661252447677031,2.90918294449925,3.11970050325535,2.80717628170031,1056.19233567156,1058.1578793087,1053.76008700857,1779.92827987925,1783.13662885305,1773.54271199409,0.205357833583385,0.205667988083616,0.204939587799349,0.202249850607943,0.202820428389027,0.201783286009482
"36","NGA projection scenario 3",2021,0.570354390870867,0.585724945908065,0.560382505503289,2.27961340420147,2.35486326233465,2.21457568848212,917.575049009256,921.038986760856,914.024081708057,1524.65089453792,1529.63645865161,1517.79188335721,0.173227786681474,0.173839030903638,0.172477483820468,0.165069932029335,0.165590292265155,0.16389705957905
"37","NGA projection scenario 3",2022,0.571565965219521,0.591411973366276,0.545894702688202,2.29556253796187,2.40989024784025,2.19258435148416,942.026640730289,946.367450692773,939.856006614283,1562.06400151492,1566.22250221284,1555.84193670266,0.173149884889548,0.173828008037712,0.172736232433848,0.164066304380994,0.164720203777703,0.162919563603948
"38","NGA projection scenario 3",2023,0.519942591187181,0.53943785687671,0.505428190392746,2.06944663314462,2.17933896015661,1.9968989509854,873.44833534135,876.293240793507,870.878518022184,1421.85631072757,1432.32615100351,1416.00669775213,0.158191211427025,0.158938385848043,0.157704220851922,0.145768524749443,0.147016725783108,0.144490456021663
"39","NGA projection scenario 3",2024,0.485047552077251,0.506943126993654,0.468010026408148,1.86732825899814,2.00022713143684,1.72237349435993,882.053345687664,887.219590234204,875.669523961788,1395.65005636764,1410.33793022635,1384.49177032564,0.153836495395551,0.154844301673962,0.152702009249283,0.136527632033273,0.137649763656374,0.134949520107633
"40","NGA projection scenario 3",2025,0.502526775274215,0.518111020890143,0.491638420453608,1.90974133016745,1.96743700384355,1.84573697983029,952.334790142195,955.990703905536,947.809876965847,1506.05103890715,1516.77524031227,1493.42242430057,0.162396975669126,0.162857101627594,0.161596353400075,0.14482975619924,0.145494440929219,0.143197528991235
