"",".id","year","PfPR_all_ages","PfPR_U5","incidence_all_ages","incidence_U5","death_rate_1_all_ages","death_rate_2_all_ages","death_rate_1_U5","death_rate_2_U5","State","scenario","death_rate_mean_all_ages","death_rate_mean_U5"
"25","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2022,0.212669736961633,0.189957694021207,1241.45666077481,1866.86718395243,0.989451713896776,0.458129178749208,3.69904259331564,1.81721147330131,"Akwa_Ibom","NGA projection scenario 1",0.723790446322992,2.75812703330847
"26","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2023,0.22626543759621,0.204154032448137,1327.35110993768,2011.44710581518,0.997503163214362,0.475879607512223,3.58678013382452,1.80364364365873,"Akwa_Ibom","NGA projection scenario 1",0.736691385363293,2.69521188874163
"27","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2024,0.223682654325545,0.199580722254513,1293.85872140818,1940.09845549668,0.912038150146306,0.446299077746831,3.45288637396336,1.78202796199125,"Akwa_Ibom","NGA projection scenario 1",0.679168613946568,2.61745716797731
"28","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2025,0.222688870899497,0.197275833907771,1313.07521457158,1948.16243308721,0.980582556727068,0.471953173828658,3.93426773495295,1.97379458818395,"Akwa_Ibom","NGA projection scenario 1",0.726267865277863,2.95403116156845
"29","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2026,0.233617966353647,0.210180640808318,1376.15718934959,2042.08985105554,1.0183859280878,0.501114879052324,3.92964930536509,2.06432695443347,"Akwa_Ibom","NGA projection scenario 1",0.759750403570064,2.99698812989928
"30","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2027,0.230620378112711,0.203910415749885,1340.08838434234,1980.20438369749,0.949453525212367,0.474373866722831,3.7744756453739,1.98767664947952,"Akwa_Ibom","NGA projection scenario 1",0.711913695967599,2.88107614742671
"31","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2028,0.226380355409082,0.196112089126726,1342.94000226717,1957.67816044981,1.03694610718665,0.486403369843592,3.99223282817476,1.96028292227314,"Akwa_Ibom","NGA projection scenario 1",0.761674738515123,2.97625787522395
"32","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2029,0.238946283491648,0.212908784672729,1407.08006112034,2083.56905777556,1.05820651494391,0.498546611791627,3.80786486375993,1.92410147723416,"Akwa_Ibom","NGA projection scenario 1",0.778376563367771,2.86598317049705
"33","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2030,0.233702948092997,0.207535255029817,1358.40355983195,2010.53984658828,0.982856766910932,0.459721646419225,4.07872687833762,1.95159899876231,"Akwa_Ibom","NGA projection scenario 1",0.721289206665078,3.01516293854997
"34","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Anambra.csv",2020,0.134838295753713,0.0937597989864265,891.628034816313,1095.51445018241,0.565286838255661,0.286585533964483,1.86707914913462,1.0575228957058,"Anambra","NGA projection scenario 1",0.425936186110072,1.46230102242021
"35","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Anambra.csv",2021,0.119442066418586,0.084351869060144,799.340295418595,985.57225688251,0.547916426819528,0.269414538264567,1.69189853930378,0.950047363011269,"Anambra","NGA projection scenario 1",0.408665482542048,1.32097295115752
"36","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Anambra.csv",2022,0.127900455349571,0.0907085672829362,867.913850733473,1055.39552878054,0.536285302609596,0.26686229158373,1.68790364901526,0.954976562025535,"Anambra","NGA projection scenario 1",0.401573797096663,1.3214401055204
"37","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Anambra.csv",2023,0.134257439264811,0.0944460244639869,910.552003962503,1074.5270583412,0.602635798617081,0.297698333197757,1.7951474784517,1.01873062404159,"Anambra","NGA projection scenario 1",0.450167065907419,1.40693905124665
"38","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Anambra.csv",2024,0.135288223085215,0.0933778107658124,937.254606471892,1073.07408769556,0.555407534350431,0.282334555436568,1.42689091039156,0.850731601826222,"Anambra","NGA projection scenario 1",0.4188710448935,1.13881125610889
"39","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Anambra.csv",2025,0.147602266207266,0.101701873041093,1039.48855931248,1180.80325352505,0.636897324675254,0.323617501303979,1.97304354256666,1.06501568552061,"Anambra","NGA projection scenario 1",0.480257412989617,1.51902961404364
"40","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Anambra.csv",2026,0.152728360418047,0.103165124025165,1081.49716337163,1209.60264596003,0.69560398024794,0.335051154098199,1.8963703073903,1.02692220761864,"Anambra","NGA projection scenario 1",0.515327567173069,1.46164625750447
"41","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Anambra.csv",2027,0.154634708124887,0.102011668575819,1123.54326378545,1223.80810113797,0.775130883596785,0.368024243539653,2.3374341398246,1.23235389394366,"Anambra","NGA projection scenario 1",0.571577563568219,1.78489401688413
