04/02 09:54:06 [DEBUG] [18708] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
04/02 09:57:13 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:19 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:24 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:30 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:35 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:41 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:46 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:52 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:57 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:03 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:14 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:19 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:25 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:30 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:35 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:41 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:47 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:52 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:58:58 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:03 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:14 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:19 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
