"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override"
"306","Ifo","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"307","Igabi","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"308","Igalamela-Odolu","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"309","Igbo-Etiti","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"310","Igbo-Eze North","Uzo-Uwani",NA,0.285378639,0.285378639,0.69,0,-1,2018,-1
"311","Igbo-Eze South","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"312","Igueben","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"313","Ihiala","Oru West",NA,0.489999974,0.489999974,0.69,0,-1,2018,-1
"314","Ihitte-Uboma","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"315","Ijebu East","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"316","Ijebu North","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"317","Ijebu North East","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"318","Ijebu ode","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"319","Ijero","Oke-Ero",NA,0.397871528,0.397871528,0.69,0,-1,2018,-1
"320","Ijumu","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"321","Ika","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"322","Ika North East","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"323","Ika South","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"324","Ikara","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"325","Ikeduru","Ngor-Okpala",NA,0.385892623,0.385892623,0.69,0,-1,2018,-1
"326","Ikeja","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"327","Ikenne","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"328","Ikere","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"329","Ikole","Oke-Ero",NA,0.226328373,0.226328373,0.69,0,-1,2018,-1
"330","Ikom","Obubra",NA,0.61009749,0.61009749,0.69,0,-1,2018,-1
"331","Ikono","Ngor-Okpala",NA,0.7,0.7,0.69,0,-1,2018,-1
"332","Ikorodu","Uzo-Uwani",NA,0.359507461,0.359507461,0.69,0,-1,2018,-1
"333","Ikot Abasi","Nsit Ubium",NA,0.7,0.7,0.69,0,-1,2018,-1
"334","Ikot Ekpene","Ngor-Okpala",NA,0.363310644,0.363310644,0.69,0,-1,2018,-1
"335","Ikpoba-Okha","Uzo-Uwani",NA,0.371130973,0.371130973,0.69,0,-1,2018,-1
"336","Ikwerre","Oru West",NA,0.519487623,0.519487623,0.69,0,-1,2018,-1
"337","Ikwo","Obubra",NA,0.673701419,0.673701419,0.69,0,-1,2018,-1
"338","Ikwuano","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"339","Ila","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"340","Ilaje","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"341","Ilemeji","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"342","Ile-Oluji-Okeigbo","Oke-Ero",NA,0.644444444,0.644444444,0.69,0,-1,2018,-1
"343","Ilesha East","Owan East",NA,0.7,0.7,0.69,0,-1,2018,-1
"344","Ilesha West","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"345","Illela","Gawabawa",NA,0.223485083,0.223485083,0.69,0,-1,2018,-1
"346","Ilorin East","Oke-Ero",NA,0.588931756,0.588931756,0.69,0,-1,2018,-1
"347","Ilorin South","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"348","Ilorin West","Owan East",NA,0.535999959,0.535999959,0.69,0,-1,2018,-1
"349","Imeko-Afon","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"350","Ingawa","Rimi",NA,0.255555556,0.255555556,0.69,0,-1,2018,-1
"351","Ini","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"352","Ipokia","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"353","Irele","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"354","Irepo","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"355","Irepodun1","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"356","Irepodun2","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"357","Irepodun-Ifelodun","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"358","Irewole","Akinyele",NA,0.677272783,0.677272783,0.69,0,-1,2018,-1
"359","Isa","Rimi",NA,0.409995572,0.409995572,0.69,0,-1,2018,-1
"360","Ise-Orun","Oke-Ero",NA,0.7,0.7,0.69,0,-1,2018,-1
"361","Iseyin","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"362","Ishielu","Owan East",NA,0.434735547,0.434735547,0.69,0,-1,2018,-1
"363","Isiala Mbano","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"364","Isiala-Ngwa North","Ngor-Okpala",NA,0.539461936,0.539461936,0.69,0,-1,2018,-1
"365","Isiala-Ngwa South","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"366","Isin","Ngor-Okpala",NA,0.733062111,0.733062111,0.69,0,-1,2018,-1
"367","Isi-Uzo","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"368","Isokan","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"369","Isoko North","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"370","Isoko South","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"371","Isu","Ngor-Okpala",NA,0.7,0.7,0.69,0,-1,2018,-1
"372","Isuikwato","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"373","Itas-Gadau","Taura",NA,0.374288617,0.374288617,0.69,0,-1,2018,-1
"374","Itesiwaju","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"375","Itu","Ngor-Okpala",NA,0.8,0.8,0.69,0,-1,2018,-1
"376","Ivo","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"377","Iwajowa","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"378","Iwo","Akinyele",NA,0.664031025,0.664031025,0.69,0,-1,2018,-1
"379","Izzi","Owan East",NA,0.686885732,0.686885732,0.69,0,-1,2018,-1
"380","Jaba","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"381","Jada","Alkaleri",NA,0.295661138,0.295661138,0.69,0,-1,2018,-1
"382","Jahun","Taura",NA,0.42134251,0.42134251,0.69,0,-1,2018,-1
"383","Jakusko","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"384","Jalingo","Keana",NA,0.542657285,0.542657285,0.69,0,-1,2018,-1
"385","Jama'are","Taura",NA,0.341960062,0.341960062,0.69,0,-1,2018,-1
"386","Jega","Birnin Kebbi",NA,0.766772845,0.766772845,0.69,0,-1,2018,-1
"387","Jema'a","Soba",NA,0.33917526,0.33917526,0.69,0,-1,2018,-1
"388","Jere","Gawabawa",NA,0.7,0.7,0.69,0,-1,2018,-1
"389","Jibia","Rimi",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"390","Jos East","Soba",NA,0.7,0.7,0.69,0,-1,2018,-1
"391","Jos North","Soba",NA,0.30462622,0.30462622,0.69,0,-1,2018,-1
"392","Jos South","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"393","Kabba-Bunu","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"394","Kabo","Gwarzo",NA,0.528669685,0.528669685,0.69,0,-1,2018,-1
"395","Kachia","Ngor-Okpala",NA,0.226107845,0.226107845,0.69,0,-1,2018,-1
"396","Kaduna North","Soba",NA,0.265737057,0.265737057,0.69,0,-1,2018,-1
"397","Kaduna South","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"398","Kafin Hausa","Taura",NA,0.61906863,0.61906863,0.69,0,-1,2018,-1
"399","Kafur","Gwarzo",NA,0.404678348,0.404678348,0.69,0,-1,2018,-1
"400","Kaga","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"401","Kagarko","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"402","Kaiama","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"403","Kaita","Rimi",NA,0.353846154,0.353846154,0.69,0,-1,2018,-1
"404","Kajola","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"405","Kajuru","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"406","Kala-Balge","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"407","Kalgo","Birnin Kebbi",NA,0.728194641,0.728194641,0.69,0,-1,2018,-1
"408","Kaltungo","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"409","Kanam","Alkaleri",NA,0.497169748,0.497169748,0.69,0,-1,2018,-1
"410","Kankara","Rimi",NA,0.409995572,0.409995572,0.69,0,-1,2018,-1
"411","Kanke","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"412","Kankia","Rimi",NA,0.485714286,0.485714286,0.69,0,-1,2018,-1
"413","Kano Municipal","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"414","Karasuwa","Taura",NA,0.257494575,0.257494575,0.69,0,-1,2018,-1
"415","Karaye","Gwarzo",NA,0.616666667,0.616666667,0.69,0,-1,2018,-1
"416","Karin-Lamido","Alkaleri",NA,0.356914887,0.356914887,0.69,0,-1,2018,-1
"417","Karu","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"418","Katagum","Gwarzo",NA,0.316822469,0.316822469,0.69,0,-1,2018,-1
"419","Katcha","Oke-Ero",NA,0.506471335,0.506471335,0.69,0,-1,2018,-1
"420","Katsina","Rimi",NA,0.698949589,0.698949589,0.69,0,-1,2018,-1
"421","Katsina-Ala","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"422","Kaugama","Taura",NA,0.311111111,0.311111111,0.69,0,-1,2018,-1
"423","Kaura","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"424","Kaura-Namoda","Rimi",NA,0.409995572,0.409995572,0.69,0,-1,2018,-1
"425","Kauru","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"426","Kazaure","Babura",NA,0.5125,0.5125,0.69,0,-1,2018,-1
"427","Keana","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"428","Kebbe","Birnin Kebbi",NA,0.62225568,0.62225568,0.69,0,-1,2018,-1
"429","Keffi","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"430","Khana","Nsit Ubium",NA,0.485714286,0.485714286,0.69,0,-1,2018,-1
"431","Kibiya","Gwarzo",NA,0.372172547,0.372172547,0.69,0,-1,2018,-1
"432","Kirfi","Alkaleri",NA,0.276923077,0.276923077,0.69,0,-1,2018,-1
"433","Kiri Kasamma","Taura",NA,0.493729355,0.493729355,0.69,0,-1,2018,-1
"434","Kiru","Gwarzo",NA,0.438749426,0.438749426,0.69,0,-1,2018,-1
"435","Kiyawa","Takali",NA,0.342857143,0.342857143,0.69,0,-1,2018,-1
"436","Kogi","Keana",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"437","Koko-Besse","Birnin Kebbi",NA,0.8,0.8,0.69,0,-1,2018,-1
"438","Kokona","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"439","Kolokuma-Opokuma","Ahoada West",NA,0.589048955,0.589048955,0.69,0,-1,2018,-1
"440","Konduga","Darazo",NA,0.7,0.7,0.69,0,-1,2018,-1
"441","Konshisha","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"442","Kontagora","Oke-Ero",NA,0.520938838,0.520938838,0.69,0,-1,2018,-1
"443","Kosofe","Isoko South",NA,0.8,0.8,0.69,0,-1,2018,-1
"444","Kubau","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"445","Kudan","Giwa",NA,0.330508332,0.330508332,0.69,0,-1,2018,-1
"446","Kuje","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"447","Kukawa","Babura",NA,0.8,0.8,0.69,0,-1,2018,-1
"448","Kumbotso","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"449","Kunchi","Babura",NA,0.347410353,0.347410353,0.69,0,-1,2018,-1
"450","Kura","Gwarzo",NA,0.422222222,0.422222222,0.69,0,-1,2018,-1
"451","Kurfi","Rimi",NA,0.409995572,0.409995572,0.69,0,-1,2018,-1
"452","Kurmi","Oru West",NA,0.6,0.6,0.69,0,-1,2018,-1
"453","Kusada","Rimi",NA,0.3875,0.3875,0.69,0,-1,2018,-1
"454","Kwali","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"455","Kwami","Alkaleri",NA,0.269494533,0.269494533,0.69,0,-1,2018,-1
"456","Kwande","Oke-Ero",NA,0.388679397,0.388679397,0.69,0,-1,2018,-1
"457","Kware","Gawabawa",NA,0.4,0.4,0.69,0,-1,2018,-1
"458","Kwaya Kusar","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"459","Lafia","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"460","Lagelu","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"461","Lagos Island","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"462","Lagos Mainland","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"463","Lamurde","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"464","Langtang North","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"465","Langtang South","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"466","Lapai","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"467","Lau","Alkaleri",NA,0.381818182,0.381818182,0.69,0,-1,2018,-1
"468","Lavun","Oke-Ero",NA,0.609442103,0.609442103,0.69,0,-1,2018,-1
"469","Lere","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"470","Logo","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"471","Lokoja","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"472","Machina","Taura",NA,0.254679287,0.254679287,0.69,0,-1,2018,-1
"473","Madagali","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"474","Madobi","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"475","Mafa","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"476","Magama","Oke-Ero",NA,0.502301803,0.502301803,0.69,0,-1,2018,-1
"477","Magumeri","Gawabawa",NA,0.306631444,0.306631444,0.69,0,-1,2018,-1
"478","Mai'Adua","Rimi",NA,0.6,0.6,0.69,0,-1,2018,-1
"479","Maiduguri","Darazo",NA,0.231180397,0.231180397,0.69,0,-1,2018,-1
"480","Maigatari","Babura",NA,0.40590316,0.40590316,0.69,0,-1,2018,-1
"481","Maiha","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"482","Maiyama","Birnin Kebbi",NA,0.8,0.8,0.69,0,-1,2018,-1
"483","Makoda","Babura",NA,0.8,0.8,0.69,0,-1,2018,-1
"484","Makurdi","Keana",NA,0.284369554,0.284369554,0.69,0,-1,2018,-1
"485","Malam Madori","Taura",NA,0.7,0.7,0.69,0,-1,2018,-1
"486","Malumfashi","Gwarzo",NA,0.8,0.8,0.69,0,-1,2018,-1
"487","Mangu","Darazo",NA,0.486332243,0.486332243,0.69,0,-1,2018,-1
"488","Mani","Rimi",NA,0.399881617,0.399881617,0.69,0,-1,2018,-1
"489","Maradun","Darazo",NA,0.273493989,0.273493989,0.69,0,-1,2018,-1
"490","Mariga","Oke-Ero",NA,0.3,0.3,0.69,0,-1,2018,-1
"491","Markafi","Gwarzo",NA,0.372172547,0.372172547,0.69,0,-1,2018,-1
"492","Marte","Babura",NA,0.549277359,0.549277359,0.69,0,-1,2018,-1
"493","Maru","Giwa",NA,0.330508332,0.330508332,0.69,0,-1,2018,-1
"494","Mashegu","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"495","Mashi","Rimi",NA,0.366666667,0.366666667,0.69,0,-1,2018,-1
"496","Matazuu","Rimi",NA,0.485714286,0.485714286,0.69,0,-1,2018,-1
"497","Mayo-Belwa","Alkaleri",NA,0.745454545,0.745454545,0.69,0,-1,2018,-1
"498","Mbaitoli","Ngor-Okpala",NA,0.57771346,0.57771346,0.69,0,-1,2018,-1
"499","Mbo","Nsit Ubium",NA,0.3,0.3,0.69,0,-1,2018,-1
"500","Michika","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"501","Miga","Taura",NA,0.311111111,0.311111111,0.69,0,-1,2018,-1
"502","Mikang","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"503","Minjibir","Taura",NA,0.737957946,0.737957946,0.69,0,-1,2018,-1
"504","Misau","Darazo",NA,0.322470573,0.322470573,0.69,0,-1,2018,-1
"505","Mkpat Enin","Nsit Ubium",NA,0.57995598,0.57995598,0.69,0,-1,2018,-1
"506","Moba","Oke-Ero",NA,0.286996203,0.286996203,0.69,0,-1,2018,-1
"507","Mobbar","Babura",NA,0.724066481,0.724066481,0.69,0,-1,2018,-1
"508","Mokwa","Oke-Ero",NA,0.455880274,0.455880274,0.69,0,-1,2018,-1
"509","Monguno","Babura",NA,0.549277359,0.549277359,0.69,0,-1,2018,-1
"510","Mopa-Muro","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"511","Moro","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"512","Mubi North","Darazo",NA,0.422784613,0.422784613,0.69,0,-1,2018,-1
"513","Mubi South","Darazo",NA,0.256373989,0.256373989,0.69,0,-1,2018,-1
"514","Musawa","Gwarzo",NA,0.568421053,0.568421053,0.69,0,-1,2018,-1
"515","Mushin","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"516","Muya","Giwa",NA,0.557142857,0.557142857,0.69,0,-1,2018,-1
"517","Nafada","Alkaleri",NA,0.40161137,0.40161137,0.69,0,-1,2018,-1
"518","Nangere","Darazo",NA,0.233333333,0.233333333,0.69,0,-1,2018,-1
"519","Nasarawa1","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"520","Nasarawa2","Alkaleri",NA,0.566085612,0.566085612,0.69,0,-1,2018,-1
"521","Nasarawa-Eggon","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"522","Ndokwa East","Ahoada West",NA,0.446461454,0.446461454,0.69,0,-1,2018,-1
"523","Ndokwa West","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"524","Nembe","Ahoada West",NA,0.45,0.45,0.69,0,-1,2018,-1
"525","Ngala","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"526","Nganzai","Gawabawa",NA,0.306631444,0.306631444,0.69,0,-1,2018,-1
"527","Ngaski","Owan East",NA,0.8,0.8,0.69,0,-1,2018,-1
"528","Ngor-Okpala","Ngor-Okpala",NA,0.755555556,0.755555556,0.69,0,-1,2018,-1
"529","Nguru","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"530","Ningi","Takali",NA,0.285910642,0.285910642,0.69,0,-1,2018,-1
"531","Njaba","Ngor-Okpala",NA,0.8,0.8,0.69,0,-1,2018,-1
"532","Njikoka","Uzo-Uwani",NA,0.8,0.8,0.69,0,-1,2018,-1
"533","Nkanu East","Owan East",NA,0.646239251,0.646239251,0.69,0,-1,2018,-1
"534","Nkanu West","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"535","Nkwerre","Ngor-Okpala",NA,0.45,0.45,0.69,0,-1,2018,-1
"536","Nnewi North","Oru West",NA,0.611077428,0.611077428,0.69,0,-1,2018,-1
"537","Nnewi South","Oru West",NA,0.773883177,0.773883177,0.69,0,-1,2018,-1
"538","Nsit Atai","Nsit Ubium",NA,0.497727761,0.497727761,0.69,0,-1,2018,-1
"539","Nsit Ibom","Nsit Ubium",NA,0.45,0.45,0.69,0,-1,2018,-1
"540","Nsit Ubium","Nsit Ubium",NA,0.628571429,0.628571429,0.69,0,-1,2018,-1
"541","Nsukka","Uzo-Uwani",NA,0.605325453,0.605325453,0.69,0,-1,2018,-1
"542","Numan","Alkaleri",NA,0.8,0.8,0.69,0,-1,2018,-1
"543","Nwangele","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"544","Obafemi-Owode","Owan East",NA,0.655464296,0.655464296,0.69,0,-1,2018,-1
"545","Obanliku","Obubra",NA,0.61009749,0.61009749,0.69,0,-1,2018,-1
"546","Obi Nwa","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"547","Obi1","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"548","Obi2","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"549","Obia-Akpor","Ahoada West",NA,0.413483794,0.413483794,0.69,0,-1,2018,-1
"550","Obokun","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"551","Obot Akara","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"552","Obowo","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"553","Obubra","Obubra",NA,0.61009749,0.61009749,0.69,0,-1,2018,-1
"554","Obudu","Obubra",NA,0.61009749,0.61009749,0.69,0,-1,2018,-1
"555","Odeda","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"556","Odigbo","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"557","Odogbolu","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"558","Odo-Otin","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"559","Odukpani","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"560","Offa","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"561","Ofu","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"562","Ogbadibo","Ahoada West",NA,0.335679232,0.335679232,0.69,0,-1,2018,-1
"563","Ogba-Egbema-Ndoni","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"564","Ogbaru","Ahoada West",NA,0.8,0.8,0.69,0,-1,2018,-1
"565","Ogbia","Ahoada West",NA,0.446461454,0.446461454,0.69,0,-1,2018,-1
"566","Ogbomosho North","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"567","Ogbomosho South","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"568","Ogo Oluwa","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"569","Ogoja","Obubra",NA,0.61009749,0.61009749,0.69,0,-1,2018,-1
"570","Ogori-Mangongo","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"571","Ogu-Bolo","Nsit Ubium",NA,0.497727761,0.497727761,0.69,0,-1,2018,-1
"572","Ogun waterside","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"573","Oguta","Oru West",NA,0.7,0.7,0.69,0,-1,2018,-1
"574","Ohafia","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"575","Ohaji-Egbema","Oru West",NA,0.666885712,0.666885712,0.69,0,-1,2018,-1
"576","Ohaozara","Obubra",NA,0.8,0.8,0.69,0,-1,2018,-1
"577","Ohaukwu","Owan East",NA,0.45,0.45,0.69,0,-1,2018,-1
"578","Ohimini","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"579","Oji-River","Oru West",NA,0.611077428,0.611077428,0.69,0,-1,2018,-1
"580","Ojo","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"581","Oju","Oke-Ero",NA,0.266412872,0.266412872,0.69,0,-1,2018,-1
"582","Oke-Ero","Oke-Ero",NA,0.6,0.6,0.69,0,-1,2018,-1
"583","Okehi","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"584","Okene","Owan East",NA,0.273066858,0.273066858,0.69,0,-1,2018,-1
"585","Okigwe","Ngor-Okpala",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"586","Okitipupa","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"587","Okobo","Nsit Ubium",NA,0.497727761,0.497727761,0.69,0,-1,2018,-1
"588","Okpe","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"589","Okpokwu","Akinyele",NA,0.342857143,0.342857143,0.69,0,-1,2018,-1
"590","Okrika","Nsit Ubium",NA,0.761288113,0.761288113,0.69,0,-1,2018,-1
"591","Olamabolo","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"592","Ola-oluwa","Owan East",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"593","Olorunda","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"594","Olorunsogo","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"595","Oluyole","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"596","Omala","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"597","Omumma","Ngor-Okpala",NA,0.271010918,0.271010918,0.69,0,-1,2018,-1
"598","Ona-Ara","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"599","Ondo East","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"600","Ondo West","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"601","Onicha","Obubra",NA,0.575690614,0.575690614,0.69,0,-1,2018,-1
"602","Onitsha North","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"603","Onitsha South","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"604","Onna","Nsit Ubium",NA,0.559183639,0.559183639,0.69,0,-1,2018,-1
"605","Opobo-Nkoro","Nsit Ubium",NA,0.8,0.8,0.69,0,-1,2018,-1
"606","Oredo","Uzo-Uwani",NA,0.517164272,0.517164272,0.69,0,-1,2018,-1
"607","Orelope","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"608","Orhionmwon","Uzo-Uwani",NA,0.382157933,0.382157933,0.69,0,-1,2018,-1
"609","Ori Ire","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"610","Oriade","Oke-Ero",NA,0.539520622,0.539520622,0.69,0,-1,2018,-1
"611","Orlu","Oru West",NA,0.45,0.45,0.69,0,-1,2018,-1
